交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-11,141.42,142.09,141.34,141.8,365399
2006-12-12,141.68,141.87,140.64,141.6,681977
2006-12-13,142.23,142.33,141.56,141.86,485811
2006-12-14,141.87,143.24,141.84,143.13,602502
2006-12-15,142.64,142.89,142.2,142.34,551871
2006-12-18,142.54,142.88,141.75,141.95,418380
2006-12-19,141.53,142.56,141.16,142.22,576743
2006-12-20,142.29,142.66,142.01,142.24,375979
2006-12-21,142.27,142.43,141.32,141.68,452523
2006-12-22,141.64,141.65,140.65,140.68,553955
2006-12-26,140.82,141.66,140.78,141.6,254750
2006-12-27,141.87,142.6,141.83,142.45,359280
2006-12-28,142.41,142.7,140.27,142.17,332535
2006-12-29,142.1,142.54,141.41,141.6,434927
2007-01-03,142.25,142.86,140.57,141.39,789134
2007-01-04,141.23,142.05,140.61,141.7,633916
2007-01-05,141.33,144.78,140.38,140.47,656816
2007-01-08,140.82,141.41,140.2,141.31,639325
2007-01-09,141.31,141.6,140.4,141.02,611976
2007-01-10,140.58,141.7,140.3,141.61,609653
2007-01-11,141.56,142.62,141.5,142.23,520037
2007-01-12,142.12,143.35,142.11,143.27,519751
2007-01-16,143.07,143.44,142.73,142.83,412884
2007-01-17,142.87,143.46,142.73,142.9,460534
2007-01-18,143.17,143.26,142.31,142.41,600610
2007-01-19,142.54,143.1,142.46,142.95,522762
2007-01-22,143.07,145.95,141.93,142.39,574064
2007-01-23,142.25,143.08,142.06,142.93,502941
2007-01-24,142.97,144.26,142.91,143.99,530625
2007-01-25,143.84,143.92,134.4,142.31,641212
2007-01-26,142.59,142.75,141.58,142.22,685489
2007-01-29,142.19,142.8,141.74,142.02,589970
2007-01-30,142.35,142.87,142.06,142.77,533730
2007-01-31,142.63,144.13,142.4,143.79,836434
2007-02-01,144.15,144.66,143.91,144.53,631138
2007-02-02,144.74,144.95,144.38,144.78,442758
2007-02-05,144.7,144.94,144.34,144.82,437610
2007-02-06,144.97,145.03,144.33,144.97,519155
2007-02-07,145.12,145.36,143.9,145.11,519518
2007-02-08,144.78,145.12,144.27,144.97,641711
2007-02-09,145.06,146.11,143.39,143.9,746526
2007-02-12,143.94,144.04,143.19,143.5,573041
2007-02-13,143.77,144.9,143.76,144.65,599437
2007-02-14,144.8,145.9,144.48,145.6,616278
2007-02-15,145.67,145.95,145.43,145.55,365069
2007-02-16,145.43,145.81,145.23,145.73,326319
2007-02-20,145.56,146.2,144.06,145.99,522976
2007-02-21,145.61,146.07,145.35,145.95,589498
2007-02-22,146.05,146.42,145.17,145.8,702526
2007-02-23,145.73,145.79,144.75,145.35,695998
2007-02-26,145.83,145.95,144.75,145.2,652765
2007-02-27,143.89,144.2,139.0,139.63,2260609
2007-02-28,140.39,141.98,139.8,140.8,1574501
2007-03-01,139.36,141.25,138.05,140.61,1735205
2007-03-02,140.05,140.66,138.6,138.94,1417498
2007-03-05,137.92,140.0,137.08,137.91,1301620
2007-03-06,138.78,140.12,137.72,139.84,1225862
2007-03-07,139.74,140.46,139.28,139.47,1031240
2007-03-08,140.55,141.16,140.0,140.73,995943
2007-03-09,141.33,141.42,140.08,140.61,899922
2007-03-12,140.42,141.34,140.12,140.91,717745
2007-03-13,140.24,140.77,138.04,138.11,1582359
2007-03-14,138.43,139.59,136.5,139.51,2144474
2007-03-15,139.04,139.99,138.8,139.25,1146533
2007-03-16,139.31,141.0,137.95,138.21,992750
2007-03-19,139.26,140.33,138.89,140.23,789854
2007-03-20,140.08,141.07,139.96,140.9,769134
2007-03-21,141.1,143.65,140.82,143.07,1471732
2007-03-22,143.47,143.68,142.79,143.17,1060716
2007-03-23,143.29,143.81,143.15,143.45,697892
2007-03-26,143.5,143.65,142.09,143.23,1045377
2007-03-27,143.13,143.9,141.86,142.42,941031
2007-03-28,142.23,142.47,141.26,141.83,1406531
2007-03-29,142.54,142.98,141.19,142.19,1297149
2007-03-30,142.17,142.84,140.56,142.0,1140162
2007-04-02,142.16,1441.65,140.89,142.28,771278
2007-04-03,142.97,143.98,142.91,143.74,751927
2007-04-04,143.69,143.95,141.48,143.78,585994
2007-04-05,143.67,144.44,143.61,144.31,460600
2007-04-09,144.59,144.8,144.15,144.42,481421
2007-04-10,144.33,144.85,144.27,144.6,531692
2007-04-11,144.82,144.86,143.54,143.95,1030306
2007-04-12,143.75,144.92,142.66,144.72,1102532
2007-04-13,144.9,145.32,144.27,145.24,768421
2007-04-16,145.86,146.86,145.54,146.65,746558
2007-04-17,146.96,147.4,146.65,146.82,980802
2007-04-18,146.6,147.7,146.57,147.1,840481
2007-04-19,146.54,147.4,145.82,147.29,973741
2007-04-20,148.22,148.62,147.69,148.59,1008926
2007-04-23,148.37,148.73,140.56,148.19,705859
2007-04-24,148.23,148.4,147.32,148.27,1081973
2007-04-25,148.73,149.66,148.16,149.56,1005175
2007-04-26,149.49,149.8,149.1,149.48,840448
2007-04-27,149.03,149.97,148.84,149.65,899768
2007-04-30,149.63,149.82,140.93,148.31,959704
2007-05-01,148.52,149.94,147.67,148.74,1260346
2007-05-02,148.9,149.95,148.75,149.57,826726
2007-05-03,149.95,150.4,149.05,150.28,770761
2007-05-04,150.75,151.56,150.22,150.94,873249
2007-05-07,150.88,151.2,150.81,150.93,607100
2007-05-08,150.57,150.92,150.13,150.65,768891
2007-05-09,150.64,152.82,150.37,151.12,968600
2007-05-10,150.73,151.02,149.27,149.56,1465686
2007-05-11,149.75,150.98,149.72,150.91,1056463
2007-05-14,150.86,151.3,149.79,150.37,1050026
2007-05-15,150.7,151.66,150.19,150.45,1641015
2007-05-16,150.8,151.67,150.38,151.43,1082142
2007-05-17,151.38,151.96,151.11,151.37,979463
2007-05-18,151.94,152.65,151.21,152.58,895293
2007-05-21,152.58,157.69,152.44,152.63,680914
2007-05-22,152.71,153.16,152.37,152.42,780814
2007-05-23,152.95,153.5,152.01,152.41,1187932
2007-05-24,152.53,153.21,150.74,151.17,1756064
2007-05-25,151.49,1511.7,151.18,151.8,779509
2007-05-29,151.94,152.5,151.45,152.14,820782
2007-05-30,151.46,153.54,151.34,153.51,1262641
2007-05-31,153.66,153.89,150.5,153.44,985052
2007-06-01,153.88,154.4,153.51,153.88,916019
2007-06-04,153.53,154.39,153.48,154.08,736702
2007-06-05,153.72,153.9,143.46,153.5,1164214
2007-06-06,152.91,161.9,151.75,152.05,1541263
2007-06-07,151.55,152.5,149.0,149.22,2219979
