交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,35.2,35.66,35.08,35.63,188213
2006-12-13,35.8,35.89,35.35,35.56,183758
2006-12-14,35.55,35.79,35.43,35.65,170795
2006-12-15,35.62,36.65,35.56,35.7,426767
2006-12-18,35.75,35.95,35.28,35.48,293204
2006-12-19,35.39,35.45,34.83,34.96,356398
2006-12-20,35.13,35.45,34.05,34.96,286122
2006-12-21,34.98,35.65,34.85,35.19,332945
2006-12-22,34.99,35.45,34.85,34.99,143511
2006-12-26,34.96,35.15,34.87,35.02,103873
2006-12-27,35.05,35.5,35.01,35.45,151675
2006-12-28,35.3,35.66,35.25,35.46,108467
2006-12-29,35.66,36.21,35.65,35.71,171263
2007-01-03,35.67,35.78,34.78,34.97,291753
2007-01-04,34.95,35.24,34.07,34.48,359164
2007-01-05,34.4,34.54,33.95,33.95,310190
2007-01-08,33.4,34.01,33.21,33.82,326003
2007-01-09,33.85,34.41,33.66,33.95,252138
2007-01-10,34.2,35.0,31.94,34.05,287961
2007-01-11,34.09,34.52,33.6,34.5,222525
2007-01-12,34.6,34.91,34.42,34.73,187778
2007-01-16,34.94,34.95,34.44,34.6,148233
2007-01-17,34.6,34.66,34.31,34.5,154255
2007-01-18,34.65,35.81,34.4,35.02,188729
2007-01-19,35.3,35.35,34.87,35.05,188722
2007-01-22,35.24,35.53,35.0,35.09,201022
2007-01-23,35.14,35.74,34.99,35.38,168050
2007-01-24,36.06,36.95,35.85,36.84,301012
2007-01-25,37.3,37.7,36.48,36.84,301773
2007-01-26,36.37,36.79,36.0,36.4,231441
2007-01-29,36.35,36.94,36.29,36.5,184712
2007-01-30,36.62,37.19,36.57,37.1,186043
2007-01-31,37.08,37.88,37.08,37.65,237546
2007-02-01,37.7,37.81,37.47,37.74,163910
2007-02-02,37.75,38.18,37.61,38.12,199701
2007-02-05,37.67,38.1,37.65,37.79,236543
2007-02-06,37.7,37.96,37.44,37.5,209154
2007-02-07,37.44,37.61,36.88,37.14,288132
2007-02-08,37.08,37.5,36.94,37.37,137465
2007-02-09,37.49,37.72,36.83,36.9,171127
2007-02-12,36.75,37.15,36.69,36.96,121917
2007-02-13,36.9,37.37,36.84,37.18,131223
2007-02-14,37.25,37.56,37.08,37.19,188696
2007-02-15,37.31,37.37,37.03,37.24,129301
2007-02-16,37.02,37.49,36.87,37.49,151965
2007-02-20,37.51,37.75,37.35,37.36,153850
2007-02-21,37.5,37.5,37.18,37.23,149562
2007-02-22,37.16,37.4,36.89,37.05,137789
2007-02-23,36.98,37.17,36.8,37.01,113475
2007-02-26,37.0,37.57,36.98,37.52,180738
2007-02-27,37.32,37.72,35.19,36.17,293974
2007-02-28,36.7,36.89,36.21,36.79,258565
2007-03-01,36.17,36.98,35.75,36.7,225872
2007-03-02,36.65,36.99,36.36,36.41,188666
2007-03-05,36.04,36.79,35.6,35.72,213737
