交易日期,开盘价,最高价,最低价,收盘价,成交量
2008-11-03,1.48,1.48,1.444,1.444,260
2008-11-04,1.4,1.4,1.4,1.4,260
2008-11-05,1.37,1.37,1.37,1.37,25
2008-12-01,1.2,1.2,1.2,1.2,25
2008-12-02,1.14,1.14,1.14,1.14,10
2008-12-09,1.29,1.29,1.29,1.29,10
2008-12-11,1.28,1.28,1.28,1.28,10
2008-12-15,1.26,1.28,1.25,1.25,5305
2008-12-31,1.31,1.31,1.31,1.31,20
2009-02-13,1.22,1.22,1.22,1.22,25
2009-02-20,1.3,1.3,1.3,1.3,5
2009-02-23,1.24,1.24,1.24,1.24,35
2009-02-24,1.22,1.22,1.22,1.22,10
2009-02-26,1.21,1.21,1.21,1.21,350
2009-02-27,1.16615,1.16615,1.16615,1.16615,0
2009-03-02,1.25,1.25,1.25,1.25,5
2009-03-03,1.18,1.35,1.18,1.18,500
2009-03-11,1.21,1.21,1.21,1.21,5
2009-03-16,1.45,1.46,1.45,1.45,500
2009-03-17,1.4,1.5,1.4,1.46,510
2009-03-23,1.458,1.458,1.458,1.458,20
2009-03-24,1.5,1.55,1.5,1.54,145
2009-03-26,1.46,1.46,1.46,1.46,15
2009-03-30,1.466,1.468,1.462,1.462,70
2009-04-03,1.57,1.57,1.53,1.53,20
2009-04-06,1.62,1.62,1.56,1.56,35
2009-04-08,1.64,1.64,1.64,1.64,25
2009-04-14,1.584,1.584,1.584,1.584,15
2009-04-15,1.582,1.636,1.56,1.56,485
2009-04-20,1.65,1.65,1.65,1.65,100
2009-04-29,1.76,1.78,1.76,1.78,155
2009-04-30,1.83,1.836,1.826,1.834,3435
2009-05-01,1.84,1.84,1.83,1.84,1335
2009-05-04,1.92,1.96,1.92,1.96,40
2009-05-05,1.94,1.94,1.932,1.934,190
2009-05-06,1.94,1.94,1.934,1.94,1520
2009-05-07,1.934,1.95,1.89,1.928,135
2009-05-08,1.89,1.896,1.89,1.89,70
2009-05-11,1.822,1.88,1.822,1.83,495
2009-05-12,1.822,1.89,1.822,1.828,155
2009-05-13,1.844,1.89,1.834,1.84,165
2009-05-14,2.08,2.08,2.05,2.062,720
2009-05-15,2.06,2.06,2.01,2.01,120
2009-05-18,2.13,2.13,2.13,2.13,5
2009-05-19,2.096,2.096,2.036,2.038,185
2009-05-20,2.05,2.06,2.034,2.034,150
2009-05-21,2.026,2.06,1.89,2.06,130
2009-05-22,2.04,2.062,1.978,2.0584,1430
2009-05-26,1.98,2.02,1.97,2.02,415
2009-05-27,2.06,2.07,2.044,2.07,125
2009-05-28,2.04,2.06,2.04,2.054,495
2009-05-29,2.21,2.21,2.19,2.19,580
2009-06-01,2.228,2.244,2.2,2.2,390
2009-06-02,2.2,2.21,2.168,2.168,240
2009-06-03,2.32,2.32,2.24,2.24,165
2009-06-04,2.292,2.33,2.292,2.33,285
2009-06-05,2.33,2.39,2.31,2.33,245
2009-06-08,2.3,2.34,2.27,2.34,290
2009-06-09,2.24,2.25,2.24,2.25,155
2009-06-10,2.28,2.32,2.25,2.32,70
2009-06-11,2.312,2.33,2.312,2.33,20
2009-06-12,2.32,2.32,2.32,2.32,0
2009-06-15,2.314,2.314,2.314,2.314,0
2009-06-16,2.28,2.28,2.28,2.28,5
2009-06-17,2.23,2.23,2.23,2.23,115
2009-06-18,2.23,2.23,2.23,2.23,1915
2009-06-19,2.29,2.37,2.29,2.35,1225
2009-06-22,2.31,2.31,2.25,2.29,3005
2009-06-23,2.23,2.23,2.18,2.21,3735
2009-06-24,2.308,2.378,2.308,2.32,2090
2009-06-25,2.34,2.424,2.34,2.39,180
2009-06-26,2.41,2.416,2.38,2.416,965
2009-06-29,2.44,2.46,2.44,2.46,90
2009-06-30,2.35,2.35,2.31,2.33,135
2009-07-01,2.3,2.36,2.3,2.36,335
2009-07-02,2.3,2.31,2.27,2.27,235
2009-07-06,2.232,2.27,2.232,2.246,270
2009-07-07,2.28,2.32,2.27,2.27,125
2009-07-08,2.33,2.39,2.33,2.38,70
2009-07-09,2.336,2.39,2.336,2.344,195
2009-07-10,2.294,2.34,2.294,2.34,40
2009-07-13,2.234,2.28,2.234,2.28,130
2009-07-14,2.28,2.324,2.28,2.324,150
2009-07-15,2.37,2.4,2.37,2.4,45
2009-07-16,2.364,2.42,2.364,2.42,185
2009-07-17,2.52,2.578,2.52,2.57,145
2009-07-20,2.72,2.78,2.72,2.76,515
2009-07-21,2.64,2.64,2.58,2.604,820
2009-07-22,2.564,2.61,2.564,2.608,45
2009-07-23,2.68,2.71,2.68,2.71,115
2009-07-24,2.678,2.696,2.652,2.696,395
2009-07-27,2.664,2.664,2.62,2.662,160
2009-07-28,2.674,2.688,2.65,2.688,390
2009-07-29,2.664,2.69,2.64,2.64,555
2009-07-30,2.66,2.7,2.66,2.68,35
2009-07-31,2.65,2.704,2.65,2.7,160
2009-08-03,2.87,2.87,2.81,2.83,245
2009-08-04,2.82,2.86,2.82,2.832,70
2009-08-05,2.8,2.8,2.772,2.772,110
2009-08-06,2.8,2.8,2.78,2.79,75
2009-08-07,2.752,2.822,2.752,2.79,95
2009-08-10,2.888,2.888,2.834,2.834,10
2009-08-11,3.0,3.016,3.0,3.002,65
2009-08-12,2.96,3.01,2.96,2.96,175
2009-08-13,3.01,3.08,3.01,3.05,375
2009-08-14,3.08,3.08,3.0,3.022,120
2009-08-17,2.93,2.99,2.93,2.93,280
2009-08-18,2.96,2.98,2.936,2.98,70
2009-08-19,2.858,2.92,2.858,2.892,140
2009-08-20,2.932,2.932,2.884,2.89,40
2009-08-21,2.958,3.03,2.958,3.03,230
2009-08-24,3.12,3.12,3.05,3.05,125
2009-08-25,3.08,3.1,3.08,3.09,500
2009-08-26,3.074,3.088,3.05,3.07,165
2009-08-27,3.0,3.0,2.94,2.94,115
2009-08-28,2.998,2.998,2.952,2.988,315
2009-08-31,3.0,3.0,2.94,2.94,190
2009-09-01,3.0,3.004,2.9,2.91,2940
2009-09-02,2.986,2.986,2.95,2.95,300
2009-09-03,2.94,3.0,2.94,2.98,350
2009-09-04,3.12,3.17,3.12,3.17,350
2009-09-08,3.348,3.348,3.28,3.28,150
2009-09-09,3.36,3.36,3.34,3.34,205
2009-09-10,3.286,3.36,3.286,3.36,110
2009-09-11,3.28,3.28,3.24,3.28,200
2009-09-14,3.254,3.32,3.254,3.3,105
2009-09-15,3.2,3.226,3.176,3.194,220
2009-09-16,3.21,3.26,3.21,3.25,490
2009-09-17,3.35,3.37,3.308,3.33,1295
2009-09-18,3.28,3.28,3.26,3.28,120
2009-09-21,3.32,3.33,3.32,3.33,35
2009-09-22,3.28,3.33,3.28,3.33,235
2009-09-23,3.356,3.358,3.33,3.33,745
2009-09-24,3.27,3.33,3.27,3.33,50
2009-09-25,3.32,3.32,3.294,3.294,225
2009-09-28,3.142,3.218,3.142,3.2,410
2009-09-29,3.204,3.28,3.202,3.208,170
2009-09-30,3.2,3.228,3.2,3.21,55
2009-10-01,3.192,3.224,3.172,3.172,85
2009-10-02,3.168,3.2,3.166,3.2,530
2009-10-05,3.142,3.2,3.142,3.2,40
2009-10-06,3.182,3.272,3.182,3.268,635
2009-10-07,3.288,3.288,3.246,3.284,485
2009-10-08,3.388,3.45,3.388,3.44,2265
2009-10-09,3.3,3.4417,3.3,3.31,685
2009-10-12,3.304,3.308,3.26,3.26,2305
2009-10-13,3.36,3.378,3.322,3.322,550
2009-10-14,3.522,3.608,3.522,3.6,455
2009-10-15,3.532,3.598,3.532,3.598,140
2009-10-16,3.542,3.556,3.524,3.542,2070
2009-10-19,3.688,3.75,3.688,3.75,1085
2009-10-20,3.73,3.738,3.69,3.69,275
2009-10-21,3.672,3.678,3.612,3.62,915
2009-10-22,3.78,3.848,3.77,3.834,680
2009-10-23,3.86,3.86,3.824,3.824,195
2009-10-26,3.88,3.88,3.764,3.79,445
2009-10-27,3.83,3.83,3.766,3.77,575
2009-10-28,3.678,3.678,3.582,3.582,1240
2009-10-29,3.48,3.52,3.44,3.48,855
2009-10-30,3.5,3.556,3.446,3.448,825
2009-11-02,3.74,3.79,3.686,3.76,2525
2009-11-03,3.52,3.6,3.52,3.6,1490
2009-11-04,3.58,3.66,3.58,3.654,1020
2009-11-05,3.6,3.65,3.598,3.65,1775
2009-11-06,3.596,3.632,3.56,3.61,885
2009-11-09,3.624,3.648,3.624,3.636,375
2009-11-10,3.68,3.71,3.666,3.69,255
2009-11-11,3.88,3.88,3.84,3.88,240
2009-11-12,3.82,3.82,3.792,3.8,305
2009-11-13,3.8,3.87,3.8,3.866,335
2009-11-16,3.86,3.87,3.81,3.87,230
2009-11-17,3.878,3.878,3.81,3.85,165
2009-11-18,3.806,3.808,3.764,3.808,515
2009-11-19,3.772,3.772,3.708,3.72,260
2009-11-20,3.75,3.75,3.68,3.7,2645
2009-11-23,3.86,3.86,3.824,3.86,515
2009-11-24,3.79,3.79,3.702,3.76,780
2009-11-25,3.78,3.83,3.78,3.83,95
2009-11-27,3.63,3.66,3.608,3.66,415
2009-11-30,3.72,3.736,3.68,3.736,370
2009-12-01,3.8,3.83,3.762,3.83,2455
2009-12-02,3.88,3.88,3.83,3.858,215
2009-12-03,3.88,3.88,3.878,3.88,60
2009-12-04,3.89,3.92,3.88,3.9,405
2009-12-07,3.854,3.86,3.8,3.858,65
2009-12-08,3.8,3.834,3.78,3.816,905
2009-12-09,3.816,3.832,3.812,3.812,335
2009-12-10,3.8,3.81,3.746,3.808,915
2009-12-11,4.022,4.06,4.02,4.03,485
2009-12-14,4.08,4.118,4.08,4.08,825
2009-12-15,4.168,4.198,4.1,4.1,415
2009-12-16,4.082,4.15,4.082,4.13,160
2009-12-17,3.97,3.98,3.938,3.942,3865
2009-12-18,3.92,3.92,3.882,3.92,320
2009-12-21,3.926,4.0,3.926,3.942,1500
2009-12-22,3.942,4.018,3.942,3.96,280
2009-12-23,4.022,4.028,3.99,4.022,755
2009-12-24,4.18,4.2,4.132,4.16,240
2009-12-28,4.16,4.16,4.13,4.15,570
2009-12-29,4.13,4.178,4.13,4.178,170
2009-12-30,4.22,4.29,4.22,4.29,585
2009-12-31,4.32,4.366,4.32,4.344,155
2010-01-04,4.366,4.416,4.366,4.416,580
2010-01-05,4.474,4.48,4.41,4.452,720
2010-01-06,4.48,4.482,4.47,4.482,530
2010-01-07,4.298,4.3,4.254,4.3,485
2010-01-08,4.29,4.36,4.29,4.358,235
2010-01-11,4.44,4.444,4.426,4.444,1320
2010-01-12,4.39,4.39,4.33,4.366,635
2010-01-13,4.37,4.45,4.37,4.45,330
2010-01-14,4.49,4.5,4.47,4.488,2685
2010-01-15,4.52,4.554,4.468,4.51,660
2010-01-19,4.19,4.226,4.13,4.224,1620
2010-01-20,4.02,4.032,3.924,3.96,10825
2010-01-21,3.928,3.928,3.9,3.9,580
2010-01-22,3.878,3.88,3.77,3.77,2840
2010-01-25,3.792,3.872,3.792,3.872,2225
2010-01-26,3.7,3.73,3.69,3.69,705
2010-01-27,3.668,3.668,3.6,3.63,865
2010-01-28,3.71,3.778,3.698,3.7,720
2010-01-29,3.778,3.78,3.722,3.76,245
