交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,123.0,123.63,122.49,123.49,4927
2006-12-13,124.6,124.66,123.82,124.12,5242
2006-12-14,125.13,126.06,124.78,125.69,3357
2006-12-15,126.0,126.2,125.34,125.68,2614
2006-12-18,126.26,126.96,125.75,126.15,2207
2006-12-19,126.0,126.98,125.39,126.66,2554
2006-12-20,127.8,128.37,127.66,128.22,2910
2006-12-21,129.96,130.69,129.63,129.98,5694
2006-12-22,131.75,132.28,130.8,131.84,3472
2006-12-26,131.25,132.49,131.11,131.58,4982
2006-12-27,133.36,134.27,132.92,134.24,5673
2006-12-28,134.28,134.84,133.71,134.26,4074
2006-12-29,134.19,135.09,133.44,134.46,3070
2007-01-03,135.25,136.54,134.45,135.26,7175
2007-01-04,136.65,137.97,135.64,137.77,7549
2007-01-05,133.3,133.87,132.55,133.71,10365
2007-01-08,134.6,134.74,133.8,133.97,5066
2007-01-09,132.17,132.94,131.24,132.15,6255
2007-01-10,129.0,129.86,128.21,129.43,7111
2007-01-11,128.0,130.43,127.81,128.83,7933
2007-01-12,129.87,130.89,129.79,130.8,4917
2007-01-16,131.49,132.49,130.75,131.21,6336
2007-01-17,131.64,131.89,130.78,131.1,6382
2007-01-18,132.2,132.95,131.43,132.0,5426
2007-01-19,131.94,132.5,131.74,132.43,3930
2007-01-22,132.27,132.27,130.42,131.02,5095
2007-01-23,132.1,132.75,131.4,132.03,3827
2007-01-24,134.48,135.6,133.98,135.55,6507
2007-01-25,132.8,133.59,131.2,131.65,7655
2007-01-26,132.0,132.2,130.81,131.6,6988
2007-01-29,131.85,132.5,131.42,131.67,4466
2007-01-30,132.3,132.95,132.15,132.75,3601
2007-01-31,130.9,132.27,130.5,131.76,4991
2007-02-01,133.0,133.57,132.55,133.28,3710
2007-02-02,131.65,131.66,130.69,131.27,4537
2007-02-05,130.0,130.89,130.0,130.47,4408
2007-02-06,133.49,134.4,132.26,133.56,5654
2007-02-07,133.1,133.3,132.17,132.92,3793
2007-02-08,132.41,132.41,131.49,132.01,4411
2007-02-09,133.48,133.69,131.72,132.06,5736
2007-02-12,132.47,132.65,131.35,131.63,2635
2007-02-13,134.05,134.87,134.05,134.83,4736
2007-02-14,134.82,137.06,134.82,136.52,8833
2007-02-15,137.08,137.11,136.13,136.77,3985
2007-02-16,137.02,137.15,136.29,137.14,3977
2007-02-20,136.5,137.35,135.83,136.67,3329
2007-02-21,135.37,135.94,135.16,135.56,3157
2007-02-22,135.85,136.01,135.06,135.53,2662
2007-02-23,135.8,136.05,135.31,135.61,4034
2007-02-26,136.9,137.49,135.9,137.06,3372
2007-02-27,138.0,138.0,130.02,132.91,12328
2007-02-28,135.15,135.39,132.58,133.5,11902
2007-03-01,130.51,131.72,127.77,131.22,16316
2007-03-02,130.1,130.72,128.47,129.09,10590
2007-03-05,128.3,129.49,127.78,127.91,6244
2007-03-06,132.45,132.88,131.38,132.7,9049
2007-03-07,133.24,133.78,132.72,132.9,5150
2007-03-08,134.98,135.63,134.0,134.45,6563
2007-03-09,134.3,134.7,132.89,133.11,4573
2007-03-12,133.14,133.72,132.2,133.3,5721
2007-03-13,133.4,133.4,130.5,130.75,5058
2007-03-14,130.0,130.7,127.82,129.99,8211
2007-03-15,130.48,131.06,130.11,130.67,4152
2007-03-16,130.03,131.13,129.64,129.95,3379
2007-03-19,130.46,131.63,130.43,131.55,3092
2007-03-20,131.45,132.5,131.45,132.04,3258
2007-03-21,131.98,133.5,131.02,133.48,6938
2007-03-22,132.76,133.46,132.03,132.81,5291
2007-03-23,133.6,133.67,132.87,133.03,5330
2007-03-26,132.75,132.78,131.45,132.56,2397
2007-03-27,131.5,131.5,130.52,131.26,2955
2007-03-28,130.56,130.56,128.63,128.85,7553
2007-03-29,129.78,130.18,128.74,129.73,4303
2007-03-30,128.5,129.19,127.91,128.06,5495
2007-04-02,126.88,127.35,126.13,126.83,4946
2007-04-03,125.7,127.5,125.32,126.9,12061
2007-04-04,127.65,128.5,127.25,127.76,6462
2007-04-05,125.78,126.97,125.61,126.47,9416
2007-04-09,126.75,126.8,125.9,126.29,4887
2007-04-10,125.9,126.88,125.59,126.53,8168
2007-04-11,125.67,125.73,124.37,124.56,6822
2007-04-12,123.85,124.49,123.27,124.4,5238
2007-04-13,121.0,121.73,120.81,121.52,12421
2007-04-16,121.15,123.2,120.92,122.8,10513
2007-04-17,122.33,122.7,121.83,122.25,8516
2007-04-18,123.13,124.19,122.95,123.66,6189
2007-04-19,123.44,124.55,123.03,124.15,7854
2007-04-20,125.01,126.11,125.01,125.84,9265
2007-04-23,125.0,125.17,124.75,124.88,6271
2007-04-24,124.79,124.79,123.62,123.84,5547
2007-04-25,122.5,123.46,121.99,122.92,9339
2007-04-26,121.9,122.58,121.5,122.33,7895
2007-04-27,122.35,122.85,121.96,122.0,4094
