交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,44.75,44.89,44.31,44.5,21769
2006-12-13,44.82,44.84,43.98,44.19,41171
2006-12-14,46.0,46.2,45.23,45.43,77082
2006-12-15,45.72,45.82,45.34,45.65,32173
2006-12-18,45.63,46.03,45.23,45.44,28268
2006-12-19,45.1,46.25,45.01,46.13,40244
2006-12-20,46.2,49.25,45.98,46.15,37514
2006-12-21,46.16,46.16,45.33,45.44,21830
2006-12-22,45.48,45.62,45.28,45.37,13394
2006-12-26,45.34,45.69,45.2,45.57,7648
2006-12-27,45.77,46.25,45.25,46.2,20319
2006-12-28,46.33,46.34,45.41,45.63,10082
2006-12-29,45.52,45.63,45.23,45.25,13901
2007-01-03,45.15,45.86,44.97,45.11,36465
2007-01-04,45.16,45.72,45.06,45.63,33874
2007-01-05,45.5,45.6,44.82,44.95,19047
2007-01-08,44.97,45.24,44.54,44.9,23203
2007-01-09,45.9,46.58,45.61,46.2,55878
2007-01-10,46.2,47.34,45.8,47.19,42621
2007-01-11,47.4,48.75,46.97,48.71,50697
2007-01-12,48.61,49.04,48.05,48.35,29855
2007-01-16,48.5,48.67,47.88,48.03,16463
2007-01-17,48.25,49.43,48.0,48.8,57422
2007-01-18,48.88,49.06,48.61,48.7,45646
2007-01-19,48.8,49.08,48.33,49.03,27390
2007-01-22,49.12,49.3,47.9,48.08,25383
2007-01-23,48.09,48.53,47.86,48.06,20628
2007-01-24,48.17,48.54,48.0,48.42,35894
2007-01-25,48.48,48.56,47.62,47.69,25924
2007-01-26,47.69,48.0,47.61,47.83,24358
2007-01-29,47.83,47.95,47.2,47.33,35473
2007-01-30,47.65,47.8,47.17,47.38,30922
2007-01-31,47.43,47.98,47.2,47.85,21719
2007-02-01,48.2,49.04,48.06,48.88,33386
2007-02-02,48.72,49.53,48.72,49.43,28819
2007-02-05,49.3,49.5,48.72,49.02,14493
2007-02-06,49.4,49.7,49.13,49.27,18634
2007-02-07,49.05,49.78,49.05,49.71,25313
2007-02-08,49.65,49.9,48.5,48.93,49763
2007-02-09,49.27,49.48,48.42,48.74,23910
2007-02-12,48.55,48.85,47.33,47.5,34722
