交易日期,开盘价,最高价,最低价,收盘价,成交量
2007-04-19,50.2,55.22,49.0,54.8,158894
2007-04-20,54.8,57.6,54.2,57.1,30547
2007-04-23,57.2,57.88,56.58,57.5,18764
2007-04-24,57.02,58.8,57.02,58.4,15329
2007-04-25,59.1,59.5,57.02,57.22,12261
2007-04-26,58.5,58.58,54.6,56.4,6397
2007-04-27,56.4,57.0,55.3,56.8,1781
2007-04-30,56.96,57.92,56.0,56.1,1825
2007-05-01,56.0,57.0,55.6,55.8,4592
2007-05-02,55.6,57.24,55.52,56.32,4285
2007-05-03,56.3,57.46,56.12,57.3,1856
2007-05-04,57.54,58.2,56.82,57.6,1398
2007-05-07,57.4,58.2,57.0,58.14,2933
2007-05-08,58.36,58.8,58.0,58.6,2596
2007-05-09,58.94,62.54,58.58,61.7,5948
2007-05-10,61.7,61.7,59.46,60.82,5686
2007-05-11,61.7,63.22,61.4,61.82,6463
2007-05-14,63.0,64.0,62.0,63.84,3914
2007-05-15,68.0,69.4,67.38,68.42,12247
2007-05-16,69.5,69.78,68.3,68.72,2395
2007-05-17,68.9,73.36,68.88,72.8,5942
2007-05-18,73.0,74.5,71.5,73.16,9053
2007-05-21,73.36,73.78,67.08,69.08,7088
2007-05-22,69.6,70.0,63.68,67.42,19506
2007-05-23,68.5,69.74,67.0,67.16,6209
2007-05-24,67.56,69.0,67.4,67.86,6000
2007-05-25,67.86,70.4,67.7,70.02,3816
2007-05-29,72.28,72.28,67.1,67.8,4431
2007-05-30,67.94,71.74,67.32,71.64,4319
2007-05-31,71.9,74.0,70.6,71.32,5432
2007-06-01,71.16,73.48,71.1,73.18,4066
2007-06-04,72.86,73.36,70.3,73.36,2871
2007-06-05,73.18,73.9,70.44,70.52,4311
2007-06-06,69.42,69.6,66.34,67.78,6533
2007-06-07,68.5,68.64,65.0,65.06,6148
2007-06-08,65.4,66.0,64.24,65.1,2588
2007-06-11,66.04,68.5,65.8,67.54,4920
2007-06-12,66.8,67.44,65.0,66.24,5805
2007-06-13,65.0,67.7,65.0,67.58,3642
2007-06-14,68.0,68.34,65.12,65.86,5478
2007-06-15,66.0,71.7,65.8,71.2,9361
2007-06-18,71.62,73.7,69.62,71.24,8092
2007-06-19,71.6,71.6,67.74,67.98,4298
2007-06-20,67.82,68.14,65.12,65.28,5986
2007-06-21,65.74,67.96,65.1,67.24,3804
2007-06-22,66.74,68.0,65.56,67.66,13292
2007-06-25,67.54,70.1,66.88,70.0,3015
