交易日期,开盘价,最高价,最低价,收盘价,成交量
2010-06-29,3.8,5.0,3.51,4.78,925065
2010-06-30,5.015,6.085,4.66,4.765,843465
2010-07-01,4.99,5.185,4.055,4.39,404870
2010-07-02,4.41,4.65,3.74,3.84,252905
2010-07-06,3.86,4.0,3.165,3.22,338880
2010-07-07,3.28,3.325,2.995,3.16,342150
2010-07-08,3.17,3.54,3.115,3.49,381755
2010-07-09,3.54,3.58,3.31,3.48,200205
2010-07-12,3.59,3.615,3.4,3.41,103920
2010-07-13,3.46,3.73,3.38,3.63,131465
2010-07-14,3.62,4.03,3.55,3.97,206990
2010-07-15,3.96,4.3,3.8,3.98,184075
2010-07-16,3.98,4.26,3.98,4.13,126465
2010-07-19,4.275,4.45,4.185,4.38,116680
2010-07-20,4.4,4.455,3.985,4.06,87430
2010-07-21,4.08,4.23,3.9,4.045,60715
2010-07-22,4.05,4.25,4.05,4.2,46415
2010-07-23,4.25,4.31,4.205,4.26,32010
2010-07-26,4.3,4.3,4.06,4.19,43890
2010-07-27,4.19,4.235,4.05,4.11,28860
2010-07-28,4.1,4.18,4.1,4.145,22670
2010-07-29,4.155,4.175,4.0,4.07,29115
2010-07-30,4.07,4.09,3.91,3.99,20860
2010-08-02,4.1,4.195,4.065,4.185,34045
2010-08-03,4.15,4.39,4.08,4.39,59425
2010-08-04,4.46,4.46,4.02,4.25,45315
2010-08-05,4.19,4.325,4.01,4.09,39075
2010-08-06,4.01,4.05,3.905,3.92,35140
2010-08-09,3.98,3.995,3.89,3.92,34800
2010-08-10,3.92,3.93,3.765,3.805,58355
2010-08-11,3.735,3.78,3.55,3.58,37800
2010-08-12,3.58,3.64,3.48,3.52,33895
2010-08-13,3.555,3.72,3.53,3.665,31285
2010-08-16,3.69,3.76,3.65,3.755,23780
2010-08-17,3.75,3.88,3.75,3.83,21990
2010-08-18,3.84,3.92,3.7,3.755,29685
2010-08-19,3.71,3.85,3.665,3.76,27635
2010-08-20,3.7,3.835,3.7,3.82,14605
2010-08-23,3.82,4.08,3.8,4.025,53260
2010-08-24,3.98,3.98,3.79,3.84,33245
2010-08-25,3.8,3.995,3.71,3.98,24575
2010-08-26,3.95,4.055,3.92,3.95,20630
2010-08-27,4.0,4.0,3.9,3.94,18760
2010-08-30,3.94,4.04,3.92,3.975,35495
2010-08-31,3.875,3.96,3.865,3.895,9855
2010-09-01,3.925,4.14,3.92,4.09,24355
2010-09-02,4.09,4.25,4.06,4.21,23865
2010-09-03,4.22,4.3,4.13,4.21,21340
2010-09-07,4.165,4.2,4.1,4.11,12040
2010-09-08,4.115,4.19,4.115,4.18,14270
2010-09-09,4.185,4.21,4.005,4.14,18620
2010-09-10,4.15,4.185,3.95,4.035,19020
2010-09-13,4.18,4.18,4.1,4.145,17465
2010-09-14,4.11,4.32,4.105,4.225,31880
2010-09-15,4.195,4.4,4.16,4.395,33300
2010-09-16,4.46,4.63,4.16,4.19,127825
2010-09-17,4.265,4.27,3.96,4.045,58260
2010-09-20,4.13,4.27,4.03,4.21,46310
2010-09-21,4.26,4.31,4.135,4.155,39165
2010-09-22,4.175,4.19,3.96,3.975,44090
2010-09-23,3.96,4.03,3.9,3.91,32855
2010-09-24,3.99,4.04,3.93,4.02,28635
2010-09-27,4.08,4.16,4.01,4.105,20355
2010-09-28,4.195,4.3,4.15,4.28,59685
2010-09-29,4.1,4.42,4.1,4.395,93085
2010-09-30,4.4,4.43,4.04,4.08,103955
2010-10-01,4.16,4.25,4.04,4.12,25945
2010-10-04,4.085,4.235,4.06,4.2,31170
2010-10-05,4.23,4.255,4.2,4.225,16380
2010-10-06,4.21,4.25,4.065,4.09,15390
2010-10-07,4.115,4.13,4.06,4.085,6880
2010-10-08,4.085,4.16,4.07,4.085,13245
2010-10-11,4.09,4.14,4.015,4.05,8250
2010-10-12,4.04,4.055,4.005,4.05,11350
2010-10-13,4.05,4.27,4.05,4.11,15760
2010-10-14,4.3,4.3,4.08,4.15,14380
2010-10-15,4.18,4.18,4.05,4.11,13965
2010-10-18,4.105,4.13,4.045,4.045,7805
2010-10-19,4.04,4.08,4.0,4.01,12005
2010-10-20,4.03,4.14,4.01,4.13,15360
2010-10-21,4.12,4.19,4.09,4.15,20555
2010-10-22,4.135,4.185,4.11,4.145,7915
2010-10-25,4.19,4.195,4.145,4.17,5740
2010-10-26,4.16,4.375,4.1,4.27,32480
2010-10-27,4.26,4.275,4.13,4.2,17575
2010-10-28,4.28,4.3,4.19,4.24,11010
2010-10-29,4.28,4.37,4.21,4.37,13740
2010-11-01,4.39,4.55,4.26,4.28,21550
2010-11-02,4.31,4.395,4.21,4.25,15835
2010-11-03,4.255,4.5,4.23,4.355,18440
2010-11-04,4.48,5.08,4.41,4.98,90410
2010-11-05,5.075,5.2,4.745,4.89,48945
2010-11-08,4.9,5.0,4.805,4.995,24190
2010-11-09,5.0,5.14,4.81,4.925,41880
2010-11-10,4.78,5.995,4.78,5.87,149475
2010-11-11,5.72,5.82,5.465,5.605,95235
2010-11-12,5.57,6.1,5.545,5.97,134050
2010-11-15,6.045,6.59,6.045,6.16,127710
2010-11-16,6.2,6.28,5.685,5.935,65400
2010-11-17,5.96,6.15,5.72,5.9,36415
2010-11-18,5.995,6.15,5.785,5.98,46720
