交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,10.63,10.63,10.355,10.55,117881
2006-12-13,10.57,10.62,10.395,10.425,94237
2006-12-14,10.395,10.55,10.375,10.55,82437
2006-12-15,10.62,10.67,10.49,10.57,69952
2006-12-18,10.65,10.835,10.51,10.68,74915
2006-12-19,10.48,10.48,10.335,10.45,102673
2006-12-20,10.5,10.61,10.385,10.425,76712
2006-12-21,10.395,10.62,10.395,10.61,88010
2006-12-22,10.6,10.69,10.53,10.59,45588
2006-12-26,10.64,10.785,10.62,10.77,43479
2006-12-27,10.77,10.855,10.77,10.845,53666
2006-12-28,10.785,10.865,10.71,10.845,61824
2006-12-29,10.955,10.975,10.74,10.77,42542
2007-01-03,10.945,11.015,10.74,10.805,120223
2007-01-04,10.815,10.875,10.63,10.78,173957
2007-01-05,10.74,10.74,10.425,10.54,124485
2007-01-08,10.53,10.66,10.53,10.61,54323
2007-01-09,10.69,10.69,10.425,10.46,70991
2007-01-10,10.335,10.54,10.265,10.54,103668
2007-01-11,10.58,10.785,10.57,10.75,164271
2007-01-12,11.035,11.26,10.965,11.075,261713
2007-01-16,11.18,11.23,11.085,11.13,138863
2007-01-17,11.18,11.32,11.055,11.32,177580
2007-01-18,11.31,11.33,11.045,11.085,203168
2007-01-19,11.085,11.18,11.015,11.13,119436
2007-01-22,11.085,11.085,10.875,10.875,106356
2007-01-23,10.905,11.16,10.795,11.085,163663
2007-01-24,11.23,11.3,11.075,11.3,117553
2007-01-25,11.015,11.075,10.59,10.61,457850
2007-01-26,10.63,10.785,10.56,10.77,136138
2007-01-29,10.77,10.785,10.6,10.64,73226
2007-01-30,10.61,10.76,10.61,10.75,55584
2007-01-31,10.7,10.805,10.58,10.75,90007
2007-02-01,10.75,10.875,10.64,10.845,82207
2007-02-02,10.925,10.945,10.74,10.78,68284
2007-02-05,10.68,10.77,10.68,10.68,76531
2007-02-06,10.835,10.875,10.74,10.815,89255
2007-02-07,10.805,11.13,10.785,11.005,126502
2007-02-08,11.005,11.005,10.895,10.925,74387
2007-02-09,10.955,10.995,10.77,10.805,94213
2007-02-12,10.68,10.76,10.49,10.53,107901
2007-02-13,10.45,10.58,10.355,10.57,132355
2007-02-14,10.68,11.045,10.67,10.975,129371
2007-02-15,10.995,11.075,10.995,11.005,102476
2007-02-16,11.075,11.075,10.935,11.065,36197
2007-02-20,11.075,11.27,11.015,11.18,82426
2007-02-21,11.18,11.32,11.095,11.3,78004
2007-02-22,11.31,11.43,11.26,11.4,95818
2007-02-23,11.465,11.465,11.18,11.25,59026
2007-02-26,11.23,11.23,11.12,11.22,81065
2007-02-27,11.045,11.085,10.77,10.77,150699
2007-02-28,10.885,11.075,10.835,10.945,97677
2007-03-01,10.65,10.835,10.48,10.75,148106
2007-03-02,10.77,10.785,10.48,10.49,94971
2007-03-05,9.755,10.305,9.655,9.94,185402
2007-03-06,10.245,10.49,10.235,10.445,148609
2007-03-07,10.45,10.5,10.295,10.345,123434
2007-03-08,10.62,11.625,10.53,10.62,71318
2007-03-09,10.53,10.6,10.285,10.6,191857
2007-03-12,10.64,10.995,10.59,10.955,150573
2007-03-13,10.875,11.075,10.78,10.805,179043
2007-03-14,10.895,10.985,10.63,10.915,96891
2007-03-15,10.895,11.035,10.845,10.975,97624
2007-03-16,10.985,11.015,10.845,10.865,79881
2007-03-19,10.865,11.045,10.845,10.865,94384
2007-03-20,10.925,11.16,10.905,11.15,87600
2007-03-21,11.16,11.445,11.075,11.4,85227
2007-03-22,11.445,11.445,11.105,11.16,127436
2007-03-23,11.045,11.3,11.045,11.2,68853
2007-03-26,11.23,11.27,11.065,11.26,93830
2007-03-27,11.21,11.21,10.955,10.965,64041
2007-03-28,10.955,10.955,10.64,10.66,136088
2007-03-29,10.78,10.905,10.49,10.63,221717
2007-03-30,10.6,10.67,10.53,10.58,96313
2007-04-02,10.65,10.74,10.52,10.62,63466
2007-04-03,10.69,10.74,10.58,10.73,169183
2007-04-04,10.74,10.815,10.57,10.61,119857
2007-04-05,10.73,10.885,10.65,10.805,120454
2007-04-09,10.935,10.935,10.68,10.7,87702
2007-04-10,10.63,10.77,10.57,10.64,101366
2007-04-11,10.74,10.75,10.57,10.61,74578
2007-04-12,10.63,10.7,10.54,10.64,80818
2007-04-13,10.55,10.66,10.46,10.54,81141
2007-04-16,10.66,10.68,10.51,10.6,133206
2007-04-17,10.64,10.64,10.445,10.51,103882
2007-04-18,10.51,10.62,10.49,10.49,104664
2007-04-19,10.365,10.435,10.315,10.395,145527
2007-04-20,10.7,10.71,10.275,10.365,156607
2007-04-23,10.49,10.5,10.385,10.405,97792
2007-04-24,10.59,10.69,10.315,10.62,262886
2007-04-25,10.65,10.815,10.63,10.78,264064
2007-04-26,10.69,10.895,10.69,10.855,178906
2007-04-27,10.73,10.74,10.48,10.52,145722
2007-04-30,10.5,10.51,10.385,10.385,125271
2007-05-01,10.395,10.56,10.355,10.52,78355
2007-05-02,10.52,10.54,10.415,10.46,116815
2007-05-03,10.435,10.6,10.435,10.56,97099
2007-05-04,10.74,10.75,10.54,10.55,95727
2007-05-07,10.54,10.6,10.49,10.54,52702
2007-05-08,10.48,10.49,10.315,10.335,70062
2007-05-09,10.265,10.375,10.235,10.365,118507
2007-05-10,10.395,10.395,10.225,10.265,135355
2007-05-11,10.175,10.305,10.175,10.255,100245
2007-05-14,10.195,10.275,10.05,10.08,114514
2007-05-15,10.155,10.235,10.03,10.115,86008
2007-05-16,10.135,10.375,10.125,10.345,124909
2007-05-17,10.295,10.67,10.295,10.56,251257
2007-05-18,10.54,10.6,10.365,10.385,463258
2007-05-21,10.435,10.52,10.325,10.355,135585
2007-05-22,10.405,10.57,10.315,10.49,193437
2007-05-23,10.55,10.63,10.355,10.365,155775
2007-05-24,10.435,10.49,10.175,10.255,301455
2007-05-25,10.245,10.345,10.165,10.265,164320
2007-05-29,10.435,10.53,10.395,10.47,164439
2007-05-30,10.48,10.55,10.345,10.51,138017
2007-05-31,10.6,10.785,10.51,10.74,181238
2007-06-01,10.815,10.955,10.7,10.905,171363
2007-06-04,10.835,10.935,10.795,10.825,123826
2007-06-05,10.855,10.905,10.56,10.68,167740
2007-06-06,10.68,10.74,10.52,10.62,99542
2007-06-07,10.68,10.73,10.54,10.55,199373
2007-06-08,10.295,10.485,10.22,10.475,172149
2007-06-11,10.405,10.445,10.335,10.365,132471
2007-06-12,10.285,10.285,10.13,10.17,112213
2007-06-13,10.17,10.285,10.15,10.275,153739
2007-06-14,10.335,10.545,10.295,10.515,214182
2007-06-15,10.515,10.77,10.515,10.715,194381
2007-06-18,10.695,10.715,10.525,10.585,126172
2007-06-19,10.585,10.625,10.465,10.605,97147
2007-06-20,10.79,10.8,10.625,10.675,187952
2007-06-21,10.74,11.14,10.74,11.14,203316
2007-06-22,11.03,11.1,10.82,10.85,137118
2007-06-25,11.08,11.11,10.89,10.9,133058
2007-06-26,11.06,11.06,10.82,10.89,110520
2007-06-27,10.84,11.05,10.8,11.03,78963
2007-06-28,10.91,11.12,10.91,11.05,91844
2007-06-29,11.06,11.225,10.91,11.01,137106
2007-07-03,11.21,11.305,11.16,11.265,58820
2007-07-05,11.285,11.325,11.19,11.295,204846
2007-07-06,11.22,11.415,11.2,11.365,173852
2007-07-09,11.365,11.695,11.365,11.625,204251
2007-07-10,11.465,11.525,11.325,11.335,171598
2007-07-11,11.275,11.355,11.22,11.295,146283
2007-07-12,11.365,11.585,11.335,11.565,108247
2007-07-13,11.625,11.645,11.525,11.565,109934
2007-07-16,11.585,11.655,11.295,11.575,129781
2007-07-17,11.455,11.675,11.455,11.625,129624
2007-07-18,11.265,11.485,11.07,11.22,160180
2007-07-19,11.16,11.22,11.04,11.14,199806
2007-07-20,11.05,11.09,10.635,10.78,213966
2007-07-23,10.93,10.94,10.83,10.88,135017
2007-07-24,10.89,11.13,10.575,10.79,158405
2007-07-25,10.85,10.92,10.655,10.79,132724
2007-07-26,10.545,10.545,10.0,10.12,283269
2007-07-27,10.22,10.22,9.83,10.0,252543
2007-07-30,10.18,10.275,10.02,10.2,188716
2007-07-31,10.265,10.335,10.01,10.02,173829
2007-08-01,9.8,9.88,9.525,9.8,178155
2007-08-02,10.0,10.12,9.515,10.01,147419
2007-08-03,10.235,10.235,9.575,9.595,157771
2007-08-06,9.78,9.94,9.525,9.93,161682
2007-08-07,9.8,9.87,9.635,9.81,127203
2007-08-08,10.0,10.235,9.96,10.17,123471
2007-08-09,10.03,10.04,9.505,9.685,260230
2007-08-10,9.9,9.9,9.455,9.82,184048
2007-08-13,10.1,10.1,9.8,9.93,123999
2007-08-14,9.98,10.03,9.505,9.505,162290
2007-08-15,9.455,9.525,9.05,9.08,289395
2007-08-16,8.93,9.15,8.675,9.1,214952
2007-08-17,9.295,9.655,9.255,9.595,165699
2007-08-20,9.76,9.8,9.505,9.605,87791
2007-08-21,9.76,9.76,9.455,9.575,109222
2007-08-22,9.675,9.87,8.8,9.75,139831
2007-08-23,9.9,9.9,9.615,9.84,100293
2007-08-24,9.76,9.96,9.74,9.94,78372
2007-08-27,9.9,9.9,9.565,9.605,98894
2007-08-28,9.635,9.635,9.265,9.295,84536
2007-08-29,9.425,9.655,9.375,9.625,84629
2007-08-30,9.515,9.685,9.415,9.445,70581
2007-08-31,9.75,9.83,9.675,9.81,96752
2007-09-04,9.77,10.09,9.75,10.03,118321
2007-09-05,9.82,9.94,9.81,9.86,142273
2007-09-06,9.99,10.09,9.86,10.04,120018
2007-09-07,9.86,9.86,9.485,9.635,160590
2007-09-10,9.695,9.85,9.535,9.625,121508
2007-09-11,9.73,9.78,9.585,9.725,122314
2007-09-12,9.695,9.94,9.605,9.74,128969
2007-09-13,9.705,10.02,9.675,9.95,131160
2007-09-14,9.87,9.95,9.83,9.89,110375
2007-09-17,9.75,9.84,9.655,9.705,86500
2007-09-18,9.725,10.15,9.655,10.13,128395
2007-09-19,10.09,10.09,9.9,10.01,158667
2007-09-20,9.98,10.05,9.89,9.96,110595
2007-09-21,10.0,10.19,9.99,10.17,91187
2007-09-24,10.2,10.295,10.12,10.16,109339
2007-09-25,10.1,10.12,9.96,10.02,144632
2007-09-26,10.09,10.19,9.9,9.95,134980
2007-09-27,10.13,10.245,10.06,10.2,110868
2007-09-28,10.16,10.19,10.01,10.03,75614
2007-10-01,10.1,10.435,10.08,10.325,105014
2007-10-02,10.345,10.445,10.305,10.405,102795
2007-10-03,10.305,10.425,10.19,10.285,88223
2007-10-04,10.305,10.445,10.255,10.315,113283
2007-10-05,10.405,10.725,10.365,10.565,106206
2007-10-08,10.505,10.705,10.455,10.505,100835
2007-10-09,10.555,10.615,10.395,10.595,138856
2007-10-10,10.595,10.715,10.395,10.675,155983
2007-10-11,10.495,10.555,10.0,10.09,221185
2007-10-12,10.15,10.15,9.87,9.92,160208
2007-10-15,10.03,10.18,9.86,9.89,116889
2007-10-16,9.98,9.99,9.8,9.88,97943
2007-10-17,10.04,10.17,9.88,10.05,121899
2007-10-18,10.05,10.12,9.88,10.0,125414
2007-10-19,9.9,10.01,9.605,9.635,148220
2007-10-22,9.635,9.725,9.505,9.635,88848
2007-10-23,9.76,9.94,9.725,9.93,161107
2007-10-24,9.84,9.84,9.415,9.645,157095
2007-10-25,9.84,9.84,9.605,9.685,207872
2007-10-26,9.83,9.87,9.75,9.8,223770
2007-10-29,10.07,10.435,10.04,10.395,290588
2007-10-30,10.2,10.335,10.06,10.305,152465
2007-10-31,10.345,10.625,10.315,10.495,213975
2007-11-01,10.04,10.635,10.04,10.415,228611
2007-11-02,10.275,10.445,10.17,10.305,168810
2007-11-05,10.08,10.335,10.0,10.11,117390
2007-11-06,10.1,10.365,10.1,10.315,97777
2007-11-07,10.325,10.325,10.04,10.05,95046
2007-11-08,10.01,10.14,9.665,9.8,175125
2007-11-09,9.705,9.89,9.665,9.725,134090
2007-11-12,9.695,9.84,9.495,9.515,134971
2007-11-13,9.615,9.88,9.615,9.85,204084
2007-11-14,9.85,9.96,9.715,9.73,81395
2007-11-15,9.8,9.81,9.455,9.555,148029
2007-11-16,9.595,9.665,9.445,9.635,88852
2007-11-19,9.585,9.655,9.435,9.455,111780
2007-11-20,9.485,9.82,9.435,9.585,104829
2007-11-21,9.405,9.435,9.07,9.14,129484
2007-11-23,9.405,9.495,9.325,9.355,72385
2007-11-26,9.405,9.615,9.385,9.405,122926
2007-11-27,9.445,9.445,9.22,9.325,130363
2007-11-28,9.305,9.74,9.305,9.655,144442
2007-11-29,9.605,9.725,9.495,9.655,117219
2007-11-30,9.83,9.96,9.76,9.83,155243
