交易日期,开盘价,最高价,最低价,收盘价,成交量
2012-01-03,29.6,29.94,29.5,29.755,65410
2012-01-04,29.54,29.75,29.24,29.57,49463
2012-01-05,29.44,29.9,29.44,29.78,60908
2012-01-06,29.61,29.78,29.46,29.78,50480
2012-01-09,29.74,30.27,29.7,30.16,74019
2012-01-10,30.25,30.69,30.06,30.67,95909
2012-01-11,30.5,30.78,30.29,30.73,60691
2012-01-12,30.79,31.44,30.64,31.365,79914
2012-01-13,31.12,31.36,30.81,30.95,72806
2012-01-17,31.34,31.38,31.0,31.065,52688
2012-01-18,31.96,33.83,31.96,33.72,256988
2012-01-19,33.54,34.1,33.31,33.82,135045
2012-01-20,33.53,33.74,33.26,33.64,104433
2012-01-23,33.39,33.8,33.01,33.19,119250
2012-01-24,33.34,33.48,32.46,32.52,195326
2012-01-25,32.56,32.9,32.0,32.8,155207
2012-01-26,32.87,33.23,32.24,32.36,117393
2012-01-27,31.93,32.83,31.93,32.61,75135
2012-01-30,32.23,32.3,32.0,32.18,87792
2012-01-31,32.4,32.47,32.0,32.38,100390
2012-02-01,32.79,33.19,32.45,32.86,110543
2012-02-02,32.85,33.2,32.84,33.06,94368
2012-02-03,33.34,34.09,33.25,33.93,132975
2012-02-06,33.78,33.78,33.3,33.61,76822
2012-02-07,33.36,33.62,33.07,33.43,89457
2012-02-08,33.43,34.06,33.41,33.85,78495
2012-02-09,33.95,33.99,33.68,33.8,60347
2012-02-10,33.51,33.51,33.19,33.36,48796
2012-02-13,33.5,33.77,32.75,33.255,68074
2012-02-14,33.1,33.24,32.71,33.22,66730
2012-02-15,33.01,33.54,33.01,33.41,80886
2012-02-16,33.47,34.21,33.3,33.91,79906
2012-02-17,34.07,34.15,33.46,33.59,66639
2012-02-21,33.63,33.63,33.2,33.28,56946
2012-02-22,33.17,33.41,32.9,32.96,57207
2012-02-23,32.84,33.5,32.54,33.32,53408
2012-02-24,33.48,33.6,33.29,33.32,33592
2012-02-27,33.06,33.4,32.8,33.11,55332
2012-02-28,33.18,33.84,33.14,33.72,52925
2012-02-29,33.73,33.73,33.29,33.35,59281
2012-03-01,33.49,33.56,33.0,33.17,59789
2012-03-02,33.13,33.35,32.78,32.82,43740
2012-03-05,32.71,32.78,32.12,32.19,74056
2012-03-06,31.86,32.18,31.66,32.12,81746
2012-03-07,32.12,32.76,32.06,32.65,69469
2012-03-08,32.95,32.98,32.56,32.6,65051
2012-03-09,32.2,32.49,32.02,32.27,115678
2012-03-12,32.31,32.44,31.9,31.91,65368
2012-03-13,32.15,32.3,31.94,32.29,92204
2012-03-14,32.21,32.64,31.92,32.01,81106
2012-03-15,32.1,32.82,32.04,32.78,73601
2012-03-16,32.78,33.3,32.69,33.02,99610
2012-03-19,33.0,33.93,32.96,33.84,101583
2012-03-20,33.65,33.71,33.26,33.58,75276
2012-03-21,33.57,33.76,33.23,33.61,77557
2012-03-22,33.31,33.51,33.17,33.43,48661
2012-03-23,33.48,33.56,33.01,33.35,58738
2012-03-26,33.57,34.0,33.45,33.99,51921
2012-03-27,34.02,34.24,33.87,33.87,49652
2012-03-28,33.73,33.83,33.06,33.33,58520
2012-03-29,33.16,33.35,32.99,33.19,66857
2012-03-30,33.32,33.9,33.26,33.61,60672
2012-04-02,33.2,33.41,32.95,33.255,68257
2012-04-03,33.2,33.2,32.53,32.6,74373
2012-04-04,32.31,32.32,31.9,32.16,92962
2012-04-05,32.09,32.65,32.0,32.46,56113
2012-04-09,31.95,32.29,31.85,32.14,46473
2012-04-10,32.02,32.38,31.62,31.69,107317
2012-04-11,31.93,32.18,31.91,31.985,53358
2012-04-12,32.01,32.56,31.91,32.505,52741
2012-04-13,32.44,32.8,32.18,32.18,79528
2012-04-16,32.54,32.66,31.8,32.195,65215
2012-04-17,32.32,32.83,32.32,32.78,53959
2012-04-18,32.64,32.89,32.35,32.72,53690
2012-04-19,32.83,33.13,32.37,32.64,82076
2012-04-20,32.93,33.05,32.32,32.47,197237
2012-04-23,32.23,32.26,31.81,31.89,115346
2012-04-24,32.71,32.75,31.2,31.36,171567
2012-04-25,31.53,31.98,31.37,31.97,95309
2012-04-26,31.62,32.0,31.62,31.95,80451
2012-04-27,32.0,32.22,31.85,32.17,93988
2012-04-30,32.0,32.09,31.85,31.94,79930
2012-05-01,31.63,32.05,31.63,31.85,76094
2012-05-02,31.65,32.15,31.61,32.09,76164
2012-05-03,32.19,32.2,31.37,31.39,107227
2012-05-04,31.01,31.1,30.48,30.59,108503
2012-05-07,30.48,30.93,30.48,30.61,78807
2012-05-08,30.36,30.71,29.94,30.63,94136
2012-05-09,30.27,30.73,29.98,30.6,108460
2012-05-10,30.69,30.87,30.34,30.78,92983
2012-05-11,30.75,31.29,30.66,30.74,66274
2012-05-14,30.46,30.8,30.27,30.63,53243
2012-05-15,30.64,30.85,30.22,30.29,48471
2012-05-16,30.35,30.56,29.93,29.96,62098
2012-05-17,30.01,30.08,29.28,29.35,76244
2012-05-18,29.5,29.54,28.64,28.73,86775
2012-05-21,28.83,29.51,28.6,29.48,64650
2012-05-22,29.46,29.51,29.13,29.36,52870
2012-05-23,29.08,29.19,28.59,29.14,75121
2012-05-24,29.12,29.27,28.68,28.89,74949
2012-05-25,28.89,29.14,28.78,28.94,45646
2012-05-29,29.21,29.39,28.99,29.36,53404
2012-05-30,29.02,29.13,28.84,28.95,46440
2012-05-31,28.81,28.87,28.3,28.48,81267
2012-06-01,28.04,28.14,26.97,27.0,158181
2012-06-04,27.03,27.29,26.77,27.09,81061
2012-06-05,27.04,27.64,27.04,27.475,98601
2012-06-06,27.71,28.63,27.57,28.595,126096
2012-06-07,28.89,29.01,28.11,28.23,108066
2012-06-08,28.16,28.55,27.99,28.52,57856
2012-06-11,28.64,28.8,27.62,27.65,72052
2012-06-12,27.75,28.41,27.72,28.24,87545
2012-06-13,28.08,28.17,27.7,27.82,92184
2012-06-14,27.91,28.02,27.39,27.73,71754
2012-06-15,27.91,28.0,27.66,27.86,120022
2012-06-18,27.76,28.22,27.65,28.02,62170
2012-06-19,28.2,28.36,28.0,28.27,68618
2012-06-20,28.37,28.55,28.06,28.54,73935
2012-06-21,28.61,28.61,27.52,27.595,75455
2012-06-22,27.75,28.13,27.57,28.05,59904
2012-06-25,27.65,27.78,26.94,26.975,63223
2012-06-26,26.98,27.12,26.61,27.03,68306
2012-06-27,27.07,27.33,26.93,27.07,50448
2012-06-28,26.94,27.0,26.55,26.87,51597
2012-06-29,27.42,28.7,27.39,28.69,128730
2012-07-02,28.69,28.79,28.11,28.28,65276
2012-07-03,28.21,28.56,28.13,28.56,32972
2012-07-05,28.49,28.52,28.09,28.41,43603
2012-07-06,28.22,28.32,27.38,27.72,65934
2012-07-09,27.67,27.71,27.26,27.41,61005
2012-07-10,27.32,27.79,27.09,27.39,88897
2012-07-11,27.35,27.75,27.15,27.3,73073
2012-07-12,27.01,27.08,26.57,26.74,89476
2012-07-13,26.71,27.12,26.67,27.02,61636
2012-07-16,26.49,26.72,26.37,26.43,73888
2012-07-17,26.59,26.68,26.06,26.59,78546
2012-07-18,26.59,27.69,26.45,27.65,74851
2012-07-19,28.0,28.15,27.71,28.04,74341
2012-07-20,28.02,28.02,27.22,27.25,81778
2012-07-23,26.67,27.0,26.14,26.82,87455
2012-07-24,26.5,27.08,26.21,26.57,112886
2012-07-25,26.52,27.13,26.38,26.63,72482
2012-07-26,27.12,27.74,26.83,27.05,72276
2012-07-27,27.18,27.49,26.79,27.34,110330
2012-07-30,27.45,27.6,27.01,27.21,75572
2012-07-31,27.24,27.45,27.12,27.24,96377
2012-08-01,27.48,27.8,27.32,27.63,88012
2012-08-02,27.38,27.84,27.0,27.25,91042
2012-08-03,27.61,28.38,27.61,28.27,80354
2012-08-06,28.27,28.68,28.18,28.24,91595
2012-08-07,28.32,29.36,28.3,29.23,139053
2012-08-08,29.11,29.4,29.06,29.36,73659
2012-08-09,29.31,29.79,29.23,29.54,69230
2012-08-10,29.52,29.75,29.33,29.75,60432
2012-08-13,29.72,29.75,29.15,29.54,74115
2012-08-14,29.74,29.85,29.35,29.48,54922
2012-08-15,29.57,29.94,29.43,29.9,75410
2012-08-16,30.0,30.38,29.82,30.27,86102
2012-08-17,30.38,30.38,29.82,29.86,79394
2012-08-20,29.97,29.99,29.47,29.53,82328
2012-08-21,29.64,29.87,29.49,29.64,77092
2012-08-22,29.58,29.74,29.17,29.38,62160
2012-08-23,29.22,29.5,29.01,29.32,52938
2012-08-24,29.21,29.68,29.12,29.56,49787
2012-08-27,29.65,29.65,29.26,29.32,52537
2012-08-28,29.21,29.56,29.16,29.24,60574
2012-08-29,29.31,29.56,29.15,29.4,38079
2012-08-30,29.17,29.38,28.93,29.01,55052
2012-08-31,29.31,29.38,28.88,29.04,77928
2012-09-04,28.92,29.01,28.5,28.785,52970
2012-09-05,28.7,28.89,28.47,28.52,54822
2012-09-06,28.69,29.57,28.64,29.56,79969
2012-09-07,29.3,29.34,29.04,29.18,75463
2012-09-10,29.18,29.29,28.64,28.67,73590
2012-09-11,28.61,28.85,28.52,28.58,72535
2012-09-12,28.47,28.81,28.24,28.59,100513
2012-09-13,28.51,29.15,28.33,28.905,124948
2012-09-14,29.05,29.7,29.02,29.56,96187
2012-09-17,29.63,29.71,28.98,29.1,48022
2012-09-18,28.98,28.98,28.58,28.66,93866
2012-09-19,28.68,28.78,28.38,28.69,96946
2012-09-20,28.49,28.91,28.41,28.85,72311
2012-09-21,28.97,29.29,28.96,28.99,92929
2012-09-24,28.69,28.73,28.48,28.68,58889
2012-09-25,28.8,28.95,27.78,27.83,96474
2012-09-26,27.47,27.58,26.94,27.57,161814
2012-09-27,27.72,27.95,27.43,27.875,85921
2012-09-28,27.78,27.82,27.39,27.555,79303
2012-10-01,27.55,27.81,27.47,27.61,90281
2012-10-02,27.75,27.8,27.51,27.61,78415
2012-10-03,27.44,27.7,27.35,27.47,81418
2012-10-04,27.6,27.91,27.43,27.905,54027
2012-10-05,28.06,28.53,27.98,28.16,100394
2012-10-08,27.96,28.23,27.78,27.99,63900
2012-10-09,27.95,27.99,27.27,27.32,86817
2012-10-10,27.39,27.44,27.06,27.17,85003
2012-10-11,27.15,27.53,27.0,27.3,95320
2012-10-12,27.31,27.53,27.06,27.28,69165
2012-10-15,27.79,28.61,27.73,28.22,130592
2012-10-16,28.32,28.78,28.25,28.725,74856
2012-10-17,28.19,28.74,28.12,28.47,75168
2012-10-18,28.46,28.86,28.32,28.76,96202
2012-10-19,28.74,28.77,27.74,27.81,97709
2012-10-22,27.69,28.24,27.63,27.79,82820
2012-10-23,27.35,27.98,27.21,27.84,125330
2012-10-24,27.91,27.98,27.42,27.7,81071
2012-10-25,28.0,28.2,27.87,28.13,83736
2012-10-26,28.09,28.92,28.05,28.92,117617
2012-10-31,28.9,28.9,28.06,28.09,88220
2012-11-01,28.3,29.23,28.17,29.21,90576
2012-11-02,29.27,29.3,28.48,28.53,92939
2012-11-05,28.68,29.51,28.46,29.47,95125
2012-11-06,29.49,30.02,29.39,29.94,122170
2012-11-07,29.62,29.73,28.97,29.29,96159
2012-11-08,29.26,29.5,29.12,29.14,78329
2012-11-09,29.13,29.9,29.0,29.51,107561
2012-11-12,29.56,29.69,29.34,29.505,68823
2012-11-13,29.31,29.74,29.29,29.38,91190
2012-11-14,29.43,29.64,28.7,28.76,90575
2012-11-15,28.75,29.08,28.65,28.79,91367
2012-11-16,28.82,28.95,28.05,28.32,120597
2012-11-19,28.7,28.94,28.45,28.9,74953
2012-11-20,28.74,29.31,28.6,29.31,86043
2012-11-21,29.3,29.42,29.06,29.2,47612
2012-11-23,29.44,29.84,29.17,29.59,39030
2012-11-26,29.52,29.78,29.29,29.625,52457
2012-11-27,29.64,29.78,29.4,29.46,59023
2012-11-28,29.34,29.83,29.05,29.78,76456
2012-11-29,29.8,30.1,29.65,30.05,76946
2012-11-30,30.06,30.2,29.44,29.47,101136
2012-12-03,29.76,29.85,29.55,29.61,53385
2012-12-04,29.68,29.79,29.39,29.605,78982
2012-12-05,29.63,29.94,29.48,29.86,50214
2012-12-06,29.82,30.06,29.64,29.81,48430
2012-12-07,29.88,29.89,29.52,29.85,41628
2012-12-10,29.82,29.95,29.71,29.82,65782
2012-12-11,29.95,31.14,29.9,31.01,156214
2012-12-12,31.07,31.27,30.71,31.06,86568
2012-12-13,30.92,31.25,30.44,30.58,68687
2012-12-14,30.45,31.1,30.36,30.8,80552
2012-12-17,30.48,30.99,30.44,30.905,61542
2012-12-18,31.0,31.55,30.87,31.34,83090
2012-12-19,31.35,31.81,31.25,31.25,74200
2012-12-20,31.25,31.36,30.97,31.28,63833
2012-12-21,30.54,31.08,30.4,30.93,102519
2012-12-24,30.82,30.95,30.66,30.93,17578
2012-12-26,30.91,31.16,30.75,30.805,40553
2012-12-27,30.76,30.93,30.44,30.74,57462
2012-12-28,30.55,30.89,30.44,30.47,44416
2012-12-31,30.48,30.99,30.3,30.89,64139
2013-01-02,31.5,32.41,31.48,32.31,124848
2013-01-03,32.15,32.28,31.78,31.89,79488
2013-01-04,32.0,32.18,31.75,31.82,71881
2013-01-07,31.77,32.19,31.77,31.92,69481
2013-01-08,31.76,32.0,31.39,31.555,64652
2013-01-09,31.58,32.01,31.57,32.0,63374
2013-01-10,32.11,32.57,32.08,32.43,69392
2013-01-11,32.63,32.64,32.33,32.42,49083
2013-01-14,32.25,32.64,32.25,32.34,51666
2013-01-15,32.14,32.38,31.97,32.28,45612
2013-01-16,32.18,32.56,32.08,32.51,47912
2013-01-17,32.51,33.25,32.45,33.15,86995
2013-01-18,33.03,33.54,33.02,33.52,127248
2013-01-22,33.35,33.47,33.13,33.46,116437
2013-01-23,33.24,33.3,32.8,33.08,87236
2013-01-24,33.15,33.61,33.01,33.09,70915
2013-01-25,33.15,33.29,32.71,32.8,77505
2013-01-28,33.12,33.31,32.81,33.04,71477
2013-01-29,32.57,32.83,32.39,32.67,56514
2013-01-30,32.63,32.97,32.59,32.82,76113
2013-01-31,32.82,33.11,32.66,33.08,128322
2013-02-01,33.18,33.75,33.08,33.72,123452
2013-02-04,33.51,33.69,33.25,33.27,156107
2013-02-05,33.43,33.86,33.21,33.75,79229
2013-02-06,33.56,33.69,33.39,33.56,81613
2013-02-07,33.52,33.55,32.92,33.42,92021
2013-02-08,33.61,34.29,33.55,34.28,121334
2013-02-11,34.18,34.19,33.66,33.69,79712
2013-02-12,33.59,33.7,33.41,33.56,65231
2013-02-13,33.62,33.89,33.54,33.72,48814
2013-02-14,33.49,33.84,33.3,33.79,50978
2013-02-15,33.83,33.86,33.4,33.585,59496
2013-02-19,33.72,34.06,33.43,33.94,54165
2013-02-20,33.98,33.98,33.05,33.06,82892
2013-02-21,33.01,33.02,32.19,32.48,104865
2013-02-22,33.16,34.25,33.15,34.18,186474
2013-02-25,34.22,34.45,33.7,33.73,125306
2013-02-26,33.7,33.98,33.62,33.76,86196
2013-02-27,33.8,34.48,33.71,34.29,64289
2013-02-28,34.37,34.66,34.24,34.43,102480
2013-03-01,34.13,34.57,33.83,34.52,85662
2013-03-04,34.44,34.57,34.11,34.56,69182
2013-03-05,34.68,35.01,34.59,35.0,114396
2013-03-06,35.03,35.26,34.95,35.14,81837
2013-03-07,35.21,35.25,35.06,35.2,77396
2013-03-08,35.3,35.32,34.82,35.29,109901
2013-03-11,35.27,35.59,35.11,35.52,74204
2013-03-12,35.45,35.72,35.32,35.62,102211
2013-03-13,35.2,35.38,35.05,35.29,87305
2013-03-14,35.5,35.73,35.32,35.38,79061
2013-03-15,35.2,35.4,34.85,35.08,112906
2013-03-18,34.21,34.98,34.21,34.62,85164
2013-03-19,34.69,34.91,34.29,34.66,103174
2013-03-20,34.92,35.15,34.81,35.06,70467
2013-03-21,34.78,34.93,34.23,34.29,90369
2013-03-22,34.49,34.72,34.33,34.46,70701
2013-03-25,34.62,34.88,34.31,34.48,69643
2013-03-26,34.73,35.11,34.62,35.095,64781
2013-03-27,34.82,35.12,34.55,35.08,77711
2013-03-28,35.01,35.5,35.0,35.48,71290
2013-04-01,35.39,35.56,34.86,35.01,105686
2013-04-02,34.79,35.02,34.57,34.765,82602
2013-04-03,34.74,34.89,34.0,34.15,123856
2013-04-04,34.15,34.63,34.08,34.49,88510
2013-04-05,34.11,34.23,33.81,34.2,104289
2013-04-08,34.29,35.08,34.26,35.07,79280
2013-04-09,35.11,35.4,34.8,35.16,72034
2013-04-10,35.35,35.77,35.23,35.755,71336
2013-04-11,35.42,35.92,35.37,35.69,91960
2013-04-12,35.67,35.88,35.23,35.85,61945
2013-04-15,35.69,35.88,35.27,35.27,86501
2013-04-16,35.43,35.86,35.16,35.735,85249
2013-04-17,35.0,35.03,34.01,34.21,158817
2013-04-18,34.65,34.81,33.88,33.92,120945
2013-04-19,33.68,34.4,33.56,34.25,99462
2013-04-22,34.31,35.6,34.06,34.81,99106
2013-04-23,35.32,36.23,35.16,35.7,145304
2013-04-24,35.53,36.14,35.33,36.01,110830
2013-04-25,36.16,36.26,35.93,36.11,99760
2013-04-26,35.58,35.89,35.5,35.74,61344
2013-04-29,35.91,36.1,35.68,35.97,48113
2013-04-30,35.95,36.24,35.76,36.21,64367
2013-05-01,36.25,36.48,35.86,36.41,120636
2013-05-02,36.43,36.9,36.3,36.7,84958
2013-05-03,36.94,37.2,36.87,37.01,110286
2013-05-06,36.95,37.25,36.81,37.04,56845
2013-05-07,37.11,37.15,36.86,37.04,52665
2013-05-08,36.98,37.23,36.91,37.09,57826
2013-05-09,37.0,37.36,36.94,37.01,73174
2013-05-10,37.23,37.23,36.86,37.04,81649
2013-05-13,36.92,37.03,36.54,36.54,89150
2013-05-14,36.53,36.8,36.48,36.51,65019
2013-05-15,36.57,36.88,36.46,36.81,112469
2013-05-16,36.79,36.98,36.58,36.6,93939
2013-05-17,36.69,36.83,36.57,36.77,93159
2013-05-20,36.72,36.84,36.58,36.63,83561
2013-05-21,36.7,36.8,36.51,36.6,58245
2013-05-22,36.47,36.74,35.81,36.01,94965
2013-05-23,35.74,36.16,35.53,35.99,71095
2013-05-24,35.74,36.01,35.52,35.99,44230
2013-05-28,36.65,36.72,36.13,36.2,48353
2013-05-29,36.04,36.29,35.87,36.09,72470
2013-05-30,35.92,36.63,35.92,36.47,142516
2013-05-31,36.08,36.41,35.88,35.91,61428
2013-06-03,35.94,36.19,35.73,36.03,78861
2013-06-04,36.54,37.0,36.42,36.64,80227
2013-06-05,36.61,36.61,35.81,35.87,63840
2013-06-06,35.94,36.07,35.21,35.67,56726
2013-06-07,35.99,36.25,35.66,36.18,52007
2013-06-10,36.25,36.76,36.12,36.62,71601
2013-06-11,35.97,36.02,35.17,35.26,86538
2013-06-12,35.5,35.53,34.66,34.79,79030
2013-06-13,34.85,35.58,34.58,35.48,64386
2013-06-14,35.36,35.77,35.24,35.48,59038
2013-06-17,35.8,36.25,35.6,35.78,61186
2013-06-18,35.89,36.34,35.68,36.12,50466
2013-06-19,36.23,36.29,35.61,35.71,54918
2013-06-20,35.41,35.5,34.52,34.625,79800
2013-06-21,34.63,35.06,34.4,34.95,122551
2013-06-24,34.82,34.96,34.09,34.19,85318
2013-06-25,34.63,35.16,34.47,35.02,70447
2013-06-26,35.28,35.41,34.91,34.96,60534
2013-06-27,35.1,35.19,34.85,34.85,60569
2013-06-28,34.58,35.08,34.51,34.85,56598
2013-07-01,34.95,35.38,34.94,35.045,47718
2013-07-02,34.89,35.66,34.83,35.13,69370
2013-07-03,34.84,35.77,34.81,35.47,38236
2013-07-05,35.81,36.02,35.52,36.0,53475
2013-07-08,36.13,36.16,35.41,35.69,71945
2013-07-09,35.98,36.41,35.96,36.24,58033
2013-07-10,36.06,36.67,36.06,36.59,66252
