交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,49.91,50.37,49.76,50.04,63663
2006-12-13,50.43,50.56,49.64,49.73,61004
2006-12-14,50.0,50.21,49.59,49.66,71015
2006-12-15,49.67,50.15,49.14,50.02,66655
2006-12-18,50.2,50.53,49.98,50.41,51605
2006-12-19,50.5,52.53,50.49,52.32,124000
2006-12-20,52.56,53.7,52.34,53.6,96105
2006-12-21,53.89,54.46,53.63,53.93,74147
2006-12-22,53.76,53.91,52.91,53.46,43775
2006-12-26,53.68,53.83,52.99,53.27,21404
2006-12-27,52.34,53.6,52.05,53.43,46140
2006-12-28,52.87,53.75,52.87,53.66,34130
2006-12-29,53.4,54.04,53.4,53.74,36340
2007-01-03,54.32,54.34,52.32,52.56,79739
2007-01-04,52.5,53.0,52.05,52.9,46597
2007-01-05,52.8,53.05,51.93,52.56,60500
2007-01-08,52.45,53.49,52.22,53.33,40639
2007-01-09,53.35,53.35,52.43,52.7,53339
2007-01-10,52.82,53.25,52.2,52.8,48045
2007-01-11,53.11,54.5,52.95,54.41,50544
2007-01-12,54.4,55.34,54.25,55.11,81102
2007-01-16,55.1,55.95,55.0,55.73,75680
2007-01-17,55.95,56.29,55.52,55.65,61807
2007-01-18,54.6,54.6,53.36,53.69,113307
2007-01-19,53.8,53.8,53.08,53.19,79878
2007-01-22,53.2,53.25,52.05,52.18,83277
2007-01-23,52.2,52.45,51.4,51.48,72104
2007-01-24,51.37,52.31,50.76,51.8,79559
2007-01-25,51.8,52.4,51.8,52.12,46574
2007-01-26,52.06,52.14,51.28,51.56,37836
2007-01-29,51.35,52.01,51.35,51.74,47982
2007-01-30,52.02,52.53,51.81,52.21,56965
2007-01-31,52.5,52.5,51.44,52.26,36109
2007-02-01,52.27,53.22,51.78,52.8,44167
2007-02-02,52.85,53.45,52.75,52.88,44347
2007-02-05,51.95,52.83,51.86,52.39,62602
2007-02-06,51.8,51.89,50.51,50.99,104023
2007-02-07,51.39,51.39,50.99,51.2,48936
2007-02-08,51.28,51.66,51.17,51.27,39546
2007-02-09,51.28,51.52,50.75,50.88,40152
2007-02-12,51.45,51.99,51.38,51.68,40246
2007-02-13,51.94,52.2,51.46,51.58,58731
2007-02-14,51.71,51.93,51.31,51.63,49777
2007-02-15,52.1,54.15,51.98,53.67,81685
2007-02-16,53.51,54.28,53.43,53.96,53025
2007-02-20,54.55,54.95,53.61,53.86,56957
2007-02-21,53.83,54.13,53.21,53.53,45935
2007-02-22,53.82,54.0,53.45,53.68,37101
2007-02-23,54.08,54.29,52.88,53.01,40166
2007-02-26,53.17,53.35,52.67,53.21,45241
2007-02-27,53.22,53.68,50.94,51.7,76108
2007-02-28,52.02,52.72,51.71,52.17,63754
2007-03-01,52.06,53.2,51.24,52.73,76802
2007-03-02,53.99,55.08,53.0,54.2,127792
2007-03-05,53.9,54.85,52.93,53.02,84430
2007-03-06,54.41,54.5,53.54,53.86,105132
2007-03-07,53.81,54.0,53.11,53.73,58000
2007-03-08,54.17,54.25,53.11,53.3,55348
2007-03-09,53.5,53.8,52.84,53.02,44473
2007-03-12,53.4,53.61,52.67,53.3,63365
2007-03-13,53.27,54.02,52.97,53.01,95756
2007-03-14,52.9,53.95,52.73,53.37,82727
2007-03-15,53.37,54.23,53.18,54.03,61065
2007-03-16,54.31,54.96,52.89,53.15,110809
2007-03-19,53.54,54.52,53.33,54.3,70330
2007-03-20,54.3,54.91,53.88,54.07,86409
2007-03-21,54.05,55.14,53.3,55.02,124501
2007-03-22,55.34,56.23,54.65,55.68,109718
2007-03-23,55.46,56.74,55.27,56.51,81009
2007-03-26,56.47,57.1,56.2,56.85,67905
2007-03-27,56.0,56.8,54.9,55.85,144110
2007-03-28,55.98,56.74,54.4,54.83,111260
2007-03-29,53.74,53.74,52.35,52.84,240302
2007-03-30,52.84,53.23,52.52,52.93,73320
2007-04-02,53.4,53.95,53.13,53.74,82791
2007-04-03,54.08,54.85,54.0,54.6,83553
2007-04-04,54.61,55.4,54.4,55.06,83387
2007-04-05,54.82,55.9,54.72,55.3,87970
2007-04-09,55.15,55.38,54.81,54.89,72038
2007-04-10,54.85,55.09,53.91,54.22,81501
2007-04-11,53.87,54.21,52.9,53.17,98979
2007-04-12,52.91,53.36,52.76,53.11,50805
2007-04-13,53.35,53.35,52.2,52.97,66857
2007-04-16,52.96,53.84,52.75,53.82,61101
2007-04-17,54.8,58.85,54.09,54.6,117092
2007-04-18,54.22,54.95,53.87,54.21,71182
2007-04-19,51.52,52.49,51.25,52.04,174727
2007-04-20,52.49,53.85,52.11,53.25,121763
2007-04-23,53.2,54.03,53.0,54.0,76363
2007-04-24,53.9,54.37,53.35,54.2,87462
2007-04-25,53.25,53.9,52.34,52.9,136486
2007-04-26,53.1,53.62,52.18,52.77,140810
