交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,23.425,23.49,23.0,23.21,56020
2006-12-13,23.205,23.22,23.005,23.135,56620
2006-12-14,23.175,23.745,23.13,23.67,70348
2006-12-15,23.525,23.655,22.94,23.5,76132
2006-12-18,23.525,23.53,23.26,23.35,29776
2006-12-19,23.13,23.215,22.975,23.135,42088
2006-12-20,23.09,23.175,22.825,22.845,69448
2006-12-21,22.85,23.2,22.795,22.825,47724
2006-12-22,22.85,22.855,22.52,22.655,30752
2006-12-26,22.615,22.835,22.615,22.83,16988
2006-12-27,22.89,22.97,22.835,22.935,32624
2006-12-28,22.94,23.08,22.94,22.995,45852
2006-12-29,23.0,23.095,22.925,22.975,28484
2007-01-03,23.12,23.495,22.95,23.11,51988
2007-01-04,23.095,23.145,22.875,22.95,51288
2007-01-05,22.93,22.945,22.645,22.665,62488
2007-01-08,22.605,22.825,22.54,22.705,46728
2007-01-09,22.755,22.86,22.61,22.715,64656
2007-01-10,22.6,22.635,22.395,22.53,85060
2007-01-11,22.56,22.74,22.56,22.625,85436
2007-01-12,22.63,23.12,22.63,23.0,81708
2007-01-16,22.99,23.97,22.92,23.85,140416
2007-01-17,23.77,23.8,23.45,23.525,61896
2007-01-18,23.31,24.54,23.31,24.19,203100
2007-01-19,24.175,24.365,23.955,24.105,98348
2007-01-22,24.115,24.16,23.695,23.83,58980
2007-01-23,23.525,24.775,23.48,24.55,183840
2007-01-24,24.375,24.7,24.05,24.225,100660
2007-01-25,24.11,24.495,24.05,24.125,105036
2007-01-26,24.185,24.255,23.76,23.845,75856
2007-01-29,23.86,24.225,23.645,23.88,97080
2007-01-30,24.045,24.27,23.795,24.245,82916
2007-01-31,24.32,25.31,24.285,25.25,139548
2007-02-01,25.25,25.85,25.245,25.715,158792
2007-02-02,25.715,25.775,25.5,25.61,79352
2007-02-05,25.5,25.76,25.44,25.61,62520
2007-02-06,25.155,25.365,24.965,25.005,96440
2007-02-07,25.09,25.55,24.985,25.03,68720
2007-02-08,25.06,25.29,24.925,25.165,61436
2007-02-09,25.3,25.3,24.77,24.915,61828
2007-02-12,24.975,25.05,24.7,24.93,40884
2007-02-13,25.005,25.755,24.995,25.695,61056
2007-02-14,25.77,28.55,25.535,26.115,149796
2007-02-15,25.9,26.025,25.315,25.56,97448
2007-02-16,25.585,25.685,25.085,25.43,60700
2007-02-20,25.375,25.74,25.275,25.675,61972
2007-02-21,25.575,26.135,25.455,26.08,66504
2007-02-22,26.225,26.46,25.88,26.03,72104
2007-02-23,25.875,26.08,25.72,25.975,61696
2007-02-26,25.99,25.99,25.38,25.45,91908
2007-02-27,25.445,25.61,24.125,24.495,145544
2007-02-28,24.715,24.945,24.465,24.655,100496
2007-03-01,24.375,24.88,24.185,24.685,105320
2007-03-02,24.72,24.815,24.345,24.48,82048
2007-03-05,24.16,24.305,23.9,24.05,105488
2007-03-06,24.03,24.335,23.995,24.015,104292
2007-03-07,23.965,24.47,23.95,24.375,91320
2007-03-08,24.5,24.965,24.5,24.755,91772
2007-03-09,24.95,25.125,24.625,24.69,49660
2007-03-12,24.675,25.51,24.65,25.335,102124
2007-03-13,25.1,25.145,24.475,24.495,82352
2007-03-14,24.58,24.725,23.88,24.37,123028
2007-03-15,24.395,24.9,24.36,24.645,65424
2007-03-16,24.735,25.09,24.31,24.985,115232
2007-03-19,24.9,25.1,24.72,24.9,103852
2007-03-20,24.905,25.225,24.825,25.085,123340
2007-03-21,25.05,25.37,24.94,25.31,93560
2007-03-22,25.315,25.325,24.925,25.1,65156
2007-03-23,25.135,26.165,25.05,26.025,152192
2007-03-26,26.27,26.425,25.55,25.665,92828
2007-03-27,25.625,25.65,25.19,25.235,63572
2007-03-28,25.05,25.26,24.845,24.975,56580
2007-03-29,25.33,25.545,24.995,25.315,84568
2007-03-30,25.315,25.885,25.25,25.365,127016
2007-04-02,25.355,25.53,25.105,25.49,48180
2007-04-03,25.605,25.86,25.53,25.76,52128
2007-04-04,25.87,25.975,25.715,25.745,45524
2007-04-05,25.26,25.85,25.26,25.815,70468
2007-04-09,26.65,27.81,26.62,26.775,223148
2007-04-10,26.725,27.04,26.565,26.865,94212
2007-04-11,26.885,27.0,26.495,26.615,52492
2007-04-12,26.575,28.025,26.405,27.755,144860
2007-04-13,27.755,27.795,27.165,27.445,62112
2007-04-16,27.75,27.94,27.545,27.885,55872
2007-04-17,27.855,27.855,27.485,27.59,50920
2007-04-18,27.635,28.815,27.635,28.38,147796
2007-04-19,28.63,29.805,28.315,29.095,253700
2007-04-20,29.35,29.505,29.12,29.27,102788
2007-04-23,29.23,29.46,29.125,29.17,63140
2007-04-24,29.08,29.2,28.835,29.01,81844
2007-04-25,28.995,29.225,28.675,29.065,105448
2007-04-26,29.12,29.12,28.62,28.69,66516
2007-04-27,28.59,29.14,28.435,28.98,87080
2007-04-30,28.94,29.125,28.565,28.565,81716
2007-05-01,28.635,28.935,28.01,28.07,160336
2007-05-02,28.485,28.485,28.09,28.34,99748
2007-05-03,28.7,29.445,28.7,29.115,108068
2007-05-04,29.125,29.22,28.825,29.175,88416
2007-05-07,29.15,29.325,28.99,29.085,67804
2007-05-08,29.365,29.62,29.105,29.395,131588
2007-05-09,29.395,29.565,29.13,29.37,93572
2007-05-10,29.165,29.33,28.825,29.03,87960
2007-05-11,29.175,29.31,29.13,29.225,94688
2007-05-14,29.615,29.615,29.135,29.365,61500
2007-05-15,29.35,29.775,29.34,29.59,116632
2007-05-16,29.745,29.95,29.495,29.815,90444
2007-05-17,29.75,30.27,29.695,30.205,113924
2007-05-18,30.2,30.2,29.8,29.965,83964
2007-05-21,29.86,30.085,29.7,29.745,55568
2007-05-22,30.125,30.125,29.41,29.62,49716
2007-05-23,29.78,29.875,29.585,29.745,50012
2007-05-24,29.73,29.9,29.2,29.32,70364
2007-05-25,29.515,29.835,29.44,29.495,45784
2007-05-29,29.54,29.845,29.465,29.645,54348
2007-05-30,29.445,29.74,29.445,29.73,36652
2007-05-31,29.76,30.285,29.75,30.12,63952
2007-06-01,30.31,30.7,30.3,30.5,63088
2007-06-04,30.435,30.535,30.285,30.475,53328
2007-06-05,30.28,30.5,30.03,30.26,54388
2007-06-06,30.23,30.23,29.54,29.565,75680
2007-06-07,29.425,29.54,28.705,28.73,119432
2007-06-08,28.705,29.275,28.675,29.145,76004
2007-06-11,29.1,29.19,28.915,28.92,58152
2007-06-12,28.85,28.91,28.335,28.335,96268
2007-06-13,28.175,29.185,28.175,29.17,100212
2007-06-14,29.285,29.725,29.22,29.53,93004
2007-06-15,29.675,30.435,29.675,30.065,126212
2007-06-18,30.065,30.065,29.755,29.875,38828
2007-06-19,29.825,29.94,29.655,29.88,77532
2007-06-20,29.8,29.94,29.29,29.325,61712
2007-06-21,29.3,29.52,29.09,29.5,70008
2007-06-22,29.5,29.51,28.705,29.075,82584
2007-06-25,29.14,29.17,28.59,28.66,68628
2007-06-26,28.86,28.885,28.315,28.385,75628
2007-06-27,28.205,28.78,28.02,28.675,90220
2007-06-28,28.625,28.995,28.6,28.79,55216
2007-06-29,28.93,29.2,28.595,28.75,55580
2007-07-03,29.07,29.24,28.995,29.155,27100
2007-07-05,29.13,29.21,28.83,29.005,49392
2007-07-06,29.025,29.36,28.79,29.22,59176
2007-07-09,29.26,29.495,29.19,29.22,49256
2007-07-10,29.115,29.115,28.71,28.775,83772
2007-07-11,28.69,29.46,28.675,29.445,93396
2007-07-12,29.75,29.935,29.44,29.935,84480
2007-07-13,29.95,30.3,29.65,30.22,51156
2007-07-16,29.955,30.8,29.295,30.57,81652
2007-07-17,30.975,31.245,30.455,30.995,110240
2007-07-18,31.5,32.34,31.4,31.51,226680
2007-07-19,31.73,31.78,31.14,31.46,160492
2007-07-20,31.125,31.585,30.925,31.475,106808
2007-07-23,31.25,31.995,31.25,31.79,70800
2007-07-24,30.735,31.91,30.735,31.27,115828
2007-07-25,31.5,31.95,30.265,30.705,144860
2007-07-26,30.08,30.24,29.565,30.035,166064
2007-07-27,29.605,30.44,29.355,29.8,158916
2007-07-30,29.69,30.415,29.6,30.13,91948
2007-07-31,30.425,30.535,29.785,29.79,93804
2007-08-01,29.5,30.0,29.37,29.855,114432
2007-08-02,29.875,30.175,29.595,30.0,96484
2007-08-03,29.995,30.05,28.595,28.605,136868
2007-08-06,28.825,28.975,28.38,28.595,171084
2007-08-07,28.575,29.535,28.255,29.185,127148
2007-08-08,29.505,30.065,29.45,29.765,120628
2007-08-09,29.52,29.92,28.94,28.95,119560
2007-08-10,28.875,29.345,28.255,29.215,155404
2007-08-13,29.325,29.94,29.315,29.49,80460
2007-08-14,29.45,29.59,28.255,28.295,120300
2007-08-15,27.855,28.225,26.62,26.89,167128
2007-08-16,26.63,26.815,24.845,26.25,320952
