交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,77.55,77.76,76.5,76.88,29200
2006-12-13,77.3,77.35,76.21,76.5,21662
2006-12-14,76.25,76.92,75.85,76.81,19594
2006-12-15,76.84,77.26,76.4,76.67,29441
2006-12-18,76.92,77.13,76.47,76.7,17192
2006-12-19,76.36,76.46,75.55,75.75,25699
2006-12-20,74.9,75.21,74.45,74.77,35022
2006-12-21,74.98,75.35,73.84,74.58,28329
2006-12-22,74.4,74.4,73.64,73.88,28415
2006-12-26,73.62,74.33,73.62,74.25,12490
2006-12-27,74.75,75.46,74.66,75.19,26005
2006-12-28,75.1,75.29,74.5,74.91,16573
2006-12-29,74.77,75.41,74.5,74.92,18559
2007-01-03,75.45,75.98,74.4,74.92,37139
2007-01-04,75.25,75.5,74.52,75.14,21052
2007-01-05,75.04,75.04,73.62,74.14,33865
2007-01-08,74.16,74.59,73.74,74.35,21660
2007-01-09,74.98,75.0,73.91,74.09,30807
2007-01-10,73.75,73.85,73.25,73.63,25461
2007-01-11,73.63,73.88,73.55,73.65,25081
2007-01-12,73.65,74.47,73.35,74.4,28963
2007-01-16,74.8,75.35,74.61,74.83,34495
2007-01-17,74.95,75.22,74.68,75.0,25172
2007-01-18,75.12,75.4,74.62,74.74,24840
2007-01-19,75.3,75.3,74.75,75.02,39032
2007-01-22,75.05,75.17,73.72,74.3,33775
2007-01-23,74.29,74.29,73.42,73.62,26623
2007-01-24,73.9,74.82,73.62,74.42,31549
2007-01-25,74.44,74.45,73.43,73.63,26430
2007-01-26,73.8,73.8,72.21,72.49,43607
2007-01-29,72.5,73.82,72.47,73.64,32154
2007-01-30,71.17,72.0,70.38,71.82,116197
2007-01-31,72.3,72.61,71.5,72.26,55330
2007-02-01,72.85,73.74,72.74,73.61,43332
2007-02-02,73.57,74.48,73.5,74.19,45078
2007-02-05,74.18,74.33,73.65,73.71,23208
2007-02-06,73.7,74.0,73.66,73.9,20699
2007-02-07,74.16,74.16,73.46,73.9,21391
2007-02-08,73.92,73.93,73.21,73.33,22907
2007-02-09,74.12,74.24,73.28,73.56,30126
2007-02-12,73.95,74.09,73.68,73.91,19809
2007-02-13,73.9,74.45,73.57,74.39,32506
2007-02-14,74.51,75.32,74.51,75.04,43464
2007-02-15,75.0,75.19,74.39,74.51,34068
2007-02-16,74.2,74.6,73.83,74.03,30472
2007-02-20,74.0,74.24,73.7,73.89,24694
2007-02-21,73.77,74.1,73.45,73.77,27406
2007-02-22,73.77,74.18,73.26,73.38,24120
2007-02-23,73.4,73.4,72.75,73.33,37082
2007-02-26,73.48,73.74,72.69,72.8,33687
2007-02-27,72.6,72.6,70.0,70.22,57581
2007-02-28,70.4,70.93,69.93,70.19,70976
2007-03-01,69.4,70.3,68.66,70.01,45978
2007-03-02,69.95,70.1,69.34,69.46,35371
2007-03-05,69.27,70.11,68.75,69.7,51930
2007-03-06,70.0,70.24,69.42,69.9,45686
2007-03-07,69.91,70.35,69.78,69.97,33643
2007-03-08,70.09,70.5,69.75,69.87,30083
2007-03-09,70.95,70.99,70.37,70.63,28535
2007-03-12,70.88,71.39,70.62,71.13,30918
2007-03-13,70.5,70.98,69.76,69.9,40236
2007-03-14,70.12,70.32,68.75,70.22,47280
2007-03-15,70.3,70.64,69.33,69.41,41103
2007-03-16,69.7,69.82,68.81,69.22,53184
2007-03-19,69.65,69.85,69.07,69.47,32158
2007-03-20,69.28,70.38,69.26,70.23,25347
2007-03-21,69.7,71.32,69.34,71.28,51720
2007-03-22,70.71,71.38,70.57,71.09,31455
2007-03-23,71.13,71.63,70.79,71.44,28830
2007-03-26,71.25,71.35,70.5,71.29,26458
2007-03-27,71.03,71.16,70.64,70.88,20477
2007-03-28,70.6,70.9,70.04,70.34,28830
2007-03-29,71.49,71.49,69.62,70.12,31769
2007-03-30,70.16,70.73,69.59,70.09,27371
2007-04-02,70.09,70.14,69.53,69.8,29993
2007-04-03,70.0,70.41,69.75,69.97,34773
2007-04-04,69.8,69.98,69.57,69.88,31595
2007-04-05,69.75,70.39,69.65,70.31,21781
2007-04-09,70.24,70.99,70.0,70.07,25859
2007-04-10,70.07,70.9,70.0,70.81,31372
2007-04-11,70.62,70.76,70.19,70.48,33289
2007-04-12,70.29,70.6,69.81,70.37,27630
2007-04-13,70.81,70.81,69.71,70.3,25755
2007-04-16,70.41,71.17,70.19,71.04,28109
2007-04-17,71.25,71.88,70.86,71.61,25627
2007-04-18,71.15,71.58,71.09,71.35,24273
