交易日期,开盘价,最高价,最低价,收盘价,成交量
2008-03-19,14.875,17.25,13.75,14.125,7084856
2008-03-20,14.6,16.25,14.375,16.09,1989848
2008-03-24,16.81,16.925,14.75,14.93,1496948
2008-03-25,15.145,16.065,14.955,15.815,871648
2008-03-26,15.68,16.12,15.395,15.99,431392
2008-03-27,16.01,16.185,15.665,15.73,398348
2008-03-28,15.84,15.86,15.54,15.69,246980
2008-03-31,15.65,15.87,15.515,15.59,221704
2008-04-01,15.765,15.92,15.08,15.405,604316
2008-04-02,15.43,15.58,15.125,15.58,438464
2008-04-03,15.49,16.575,15.455,16.375,1008676
2008-04-04,16.225,16.33,15.94,16.12,363960
2008-04-07,16.275,16.45,16.005,16.26,283132
2008-04-08,16.225,17.06,16.205,17.025,539636
2008-04-09,17.11,17.18,16.405,16.45,483396
2008-04-10,16.54,16.685,16.28,16.53,223848
2008-04-11,16.315,16.69,16.315,16.53,264344
2008-04-14,16.675,16.81,16.385,16.42,284460
2008-04-15,16.575,16.635,16.0,16.09,239032
2008-04-16,16.14,16.74,16.14,16.535,251484
2008-04-17,16.565,16.94,16.505,16.76,224620
2008-04-18,17.005,17.615,16.8,17.25,1041228
2008-04-21,17.37,18.125,17.215,17.745,588852
2008-04-22,17.98,18.1,17.5,17.57,473780
2008-04-23,17.74,17.925,17.425,17.52,373364
2008-04-24,17.8,18.245,17.51,18.075,390824
2008-04-25,19.0,19.02,18.48,18.775,1014596
2008-04-28,19.125,19.325,18.725,18.91,1325172
2008-04-29,18.54,20.22,17.75,20.22,1973080
2008-04-30,20.35,21.205,20.27,20.865,1475432
2008-05-01,21.1,21.91,20.975,21.35,1163952
2008-05-02,21.825,21.875,20.25,20.69,1366484
2008-05-05,20.715,21.375,20.205,21.265,703768
2008-05-06,21.37,22.04,21.19,21.885,759128
2008-05-07,22.21,22.46,21.915,22.125,1004644
2008-05-08,22.375,22.44,21.485,21.825,928664
2008-05-09,21.455,21.67,20.63,20.715,943116
2008-05-12,20.915,21.12,19.525,20.475,1475508
2008-05-13,20.46,20.875,20.2,20.595,532712
2008-05-14,20.825,21.09,20.365,20.56,514000
2008-05-15,20.635,20.735,20.28,20.565,367280
2008-05-16,20.675,20.715,20.315,20.595,340664
2008-05-19,20.565,21.185,20.54,20.83,456512
2008-05-20,20.72,20.96,20.48,20.685,407060
2008-05-21,20.67,20.86,20.13,20.215,418312
2008-05-22,20.145,20.15,19.04,19.33,853172
2008-05-23,18.96,19.33,18.78,19.09,422236
2008-05-27,19.23,19.735,18.59,19.685,628144
2008-05-28,20.075,20.49,19.885,20.48,530344
2008-05-29,20.86,21.74,20.755,21.315,1006128
2008-05-30,21.505,21.89,21.455,21.59,720480
2008-06-02,21.55,21.74,21.15,21.52,368556
2008-06-03,21.755,21.99,21.51,21.89,484840
2008-06-04,21.77,22.025,21.32,21.37,407044
2008-06-05,21.615,21.81,21.4,21.81,270592
2008-06-06,21.475,21.495,20.885,20.915,417716
2008-06-09,21.0,21.24,20.14,20.535,452396
2008-06-10,20.075,20.72,19.905,20.08,360860
2008-06-11,20.25,20.25,19.4,19.435,570360
2008-06-12,19.74,20.19,19.635,19.89,446052
2008-06-13,20.065,20.455,20.04,20.385,307176
2008-06-16,20.37,20.875,20.275,20.815,344068
2008-06-17,21.025,21.245,20.92,21.17,332896
2008-06-18,20.93,21.175,20.86,20.965,337576
2008-06-19,20.87,21.1,20.405,21.065,369336
2008-06-20,20.745,21.125,20.69,20.895,425844
2008-06-23,20.965,21.09,20.255,20.265,301700
2008-06-24,20.015,20.735,19.63,20.665,499080
2008-06-25,20.84,21.105,20.465,20.515,507244
2008-06-26,20.15,20.185,19.505,19.775,765836
2008-06-27,19.7,20.72,19.635,20.65,1760460
2008-06-30,20.505,20.71,20.075,20.33,493296
2008-07-01,19.91,20.355,19.8,20.355,449304
2008-07-02,20.475,20.6,19.825,19.855,338436
2008-07-03,19.84,19.955,19.315,19.52,287576
2008-07-07,19.625,19.985,18.5,18.905,799568
2008-07-08,18.725,19.875,18.065,19.765,958124
2008-07-09,19.75,19.775,18.85,18.97,553300
2008-07-10,18.94,19.405,18.475,19.315,528508
2008-07-11,18.9,19.365,18.5,18.635,546448
2008-07-14,19.025,19.045,18.125,18.145,426940
2008-07-15,17.815,17.83,16.825,17.105,842984
2008-07-16,17.085,18.14,16.63,18.06,924884
2008-07-17,18.425,18.765,17.84,18.765,672920
2008-07-18,18.56,18.62,18.03,18.35,466332
2008-07-21,18.48,18.735,17.895,17.975,529368
2008-07-22,17.4,18.56,16.975,18.51,654228
2008-07-23,18.375,18.75,18.15,18.315,499532
2008-07-24,18.23,18.435,17.49,17.52,366316
2008-07-25,17.635,18.09,17.27,17.99,386904
2008-07-28,18.105,18.4,17.565,17.635,357108
2008-07-29,17.76,18.995,17.755,18.995,490776
2008-07-30,19.315,19.725,18.565,19.615,760888
2008-07-31,19.055,19.54,17.87,18.265,1489092
2008-08-01,18.325,18.525,17.59,17.935,617356
2008-08-04,17.94,18.4,17.875,18.125,426920
2008-08-05,18.3,18.56,18.08,18.4,343664
2008-08-06,18.2,18.205,17.77,17.87,409236
2008-08-07,17.695,17.815,17.335,17.375,438836
2008-08-08,17.44,18.215,17.28,18.15,363584
2008-08-11,18.11,19.125,17.99,18.7,552896
2008-08-12,18.55,18.7,18.15,18.2,337416
2008-08-13,18.19,18.545,18.12,18.485,299348
2008-08-14,18.47,18.95,18.4,18.945,258536
2008-08-15,18.995,19.135,18.71,18.95,260092
2008-08-18,18.905,19.065,18.535,18.735,258592
2008-08-19,18.615,18.81,18.405,18.435,211228
2008-08-20,18.525,18.675,18.415,18.645,181192
2008-08-21,18.49,18.66,18.3,18.595,155504
2008-08-22,18.84,18.95,18.46,18.525,209616
2008-08-25,18.38,18.725,18.285,18.33,180396
2008-08-26,18.42,18.575,18.22,18.335,186784
2008-08-27,18.26,18.625,18.215,18.615,191456
2008-08-28,18.69,18.955,18.545,18.915,267464
2008-08-29,18.74,19.0,18.675,18.975,193276
2008-09-02,19.21,19.375,18.6,18.745,298996
2008-09-03,18.64,18.835,18.02,18.26,354004
2008-09-04,18.13,18.16,17.44,17.625,376756
2008-09-05,17.495,17.995,17.315,17.94,406432
2008-09-08,18.38,18.575,17.17,17.525,566760
2008-09-09,17.59,17.59,16.795,16.87,498816
2008-09-10,16.815,17.475,16.66,17.26,439552
2008-09-11,16.855,17.84,16.76,17.74,471376
2008-09-12,17.485,17.915,17.315,17.915,282420
2008-09-15,17.165,17.745,17.065,17.345,387420
2008-09-16,16.655,17.24,16.25,16.59,835960
2008-09-17,16.455,16.99,16.005,16.025,675388
2008-09-18,16.05,16.81,14.595,16.725,841888
2008-09-19,17.755,17.79,16.76,17.395,689488
2008-09-22,17.23,17.245,16.225,16.295,462840
2008-09-23,16.465,16.87,16.03,16.725,438496
2008-09-24,16.76,16.93,16.375,16.42,245432
2008-09-25,16.44,16.62,16.135,16.15,238948
2008-09-26,15.68,15.85,15.2,15.51,511908
2008-09-29,15.075,15.12,13.975,14.45,784388
2008-09-30,14.095,15.36,14.095,15.35,387320
2008-10-01,15.19,15.525,14.805,15.33,270972
2008-10-02,15.375,15.375,14.33,14.4,352212
2008-10-03,14.77,15.045,14.08,14.21,604772
2008-10-06,13.355,14.005,12.565,13.845,873664
2008-10-07,14.0,14.11,12.655,12.79,758596
2008-10-08,12.25,13.61,11.94,13.16,752280
2008-10-09,13.45,13.985,12.355,12.465,425492
2008-10-10,11.75,13.49,11.75,13.0,751508
2008-10-13,13.75,14.75,13.4,14.715,472704
2008-10-14,15.495,15.53,13.815,14.405,508496
2008-10-15,13.88,14.0,12.135,12.44,729408
2008-10-16,12.54,13.335,12.01,13.27,530436
2008-10-17,12.875,13.77,12.875,13.055,333488
