交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,33.125,33.345,32.93,33.255,104483
2006-12-13,33.275,33.485,33.275,33.365,73974
2006-12-14,33.375,33.745,33.3,33.56,92539
2006-12-15,33.485,33.96,33.485,33.905,149933
2006-12-18,34.045,34.14,33.87,34.01,83966
2006-12-19,34.0,34.215,33.905,34.1,99741
2006-12-20,34.12,34.325,33.82,33.895,94537
2006-12-21,34.075,34.28,34.0,34.12,80451
2006-12-22,34.12,34.205,33.925,34.015,85623
2006-12-26,33.96,34.325,33.935,34.185,48834
2006-12-27,34.27,34.605,34.145,34.555,72327
2006-12-28,34.435,34.745,34.435,34.695,71385
2006-12-29,34.76,35.015,34.555,34.62,91036
2007-01-03,35.005,35.805,34.985,35.18,184333
2007-01-04,35.365,35.43,35.05,35.375,146549
2007-01-05,35.375,35.405,34.715,34.75,136685
2007-01-08,34.37,34.455,34.035,34.25,126068
2007-01-09,34.24,34.65,34.24,34.39,135327
2007-01-10,34.38,34.415,33.935,34.165,122868
2007-01-11,34.145,34.615,33.95,34.51,94080
2007-01-12,34.65,34.875,34.555,34.725,112275
2007-01-16,34.8,34.875,34.39,34.555,104689
2007-01-17,34.465,34.65,34.22,34.325,111471
2007-01-18,34.045,35.03,34.045,34.92,113735
2007-01-19,34.945,35.005,34.435,34.64,118455
2007-01-22,34.52,34.79,34.415,34.68,78330
2007-01-23,34.75,35.3,34.705,34.875,120617
2007-01-24,35.005,35.56,34.955,35.385,112345
2007-01-25,35.415,35.55,34.585,34.9,115566
2007-01-26,34.88,35.18,34.51,35.18,91447
2007-01-29,34.81,35.535,34.67,35.385,159768
2007-01-30,35.385,35.98,35.385,35.87,153124
2007-01-31,35.755,35.98,35.45,35.86,113873
2007-02-01,36.065,36.065,35.255,35.345,142347
2007-02-02,35.535,35.7,35.355,35.48,101506
2007-02-05,35.365,35.47,35.17,35.395,83449
2007-02-06,35.395,35.535,35.17,35.42,81852
2007-02-07,35.42,35.71,35.3,35.43,69330
2007-02-08,35.385,35.56,35.05,35.29,117621
2007-02-09,35.34,35.44,34.76,35.06,75900
2007-02-12,35.07,35.235,34.77,34.945,60428
2007-02-13,34.945,35.415,34.865,35.385,72303
2007-02-14,35.44,36.055,35.395,35.935,121175
2007-02-15,35.84,35.98,35.71,35.73,69989
2007-02-16,35.73,35.84,35.545,35.805,79320
2007-02-20,35.86,35.905,35.395,35.6,68312
2007-02-21,35.545,35.84,35.345,35.61,79170
2007-02-22,35.815,35.925,35.55,35.755,65713
2007-02-23,35.755,35.83,35.255,35.74,76412
2007-02-26,35.755,36.045,35.665,35.755,127021
2007-02-27,35.675,35.675,33.33,34.08,204847
2007-02-28,34.425,34.9,34.055,34.79,158591
2007-03-01,34.415,34.78,33.87,34.48,137005
2007-03-02,34.37,34.51,33.675,33.935,129357
2007-03-05,33.755,34.25,33.535,33.59,112000
2007-03-06,33.99,34.14,33.665,33.935,126831
2007-03-07,33.775,33.925,33.115,33.16,171714
