交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,35.32,35.47,35.19,35.33,113151
2006-12-13,35.35,35.49,35.29,35.35,100744
2006-12-14,35.42,35.68,35.3,35.56,130977
2006-12-15,35.6,35.77,35.43,35.62,164109
2006-12-18,35.74,35.81,35.53,35.77,95333
2006-12-19,35.71,36.07,35.7,35.9,91082
2006-12-20,35.92,36.05,35.85,35.9,59529
2006-12-21,35.89,36.06,35.86,35.91,49410
2006-12-22,35.8,36.0,35.52,35.89,44045
2006-12-26,35.76,35.97,35.72,35.95,41879
2006-12-27,35.98,36.16,35.95,36.08,46615
2006-12-28,36.05,36.09,35.83,35.89,40233
2006-12-29,35.82,35.91,35.48,35.53,49066
2007-01-03,35.93,36.01,35.37,35.79,116722
2007-01-04,35.74,36.02,35.54,35.79,106380
2007-01-05,35.79,35.83,35.51,35.62,98938
2007-01-08,35.61,35.89,35.39,35.49,110965
2007-01-09,35.58,35.85,35.48,35.58,86466
2007-01-10,35.42,35.65,35.37,35.47,90806
2007-01-11,35.45,35.64,35.45,35.52,67065
2007-01-12,35.54,35.72,35.4,35.49,86775
2007-01-16,35.81,36.5,35.75,36.21,146799
2007-01-17,36.31,36.48,36.05,36.29,94409
2007-01-18,36.27,36.39,36.14,36.19,54345
2007-01-19,36.29,36.33,35.87,36.05,98998
2007-01-22,35.96,36.06,35.58,35.77,72344
2007-01-23,35.8,36.05,35.56,36.01,78239
2007-01-24,35.97,36.63,35.95,36.54,102733
2007-01-25,36.46,36.64,36.02,36.1,74758
2007-01-26,36.13,36.23,35.83,36.04,68243
2007-01-29,35.91,36.12,35.85,35.96,79604
2007-01-30,36.09,36.11,35.81,35.91,86800
2007-01-31,35.48,36.0,35.47,35.93,75134
2007-02-01,35.93,36.09,35.62,35.87,69301
2007-02-02,35.87,36.05,35.77,35.88,59645
2007-02-05,35.79,35.85,35.66,35.68,101105
2007-02-06,35.79,36.02,35.75,35.89,74932
2007-02-07,35.91,36.04,35.76,35.87,78283
2007-02-08,35.81,35.81,35.36,35.56,107190
2007-02-09,35.42,35.85,35.23,35.35,117244
2007-02-12,35.48,35.63,35.37,35.61,66309
2007-02-13,35.6,36.03,35.57,35.86,90555
2007-02-14,35.88,36.2,35.82,36.01,80534
2007-02-15,36.22,36.36,35.98,36.03,58167
2007-02-16,36.27,36.28,35.55,35.76,107589
2007-02-20,35.77,35.97,35.6,35.94,77554
2007-02-21,35.94,36.28,35.82,36.18,88640
2007-02-22,36.13,36.23,35.94,36.2,81223
2007-02-23,36.17,36.21,35.54,35.63,130260
2007-02-26,35.75,35.82,35.42,35.68,92871
