交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,45.92,46.17,45.58,45.66,167062
2006-12-13,45.9,46.03,45.8,45.91,149224
2006-12-14,46.12,46.61,45.91,46.51,143116
2006-12-15,46.63,46.89,46.39,46.46,145544
2006-12-18,46.5,46.8,46.28,46.39,118812
2006-12-19,46.13,46.24,45.5,46.1,164509
2006-12-20,46.0,46.13,45.87,45.87,132068
2006-12-21,45.95,46.06,45.61,45.73,106965
2006-12-22,45.5,45.8,45.0,45.51,107961
2006-12-26,44.8,46.29,44.8,46.11,96947
2006-12-27,45.75,46.25,45.75,46.17,100324
2006-12-28,45.81,46.2,45.81,45.99,68020
2006-12-29,46.2,46.61,46.03,46.17,97737
2007-01-03,47.09,48.3,47.06,47.59,322807
2007-01-04,47.8,47.99,47.32,47.78,163680
2007-01-05,47.5,47.8,47.15,47.4,131161
2007-01-08,46.91,47.31,46.9,46.99,142020
2007-01-09,47.0,47.67,47.0,47.36,125780
2007-01-10,47.05,47.62,46.51,47.29,131248
2007-01-11,47.27,47.73,47.21,47.61,144813
2007-01-12,47.62,48.11,47.21,47.98,135170
2007-01-16,47.93,48.48,47.79,48.31,112788
2007-01-17,48.32,48.41,48.09,48.2,102383
2007-01-18,48.2,48.78,48.08,48.38,125132
2007-01-19,48.49,48.74,48.19,48.31,113954
2007-01-22,48.16,48.27,47.6,47.95,114217
2007-01-23,47.78,48.15,47.46,47.81,101148
2007-01-24,48.07,48.7,47.99,48.63,124632
2007-01-25,48.61,48.64,48.09,48.17,90136
2007-01-26,48.05,48.36,47.47,47.6,95156
2007-01-29,48.15,48.15,47.5,47.64,90972
2007-01-30,47.75,47.84,46.91,47.31,151626
2007-01-31,47.2,47.96,47.04,47.7,135020
2007-02-01,47.51,48.08,47.44,47.78,124018
2007-02-02,47.75,48.42,47.64,48.13,120286
2007-02-05,48.44,48.9,48.42,48.52,138201
2007-02-06,48.61,48.77,48.32,48.56,86960
2007-02-07,48.39,48.75,48.28,48.58,98329
2007-02-08,48.36,48.6,48.13,48.33,105091
2007-02-09,48.37,48.54,47.67,47.91,118118
2007-02-12,48.15,48.24,47.68,47.69,82658
2007-02-13,47.8,48.17,47.74,47.96,91440
2007-02-14,48.08,48.13,47.75,47.9,105870
2007-02-15,47.9,48.54,47.82,48.39,99318
2007-02-16,48.35,48.85,48.25,48.53,151053
2007-02-20,49.81,50.5,49.41,50.28,309870
2007-02-21,49.91,50.42,49.87,50.0,167738
2007-02-22,50.09,50.18,49.55,49.73,99382
2007-02-23,49.66,49.89,49.29,49.59,100659
2007-02-26,49.71,50.05,49.45,50.0,100757
2007-02-27,49.6,49.78,48.24,48.47,173701
2007-02-28,48.5,48.66,48.01,48.3,161014
2007-03-01,47.78,48.2,47.19,47.86,157599
2007-03-02,47.85,48.32,47.71,47.79,148644
2007-03-05,47.65,48.27,47.44,47.48,132835
2007-03-06,47.84,48.29,47.75,48.02,141868
2007-03-07,48.05,48.25,47.61,47.92,124540
2007-03-08,48.05,48.15,47.38,47.87,176792
2007-03-09,47.78,48.13,47.15,47.4,129726
2007-03-12,47.53,47.63,47.1,47.26,108197
2007-03-13,46.98,47.13,46.03,46.19,210224
2007-03-14,46.18,46.22,45.06,45.73,243491
2007-03-15,45.75,46.16,45.49,45.99,127136
2007-03-16,46.22,46.8,45.75,46.19,166366
2007-03-19,46.5,46.82,46.38,46.62,103642
2007-03-20,46.48,47.4,46.44,47.28,141881
2007-03-21,47.22,47.85,46.95,47.74,122119
2007-03-22,47.62,48.2,47.56,48.02,139057
2007-03-23,48.01,48.15,47.75,47.92,76035
2007-03-26,47.84,47.92,47.15,47.85,117565
2007-03-27,47.57,47.8,47.03,47.44,102670
2007-03-28,47.17,47.19,46.46,46.59,161626
2007-03-29,46.93,47.04,46.36,46.7,118259
2007-03-30,46.86,47.09,46.64,46.91,135480
2007-04-02,47.06,47.52,46.85,47.4,110393
2007-04-03,47.51,48.29,47.47,48.08,159661
2007-04-04,48.0,48.32,47.9,48.05,103011
2007-04-05,47.89,48.45,47.86,48.25,80734
2007-04-09,48.27,48.55,47.89,48.46,84292
2007-04-10,48.45,48.45,47.95,47.96,89272
2007-04-11,47.95,48.11,47.06,47.25,172242
2007-04-12,47.38,47.5,46.9,47.24,110988
2007-04-13,47.4,47.42,46.83,47.4,118607
2007-04-16,47.63,48.12,47.51,48.06,137130
2007-04-17,48.19,48.43,47.89,48.17,118242
2007-04-18,48.0,48.18,47.83,47.96,74331
2007-04-19,47.75,48.38,47.65,48.32,77771
2007-04-20,48.51,49.84,48.51,49.78,220825
2007-04-23,49.73,49.95,48.24,48.92,130381
2007-04-24,48.56,48.98,48.13,48.66,172373
2007-04-25,48.77,49.1,48.63,48.8,108228
2007-04-26,48.78,49.95,48.57,48.7,81286
2007-04-27,48.52,48.7,48.32,48.38,86135
2007-04-30,48.25,48.66,47.87,47.89,102359
2007-05-01,47.92,48.56,47.51,48.32,119705
2007-05-02,48.3,48.74,48.17,48.24,110128
2007-05-03,48.52,48.75,48.2,48.35,88125
2007-05-04,48.4,48.5,48.05,48.25,85161
2007-05-07,48.43,48.88,48.28,48.6,85250
2007-05-08,48.37,48.64,48.08,48.1,95518
2007-05-09,48.07,48.28,47.84,47.94,142934
2007-05-10,47.5,48.33,47.45,47.77,162224
2007-05-11,47.84,47.91,47.41,47.8,130575
2007-05-14,47.64,48.0,47.49,47.87,105568
2007-05-15,47.96,48.1,47.41,47.62,172792
2007-05-16,47.49,47.74,46.98,47.18,154928
2007-05-17,47.47,47.47,47.02,47.1,121912
2007-05-18,47.32,47.37,47.18,47.29,126695
2007-05-21,47.13,47.25,46.63,46.65,148767
2007-05-22,46.57,46.8,46.47,46.53,103626
2007-05-23,46.88,47.14,46.32,46.36,123657
2007-05-24,46.41,46.95,46.35,46.66,132695
2007-05-25,46.8,47.0,46.64,46.93,82348
2007-05-29,47.17,47.54,46.76,46.95,138303
2007-05-30,46.65,47.15,46.47,47.14,126423
2007-05-31,47.1,47.8,47.1,47.57,159149
2007-06-01,47.9,49.94,47.73,49.53,473154
2007-06-04,50.18,51.44,50.15,51.14,513997
2007-06-05,50.91,51.2,50.36,50.52,297760
2007-06-06,50.16,51.04,50.15,50.69,225180
2007-06-07,50.39,50.75,49.61,49.75,231558
2007-06-08,49.89,50.15,49.6,50.06,134297
2007-06-11,49.9,50.12,49.55,49.78,114230
2007-06-12,49.61,49.81,48.9,48.9,176963
2007-06-13,49.18,49.54,48.97,49.51,121372
2007-06-14,49.3,49.65,48.98,49.28,121560
2007-06-15,49.34,49.75,49.21,49.29,186833
2007-06-18,49.32,49.45,49.07,49.11,104262
2007-06-19,48.93,48.97,47.77,48.84,133469
2007-06-20,48.85,49.25,48.56,48.58,168827
2007-06-21,48.71,48.79,48.08,48.39,210319
2007-06-22,48.25,48.43,48.0,48.03,160992
2007-06-25,48.0,48.12,47.69,47.87,172702
2007-06-26,47.91,48.49,47.75,47.93,153913
2007-06-27,47.83,48.49,47.76,48.47,170402
2007-06-28,48.33,48.5,48.17,48.21,122620
2007-06-29,48.5,48.65,47.87,48.1,124848
2007-07-03,48.34,48.47,48.13,48.44,57462
2007-07-05,48.36,48.46,48.08,48.13,97157
2007-07-06,48.09,48.49,47.99,48.39,111047
2007-07-09,48.41,48.83,48.26,48.51,98148
2007-07-10,48.39,48.39,47.49,47.53,156905
2007-07-11,47.7,47.89,47.23,47.66,125604
2007-07-12,48.9,49.24,47.68,48.89,234531
2007-07-13,48.76,49.26,48.67,49.15,113699
2007-07-16,49.14,49.14,48.7,48.93,109401
2007-07-17,48.76,48.88,48.3,48.36,135624
2007-07-18,48.43,48.74,47.96,48.05,189109
2007-07-19,48.36,48.98,48.1,48.79,150736
2007-07-20,48.5,48.87,47.92,48.01,175427
2007-07-23,48.3,48.4,47.95,48.07,119445
2007-07-24,47.72,48.66,47.72,48.03,207892
2007-07-25,48.4,48.45,47.55,47.85,148642
2007-07-26,47.51,47.77,46.53,46.88,246977
2007-07-27,46.72,46.88,45.3,45.93,221428
2007-07-30,46.2,46.46,45.8,46.18,169973
2007-07-31,46.34,46.81,45.9,45.93,197379
2007-08-01,46.05,46.25,45.48,46.22,205034
2007-08-02,46.2,47.11,46.08,46.77,152692
2007-08-03,46.7,47.0,45.5,45.5,189469
2007-08-06,45.7,47.05,45.7,47.02,192661
2007-08-07,46.8,47.48,46.55,47.08,167176
2007-08-08,47.07,48.39,46.7,48.39,226855
2007-08-09,47.5,48.0,46.39,46.52,220340
2007-08-10,46.21,47.27,45.7,46.13,202366
2007-08-13,46.69,46.73,46.08,46.15,139084
2007-08-14,44.06,44.19,43.52,43.77,555068
2007-08-15,43.98,43.98,43.09,43.19,257278
2007-08-16,43.05,43.95,42.92,43.7,336761
2007-08-17,44.69,44.7,43.19,43.51,284030
2007-08-20,43.7,43.82,42.96,43.52,218875
2007-08-21,43.58,43.75,43.19,43.67,161005
2007-08-22,43.79,43.89,43.43,43.78,169668
2007-08-23,43.75,43.83,43.03,43.19,205867
2007-08-24,43.16,43.92,43.13,43.76,169616
2007-08-27,43.77,44.03,43.56,43.77,189947
2007-08-28,43.65,44.2,43.4,43.48,256294
2007-08-29,43.57,44.32,43.45,44.19,155087
2007-08-30,43.21,43.65,43.16,43.29,216824
2007-08-31,43.55,43.94,43.35,43.6,189197
2007-09-04,43.51,43.64,43.27,43.27,177369
2007-09-05,43.22,43.22,42.35,42.42,275451
2007-09-06,43.5,43.6,42.65,42.76,274517
2007-09-07,42.44,42.88,42.31,42.42,210480
2007-09-10,42.59,42.68,42.09,42.25,169279
2007-09-11,42.39,43.02,42.31,42.96,174156
2007-09-12,42.8,43.2,42.58,42.69,144527
2007-09-13,42.86,43.47,42.77,43.05,153180
2007-09-14,42.81,43.54,42.65,43.32,136703
2007-09-17,43.23,43.54,42.99,43.33,129533
2007-09-18,43.49,44.65,43.35,44.44,251931
2007-09-19,44.57,45.05,44.41,44.75,210126
2007-09-20,44.68,44.83,43.96,44.29,156780
2007-09-21,44.57,44.79,44.15,44.19,191666
2007-09-24,44.32,44.47,43.86,43.95,138228
2007-09-25,43.29,43.3,42.68,43.15,194405
2007-09-26,43.3,43.6,42.95,43.29,146798
2007-09-27,43.56,44.02,43.48,43.65,132691
2007-09-28,43.61,44.0,43.51,43.63,112641
2007-10-01,43.83,44.67,43.66,44.46,140921
2007-10-02,44.45,45.11,44.36,44.87,172348
2007-10-03,44.69,45.6,44.49,45.14,159713
2007-10-04,45.06,45.34,44.77,44.97,90245
2007-10-05,45.45,45.88,44.97,45.37,123433
2007-10-08,45.2,45.4,45.08,45.29,71330
2007-10-09,45.14,45.49,44.63,45.25,115594
2007-10-10,45.1,45.74,45.1,45.59,142424
2007-10-11,47.35,47.7,46.72,46.87,371265
2007-10-12,46.98,47.28,46.8,47.06,130846
2007-10-15,47.01,47.07,45.74,46.45,152297
2007-10-16,46.28,46.3,45.58,45.86,166526
2007-10-17,46.14,46.36,45.28,45.99,229371
2007-10-18,45.78,46.04,45.34,45.89,180717
2007-10-19,45.84,46.02,44.96,45.01,216963
2007-10-22,44.8,45.46,44.64,45.27,202236
2007-10-23,45.51,45.58,43.5,44.01,357988
2007-10-24,44.1,44.18,43.27,43.91,213519
2007-10-25,43.96,44.25,43.28,43.83,186857
2007-10-26,44.55,44.81,44.11,44.63,158337
2007-10-29,44.72,45.14,44.62,45.02,130001
2007-10-30,44.74,45.85,44.69,45.39,147607
2007-10-31,45.71,45.81,44.53,45.12,198912
2007-11-01,44.7,44.94,43.94,43.98,182414
2007-11-02,44.16,44.38,43.66,44.22,169024
2007-11-05,44.14,44.38,43.78,44.03,115310
2007-11-06,44.01,44.4,43.81,44.32,118172
2007-11-07,44.0,44.59,43.82,43.94,166855
2007-11-08,44.19,44.38,42.82,43.6,198486
2007-11-09,43.15,43.41,42.5,42.81,191264
2007-11-12,42.98,44.57,42.66,43.75,234442
2007-11-13,45.0,46.35,45.0,46.03,364089
2007-11-14,46.24,47.08,46.12,46.45,276434
2007-11-15,46.29,47.06,45.87,46.18,205648
2007-11-16,46.42,46.6,45.62,46.38,172503
2007-11-19,46.0,46.35,45.25,45.47,137550
2007-11-20,45.45,46.21,44.7,45.51,214976
2007-11-21,44.98,45.41,44.68,44.82,161229
2007-11-23,45.23,46.25,44.87,45.67,125380
2007-11-26,46.0,46.38,45.0,45.0,145285
2007-11-27,45.27,46.18,45.15,45.84,176468
2007-11-28,46.08,47.52,46.0,47.24,252574
2007-11-29,46.8,47.85,46.76,47.5,134252
2007-11-30,47.7,48.23,47.6,47.93,143571
2007-12-03,47.71,48.31,47.57,47.87,106586
2007-12-04,47.49,48.56,47.49,48.24,135788
2007-12-05,48.54,49.12,48.51,48.92,150536
2007-12-06,48.49,49.41,48.0,49.25,165015
2007-12-07,49.26,49.39,48.8,49.01,127000
2007-12-10,49.06,49.68,48.92,49.45,114055
2007-12-11,49.41,50.05,48.62,49.09,242070
2007-12-12,49.62,49.64,47.61,48.25,213509
2007-12-13,47.81,48.48,47.56,48.36,149853
2007-12-14,48.17,48.2,47.6,47.6,121060
2007-12-17,47.6,48.16,47.26,47.8,144493
2007-12-18,48.08,48.55,46.87,48.22,147710
2007-12-19,48.15,48.49,47.85,48.06,112528
2007-12-20,48.08,48.34,47.32,47.84,135253
2007-12-21,47.82,48.5,47.8,48.24,194082
2007-12-24,48.12,49.08,48.12,48.79,62379
2007-12-26,48.31,48.5,47.92,48.34,87810
2007-12-27,48.21,48.3,47.62,47.8,102719
2007-12-28,48.0,48.47,47.77,48.1,77460
2007-12-31,47.84,48.08,47.33,47.5,105926
2008-01-02,47.41,47.63,46.46,46.9,184447
2008-01-03,46.72,46.86,46.23,46.38,166518
2008-01-04,45.91,46.37,45.37,45.72,191369
2008-01-07,45.8,46.81,45.59,46.56,177144
2008-01-08,46.59,47.08,45.88,45.95,176321
2008-01-09,45.97,47.0,45.24,46.9,244725
2008-01-10,47.1,48.77,47.1,48.4,332893
2008-01-11,48.06,48.61,47.5,47.72,267843
2008-01-14,47.98,47.98,43.11,47.67,189344
2008-01-15,46.99,47.43,46.77,46.99,226954
2008-01-16,46.68,48.05,46.68,47.49,241371
2008-01-17,47.55,47.93,47.1,47.48,267008
2008-01-18,47.89,48.51,47.42,47.58,315860
2008-01-22,46.13,49.53,46.09,49.15,420454
2008-01-23,48.5,50.36,48.31,50.12,461439
2008-01-24,50.21,50.24,48.48,48.91,343221
2008-01-25,49.09,49.26,47.99,48.09,241829
2008-01-28,48.06,48.76,47.9,48.71,203701
2008-01-29,49.1,49.19,48.13,49.01,197026
2008-01-30,48.8,50.0,48.5,49.16,234890
