交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,75.31,76.4,75.31,76.26,159547
2006-12-13,76.45,77.41,75.94,77.39,194290
2006-12-14,77.51,79.0,77.25,78.71,177106
2006-12-15,78.95,79.0,77.13,77.23,282917
2006-12-18,77.26,77.26,75.36,75.45,208678
2006-12-19,75.3,77.31,74.9,76.96,205451
2006-12-20,76.85,76.99,75.74,76.07,166318
2006-12-21,76.09,76.55,75.16,75.9,148721
2006-12-22,76.0,76.24,75.29,75.44,111434
2006-12-26,75.51,76.25,75.4,76.17,100778
2006-12-27,76.3,77.0,76.01,76.97,100270
2006-12-28,76.77,77.44,76.65,77.31,99669
2006-12-29,77.01,77.24,76.2,76.63,103107
2007-01-03,76.26,76.27,73.51,74.07,286718
2007-01-04,73.85,73.9,72.21,72.67,297462
2007-01-05,72.45,73.38,72.22,73.24,240331
2007-01-08,73.88,75.21,71.85,72.67,224429
2007-01-09,71.85,72.84,71.44,72.1,246120
2007-01-10,71.81,74.09,70.64,70.91,274687
2007-01-11,70.99,72.85,70.77,70.98,266189
2007-01-12,71.21,72.71,71.2,72.65,220568
2007-01-16,72.5,72.65,71.25,71.67,186766
2007-01-17,71.49,72.62,71.41,72.42,283407
2007-01-18,72.67,73.13,71.19,71.93,208007
2007-01-19,72.5,73.63,72.2,73.45,205866
2007-01-22,73.65,73.75,72.5,72.98,179089
2007-01-23,73.55,74.91,73.47,74.49,254931
2007-01-24,74.5,74.99,73.75,74.89,155580
2007-01-25,74.62,74.94,73.36,73.52,185892
2007-01-26,73.89,78.1,73.45,73.62,137009
2007-01-29,73.65,74.09,72.8,73.21,147465
2007-01-30,73.45,74.59,73.33,74.37,188103
2007-01-31,74.39,74.72,73.48,74.32,205682
2007-02-01,74.58,75.28,73.81,75.08,221954
2007-02-02,75.0,75.79,74.45,75.56,185290
2007-02-05,75.65,75.88,75.06,75.71,136335
2007-02-06,75.86,75.97,75.04,75.46,135248
2007-02-07,75.4,75.88,74.53,74.85,156610
2007-02-08,74.28,75.63,74.24,75.42,162315
2007-02-09,75.46,75.73,74.91,75.22,155557
2007-02-12,74.93,75.07,74.33,74.6,130800
2007-02-13,74.8,75.5,74.59,75.46,147062
2007-02-14,75.9,76.0,74.99,75.6,147689
2007-02-15,75.19,75.49,74.72,75.33,151361
2007-02-16,75.26,75.55,75.01,75.27,154660
2007-02-20,74.9,75.05,74.29,74.81,132608
2007-02-21,74.72,75.27,74.25,74.78,146757
2007-02-22,74.62,75.21,74.2,75.07,149091
2007-02-23,75.29,75.55,75.04,75.2,147287
2007-02-26,75.52,76.1,75.26,75.42,145727
2007-02-27,74.75,75.23,71.38,71.83,298512
2007-02-28,72.23,73.6,71.18,71.65,394776
2007-03-01,70.9,72.08,70.05,71.01,329885
2007-03-02,70.95,71.25,69.31,69.96,242023
2007-03-05,69.35,70.84,69.02,70.0,313581
2007-03-06,70.7,71.02,70.2,71.0,231371
2007-03-07,71.0,72.86,70.56,71.51,286958
2007-03-08,72.15,75.54,71.2,71.79,243421
2007-03-09,71.95,72.38,70.9,71.15,219186
2007-03-12,70.8,71.4,70.7,70.84,160211
2007-03-13,70.37,71.75,69.73,69.86,242486
2007-03-14,70.1,71.01,69.64,71.0,274000
2007-03-15,70.71,71.24,70.4,70.68,196164
2007-03-16,70.77,70.87,69.52,69.95,331687
2007-03-19,70.12,71.18,70.11,71.1,200986
2007-03-20,71.12,72.0,71.02,71.98,209912
2007-03-21,72.44,73.33,71.87,73.26,227530
2007-03-22,73.53,78.0,73.47,74.41,237811
2007-03-23,74.66,75.42,74.15,75.01,202790
2007-03-26,75.44,75.69,74.51,75.47,228890
2007-03-27,75.37,75.97,75.0,75.73,188473
2007-03-28,76.21,76.25,75.21,75.56,221184
2007-03-29,75.83,76.29,75.57,76.22,189763
2007-03-30,76.24,76.35,74.94,75.42,198813
2007-04-02,75.35,76.4,75.28,76.15,171156
2007-04-03,76.1,76.97,75.63,76.77,199677
2007-04-04,76.59,77.22,75.63,77.09,157356
2007-04-05,77.1,77.31,76.88,77.18,134613
2007-04-09,76.77,77.72,76.68,76.78,158418
2007-04-10,76.8,77.85,76.75,77.62,161985
2007-04-11,77.6,77.67,76.68,76.77,218872
2007-04-12,76.97,77.49,76.46,77.39,207780
2007-04-13,77.5,77.67,77.08,77.39,166130
2007-04-16,77.64,78.22,77.04,78.15,177625
2007-04-17,78.27,78.74,77.95,78.4,191020
2007-04-18,78.17,78.4,77.76,78.19,153688
2007-04-19,77.93,78.01,77.15,77.44,164195
2007-04-20,78.38,79.8,78.0,79.77,328425
2007-04-23,79.5,79.98,79.1,79.22,207110
2007-04-24,79.0,79.35,78.5,78.63,196069
2007-04-25,78.84,80.2,78.76,79.91,227667
2007-04-26,80.03,80.86,79.57,80.63,230609
2007-04-27,80.24,80.75,79.88,80.35,142241
2007-04-30,80.3,80.88,79.38,79.39,170528
2007-05-01,79.5,79.99,79.05,79.67,207491
2007-05-02,79.83,80.19,79.37,79.87,150168
2007-05-03,79.83,80.92,79.8,80.72,154707
2007-05-04,81.0,81.76,80.22,80.53,164127
2007-05-07,80.5,81.13,80.22,80.82,128625
2007-05-08,80.57,81.41,80.26,81.39,149919
2007-05-09,81.2,81.45,80.4,81.38,175273
2007-05-10,81.06,81.06,79.31,79.38,181672
2007-05-11,79.69,81.23,79.63,81.22,168189
2007-05-14,81.21,81.62,80.73,81.28,143334
2007-05-15,81.01,81.78,80.95,81.13,150961
2007-05-16,80.84,81.49,80.31,81.41,136329
2007-05-17,81.25,82.44,81.01,81.79,154848
2007-05-18,82.14,83.33,82.08,83.25,216683
2007-05-21,83.42,84.32,83.3,83.57,157101
2007-05-22,83.4,84.14,82.73,82.74,167690
2007-05-23,83.12,83.62,82.69,82.94,172544
2007-05-24,83.18,83.84,81.89,82.28,197266
2007-05-25,82.66,83.68,82.66,83.56,145077
2007-05-29,83.27,83.29,81.91,82.59,169998
2007-05-30,82.18,84.1,81.96,83.89,217364
2007-05-31,83.9,84.25,83.12,83.22,160260
2007-06-01,83.56,84.92,83.47,84.2,176496
2007-06-04,83.96,84.44,83.8,84.18,140837
2007-06-05,83.95,84.6,83.65,84.21,171463
2007-06-06,84.17,84.35,83.05,83.63,188226
2007-06-07,83.4,84.47,81.76,81.78,255490
2007-06-08,81.77,82.71,81.23,82.67,204503
2007-06-11,82.68,83.85,82.34,83.05,143917
2007-06-12,82.77,83.31,81.95,82.0,195449
2007-06-13,82.32,83.5,82.25,83.35,244969
2007-06-14,83.45,84.97,83.45,84.78,170650
2007-06-15,85.07,86.45,85.04,86.08,257751
2007-06-18,86.09,86.58,85.86,86.4,156867
2007-06-19,86.19,86.43,85.71,85.87,172342
2007-06-20,85.88,85.94,82.77,82.82,250304
2007-06-21,83.36,84.68,83.12,84.3,294181
2007-06-22,84.2,84.2,82.11,82.65,306846
2007-06-25,82.4,83.76,82.11,82.38,234634
2007-06-26,82.64,83.09,81.56,81.82,239036
2007-06-27,81.32,83.52,80.85,83.49,232433
2007-06-28,83.81,84.39,83.18,83.62,170166
2007-06-29,84.15,84.99,83.06,83.85,200127
2007-07-03,85.0,85.65,84.64,85.36,83686
2007-07-05,85.39,85.87,84.15,85.16,196344
2007-07-06,85.63,86.95,85.37,86.5,204368
2007-07-09,86.53,87.89,86.25,87.44,165468
2007-07-10,86.95,87.97,86.32,86.52,229831
2007-07-11,86.4,87.38,85.9,87.34,179400
2007-07-12,87.7,89.73,87.29,89.73,204070
2007-07-13,89.7,90.8,89.39,90.36,203770
2007-07-16,89.33,90.22,88.73,89.7,179340
2007-07-17,90.17,90.56,89.01,89.12,200298
2007-07-18,88.82,91.4,88.75,91.19,268372
2007-07-19,91.54,92.74,91.2,92.33,221169
2007-07-20,92.01,93.09,91.27,91.95,275224
2007-07-23,91.93,93.62,91.3,93.44,218588
2007-07-24,92.68,92.89,90.0,90.92,257584
2007-07-25,91.24,93.18,89.35,92.88,289163
2007-07-26,90.41,91.0,86.53,88.49,403203
2007-07-27,87.91,88.5,85.49,85.65,378837
2007-07-30,86.0,86.48,84.28,86.0,305090
2007-07-31,86.77,87.32,84.92,84.96,290776
2007-08-01,84.99,89.3,83.61,85.94,347379
2007-08-02,85.75,86.6,83.51,85.15,333744
2007-08-03,84.62,85.88,81.53,81.89,324018
2007-08-06,81.95,83.8,80.11,83.51,370140
2007-08-07,83.15,86.48,82.52,85.64,319368
2007-08-08,85.71,87.5,85.35,87.18,318893
2007-08-09,85.69,86.79,83.83,83.84,321399
2007-08-10,82.51,85.15,82.1,84.63,300736
2007-08-13,85.24,85.24,82.51,82.83,217265
2007-08-14,83.34,83.9,81.99,82.9,242585
2007-08-15,83.27,84.4,81.36,81.58,248480
2007-08-16,80.85,81.93,78.76,80.69,414534
2007-08-17,82.29,84.78,81.98,83.96,303086
2007-08-20,83.85,84.98,82.8,84.66,208817
2007-08-21,84.5,84.67,82.51,83.09,203150
2007-08-22,83.73,84.24,83.03,83.66,197516
2007-08-23,84.05,84.56,83.05,83.78,209501
2007-08-24,83.75,85.85,83.74,85.81,171853
2007-08-27,85.11,85.59,84.72,85.19,142212
2007-08-28,84.86,84.86,83.01,83.22,191658
2007-08-29,83.49,85.6,83.22,85.23,200669
2007-08-30,84.93,86.25,84.36,85.45,194349
2007-08-31,86.54,86.99,85.41,85.45,157495
2007-09-04,85.31,87.76,85.31,87.26,166099
2007-09-05,86.91,87.39,86.28,87.24,175071
2007-09-06,87.67,88.24,87.02,87.48,181443
2007-09-07,86.72,87.14,85.21,85.67,209143
2007-09-10,85.67,86.24,83.88,84.86,253125
2007-09-11,85.19,87.23,84.57,86.99,239940
2007-09-12,86.8,88.37,86.73,87.78,220984
2007-09-13,87.85,89.15,87.71,88.68,186233
2007-09-14,88.1,89.68,87.87,88.66,206468
2007-09-17,88.5,89.74,88.3,89.32,167221
2007-09-18,89.62,91.93,89.16,91.7,221703
2007-09-19,92.3,93.1,91.87,92.12,242997
2007-09-20,92.42,92.63,91.84,92.02,164836
2007-09-21,92.87,93.4,92.09,92.4,270538
2007-09-24,92.08,92.52,91.3,91.7,194482
2007-09-25,90.68,91.95,90.21,91.95,224842
2007-09-26,92.43,92.75,91.51,92.43,192253
2007-09-27,92.9,93.3,91.68,93.0,152602
2007-09-28,93.13,93.66,92.14,92.56,153120
2007-10-01,92.45,93.99,92.21,93.96,168263
2007-10-02,93.32,93.4,91.3,92.23,192797
2007-10-03,91.63,91.68,90.72,91.26,162060
2007-10-04,91.34,91.65,90.33,90.97,266238
2007-10-05,91.2,91.65,90.64,91.29,161647
2007-10-08,90.6,90.82,90.16,90.65,109024
2007-10-09,90.99,92.78,90.99,92.62,147517
2007-10-10,91.69,93.68,91.55,93.02,162311
2007-10-11,93.6,95.07,91.87,92.74,188086
2007-10-12,93.1,93.84,92.81,93.44,134227
2007-10-15,94.15,95.15,94.15,94.89,200931
2007-10-16,94.74,95.22,94.46,94.81,186628
2007-10-17,95.08,95.27,93.33,94.89,236276
2007-10-18,94.63,95.24,94.15,95.03,174457
2007-10-19,94.7,94.75,92.0,92.03,296802
2007-10-22,91.17,91.68,89.67,90.95,223664
2007-10-23,91.47,92.4,90.25,91.4,198391
2007-10-24,90.9,92.34,90.5,92.19,220375
2007-10-25,92.49,92.49,90.62,91.52,243308
2007-10-26,92.74,92.91,91.5,92.15,184703
2007-10-29,92.36,94.27,92.29,93.62,155355
2007-10-30,92.93,93.19,90.76,91.14,176761
2007-10-31,91.46,92.18,90.5,91.31,275961
2007-11-01,89.83,90.95,88.0,88.45,311291
2007-11-02,88.69,89.2,86.84,88.07,259553
2007-11-05,87.02,88.27,86.51,87.66,213337
2007-11-06,87.76,90.49,87.76,90.49,221730
2007-11-07,89.78,90.1,87.16,87.2,238466
2007-11-08,88.01,90.04,87.61,89.32,299454
2007-11-09,88.94,88.99,86.52,86.58,242235
2007-11-12,86.24,86.4,83.74,84.48,258670
2007-11-13,84.35,87.0,83.37,86.87,220621
2007-11-14,87.48,88.64,85.74,86.21,180464
2007-11-15,85.7,86.67,83.85,84.44,192649
2007-11-16,85.16,86.26,84.5,84.93,266182
2007-11-19,84.63,85.43,84.0,84.14,175858
2007-11-20,84.98,88.72,84.97,87.78,278194
2007-11-21,87.82,88.62,86.76,86.8,195219
2007-11-23,87.05,88.43,86.91,88.2,69369
2007-11-26,88.12,88.78,85.5,85.54,193048
2007-11-27,85.23,86.58,84.0,86.54,229829
2007-11-28,86.88,88.27,86.01,88.03,243212
2007-11-29,87.5,89.46,87.5,88.6,199453
2007-11-30,88.52,89.47,87.81,89.4,203604
2007-12-03,88.97,89.18,88.14,88.85,153593
2007-12-04,88.18,88.83,87.71,88.12,141891
2007-12-05,88.8,90.55,88.76,89.91,202426
2007-12-06,89.89,96.65,89.51,91.45,177372
2007-12-07,91.43,92.0,90.77,91.45,130919
2007-12-10,91.75,92.56,91.58,92.11,134926
2007-12-11,92.36,92.95,90.0,90.3,168156
2007-12-12,91.77,93.09,90.87,91.96,221905
2007-12-13,91.29,92.85,90.86,92.81,170173
2007-12-14,92.16,92.89,91.2,91.22,160912
2007-12-17,90.65,90.9,89.4,89.87,168656
2007-12-18,90.72,91.54,89.04,90.99,188605
2007-12-19,91.06,92.0,90.44,91.41,171051
2007-12-20,91.52,92.22,90.93,92.17,129472
2007-12-21,92.74,93.95,92.32,93.76,265860
2007-12-24,93.51,94.0,93.33,93.69,58590
2007-12-26,93.68,95.0,93.64,94.75,114789
2007-12-27,94.81,94.98,93.71,93.9,103591
2007-12-28,94.05,95.1,93.52,94.88,129570
2007-12-31,94.61,94.96,93.51,93.73,108518
2008-01-02,94.15,94.55,92.78,93.56,205342
2008-01-03,93.86,94.74,93.6,93.83,164145
2008-01-04,93.24,94.36,91.88,92.08,207965
2008-01-07,92.5,93.15,90.25,91.22,254978
2008-01-08,91.86,92.05,89.68,90.18,187289
2008-01-09,90.11,91.73,89.5,91.56,222709
2008-01-10,90.7,92.16,90.07,91.66,236881
2008-01-11,91.01,91.86,90.0,90.3,187652
2008-01-14,90.84,91.25,90.08,90.83,172119
2008-01-15,89.89,89.89,88.49,89.02,228265
2008-01-16,88.45,89.35,85.91,86.53,319642
2008-01-17,87.47,87.91,83.49,83.91,296484
2008-01-18,84.0,86.47,82.8,85.08,382836
2008-01-22,80.0,83.98,79.5,82.45,432024
2008-01-23,80.05,83.49,77.55,83.36,416905
2008-01-24,84.29,86.0,83.03,86.0,265770
2008-01-25,86.7,86.99,83.6,83.94,243050
2008-01-28,83.5,85.34,82.54,85.13,199557
2008-01-29,85.22,86.36,84.45,85.08,188937
2008-01-30,84.54,87.47,84.35,85.28,214873
2008-01-31,84.22,86.4,83.1,86.4,255763
2008-02-01,87.7,87.86,84.85,85.95,236598
2008-02-04,86.04,86.29,84.85,85.44,162343
2008-02-05,84.11,84.22,82.1,82.11,264780
2008-02-06,82.69,83.07,81.09,81.44,240458
2008-02-07,80.97,82.51,80.36,81.89,232586
2008-02-08,82.0,82.4,80.96,81.71,212225
2008-02-11,81.85,83.3,81.04,83.22,199450
2008-02-12,83.6,85.08,83.3,84.38,219793
2008-02-13,84.71,85.7,84.5,85.49,175803
2008-02-14,85.65,86.7,85.32,85.55,181546
2008-02-15,85.24,85.6,84.39,85.37,195875
2008-02-19,86.52,87.97,86.52,87.01,196666
2008-02-20,86.31,88.6,86.17,88.1,221420
2008-02-21,87.73,88.0,86.18,86.92,250034
2008-02-22,87.42,87.79,86.03,87.17,197128
2008-02-25,87.17,89.37,87.07,89.13,196721
2008-02-26,88.75,90.0,88.4,89.89,173371
2008-02-27,89.4,90.17,89.12,89.39,167128
2008-02-28,89.12,90.0,88.85,89.38,206500
2008-02-29,88.77,89.29,86.25,87.01,207903
2008-03-03,86.83,88.41,86.58,87.75,201409
2008-03-04,87.47,87.99,85.5,86.69,270808
2008-03-05,86.9,87.62,86.05,87.19,270399
2008-03-06,86.93,87.07,84.44,84.51,237131
2008-03-07,83.91,84.06,81.97,82.49,285801
2008-03-10,82.75,83.5,82.0,82.46,284244
2008-03-11,83.96,86.68,83.55,86.68,295302
2008-03-12,86.61,87.23,85.68,85.97,228182
2008-03-13,85.31,87.5,84.9,87.05,254917
2008-03-14,87.6,87.86,84.79,85.91,308199
2008-03-17,83.88,86.75,83.54,85.79,338950
2008-03-18,86.61,88.47,86.12,88.47,284058
2008-03-19,87.81,88.5,84.35,84.43,299297
2008-03-20,84.18,85.41,82.75,85.0,333227
2008-03-24,85.17,86.95,85.04,85.8,184802
2008-03-25,86.25,86.38,84.33,85.2,223898
2008-03-26,85.23,87.0,84.91,86.26,189090
2008-03-27,86.82,87.5,86.07,86.2,180923
2008-03-28,86.05,87.08,85.0,85.22,170311
