交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2012-12-10,37.0,37.0,34.91,35.0,6992,False,False,1,1.0,1.0,0.0,0.0
2012-12-11,35.05,35.69,34.95,35.32,14529,False,False,1,1.0091428571428571,1.0091428571428571,0.0,0.0
2012-12-12,35.25,35.25,33.09,33.36,24139,False,False,1,0.9531428571428571,0.9531428571428571,-0.05549263873159693,-0.05549263873159693
2012-12-13,33.5,34.24,32.61,33.8,42467,False,False,1,0.9657142857142856,0.9657142857142856,-0.04303510758776907,-0.04303510758776907
2012-12-14,33.9,34.08,32.65,33.0,44572,False,False,1,0.9428571428571428,0.9428571428571428,-0.06568516421291049,-0.06568516421291049
2012-12-17,33.5,37.07,32.51,33.4,55029,False,False,1,0.9542857142857142,0.9542857142857142,-0.054360135900339834,-0.054360135900339834
2012-12-18,33.4,34.68,32.95,34.43,33305,False,False,1,0.9837142857142857,0.9837142857142857,-0.025198187995470023,-0.025198187995470023
2012-12-19,34.8,34.82,33.73,34.25,14778,False,False,1,0.9785714285714285,0.9785714285714285,-0.0302944507361268,-0.0302944507361268
2012-12-20,34.5,34.5,33.85,34.32,9908,False,False,1,0.9805714285714285,0.9805714285714285,-0.028312570781427016,-0.028312570781427016
2012-12-21,34.29,35.35,34.2,35.35,13734,False,False,1,1.01,1.01,0.0,0.0
2012-12-24,35.6,35.6,34.6,35.25,2854,False,True,0,1.0071428571428571,1.0071428571428571,-0.0028288543140028155,-0.0028288543140028155
2012-12-26,35.27,35.51,34.85,34.92,5576,False,False,0,1.0071428571428571,0.9977142857142858,-0.0028288543140028155,-0.012164073550212096
2012-12-27,35.37,35.37,33.2,34.97,9122,False,False,0,1.0071428571428571,0.9991428571428571,-0.0028288543140028155,-0.010749646393210743
2012-12-28,34.67,34.96,34.36,34.52,10651,False,False,0,1.0071428571428571,0.9862857142857143,-0.0028288543140028155,-0.02347949080622347
2012-12-31,34.04,35.05,34.0,34.16,16541,False,False,0,1.0071428571428571,0.9759999999999999,-0.0028288543140028155,-0.033663366336633804
2013-01-02,34.92,35.4,34.1,35.12,124037,False,False,0,1.0071428571428571,1.0034285714285713,-0.0028288543140028155,-0.006506364922206576
2013-01-03,35.0,35.0,34.16,34.83,153953,True,False,1,1.0071428571428571,0.9951428571428571,-0.0028288543140028155,-0.014710042432814707
2013-01-04,34.35,34.89,34.25,34.39,203886,False,False,1,0.9944198351175096,0.9825714285714285,-0.015425905824247854,-0.02715700141442723
2013-01-07,34.15,35.45,34.15,34.46,164082,False,False,1,0.9964439522579058,0.9845714285714285,-0.01342182944761805,-0.025176803394625247
2013-01-08,34.29,34.64,33.36,33.71,166892,False,False,1,0.9747569828965179,0.9631428571428572,-0.03489407634008124,-0.04639321074964631
2013-01-09,33.61,33.95,33.61,33.9,181348,False,False,1,0.9802510151347361,0.9685714285714285,-0.029454440460657372,-0.0410183875530411
2013-01-10,33.35,34.0,33.33,34.0,147391,False,False,1,0.9831426110495879,0.9714285714285714,-0.026591474208328858,-0.038189533239038176
2013-01-11,33.59,33.9,33.35,33.85,103889,False,False,1,0.9788052171773103,0.9671428571428572,-0.030885923586821518,-0.042432814710042344
2013-01-14,34.01,34.25,33.8,34.09,107978,False,False,1,0.9857450473729545,0.9740000000000001,-0.024014804581233173,-0.035643564356435564
2013-01-15,33.71,34.72,33.71,34.6,125902,False,False,1,1.0004921865386982,0.9885714285714285,-0.00941367669435822,-0.021216407355021283
2013-01-16,34.47,35.54,34.45,35.54,155399,False,False,1,1.0276731881383043,1.0154285714285713,0.0,0.0
2013-01-17,35.75,36.7,35.75,36.42,125546,False,False,1,1.0531192321889997,1.0405714285714285,0.0,0.0
2013-01-18,36.43,37.32,36.04,37.32,106877,False,False,1,1.0791435954226654,1.066285714285714,0.0,0.0
2013-01-22,37.1,37.25,35.93,36.42,138835,False,False,1,1.053119232189,1.0405714285714283,-0.024115755627009516,-0.02411575562700974
2013-01-23,36.91,37.84,36.5,37.8,86122,False,False,1,1.0930232558139537,1.0799999999999994,0.0,0.0
2013-01-24,37.79,38.52,37.23,37.46,100390,False,False,1,1.083191829703458,1.0702857142857138,-0.008994708994708778,-0.008994708994708889
2013-01-25,37.52,37.84,36.64,37.6,81511,False,True,0,1.0872400639842503,1.0742857142857138,-0.005291005291005124,-0.005291005291005124
