交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2011-01-24,12.75,12.75,12.75,12.75,10,False,False,1,1.0,1.0,0.0,0.0
2011-01-28,12.65,12.65,12.65,12.65,6,False,False,1,0.9921568627450981,0.9921568627450981,-0.007843137254901933,-0.007843137254901933
2011-01-31,12.2843,12.2843,12.2843,12.2843,0,False,False,1,0.9634745098039216,0.9634745098039216,-0.036525490196078425,-0.036525490196078425
2011-02-02,12.85,12.85,12.85,12.85,1,False,False,1,1.007843137254902,1.007843137254902,0.0,0.0
2011-02-03,12.25,12.85,12.25,12.85,7,False,False,1,1.007843137254902,1.007843137254902,0.0,0.0
2011-02-04,13.0,13.0,12.8,12.8,3,False,False,1,1.003921568627451,1.003921568627451,-0.0038910505836575737,-0.0038910505836575737
2011-02-07,12.0,12.0,12.0,12.0,9,False,False,1,0.9411764705882353,0.9411764705882353,-0.06614785992217898,-0.06614785992217898
2011-02-08,12.5,12.5,12.38,12.38,13,False,False,1,0.9709803921568628,0.9709803921568628,-0.03657587548638119,-0.03657587548638119
2011-02-09,12.25,12.25,12.25,12.25,9,False,False,1,0.9607843137254902,0.9607843137254902,-0.046692607003890996,-0.046692607003890996
2011-02-11,11.4,11.8,11.4,11.8,3,False,False,1,0.9254901960784314,0.9254901960784314,-0.08171206225680927,-0.08171206225680927
2011-02-17,12.75,12.75,12.75,12.75,4,False,False,1,1.0,1.0,-0.0077821011673151474,-0.0077821011673151474
2011-02-18,12.75,12.75,12.25,12.25,25,False,False,1,0.9607843137254902,0.9607843137254902,-0.046692607003890996,-0.046692607003890996
2011-02-22,12.5,12.5,12.5,12.5,4,False,False,1,0.9803921568627451,0.9803921568627451,-0.027237354085603127,-0.027237354085603127
2011-02-23,12.4,12.4,11.5,11.8,16,False,True,0,0.9254901960784314,0.9254901960784314,-0.08171206225680927,-0.08171206225680927
2011-02-24,12.25,12.25,12.25,12.25,15,False,False,0,0.9254901960784314,0.9607843137254902,-0.08171206225680927,-0.046692607003890996
2011-02-28,12.56,12.56,12.56,12.56,3,True,False,1,0.9254901960784314,0.9850980392156863,-0.08171206225680927,-0.022568093385213928
2011-03-01,12.25,12.75,12.25,12.7,6,False,False,1,0.9358061696015985,0.9960784313725489,-0.07147636868323881,-0.011673151750972832
2011-03-02,13.0,13.0,12.91,12.91,6,False,False,1,0.9512801298863494,1.012549019607843,-0.056122828322882956,0.0
2011-03-04,13.21,13.21,13.21,13.21,2,False,False,1,0.9733857874359935,1.036078431372549,-0.034189199236660195,0.0
2011-03-08,12.9,13.35,12.9,13.3,20,False,False,1,0.9800174847008867,1.0431372549019609,-0.0276091105107934,0.0
2011-03-09,13.12,13.55,13.12,13.5,9,False,False,1,0.9947545897339827,1.0588235294117647,-0.0129866911199783,0.0
2011-03-10,13.45,13.45,13.4,13.4,9,False,False,1,0.9873860372174347,1.0509803921568628,-0.02029790081538585,-0.007407407407407418
2011-03-11,13.25,13.25,13.25,13.25,10,False,True,0,0.9763332084426126,1.0392156862745099,-0.031264715358497175,-0.01851851851851849
2011-03-14,13.3,13.3,13.3,13.3,2,False,False,0,0.9763332084426126,1.043137254901961,-0.031264715358497175,-0.014814814814814503
2011-03-15,13.5,13.5,13.36,13.36,21,False,False,0,0.9763332084426126,1.0478431372549022,-0.031264715358497175,-0.010370370370370141
2011-03-16,13.5,13.5,13.5,13.5,2,False,False,0,0.9763332084426126,1.0588235294117652,-0.031264715358497175,0.0
2011-03-17,13.25,13.25,13.25,13.25,1,False,False,0,0.9763332084426126,1.0392156862745103,-0.031264715358497175,-0.01851851851851849
2011-03-21,13.32,13.32,13.32,13.32,8,False,False,0,0.9763332084426126,1.0447058823529418,-0.031264715358497175,-0.013333333333333197
2011-03-23,13.15,13.25,13.15,13.25,6,False,False,0,0.9763332084426126,1.0392156862745103,-0.031264715358497175,-0.01851851851851849
2011-03-24,13.5,13.5,13.5,13.5,8,False,False,0,0.9763332084426126,1.0588235294117652,-0.031264715358497175,0.0
2011-03-25,13.75,13.75,13.75,13.75,416,False,False,0,0.9763332084426126,1.0784313725490202,-0.031264715358497175,0.0
2011-03-28,13.75,13.75,13.25,13.25,22,False,False,0,0.9763332084426126,1.0392156862745103,-0.031264715358497175,-0.036363636363636376
2011-03-29,13.5,13.65,13.5,13.65,6,False,False,0,0.9763332084426126,1.0705882352941183,-0.031264715358497175,-0.0072727272727272085
2011-03-30,14.0,14.0,13.95,13.95,12,False,False,0,0.9763332084426126,1.094117647058824,-0.031264715358497175,0.0
2011-03-31,14.4,14.4,14.0,14.0,9,False,False,0,0.9763332084426126,1.098039215686275,-0.031264715358497175,0.0
2011-04-01,14.65,14.65,14.65,14.65,2,False,False,0,0.9763332084426126,1.1490196078431378,-0.031264715358497175,0.0
2011-04-04,14.61,14.75,14.61,14.75,39,False,False,0,0.9763332084426126,1.1568627450980398,-0.031264715358497175,0.0
2011-04-05,14.62,14.8,14.58,14.8,15,False,False,0,0.9763332084426126,1.160784313725491,-0.031264715358497175,0.0
2011-04-06,14.75,15.05,14.75,14.75,31,False,False,0,0.9763332084426126,1.15686274509804,-0.031264715358497175,-0.0033783783783783994
2011-04-07,14.45,14.5,14.45,14.5,16,False,False,0,0.9763332084426126,1.1372549019607852,-0.031264715358497175,-0.020270270270270174
2011-04-08,14.64,14.64,14.64,14.64,17,False,False,0,0.9763332084426126,1.148235294117648,-0.031264715358497175,-0.0108108108108107
2011-04-11,14.89,14.89,14.75,14.75,7,False,False,0,0.9763332084426126,1.15686274509804,-0.031264715358497175,-0.0033783783783783994
2011-04-12,14.95,14.95,14.95,14.95,1,False,False,0,0.9763332084426126,1.1725490196078439,-0.031264715358497175,0.0
2011-04-13,15.0,15.0,15.0,15.0,7,False,False,0,0.9763332084426126,1.1764705882352948,-0.031264715358497175,0.0
2011-04-14,15.0,15.0,15.0,15.0,12,False,False,0,0.9763332084426126,1.1764705882352948,-0.031264715358497175,0.0
2011-04-15,15.0,15.0,15.0,15.0,2,False,False,0,0.9763332084426126,1.1764705882352948,-0.031264715358497175,0.0
2011-04-18,14.78,14.85,14.24,14.24,16,False,False,0,0.9763332084426126,1.1168627450980397,-0.031264715358497175,-0.05066666666666675
