交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,34.64,34.82,34.37,34.72,10754,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,34.86,35.18,34.8,34.97,10543,False,False,0,1.0,1.007200460829493,0.0,0.0
2006-12-15,34.92,35.12,34.71,34.85,15757,False,False,0,1.0,1.0037442396313365,0.0,-0.003431512725192931
2006-12-18,35.0,35.39,34.53,34.54,14214,False,False,0,1.0,0.9948156682027651,0.0,-0.012296253931941559
2006-12-19,34.42,34.78,34.01,34.62,15856,False,False,0,1.0,0.9971198156682028,0.0,-0.010008578781812938
2006-12-20,34.6,35.18,34.6,35.14,13759,False,False,0,1.0,1.0120967741935485,0.0,0.0
2006-12-21,37.29,38.0,36.07,36.62,71952,False,False,0,1.0,1.0547235023041475,0.0,0.0
2006-12-22,36.67,36.74,36.3,36.45,16613,False,False,0,1.0,1.0498271889400923,0.0,-0.004642271982523094
2006-12-26,36.28,36.44,36.04,36.33,13487,False,False,0,1.0,1.0463709677419355,0.0,-0.007919169852539598
2006-12-27,36.22,36.72,36.22,36.54,17470,False,False,0,1.0,1.0524193548387097,0.0,-0.0021845985800108547
2006-12-28,36.38,37.28,36.37,37.21,21121,False,False,0,1.0,1.0717165898617513,0.0,0.0
2006-12-29,37.05,37.32,36.9,37.0,19012,False,False,0,1.0,1.065668202764977,0.0,-0.005643644181671625
2007-01-03,36.55,37.0,36.17,36.29,24887,False,False,0,1.0,1.0452188940092166,0.0,-0.024724536414942322
2007-01-04,36.12,37.23,36.0,37.2,23080,False,False,0,1.0,1.0714285714285716,0.0,-0.00026874496103201917
2007-01-05,36.75,36.99,36.45,36.65,16793,False,False,0,1.0,1.0555875576036868,0.0,-0.015049717817790853
2007-01-08,36.51,37.38,36.51,37.21,21242,False,False,0,1.0,1.0717165898617513,0.0,0.0
2007-01-09,37.1,37.45,36.85,37.13,26010,False,False,0,1.0,1.0694124423963136,0.0,-0.0021499596882558203
2007-01-10,36.82,37.4,36.74,37.34,21569,False,False,0,1.0,1.0754608294930879,0.0,0.0
2007-01-11,37.24,37.38,37.0,37.21,23888,False,False,0,1.0,1.0717165898617513,0.0,-0.0034815211569363402
2007-01-12,37.19,37.98,37.15,37.96,36477,False,False,0,1.0,1.0933179723502306,0.0,0.0
2007-01-16,37.51,37.66,37.0,37.11,31012,False,False,0,1.0,1.0688364055299542,0.0,-0.022391991570073766
2007-01-17,37.3,37.86,37.29,37.52,30942,False,False,0,1.0,1.080645161290323,0.0,-0.011591148577449806
2007-01-18,37.52,37.7,37.07,37.15,39164,False,False,0,1.0,1.069988479262673,0.0,-0.021338250790305602
2007-01-19,37.2,37.23,36.6,36.75,34802,False,False,0,1.0,1.0584677419354842,0.0,-0.03187565858798724
2007-01-22,36.75,36.79,36.49,36.67,30961,False,False,0,1.0,1.0561635944700465,0.0,-0.03398314014752357
2007-01-23,36.7,37.2,36.63,36.81,26102,False,False,0,1.0,1.0601958525345627,0.0,-0.030295047418334886
2007-01-24,36.68,36.9,36.34,36.75,31297,False,False,0,1.0,1.0584677419354842,0.0,-0.03187565858798724
2007-01-25,36.9,37.12,36.37,36.58,26357,False,False,0,1.0,1.0535714285714288,0.0,-0.03635405690200211
2007-01-26,36.68,36.78,35.91,36.58,18479,False,False,0,1.0,1.0535714285714288,0.0,-0.03635405690200211
2007-01-29,36.37,36.94,36.31,36.92,21400,False,False,0,1.0,1.0633640552995396,0.0,-0.02739726027397238
2007-01-30,36.85,37.23,36.75,37.05,21251,False,False,0,1.0,1.067108294930876,0.0,-0.0239726027397259
2007-01-31,37.0,37.86,36.89,37.7,33911,False,False,0,1.0,1.085829493087558,0.0,-0.006849315068492956
2007-02-01,37.74,38.07,37.64,38.07,30647,False,False,0,1.0,1.0964861751152077,0.0,0.0
2007-02-02,38.09,38.6,38.09,38.56,24811,False,False,0,1.0,1.1105990783410142,0.0,0.0
2007-02-05,38.73,38.8,38.14,38.66,25415,False,False,0,1.0,1.1134792626728114,0.0,0.0
2007-02-06,38.58,38.74,38.46,38.55,22172,False,False,0,1.0,1.1103110599078345,0.0,-0.002845318158303023
2007-02-07,38.5,39.1,38.44,39.1,20793,False,False,0,1.0,1.1261520737327195,0.0,0.0
2007-02-09,38.84,38.93,38.48,38.76,16749,False,False,0,1.0,1.1163594470046088,0.0,-0.008695652173913215
2007-02-12,38.3,38.68,38.16,38.38,25778,False,False,0,1.0,1.1054147465437794,0.0,-0.018414322250639437
2007-02-13,38.69,38.8,38.43,38.74,20496,False,False,0,1.0,1.1157834101382496,0.0,-0.009207161125319607
2007-02-14,38.72,39.25,38.69,39.2,23933,False,False,0,1.0,1.129032258064517,0.0,0.0
2007-02-15,38.95,39.13,38.75,38.83,19008,True,False,1,1.0,1.118375576036867,0.0,-0.009438775510204223
2007-02-16,38.83,38.99,38.46,38.75,27220,False,False,1,0.9979397373165079,1.1160714285714293,-0.002060262683492131,-0.011479591836734748
2007-02-20,38.56,39.05,38.56,38.82,16553,False,False,1,0.9997424671645635,1.1180875576036873,-0.0002575328354365025,-0.009693877551020469
2007-02-21,38.75,38.76,38.4,38.47,18660,False,False,1,0.9907288179242854,1.108006912442397,-0.009271182075714646,-0.018622448979591866
2007-02-22,38.42,38.45,38.12,38.32,37544,False,False,1,0.9868658253927376,1.103686635944701,-0.013134174607262405,-0.022448979591836893
2007-02-23,38.17,38.37,37.95,38.28,22571,False,False,1,0.9858356940509916,1.1025345622119822,-0.014164305949008416,-0.0234693877551021
2007-02-26,38.25,38.49,37.8,37.96,21277,False,False,1,0.977594643317023,1.093317972350231,-0.02240535668297705,-0.031632653061224536
2007-02-27,37.32,37.4,36.5,36.99,19725,False,False,1,0.9526139582796808,1.065380184331798,-0.04738604172031924,-0.05637755102040809
2007-02-28,37.67,37.67,35.3,35.72,58673,False,True,0,0.9199072881792428,1.028801843317973,-0.08009271182075717,-0.08877551020408159
2007-03-01,35.05,35.53,34.67,35.24,41219,False,False,0,0.9199072881792428,1.0149769585253465,-0.08009271182075717,-0.10102040816326507
2007-03-02,35.75,35.95,35.36,35.75,34821,False,False,0,0.9199072881792428,1.0296658986175125,-0.08009271182075717,-0.0880102040816324
2007-03-05,36.65,36.65,34.9,34.94,25831,False,False,0,0.9199072881792428,1.0063364055299546,-0.08009271182075717,-0.10867346938775513
2007-03-06,34.29,35.85,34.28,35.27,32852,False,False,0,0.9199072881792428,1.0158410138248857,-0.08009271182075717,-0.10025510204081611
2007-03-07,35.4,35.46,34.98,35.13,24829,False,False,0,0.9199072881792428,1.0118087557603694,-0.08009271182075717,-0.10382653061224478
2007-03-08,35.5,35.93,35.37,35.74,15115,False,False,0,0.9199072881792428,1.0293778801843325,-0.08009271182075717,-0.08826530612244898
2007-03-09,35.99,36.46,35.8,36.15,24821,False,False,0,0.9199072881792428,1.041186635944701,-0.08009271182075717,-0.07780612244897966
2007-03-12,35.93,36.69,35.73,36.37,18860,False,False,0,0.9199072881792428,1.047523041474655,-0.08009271182075717,-0.07219387755102047
2007-03-13,36.1,36.15,35.54,35.64,15198,False,False,0,0.9199072881792428,1.0264976958525354,-0.08009271182075717,-0.09081632653061211
2007-03-14,35.55,35.9,35.24,35.46,22501,False,False,0,0.9199072881792428,1.0213133640553003,-0.08009271182075717,-0.0954081632653061
2007-03-15,35.38,35.5,34.92,34.99,23279,False,False,0,0.9199072881792428,1.0077764976958534,-0.08009271182075717,-0.10739795918367334
2007-03-16,34.97,35.31,34.63,35.23,24863,False,False,0,0.9199072881792428,1.0146889400921666,-0.08009271182075717,-0.10127551020408165
2007-03-19,35.25,35.87,35.2,35.73,14243,False,False,0,0.9199072881792428,1.0290898617511528,-0.08009271182075717,-0.08852040816326534
2007-03-20,35.95,36.5,35.62,36.34,19976,False,False,0,0.9199072881792428,1.046658986175116,-0.08009271182075717,-0.07295918367346921
2007-03-21,36.28,36.71,36.17,36.64,16200,False,False,0,0.9199072881792428,1.0552995391705078,-0.08009271182075717,-0.06530612244897949
2007-03-22,35.73,37.51,35.73,36.69,16743,False,False,0,0.9199072881792428,1.0567396313364064,-0.08009271182075717,-0.06403061224489781
2007-03-23,36.41,36.92,36.3,36.39,17504,False,False,0,0.9199072881792428,1.0480990783410147,-0.08009271182075717,-0.07168367346938764
2007-03-26,37.35,37.35,36.3,36.72,27370,False,False,0,0.9199072881792428,1.0576036866359455,-0.08009271182075717,-0.06326530612244896
2007-03-27,36.81,36.98,36.23,36.32,36311,False,False,0,0.9199072881792428,1.0460829493087567,-0.08009271182075717,-0.07346938775510192
2007-03-28,37.0,37.77,36.72,37.65,70865,False,False,0,0.9199072881792428,1.08438940092166,-0.08009271182075717,-0.03954081632653039
2007-03-29,37.77,38.68,37.76,38.65,37804,False,False,0,0.9199072881792428,1.1131912442396323,-0.08009271182075717,-0.014030612244897767
2007-03-30,38.6,38.95,38.22,38.57,25304,False,False,0,0.9199072881792428,1.1108870967741946,-0.08009271182075717,-0.016071428571428292
2007-04-02,38.37,39.05,38.37,38.77,28305,False,False,0,0.9199072881792428,1.1166474654377891,-0.08009271182075717,-0.0109693877551017
2007-04-03,38.74,38.8,38.48,38.53,20622,False,False,0,0.9199072881792428,1.1097350230414758,-0.08009271182075717,-0.01709183673469361
2007-04-04,38.06,38.75,38.0,38.68,28039,True,False,1,0.9199072881792428,1.1140552995391715,-0.08009271182075717,-0.013265306122448806
2007-04-05,38.52,38.83,38.52,38.64,14195,False,False,1,0.9189559879846417,1.1129032258064526,-0.08104401201535827,-0.014285714285714013
2007-04-09,38.35,38.58,38.1,38.34,21995,False,False,1,0.9118212365251337,1.104262672811061,-0.0881787634748663,-0.021938775510203845
2007-04-10,38.33,38.6,38.0,38.12,22296,False,False,1,0.9065890854548276,1.0979262672811068,-0.09341091454517236,-0.027551020408163263
2007-04-11,38.02,38.34,37.73,38.2,41765,False,False,1,0.90849168584403,1.1002304147465447,-0.09150831415597005,-0.025510204081632515
2007-04-12,38.0,38.5,37.57,38.45,33312,False,False,1,0.9144373120602867,1.1074308755760378,-0.08556268793971333,-0.01913265306122436
2007-04-13,39.25,39.25,38.25,38.68,18901,False,False,1,0.9199072881792427,1.1140552995391713,-0.08009271182075728,-0.013265306122449028
2007-04-16,38.7,38.8,38.48,38.79,18494,False,False,1,0.9225233637143957,1.1172235023041484,-0.0774766362856043,-0.010459183673469319
2007-04-17,38.75,39.0,38.74,38.92,20392,False,False,1,0.9256150893468493,1.1209677419354849,-0.07438491065315067,-0.0071428571428568954
2007-04-18,38.58,38.88,38.3,38.65,26091,False,False,1,0.919193813033292,1.1131912442396323,-0.08080618696670805,-0.014030612244897767
2007-04-19,38.56,38.75,38.2,38.3,17938,False,False,1,0.9108699363305325,1.103110599078342,-0.08913006366946752,-0.022959183673469163
2007-04-20,38.5,38.63,38.27,38.51,23791,False,False,1,0.9158642623521882,1.1091589861751163,-0.08413573764781179,-0.017602040816326214
2007-04-23,38.42,38.83,38.41,38.59,12305,False,False,1,0.9177668627413904,1.1114631336405543,-0.08223313725860959,-0.015561224489795467
2007-04-24,38.67,38.84,38.45,38.77,14724,False,False,1,0.9220477136170953,1.1166474654377894,-0.07795228638290475,-0.010969387755101478
2007-04-25,38.8,39.44,38.61,39.33,21285,False,False,1,0.9353659163415102,1.1327764976958536,-0.06463408365848977,0.0
2007-04-26,39.37,39.58,38.58,38.78,16082,False,False,1,0.9222855386657455,1.1169354838709689,-0.07771446133425453,-0.013984235952199331
2007-04-27,38.82,38.9,38.47,38.67,11991,False,False,1,0.9196694631305925,1.113767281105992,-0.0803305368694075,-0.016781083142639153
2007-04-30,38.6,39.29,38.5,39.1,20064,False,False,1,0.9298959402225542,1.1261520737327202,-0.07010405977744583,-0.005847953216374102
2007-05-01,39.01,39.2,38.8,38.99,11401,False,False,1,0.9272798646874012,1.1229838709677433,-0.0727201353125988,-0.008644800406813924
2007-05-02,38.93,39.2,38.74,38.95,13842,False,False,1,0.9263285644928001,1.1218317972350245,-0.0736714355071999,-0.00966183574879198
2007-05-03,39.18,39.4,38.7,39.29,12257,False,False,1,0.9344146161469092,1.131624423963135,-0.06558538385309076,-0.0010170353419779454
