交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2015-01-02,2.7,2.73,2.64,2.69,77292,False,False,1,1.0,1.0,0.0,0.0
2015-01-05,2.67,2.7,2.64,2.66,82506,False,False,1,0.9888475836431229,0.9888475836431229,-0.011152416356877137,-0.011152416356877137
2015-01-06,2.65,2.66,2.55,2.63,118627,False,False,1,0.9776951672862454,0.9776951672862454,-0.022304832713754608,-0.022304832713754608
2015-01-07,2.63,2.65,2.54,2.58,117953,False,False,1,0.9591078066914499,0.9591078066914499,-0.040892193308550095,-0.040892193308550095
2015-01-08,2.59,2.65,2.56,2.61,97145,False,False,1,0.9702602230483272,0.9702602230483272,-0.029739776951672847,-0.029739776951672847
2015-01-09,2.63,2.64,2.58,2.63,83796,False,False,1,0.9776951672862454,0.9776951672862454,-0.022304832713754608,-0.022304832713754608
2015-01-12,2.62,2.64,2.55,2.63,94825,False,False,1,0.9776951672862454,0.9776951672862454,-0.022304832713754608,-0.022304832713754608
2015-01-13,2.64,2.68,2.6,2.66,159323,False,False,1,0.9888475836431229,0.9888475836431229,-0.011152416356877137,-0.011152416356877137
2015-01-14,2.6,2.66,2.58,2.63,92886,False,False,1,0.9776951672862454,0.9776951672862454,-0.022304832713754608,-0.022304832713754608
2015-01-15,2.62,2.65,2.49,2.52,169390,False,False,1,0.9368029739776953,0.9368029739776953,-0.0631970260223047,-0.0631970260223047
2015-01-16,2.52,2.53,2.39,2.39,290923,False,False,1,0.8884758364312269,0.8884758364312269,-0.11152416356877315,-0.11152416356877315
2015-01-20,2.39,2.43,2.19,2.24,517150,False,False,1,0.8327137546468403,0.8327137546468403,-0.16728624535315972,-0.16728624535315972
2015-01-21,2.18,2.45,2.14,2.45,450933,False,False,1,0.9107806691449816,0.9107806691449816,-0.08921933085501843,-0.08921933085501843
2015-01-22,2.42,2.5,2.37,2.47,350249,False,False,1,0.9182156133828998,0.9182156133828998,-0.08178438661710019,-0.08178438661710019
2015-01-23,2.48,2.5,2.43,2.45,104820,False,False,1,0.9107806691449816,0.9107806691449816,-0.08921933085501843,-0.08921933085501843
2015-01-26,2.44,2.64,2.44,2.61,354342,False,False,1,0.9702602230483272,0.9702602230483272,-0.029739776951672847,-0.029739776951672847
2015-01-27,2.58,2.84,2.56,2.7,502620,False,False,1,1.0037174721189592,1.0037174721189592,0.0,0.0
2015-01-28,2.71,2.75,2.6,2.63,237753,False,True,0,0.9776951672862454,0.9776951672862454,-0.02592592592592602,-0.02592592592592602
2015-01-29,2.63,2.69,2.51,2.61,172021,False,False,0,0.9776951672862454,0.9702602230483272,-0.02592592592592602,-0.03333333333333344
2015-01-30,2.56,2.6,2.51,2.57,120098,False,False,0,0.9776951672862454,0.9553903345724907,-0.02592592592592602,-0.04814814814814827
2015-02-02,2.69,2.75,2.65,2.67,244248,False,False,0,0.9776951672862454,0.9925650557620819,-0.02592592592592602,-0.011111111111111183
2015-02-03,2.7,2.8,2.68,2.76,214249,False,False,0,0.9776951672862454,1.0260223048327137,-0.02592592592592602,0.0
2015-02-04,2.78,2.92,2.76,2.85,276246,False,False,0,0.9776951672862454,1.059479553903346,-0.02592592592592602,0.0
2015-02-05,2.88,3.37,2.87,3.31,700478,False,False,0,0.9776951672862454,1.2304832713754648,-0.02592592592592602,0.0
2015-02-06,3.2,3.21,3.0,3.03,361898,False,False,0,0.9776951672862454,1.1263940520446096,-0.02592592592592602,-0.08459214501510581
2015-02-09,3.03,3.07,2.93,3.04,232532,False,False,0,0.9776951672862454,1.1301115241635689,-0.02592592592592602,-0.08157099697885195
2015-02-10,3.07,3.1,3.01,3.04,131569,False,False,0,0.9776951672862454,1.1301115241635689,-0.02592592592592602,-0.08157099697885195
2015-02-11,3.03,3.1,3.0,3.07,111344,False,False,0,0.9776951672862454,1.141263940520446,-0.02592592592592602,-0.0725075528700907
2015-02-12,3.08,3.15,3.05,3.12,122680,False,False,0,0.9776951672862454,1.1598513011152418,-0.02592592592592602,-0.05740181268882161
2015-02-13,3.13,3.18,3.11,3.15,87633,True,False,1,0.9776951672862454,1.171003717472119,-0.02592592592592602,-0.048338368580060354
2015-02-17,3.16,3.17,3.08,3.11,80866,False,False,1,0.965279990558801,1.1561338289962826,-0.03829512051734285,-0.06042296072507558
2015-02-18,3.11,3.14,3.06,3.08,63197,False,False,1,0.9559686080132177,1.1449814126394053,-0.047572016460905475,-0.06948640483383683
2015-02-19,3.06,3.08,3.01,3.055,62675,False,False,1,0.948209122558565,1.1356877323420076,-0.05530276308054083,-0.07703927492447127
2015-02-20,3.03,3.13,3.02,3.06,92286,False,False,1,0.9497610196494956,1.137546468401487,-0.05375661375661378,-0.07552870090634434
2015-02-23,3.05,3.1,3.03,3.06,59073,False,False,1,0.9497610196494956,1.137546468401487,-0.05375661375661378,-0.07552870090634434
2015-02-24,3.06,3.12,3.02,3.11,101884,False,False,1,0.965279990558801,1.1561338289962826,-0.03829512051734285,-0.06042296072507558
2015-02-25,3.08,3.14,3.06,3.1,56266,False,False,1,0.96217619637694,1.1524163568773236,-0.04138741916519695,-0.06344410876132922
2015-02-26,3.1,3.13,3.06,3.08,83353,False,False,1,0.9559686080132177,1.1449814126394053,-0.047572016460905475,-0.06948640483383683
2015-02-27,3.07,3.12,3.07,3.11,67145,False,False,1,0.965279990558801,1.1561338289962826,-0.03829512051734285,-0.06042296072507558
2015-03-02,3.13,3.23,3.11,3.21,134172,False,False,1,0.996317932377412,1.1933085501858738,-0.0073721340388007706,-0.030211480362537624
2015-03-03,3.2,3.23,3.13,3.14,81439,False,False,1,0.9745913731043844,1.1672862453531603,-0.029018224573780116,-0.05135951661631388
2015-03-04,3.14,3.14,3.01,3.05,115472,False,False,1,0.9466572254676343,1.1338289962825283,-0.0568489124044681,-0.07854984894259787
2015-03-05,3.1,3.1,2.98,2.98,106541,False,False,1,0.9249306661946067,1.1078066914498146,-0.07849500293944744,-0.09969788519637435
2015-03-06,2.96,2.99,2.83,2.92,160268,False,False,1,0.9063079011034402,1.0855018587360599,-0.09704879482657269,-0.11782477341389697
2015-03-09,2.92,2.98,2.9,2.93,118446,False,False,1,0.9094116952853013,1.089219330855019,-0.09395649617871848,-0.1148036253776431
2015-03-10,2.97,2.98,2.92,2.92,95227,False,False,1,0.9063079011034402,1.0855018587360599,-0.09704879482657269,-0.11782477341389697
2015-03-11,2.92,2.95,2.8,2.84,101596,False,True,0,0.8814775476485514,1.055762081784387,-0.12178718400940636,-0.1419939577039273
2015-03-12,2.76,2.79,2.71,2.76,130529,False,False,0,0.8814775476485514,1.0260223048327142,-0.12178718400940636,-0.16616314199395743
2015-03-13,2.74,2.78,2.71,2.75,77078,False,False,0,0.8814775476485514,1.0223048327137552,-0.12178718400940636,-0.16918429003021107
2015-03-16,2.75,2.81,2.75,2.76,56802,False,False,0,0.8814775476485514,1.0260223048327142,-0.12178718400940636,-0.16616314199395743
2015-03-17,2.75,2.8,2.73,2.77,70598,False,False,0,0.8814775476485514,1.0297397769516734,-0.12178718400940636,-0.16314199395770357
2015-03-18,2.77,2.82,2.72,2.75,106953,False,False,0,0.8814775476485514,1.0223048327137552,-0.12178718400940636,-0.16918429003021107
2015-03-19,2.76,2.78,2.73,2.74,84072,False,False,0,0.8814775476485514,1.0185873605947962,-0.12178718400940636,-0.17220543806646482
2015-03-20,2.76,2.8,2.74,2.8,82194,False,False,0,0.8814775476485514,1.0408921933085507,-0.12178718400940636,-0.15407854984894231
2015-03-23,2.81,2.85,2.8,2.84,56072,False,False,0,0.8814775476485514,1.0557620817843871,-0.12178718400940636,-0.1419939577039271
2015-03-24,2.85,2.85,2.76,2.79,74613,False,False,0,0.8814775476485514,1.0371747211895916,-0.12178718400940636,-0.15709969788519595
2015-03-25,2.78,2.79,2.56,2.63,254088,False,False,0,0.8814775476485514,0.9776951672862458,-0.12178718400940636,-0.20543806646525642
2015-03-26,2.59,2.7,2.53,2.65,271097,False,False,0,0.8814775476485514,0.9851301115241641,-0.12178718400940636,-0.19939577039274892
2015-03-27,2.7,2.8,2.63,2.72,156806,False,False,0,0.8814775476485514,1.011152416356878,-0.12178718400940636,-0.17824773413897232
2015-03-30,2.73,2.76,2.65,2.7,76981,False,False,0,0.8814775476485514,1.0037174721189597,-0.12178718400940636,-0.18429003021147994
2015-03-31,2.66,2.7,2.65,2.68,57298,False,False,0,0.8814775476485514,0.9962825278810414,-0.12178718400940636,-0.19033232628398755
2015-04-01,2.66,2.75,2.65,2.69,105269,False,False,0,0.8814775476485514,1.0000000000000004,-0.12178718400940636,-0.1873111782477338
2015-04-02,2.66,2.7,2.65,2.69,63857,False,False,0,0.8814775476485514,1.0000000000000004,-0.12178718400940636,-0.1873111782477338
2015-04-06,2.68,2.73,2.68,2.7,60600,False,False,0,0.8814775476485514,1.0037174721189597,-0.12178718400940636,-0.18429003021147994
2015-04-07,2.7,2.74,2.69,2.7,46457,False,False,0,0.8814775476485514,1.0037174721189597,-0.12178718400940636,-0.18429003021147994
2015-04-08,2.68,2.74,2.68,2.71,40106,False,False,0,0.8814775476485514,1.0074349442379187,-0.12178718400940636,-0.1812688821752263
2015-04-09,2.69,2.75,2.69,2.72,64927,False,False,0,0.8814775476485514,1.011152416356878,-0.12178718400940636,-0.17824773413897232
2015-04-10,2.74,2.78,2.73,2.76,57899,False,False,0,0.8814775476485514,1.0260223048327142,-0.12178718400940636,-0.16616314199395743
2015-04-13,2.76,2.8,2.73,2.78,79761,False,False,0,0.8814775476485514,1.0334572490706324,-0.12178718400940636,-0.16012084592144982
2015-04-14,2.77,2.79,2.65,2.67,124718,False,False,0,0.8814775476485514,0.9925650557620823,-0.12178718400940636,-0.1933534743202413
2015-04-15,2.7,2.74,2.65,2.7,139308,False,False,0,0.8814775476485514,1.0037174721189597,-0.12178718400940636,-0.18429003021147994
2015-04-16,2.72,2.94,2.7,2.87,257047,False,False,0,0.8814775476485514,1.0669144981412646,-0.12178718400940636,-0.13293051359516572
2015-04-17,2.54,2.58,2.45,2.575,503194,False,False,0,0.8814775476485514,0.9572490706319708,-0.12178718400940636,-0.2220543806646521
2015-04-20,2.56,2.57,2.45,2.49,264405,False,False,0,0.8814775476485514,0.9256505576208184,-0.12178718400940636,-0.24773413897280927
2015-04-21,2.53,2.53,2.35,2.35,296149,False,False,0,0.8814775476485514,0.8736059479553908,-0.12178718400940636,-0.29003021148036223
2015-04-22,2.35,2.36,2.25,2.28,255000,False,False,0,0.8814775476485514,0.847583643122677,-0.12178718400940636,-0.3111782477341387
2015-04-23,2.28,2.36,2.26,2.33,140810,False,False,0,0.8814775476485514,0.8661710037174726,-0.12178718400940636,-0.29607250755286973
2015-04-24,2.36,2.38,2.3,2.3,131458,False,False,0,0.8814775476485514,0.8550185873605952,-0.12178718400940636,-0.3051359516616311
