交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2016-02-02,135.51,137.59,131.7,133.24,43783,False,False,0,1.0,1.0,0.0,0.0
2016-02-03,137.45,137.61,130.29,131.36,46207,False,False,0,1.0,0.9858901230861603,0.0,-0.014109876913839692
2016-02-04,131.4,137.27,130.5,136.12,44096,False,False,0,1.0,1.0216151305914138,0.0,0.0
2016-02-05,137.0,137.0,126.98,128.36,55515,False,False,0,1.0,0.9633743620534373,0.0,-0.05700852189244776
2016-02-08,126.85,126.99,119.22,121.86,75210,False,False,0,1.0,0.9145902131492042,0.0,-0.10476050543637982
2016-02-09,119.92,125.72,118.77,119.71,45085,False,False,0,1.0,0.8984539177424193,0.0,-0.12055539230091117
2016-02-10,122.49,123.67,118.65,119.2,34270,False,False,0,1.0,0.8946262383668565,0.0,-0.12430208639435814
2016-02-11,116.51,117.64,114.25,116.31,53685,False,False,0,1.0,0.8729360552386668,0.0,-0.1455333529238908
2016-02-12,117.77,122.33,115.73,121.66,31766,False,False,0,1.0,0.9130891624136892,0.0,-0.10622979723773163
2016-02-16,123.27,126.79,122.95,126.24,29292,False,False,0,1.0,0.9474632242569794,0.0,-0.07258301498677677
2016-02-17,127.0,130.82,126.73,130.68,26803,True,False,1,1.0,0.9807865505854094,0.0,-0.039964736996767725
2016-02-18,131.76,132.0,126.08,127.07,32672,False,False,1,0.9723752678298132,0.953692584809366,-0.027624732170186794,-0.06648545401116701
2016-02-19,127.05,128.79,125.0,128.67,23326,False,False,1,0.9846189164370982,0.9657009906934849,-0.015381083562901798,-0.05473111960035304
2016-02-22,130.0,132.43,129.49,130.64,17160,False,False,1,0.9996939087848178,0.9804863404383063,-0.0003060912151822137,-0.04025859535703824
2016-02-23,130.16,130.5,128.06,128.16,15150,False,False,1,0.9807162534435262,0.9618733113179221,-0.019283746556473802,-0.058477813693799896
2016-02-24,126.51,131.25,125.5,130.34,19185,False,False,1,0.997398224670952,0.9782347643350341,-0.0026017753290480394,-0.04246253305906578
2016-02-25,130.78,132.49,128.69,132.47,21297,False,False,1,1.0136975818794,0.9942209546682673,0.0,-0.02681457537466969
2016-02-26,134.2,134.97,132.25,133.11,21845,False,False,1,1.0185950413223142,0.999024317021915,0.0,-0.022112841610343992
2016-02-29,133.34,137.92,132.9,133.97,25184,False,False,1,1.0251760024487298,1.0054788351846289,0.0,-0.015794886864531454
