交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,53.51,53.93,52.71,53.15,28416,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,54.55,55.12,53.83,54.11,92276,False,False,0,1.0,1.0180620884289746,0.0,0.0
2006-12-15,54.4,54.57,53.64,53.76,55167,False,False,0,1.0,1.0114769520225777,0.0,-0.006468305304010213
2006-12-18,53.95,54.19,53.65,53.79,34811,False,False,0,1.0,1.0120413922859832,0.0,-0.0059138791350950015
2006-12-19,53.59,53.7,52.95,53.29,37531,False,False,0,1.0,1.002634054562559,0.0,-0.015154315283681274
2006-12-20,53.25,53.45,52.84,52.93,20644,False,False,0,1.0,0.9958607714016934,0.0,-0.021807429310663373
2006-12-21,53.09,53.3,52.16,52.33,20957,False,False,0,1.0,0.9845719661335842,0.0,-0.032895952688966945
2006-12-22,52.44,52.58,51.95,52.21,16558,False,False,0,1.0,0.9823142050799625,0.0,-0.03511365736462746
2006-12-26,52.51,52.89,52.2,52.71,17265,False,False,0,1.0,0.9917215428033868,0.0,-0.025873221216041298
2006-12-27,53.0,53.55,52.75,53.4,29291,False,False,0,1.0,1.0047036688617121,0.0,-0.013121419330992423
2006-12-28,53.17,53.41,52.98,53.09,14483,False,False,0,1.0,0.9988711194731893,0.0,-0.01885048974311565
2006-12-29,52.97,53.39,52.66,52.82,12897,False,False,0,1.0,0.9937911571025401,0.0,-0.023840325263352335
2007-01-03,53.35,54.09,52.43,52.82,35533,False,False,0,1.0,0.9937911571025401,0.0,-0.023840325263352335
2007-01-04,53.49,54.22,53.02,54.09,36877,False,False,0,1.0,1.0176857949200377,0.0,-0.00036961744594332657
2007-01-05,54.15,54.24,53.11,53.41,31483,False,False,0,1.0,1.0048918156161806,0.0,-0.01293661060802076
2007-01-08,53.17,53.81,53.12,53.63,27574,False,False,0,1.0,1.0090310442144874,0.0,-0.008870818702642613
2007-01-09,53.63,54.16,53.6,54.03,26323,False,False,0,1.0,1.016556914393227,0.0,-0.0014784697837736394
2007-01-10,53.83,54.43,53.46,54.42,35266,False,False,0,1.0,1.0238946378174978,0.0,0.0
2007-01-11,54.41,55.42,54.22,55.36,33143,False,False,0,1.0,1.0415804327375353,0.0,0.0
2007-01-12,54.99,56.06,54.99,55.99,32929,False,False,0,1.0,1.05343367826905,0.0,0.0
2007-01-16,55.9,56.23,55.7,56.23,27359,False,False,0,1.0,1.0579492003762938,0.0,0.0
2007-01-17,55.99,56.79,55.93,56.68,43133,False,False,0,1.0,1.0664158043273757,0.0,0.0
2007-01-18,56.67,57.25,56.46,56.89,34084,False,False,0,1.0,1.070366886171214,0.0,0.0
2007-01-19,56.76,56.98,56.42,56.76,28849,False,False,0,1.0,1.0679209783631236,0.0,-0.002285111618913649
2007-01-22,56.77,56.77,55.89,56.34,20431,False,False,0,1.0,1.0600188146754475,0.0,-0.00966777992617307
2007-01-23,56.35,57.14,56.12,56.45,26065,False,False,0,1.0,1.0620884289746007,0.0,-0.007734223940938589
2007-01-24,56.45,57.18,56.45,57.06,18927,False,False,0,1.0,1.0735653809971784,0.0,0.0
2007-01-25,56.83,56.97,55.58,55.76,23728,False,False,0,1.0,1.049106302916275,0.0,-0.022783035401332086
2007-01-26,55.75,55.85,55.14,55.36,16938,False,False,0,1.0,1.0415804327375355,0.0,-0.02979320014020359
2007-01-29,55.0,55.89,54.66,55.32,27579,False,False,0,1.0,1.0408278457196616,0.0,-0.030494216614090686
2007-01-30,55.5,55.83,54.98,55.29,19518,False,False,0,1.0,1.040263405456256,0.0,-0.031019978969506146
2007-01-31,55.51,56.52,55.03,56.13,26701,False,False,0,1.0,1.0560677328316088,0.0,-0.016298633017876263
2007-02-01,56.25,56.88,56.09,56.37,18180,False,False,0,1.0,1.0605832549388523,0.0,-0.012092534174553582
2007-02-02,56.74,56.74,55.8,56.0,19936,False,False,0,1.0,1.0536218250235185,0.0,-0.018576936558009405
2007-02-05,56.0,56.7,55.86,56.22,16870,False,False,0,1.0,1.0577610536218252,0.0,-0.014721345951630216
2007-02-06,56.53,57.04,56.41,56.6,15564,False,False,0,1.0,1.0649106302916276,0.0,-0.008061689449702425
2007-02-07,56.62,57.45,56.62,57.12,27833,False,False,0,1.0,1.0746942615239887,0.0,0.0
2007-02-08,56.04,57.09,55.68,56.64,50240,False,False,0,1.0,1.0656632173095015,0.0,-0.008403361344537674
2007-02-09,56.78,56.88,55.85,56.0,22312,False,False,0,1.0,1.0536218250235185,0.0,-0.01960784313725472
2007-02-12,56.68,56.7,55.64,55.8,21976,False,False,0,1.0,1.0498588899341488,0.0,-0.02310924369747891
2007-02-13,56.16,56.62,55.85,56.46,20198,False,False,0,1.0,1.0622765757290689,0.0,-0.011554621848739344
2007-02-14,56.51,57.15,56.34,57.03,20144,False,False,0,1.0,1.0730009407337724,0.0,-0.0015756302521008347
2007-02-15,56.89,57.9,56.76,57.89,27869,True,False,1,1.0,1.0891815616180622,0.0,0.0
2007-02-16,57.72,58.1,57.57,57.77,38577,False,False,1,0.9979271031266195,1.0869238005644404,-0.0020728968733805253,-0.0020728968733805253
