交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,10.05,10.15,9.725,9.795,49852,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,9.84,10.0,9.83,9.99,36636,False,False,0,1.0,1.0199081163859112,0.0,0.0
2006-12-15,10.0,10.045,9.9,9.995,27572,False,False,0,1.0,1.0204185809086266,0.0,0.0
2006-12-18,9.985,10.08,9.515,9.525,46692,False,False,0,1.0,0.9724349157733536,0.0,-0.04702351175587782
2006-12-19,9.45,9.45,9.175,9.345,65320,False,False,0,1.0,0.9540581929555895,0.0,-0.06503251625812889
2006-12-20,9.34,9.5,9.325,9.34,52904,False,False,0,1.0,0.9535477284328737,0.0,-0.0655327663831915
2006-12-21,9.325,9.355,9.14,9.215,77464,False,False,0,1.0,0.9407861153649819,0.0,-0.07803901950975489
2006-12-22,9.215,9.245,8.99,9.02,40916,False,False,0,1.0,0.9208779989790707,0.0,-0.09754877438719356
2006-12-26,8.975,9.11,8.975,9.085,21980,False,False,0,1.0,0.9275140377743746,0.0,-0.09104552276138056
2006-12-27,9.125,9.27,9.125,9.25,41312,False,False,0,1.0,0.9443593670239916,0.0,-0.0745372686343172
2006-12-28,9.19,9.24,9.09,9.195,16212,False,False,0,1.0,0.9387442572741193,0.0,-0.08004002001000499
2006-12-29,9.175,9.26,9.07,9.1,22536,False,False,0,1.0,0.9290454313425215,0.0,-0.08954477238619307
2007-01-03,9.145,9.23,8.91,9.03,38452,False,False,0,1.0,0.921898928024502,0.0,-0.09654827413706857
2007-01-04,9.0,9.465,8.89,9.465,62920,False,False,0,1.0,0.9663093415007655,0.0,-0.053026513256628216
2007-01-05,9.375,9.995,9.275,9.885,111472,False,False,0,1.0,1.009188361408882,0.0,-0.011005502751375573
2007-01-08,9.9,10.0,9.78,9.98,45948,False,False,0,1.0,1.0188871873404797,0.0,-0.0015007503751874873
2007-01-09,10.0,10.11,9.86,9.975,47436,False,False,0,1.0,1.0183767228177638,0.0,-0.002001000500250205
2007-01-10,9.95,10.065,9.895,10.055,34136,False,False,0,1.0,1.0265441551812144,0.0,0.0
2007-01-11,10.045,10.665,10.0,10.435,102376,False,False,0,1.0,1.0653394589076055,0.0,0.0
2007-01-12,10.525,10.76,10.425,10.61,56680,False,False,0,1.0,1.083205717202654,0.0,0.0
2007-01-16,10.675,11.08,10.575,10.855,95040,False,False,0,1.0,1.1082184788157219,0.0,0.0
2007-01-17,10.765,10.865,10.615,10.68,48508,False,False,0,1.0,1.0903522205206733,0.0,-0.016121602947950397
2007-01-18,10.64,10.64,10.205,10.365,62112,False,False,0,1.0,1.058192955589586,0.0,-0.04514048825426087
