交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,27.74,27.79,27.405,27.5,34796,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,27.5,29.37,27.465,27.84,32642,False,False,0,1.0,1.0123636363636364,0.0,0.0
2006-12-15,27.89,28.195,27.715,27.84,37725,False,False,0,1.0,1.0123636363636364,0.0,0.0
2006-12-18,27.89,28.055,27.725,27.785,18084,False,False,0,1.0,1.0103636363636364,0.0,-0.0019755747126436463
2006-12-19,27.465,27.84,27.425,27.79,36743,False,False,0,1.0,1.0105454545454544,0.0,-0.0017959770114943652
2006-12-20,27.88,27.965,27.785,27.9,27650,False,False,0,1.0,1.0145454545454544,0.0,0.0
2006-12-21,27.92,27.98,27.57,27.61,16374,False,False,0,1.0,1.004,0.0,-0.01039426523297482
2006-12-22,27.605,27.635,27.33,27.475,14334,False,False,0,1.0,0.9990909090909091,0.0,-0.015232974910394104
2006-12-26,27.385,27.645,27.385,27.59,11436,False,False,0,1.0,1.0032727272727273,0.0,-0.01111111111111096
2006-12-27,27.62,27.83,27.59,27.83,16664,False,False,0,1.0,1.012,0.0,-0.002508960573476604
2006-12-28,27.735,27.91,27.68,27.695,20548,False,False,0,1.0,1.0070909090909093,0.0,-0.007347670250895777
2006-12-29,27.685,27.755,27.415,27.43,14310,False,False,0,1.0,0.9974545454545456,0.0,-0.01684587813620042
2007-01-03,27.45,27.545,26.785,27.135,54381,False,False,0,1.0,0.9867272727272729,0.0,-0.027419354838709387
2007-01-04,27.15,27.315,26.9,27.22,38801,False,False,0,1.0,0.9898181818181819,0.0,-0.024372759856630566
2007-01-05,27.19,27.19,26.705,26.92,37833,False,False,0,1.0,0.9789090909090911,0.0,-0.03512544802867357
2007-01-08,26.87,27.26,26.85,27.145,41021,False,False,0,1.0,0.9870909090909092,0.0,-0.027060931899641316
2007-01-09,27.245,27.785,27.195,27.515,43214,False,False,0,1.0,1.0005454545454546,0.0,-0.013799283154121711
2007-01-10,27.435,27.76,27.195,27.715,35917,False,False,0,1.0,1.007818181818182,0.0,-0.006630824372759636
2007-01-11,27.75,28.03,27.735,27.925,22021,False,False,0,1.0,1.0154545454545456,0.0,0.0
2007-01-12,27.705,27.99,27.58,27.86,26101,False,False,0,1.0,1.0130909090909093,0.0,-0.0023276633840644267
2007-01-16,27.76,28.09,27.735,28.08,23227,False,False,0,1.0,1.0210909090909093,0.0,0.0
2007-01-17,27.965,28.445,27.965,28.26,21649,False,False,0,1.0,1.027636363636364,0.0,0.0
2007-01-18,27.95,28.465,27.95,28.37,23554,False,False,0,1.0,1.031636363636364,0.0,0.0
2007-01-19,28.465,28.78,28.32,28.715,39852,False,False,0,1.0,1.0441818181818183,0.0,0.0
2007-01-22,28.64,28.72,28.2,28.275,30748,False,False,0,1.0,1.0281818181818183,0.0,-0.015323001915375278
2007-01-23,28.37,28.79,28.16,28.56,29462,False,False,0,1.0,1.0385454545454547,0.0,-0.005397875674734487
2007-01-24,28.385,28.445,28.2,28.355,41488,False,False,0,1.0,1.0310909090909093,0.0,-0.012537001567125117
2007-01-25,28.48,28.76,28.01,28.075,41042,False,False,0,1.0,1.020909090909091,0.0,-0.022288002786000405
2007-01-26,27.93,28.055,27.21,27.495,61984,False,False,0,1.0,0.999818181818182,0.0,-0.042486505310813105
2007-01-29,27.395,27.49,27.18,27.28,43504,False,False,0,1.0,0.9920000000000002,0.0,-0.049973881246735075
2007-01-30,27.385,27.465,27.03,27.435,43108,False,False,0,1.0,0.9976363636363638,0.0,-0.0445760055720007
2007-01-31,27.455,28.135,27.44,28.08,36168,False,False,0,1.0,1.0210909090909093,0.0,-0.02211387776423468
2007-02-01,28.215,28.37,27.955,28.08,45676,False,False,0,1.0,1.0210909090909093,0.0,-0.02211387776423468
2007-02-02,28.195,28.215,27.93,28.1,21675,False,False,0,1.0,1.021818181818182,0.0,-0.021417377677172222
2007-02-05,28.04,28.195,27.735,28.01,22282,False,False,0,1.0,1.0185454545454546,0.0,-0.0245516280689535
2007-02-06,28.125,28.13,27.96,28.0,14880,False,False,0,1.0,1.018181818181818,0.0,-0.024899878112484952
2007-02-07,28.055,28.2,27.955,28.02,12687,False,False,0,1.0,1.0189090909090908,0.0,-0.024203378025422495
2007-02-09,27.84,27.965,27.51,27.59,16521,False,False,0,1.0,1.0032727272727273,0.0,-0.03917812989726632
2007-02-12,27.67,27.78,27.525,27.635,11468,False,False,0,1.0,1.0049090909090912,0.0,-0.03761100470137546
2007-02-13,27.64,27.67,27.385,27.575,25560,False,False,0,1.0,1.002727272727273,0.0,-0.039700504962563055
2007-02-14,27.57,27.91,27.53,27.875,24422,False,False,0,1.0,1.013636363636364,0.0,-0.02925300365662531
2007-02-15,27.99,28.08,27.8,28.08,18147,True,False,1,1.0,1.0210909090909093,0.0,-0.02211387776423468
2007-02-16,27.91,28.005,27.79,27.885,20253,False,False,1,0.9930555555555556,1.0140000000000002,-0.00694444444444442,-0.02890475361309408
2007-02-20,27.93,28.42,27.89,28.365,37701,False,False,1,1.0101495726495726,1.0314545454545456,0.0,-0.012188751523593888
2007-02-21,28.385,28.385,28.19,28.21,26723,False,False,1,1.0046296296296298,1.025818181818182,-0.005464480874316724,-0.017586627198328375
2007-02-22,28.135,28.29,27.935,28.09,19474,False,False,1,1.0003561253561253,1.0214545454545456,-0.009695046712497879,-0.02176562772070345
2007-02-23,28.1,28.23,27.98,28.075,13270,False,False,1,0.9998219373219374,1.020909090909091,-0.010223867442270329,-0.022288002786000405
2007-02-26,28.105,28.205,27.86,27.915,19234,False,False,1,0.9941239316239316,1.0150909090909093,-0.015864621893178166,-0.027860003482500395
2007-02-27,27.815,27.82,26.54,26.79,53545,False,False,1,0.954059829059829,0.9741818181818183,-0.0555261766261238,-0.06703813337976672
2007-02-28,26.8,27.32,26.745,27.15,60369,False,True,0,0.9668803418803419,0.9872727272727274,-0.042834479111581114,-0.05450113181264149
2007-03-01,26.905,27.25,26.6,26.995,54545,False,False,0,0.9668803418803419,0.9816363636363639,-0.042834479111581114,-0.059899007487375866
2007-03-02,26.905,27.05,26.435,26.46,41274,False,False,0,0.9668803418803419,0.9621818181818184,-0.042834479111581114,-0.07853038481629804
2007-03-05,26.28,27.095,26.19,26.73,74094,False,False,0,0.9668803418803419,0.9720000000000002,-0.042834479111581114,-0.06912763364095409
2007-03-06,26.905,27.255,26.715,27.235,52120,False,False,0,0.9668803418803419,0.9903636363636364,-0.042834479111581114,-0.051541006442625825
2007-03-07,27.165,27.19,26.625,26.625,60042,False,False,0,0.9668803418803419,0.9681818181818184,-0.042834479111581114,-0.07278425909803232
2007-03-08,26.83,27.04,26.69,26.735,35149,False,False,0,0.9668803418803419,0.9721818181818183,-0.042834479111581114,-0.06895350861918859
2007-03-09,26.98,27.06,26.72,26.835,29312,False,False,0,0.9668803418803419,0.975818181818182,-0.042834479111581114,-0.06547100818387597
2007-03-12,26.68,27.12,26.665,27.07,21459,False,False,0,0.9668803418803419,0.9843636363636366,-0.042834479111581114,-0.05728713216089143
2007-03-13,26.99,27.0,26.415,26.5,54437,False,False,0,0.9668803418803419,0.9636363636363637,-0.042834479111581114,-0.07713738464217312
2007-03-14,26.525,26.8,26.305,26.69,33215,False,False,0,0.9668803418803419,0.9705454545454547,-0.042834479111581114,-0.07052063381507923
2007-03-15,26.68,26.95,26.55,26.885,25612,False,False,0,0.9668803418803419,0.9776363636363639,-0.042834479111581114,-0.06372975796621971
2007-03-16,26.94,27.115,26.835,26.88,29196,False,False,0,0.9668803418803419,0.9774545454545456,-0.042834479111581114,-0.06390388298798533
2007-03-19,27.135,27.325,26.96,27.12,25665,False,False,0,0.9668803418803419,0.9861818181818184,-0.042834479111581114,-0.055545881943235176
