交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,33.98,34.1,33.905,33.97,78857,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,34.04,34.28,33.925,34.25,80651,False,False,0,1.0,1.0082425669708566,0.0,0.0
2006-12-15,34.355,34.375,33.695,33.805,118375,False,False,0,1.0,0.9951427730350308,0.0,-0.012992700729926976
2006-12-18,33.645,34.23,33.645,34.03,72426,False,False,0,1.0,1.0017662643508978,0.0,-0.006423357664233631
2006-12-19,33.99,34.425,33.875,34.395,79147,False,False,0,1.0,1.012511039152193,0.0,0.0
2006-12-20,34.3,34.335,34.06,34.19,53650,False,False,0,1.0,1.0064763026199586,0.0,-0.0059601686291612666
2006-12-21,34.27,34.335,33.97,34.09,59923,False,False,0,1.0,1.0035325287017958,0.0,-0.008867567960459177
2006-12-22,33.645,34.15,33.4,33.685,63869,False,False,0,1.0,0.9916102443332353,0.0,-0.02064253525221671
2006-12-26,33.665,34.17,33.49,34.08,64927,False,False,0,1.0,1.0032381513099793,0.0,-0.00915830789358918
2006-12-27,34.03,34.24,33.865,34.08,68539,False,False,0,1.0,1.0032381513099793,0.0,-0.00915830789358918
2006-12-28,34.08,34.345,34.01,34.06,67940,False,False,0,1.0,1.0026493965263468,0.0,-0.00973978775984874
2006-12-29,33.96,34.15,33.815,33.885,74305,False,False,0,1.0,0.9974977921695612,0.0,-0.014827736589620555
2007-01-03,33.755,34.08,33.54,33.745,125453,False,False,0,1.0,0.993376508684133,0.0,-0.01889809565343792
2007-01-04,33.745,34.09,33.715,34.0,91741,False,False,0,1.0,1.000883132175449,0.0,-0.01148422735862753
2007-01-05,33.815,33.98,33.54,33.725,101155,False,False,0,1.0,0.9927877539005006,0.0,-0.019479575519697367
2007-01-08,33.735,34.17,33.615,34.05,90163,False,False,0,1.0,1.0023550191345305,0.0,-0.010030527692978408
2007-01-09,34.04,34.23,33.5,33.97,109602,False,False,0,1.0,1.0,0.0,-0.012356447158016981
2007-01-10,33.695,34.09,33.53,34.02,71232,False,False,0,1.0,1.0014718869590815,0.0,-0.01090274749236797
2007-01-11,34.13,34.565,33.99,34.525,116946,False,False,0,1.0,1.016337945245805,0.0,0.0
2007-01-12,34.525,34.82,34.385,34.73,117310,False,False,0,1.0,1.0223726817780394,0.0,0.0
2007-01-16,34.545,34.685,34.425,34.575,98368,False,False,0,1.0,1.0178098322048867,0.0,-0.004463000287935448
2007-01-17,34.535,34.83,34.435,34.78,84431,False,False,0,1.0,1.023844568737121,0.0,0.0
2007-01-18,34.83,35.45,34.78,35.355,167249,False,False,0,1.0,1.0407712687665585,0.0,0.0
2007-01-19,35.45,35.49,35.01,35.01,122343,False,False,0,1.0,1.030615248748896,0.0,-0.009758167161646014
