交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2012-05-18,42.05,45.0,38.0,38.18,5369670,False,False,0,1.0,1.0,0.0,0.0
2012-05-21,36.53,36.66,33.0,34.03,1530853,False,False,0,1.0,0.891304347826087,0.0,-0.10869565217391297
2012-05-22,32.66,33.59,30.94,31.0,948098,False,False,0,1.0,0.8119434258774227,0.0,-0.18805657412257726
2012-05-23,31.37,32.5,31.36,32.0,668446,False,False,0,1.0,0.8381351492928235,0.0,-0.1618648507071765
2012-05-24,32.98,33.21,31.77,33.03,440800,False,False,0,1.0,0.8651126244106863,0.0,-0.13488737558931374
2012-05-25,32.9,32.95,31.11,31.91,348918,False,False,0,1.0,0.8357778941854375,0.0,-0.16422210581456254
2012-05-29,31.46,31.69,28.65,28.84,735885,False,False,0,1.0,0.7553693033001572,0.0,-0.24463069669984283
2012-05-30,28.73,29.55,27.86,28.19,543458,False,False,0,1.0,0.7383446830801468,0.0,-0.2616553169198532
2012-05-31,28.56,29.64,26.83,29.6,818216,False,False,0,1.0,0.7752750130958618,0.0,-0.22472498690413822
2012-06-01,28.92,29.15,27.39,27.72,384829,False,False,0,1.0,0.7260345730749084,0.0,-0.2739654269250916
2012-06-04,27.22,27.65,26.44,26.9,332634,False,False,0,1.0,0.7045573598742797,0.0,-0.2954426401257203
2012-06-05,26.7,27.76,25.75,25.87,408819,False,False,0,1.0,0.6775798847564171,0.0,-0.32242011524358294
2012-06-06,26.12,27.17,25.52,26.81,593519,False,False,0,1.0,0.7022001047668937,0.0,-0.29779989523310635
2012-06-07,27.0,27.35,26.15,26.31,251108,True,False,1,1.0,0.6891042430591933,0.0,-0.31089575694080673
2012-06-08,26.57,27.76,26.44,27.1,362995,False,False,1,1.0300266058532879,0.70979570455736,0.0,-0.29020429544264004
2012-06-11,27.18,28.07,26.84,27.005,269441,False,False,1,1.0264158114785253,0.7073074908328968,-0.0035055350553506726,-0.2926925091671032
2012-06-12,27.45,27.77,26.96,27.4,147418,False,False,1,1.0414291144051693,0.7176532215819801,0.0,-0.2823467784180199
