交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,40.315,40.395,39.755,39.86,33098,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,40.03,41.135,40.03,40.62,66041,False,False,0,1.0,1.0190667335674861,0.0,0.0
2006-12-15,41.06,41.995,40.735,41.505,76021,False,False,0,1.0,1.0412694430506775,0.0,0.0
2006-12-18,42.095,42.365,40.915,41.145,50544,False,False,0,1.0,1.0322378324134471,0.0,-0.008673653776653412
2006-12-19,41.145,42.24,41.03,42.21,53129,False,False,0,1.0,1.0589563472152534,0.0,0.0
2006-12-20,42.145,42.79,42.03,42.44,41947,False,False,0,1.0,1.0647265429001505,0.0,0.0
2006-12-21,42.365,42.83,42.27,42.64,34860,False,False,0,1.0,1.0697441043652784,0.0,0.0
2006-12-22,42.61,42.82,42.375,42.545,26938,False,False,0,1.0,1.0673607626693427,0.0,-0.00222795497185746
2006-12-26,42.4,42.88,42.385,42.745,21754,False,False,0,1.0,1.0723783241344704,0.0,0.0
2006-12-27,42.885,43.25,42.79,43.2,30614,False,False,0,1.0,1.0837932764676366,0.0,0.0
2006-12-28,43.07,43.575,43.03,43.295,25463,False,False,0,1.0,1.0861766181635724,0.0,0.0
2006-12-29,43.2,43.42,42.935,43.02,21349,False,False,0,1.0,1.0792774711490214,0.0,-0.006351772722023363
2007-01-03,42.86,43.495,42.725,42.975,35042,False,False,0,1.0,1.0781485198193677,0.0,-0.007391153712899889
2007-01-04,42.745,43.04,42.25,42.925,26401,False,False,0,1.0,1.0768941294530856,0.0,-0.008546021480540511
2007-01-05,42.735,42.945,42.165,42.505,31427,False,False,0,1.0,1.066357250376317,0.0,-0.018246910728721533
2007-01-08,42.505,42.885,42.185,42.785,26412,False,False,0,1.0,1.0733818364274959,0.0,-0.011779651229934407
2007-01-09,42.905,43.155,42.525,43.05,30658,False,False,0,1.0,1.0800301053687904,0.0,-0.0056588520614391236
2007-01-10,42.745,42.925,42.48,42.82,22933,False,False,0,1.0,1.0742599096838932,0.0,-0.010971243792586072
2007-01-11,43.03,43.78,42.99,43.515,30449,False,False,0,1.0,1.0916959357752127,0.0,0.0
2007-01-12,43.42,43.505,42.88,43.38,27133,False,False,0,1.0,1.0883090817862515,0.0,-0.0031023784901756946
2007-01-16,43.24,43.515,43.05,43.41,23524,False,False,0,1.0,1.0890617160060205,0.0,-0.0024129610479145525
2007-01-17,43.295,43.695,43.145,43.39,27355,False,False,0,1.0,1.0885599598595077,0.0,-0.002872572676088758
2007-01-18,42.59,43.505,42.59,42.88,33160,False,False,0,1.0,1.0757651781234316,0.0,-0.014592669194530505
2007-01-19,43.19,43.38,42.895,43.095,36904,False,False,0,1.0,1.0811590566984441,0.0,-0.009651844191657988
2007-01-22,42.905,43.085,41.86,42.135,44936,False,False,0,1.0,1.05707476166583,0.0,-0.0317132023440192
2007-01-23,42.25,42.695,42.21,42.365,44934,False,False,0,1.0,1.0628449573507273,0.0,-0.026427668620015887
2007-01-24,42.26,42.705,42.125,42.27,26859,False,False,0,1.0,1.0604616156547915,0.0,-0.02861082385384328
2007-01-25,42.335,42.6,41.775,42.155,28728,False,False,0,1.0,1.0575765178123429,0.0,-0.03125359071584499
2007-01-26,41.985,42.365,41.07,42.0,49407,False,False,0,1.0,1.0536879076768686,0.0,-0.034815580834195115
2007-01-29,42.0,42.4,41.795,42.07,37257,False,False,0,1.0,1.0554440541896632,0.0,-0.03320694013558545
2007-01-30,42.105,43.06,42.105,42.985,43896,False,False,0,1.0,1.0783993978926234,0.0,-0.012179708146616397
2007-01-31,42.975,43.685,42.63,43.525,37360,False,False,0,1.0,1.0919468138484687,0.0,0.0
2007-02-01,43.59,43.8,43.325,43.725,36535,False,False,0,1.0,1.0969643753135967,0.0,0.0
2007-02-02,43.925,43.98,43.695,43.945,26163,False,False,0,1.0,1.1024836929252373,0.0,0.0
2007-02-05,43.775,43.905,43.48,43.8,23912,False,False,0,1.0,1.0988459608630194,0.0,-0.0032995790192286156
2007-02-06,43.81,44.38,43.705,44.345,29245,False,False,0,1.0,1.112518815855493,0.0,0.0
2007-02-07,44.39,44.505,44.07,44.305,32685,False,False,0,1.0,1.1115153035624674,0.0,-0.0009020182658698861
2007-02-09,44.46,44.505,43.86,44.05,31882,False,False,0,1.0,1.1051179126944293,0.0,-0.006652384710790438
2007-02-12,44.175,44.19,43.725,43.905,28353,False,False,0,1.0,1.1014801806322116,0.0,-0.009922200924568636
2007-02-13,43.885,44.355,43.82,44.285,32864,False,False,0,1.0,1.1110135474159546,0.0,-0.0013530273988049402
2007-02-14,44.275,45.365,43.98,45.22,45390,False,False,0,1.0,1.1344706472654278,0.0,0.0
2007-02-15,45.105,45.39,44.885,45.275,33675,True,False,1,1.0,1.135850476668338,0.0,0.0
2007-02-16,45.65,45.695,45.135,45.545,36827,False,False,1,1.0059635560463833,1.1426241846462608,0.0,0.0
2007-02-20,45.675,45.96,45.505,45.8,41054,False,False,1,1.0115958034235228,1.1490215755142987,0.0,0.0
2007-02-21,45.665,46.115,45.505,46.03,29098,False,False,1,1.016675869685257,1.154791771199196,0.0,0.0
2007-02-22,45.98,46.17,45.58,45.875,32229,False,False,1,1.0132523467697407,1.150903161063722,-0.0033673691071040013,-0.0033673691071040013
2007-02-23,45.66,45.725,45.25,45.44,34777,False,False,1,1.003644395361679,1.1399899648770686,-0.012817727568976589,-0.0128177275689767
