交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,20.88,20.89,20.66,20.7,435694,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,20.74,21.14,20.41,20.76,462160,False,False,0,1.0,1.0028985507246377,0.0,0.0
2006-12-15,20.99,21.2,20.86,20.94,818507,False,False,0,1.0,1.0115942028985507,0.0,0.0
2006-12-18,21.09,21.3,20.66,20.81,470467,False,False,0,1.0,1.0053140096618356,0.0,-0.006208213944603802
2006-12-19,20.63,20.72,20.46,20.63,446647,False,False,0,1.0,0.9966183574879225,0.0,-0.014804202483285844
2006-12-20,20.7,20.94,20.57,20.6,293288,False,False,0,1.0,0.9951690821256037,0.0,-0.016236867239732722
2006-12-21,20.6,20.67,20.21,20.37,454525,False,False,0,1.0,0.9840579710144927,0.0,-0.027220630372492893
2006-12-22,20.36,20.43,20.09,20.09,330752,False,False,0,1.0,0.9705314009661834,0.0,-0.04059216809933164
2006-12-26,20.04,20.29,20.03,20.15,246729,False,False,0,1.0,0.973429951690821,0.0,-0.03772683858643766
2006-12-27,20.26,20.5,20.22,20.4,298979,False,False,0,1.0,0.9855072463768114,0.0,-0.025787965616046016
2006-12-28,20.4,20.48,20.33,20.41,283754,False,False,0,1.0,0.9859903381642511,0.0,-0.02531041069723028
2006-12-29,20.34,20.53,20.23,20.23,329921,False,False,0,1.0,0.9772946859903381,0.0,-0.03390639923591221
2007-01-03,20.45,20.9,20.14,20.35,628122,False,False,0,1.0,0.9830917874396135,0.0,-0.028175740210124256
2007-01-04,20.64,21.33,20.56,21.19,787432,False,False,0,1.0,1.023671497584541,0.0,0.0
2007-01-05,21.09,21.15,20.76,21.08,531095,False,False,0,1.0,1.018357487922705,0.0,-0.0051911278905144576
2007-01-08,21.26,21.34,20.95,20.99,502518,False,False,0,1.0,1.0140096618357486,0.0,-0.009438414346389812
2007-01-09,21.19,21.21,20.86,21.02,511930,False,False,0,1.0,1.0154589371980673,0.0,-0.008022652194431434
2007-01-10,21.09,21.62,21.03,21.52,732366,False,False,0,1.0,1.039613526570048,0.0,0.0
2007-01-11,21.62,22.05,21.03,21.92,961029,False,False,0,1.0,1.0589371980676325,0.0,0.0
2007-01-12,21.8,22.8,20.85,22.13,857288,False,False,0,1.0,1.0690821256038643,0.0,0.0
2007-01-16,22.11,22.3,21.78,22.28,1036036,False,False,0,1.0,1.0763285024154585,0.0,0.0
2007-01-17,21.25,22.25,20.78,21.05,1707967,False,False,0,1.0,1.016908212560386,0.0,-0.055206463195691224
2007-01-18,20.89,20.9,20.5,20.66,963429,False,False,0,1.0,0.9980676328502411,0.0,-0.07271095152603235
2007-01-19,20.64,20.87,20.6,20.83,629523,False,False,0,1.0,1.0062801932367145,0.0,-0.0650807899461402
2007-01-22,20.92,21.02,20.65,20.8,544335,False,False,0,1.0,1.0048309178743957,0.0,-0.06642728904847395
2007-01-23,20.85,20.88,20.46,20.54,645978,False,False,0,1.0,0.9922705314009657,0.0,-0.07809694793536814
2007-01-24,20.6,20.88,20.57,20.85,539513,False,False,0,1.0,1.0072463768115938,0.0,-0.06418312387791747
2007-01-25,20.88,21.04,20.6,20.6,545561,False,False,0,1.0,0.9951690821256035,0.0,-0.07540394973070019
2007-01-26,20.69,20.9,20.51,20.54,582509,False,False,0,1.0,0.9922705314009657,0.0,-0.07809694793536814
2007-01-29,20.81,21.14,20.7,20.89,770500,False,False,0,1.0,1.0091787439613522,0.0,-0.06238779174147224
2007-01-30,21.09,21.13,20.82,20.92,563996,False,False,0,1.0,1.0106280193236712,0.0,-0.061041292639138156
2007-01-31,20.96,21.02,20.69,20.95,435140,False,False,0,1.0,1.01207729468599,0.0,-0.05969479353680429
2007-02-01,20.96,21.14,20.87,21.1,463587,False,False,0,1.0,1.0193236714975844,0.0,-0.05296229802513441
2007-02-02,21.14,21.25,21.03,21.25,463853,False,False,0,1.0,1.0265700483091786,0.0,-0.04622980251346476
2007-02-05,21.22,21.65,21.17,21.26,473090,False,False,0,1.0,1.0270531400966183,0.0,-0.045780969479353395
