交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,65.8,66.0,64.65,65.5,73817,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,65.78,66.62,65.52,66.24,83816,False,False,0,1.0,1.011297709923664,0.0,0.0
2006-12-15,66.4,66.57,65.5,66.25,109503,False,False,0,1.0,1.0114503816793892,0.0,0.0
2006-12-18,66.22,66.84,66.22,66.57,72875,False,False,0,1.0,1.016335877862595,0.0,0.0
2006-12-19,66.65,67.25,66.63,66.87,92207,False,False,0,1.0,1.020916030534351,0.0,0.0
2006-12-20,66.65,66.89,66.34,66.45,86130,False,False,0,1.0,1.014503816793893,0.0,-0.00628084342754609
2006-12-21,66.23,66.38,65.88,66.01,75991,False,False,0,1.0,1.0077862595419846,0.0,-0.01286077463735602
2006-12-22,65.78,65.95,65.45,65.66,54474,False,False,0,1.0,1.002442748091603,0.0,-0.018094810826977725
2006-12-26,65.6,65.78,65.48,65.66,29671,False,False,0,1.0,1.002442748091603,0.0,-0.018094810826977725
2006-12-27,65.94,66.15,65.78,66.05,45958,False,False,0,1.0,1.0083969465648854,0.0,-0.012262599072827784
2006-12-28,65.86,66.6,65.86,66.37,50753,False,False,0,1.0,1.0132824427480915,0.0,-0.007477194556602229
2006-12-29,66.17,66.57,63.92,65.92,46340,False,False,0,1.0,1.0064122137404579,0.0,-0.014206669657544468
2007-01-03,66.13,67.1,66.11,66.41,108688,False,False,0,1.0,1.013893129770992,0.0,-0.006879018992074215
2007-01-04,65.9,67.62,65.9,67.23,107289,False,False,0,1.0,1.0264122137404579,0.0,0.0
2007-01-05,66.8,67.25,66.5,66.64,78880,False,False,0,1.0,1.0174045801526717,0.0,-0.008775844117209552
2007-01-08,66.51,66.75,66.05,66.52,57927,False,False,0,1.0,1.0155725190839693,0.0,-0.010560761564777699
2007-01-09,66.6,66.85,66.13,66.3,67259,False,False,0,1.0,1.0122137404580152,0.0,-0.013833110218652411
2007-01-10,66.56,66.56,66.07,66.16,60245,False,False,0,1.0,1.0100763358778626,0.0,-0.015915513907481582
