交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,47.78,47.9,47.5,47.6,94879,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,47.61,48.04,47.3,47.94,93485,False,False,0,1.0,1.0071428571428571,0.0,0.0
2006-12-15,48.2,48.65,48.0,48.26,137462,False,False,0,1.0,1.0138655462184873,0.0,0.0
2006-12-18,48.3,48.6,48.03,48.27,78164,False,False,0,1.0,1.0140756302521008,0.0,0.0
2006-12-19,48.03,48.48,47.95,48.27,82014,False,False,0,1.0,1.0140756302521008,0.0,0.0
2006-12-20,48.33,48.37,48.14,48.24,54282,False,False,0,1.0,1.0134453781512605,0.0,-0.0006215040397762328
2006-12-21,48.42,48.97,48.33,48.66,103168,False,False,0,1.0,1.0222689075630251,0.0,0.0
2006-12-22,48.64,48.8,47.62,47.9,76919,False,False,0,1.0,1.0063025210084033,0.0,-0.015618577887381746
2006-12-26,47.98,48.37,47.95,48.35,36313,False,False,0,1.0,1.0157563025210086,0.0,-0.006370735717221243
2006-12-27,48.54,49.0,47.82,48.97,69530,False,False,0,1.0,1.0287815126050421,0.0,0.0
2006-12-28,48.8,49.0,48.64,48.92,50103,False,False,0,1.0,1.027731092436975,0.0,-0.0010210332856851467
2006-12-29,48.75,48.91,48.27,48.28,75762,False,False,0,1.0,1.0142857142857145,0.0,-0.014090259342454559
2007-01-03,48.0,48.37,47.59,48.06,132509,False,False,0,1.0,1.0096638655462187,0.0,-0.018582805799469027
2007-01-04,48.05,48.55,47.75,48.21,85642,False,False,0,1.0,1.0128151260504203,0.0,-0.015519705942413697
2007-01-05,48.17,48.25,47.63,47.78,96599,False,False,0,1.0,1.0037815126050422,0.0,-0.024300592199305582
2007-01-08,47.57,48.06,47.32,47.92,77220,False,False,0,1.0,1.0067226890756305,0.0,-0.021441698999387304
2007-01-09,47.9,48.11,47.36,47.75,88169,False,False,0,1.0,1.0031512605042017,0.0,-0.024913212170716847
2007-01-10,47.47,48.12,47.44,48.12,82499,False,False,0,1.0,1.0109243697478991,0.0,-0.01735756585664705
2007-01-11,48.0,48.42,47.94,48.31,77421,False,False,0,1.0,1.0149159663865548,0.0,-0.013477639371043404
2007-01-12,48.1,48.26,47.9,48.0,102805,False,False,0,1.0,1.0084033613445378,0.0,-0.019808045742291336
2007-01-16,48.16,48.46,48.1,48.46,81311,False,False,0,1.0,1.0180672268907562,0.0,-0.010414539513988297
2007-01-17,48.65,48.89,48.12,48.47,153548,False,False,0,1.0,1.0182773109243697,0.0,-0.010210332856851356
2007-01-18,48.05,48.58,47.92,48.15,120940,False,False,0,1.0,1.0115546218487395,0.0,-0.016744945885236007
2007-01-19,48.3,48.83,48.14,48.75,136036,False,False,0,1.0,1.0241596638655461,0.0,-0.00449254645701469
2007-01-22,48.87,49.95,48.7,49.69,170878,False,False,0,1.0,1.04390756302521,0.0,0.0
2007-01-23,49.57,49.86,49.28,49.8,122764,False,False,0,1.0,1.0462184873949578,0.0,0.0
2007-01-24,49.68,50.4,49.51,50.35,128250,False,False,0,1.0,1.0577731092436975,0.0,0.0
2007-01-25,50.24,50.68,49.93,50.21,139285,False,False,0,1.0,1.0548319327731093,0.0,-0.0027805362462760552
2007-01-26,50.0,50.25,49.5,49.7,133390,False,False,0,1.0,1.0441176470588236,0.0,-0.012909632571995955
2007-01-29,49.57,49.65,48.28,49.47,115849,False,False,0,1.0,1.0392857142857144,0.0,-0.017477656405163744
2007-01-30,49.7,50.25,49.37,50.18,110556,False,False,0,1.0,1.054201680672269,0.0,-0.00337636544190667
2007-01-31,50.07,51.16,49.85,50.98,156564,False,False,0,1.0,1.0710084033613445,0.0,0.0
2007-02-01,50.96,51.24,50.86,51.21,125925,False,False,0,1.0,1.075840336134454,0.0,0.0
2007-02-02,51.22,51.33,50.73,50.95,141443,False,False,0,1.0,1.0703781512605044,0.0,-0.005077133372388132
2007-02-05,50.81,51.15,50.54,50.98,77297,False,False,0,1.0,1.0710084033613445,0.0,-0.00449131029095895
2007-02-06,50.85,51.32,50.76,51.0,88992,False,False,0,1.0,1.0714285714285716,0.0,-0.004100761570005829
2007-02-07,50.84,51.22,50.8,51.21,71008,False,False,0,1.0,1.075840336134454,0.0,0.0
2007-02-09,51.02,51.19,50.08,50.42,90515,False,False,0,1.0,1.0592436974789916,0.0,-0.015426674477641233
2007-02-12,50.59,50.65,50.25,50.5,69794,False,False,0,1.0,1.0609243697478992,0.0,-0.013864479593829526
2007-02-13,50.35,51.02,50.33,50.95,78117,False,False,0,1.0,1.0703781512605044,0.0,-0.005077133372388132
2007-02-14,51.09,51.55,51.0,51.41,100773,False,False,0,1.0,1.0800420168067226,0.0,0.0
2007-02-15,51.05,51.47,50.89,51.24,95284,True,False,1,1.0,1.0764705882352943,0.0,-0.0033067496595990953
2007-02-16,51.16,51.35,51.01,51.28,87639,False,False,1,1.0007806401249024,1.077310924369748,0.0,-0.0025286909161639226
2007-02-20,51.15,51.75,51.12,51.61,80181,False,False,1,1.0072209211553473,1.0842436974789917,0.0,0.0
2007-02-21,51.45,51.85,51.27,51.67,79366,False,False,1,1.008391881342701,1.0855042016806724,0.0,0.0
