交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,24.57,24.57,24.33,24.425,122330,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,24.445,24.585,24.365,24.485,138232,False,False,0,1.0,1.0024564994882292,0.0,0.0
2006-12-15,24.5,24.675,24.19,24.455,205524,False,False,0,1.0,1.0012282497441147,0.0,-0.0012252399428219762
2006-12-18,24.425,24.55,24.41,24.46,93658,False,False,0,1.0,1.0014329580348007,0.0,-0.0010210332856848137
2006-12-19,24.335,24.43,24.2,24.375,127542,False,False,0,1.0,0.9979529170931425,0.0,-0.004492546457014246
2006-12-20,24.365,24.41,24.32,24.375,112434,False,False,0,1.0,0.9979529170931425,0.0,-0.004492546457014246
2006-12-21,24.375,24.435,24.315,24.345,124206,False,False,0,1.0,0.9967246673490279,0.0,-0.005717786399836333
2006-12-22,24.365,24.4,24.125,24.195,72096,False,False,0,1.0,0.9905834186284547,0.0,-0.011843986113947103
2006-12-26,24.205,24.3,24.155,24.28,48584,False,False,0,1.0,0.9940634595701129,0.0,-0.00837247294261756
2006-12-27,24.345,24.39,24.145,24.37,87028,False,False,0,1.0,0.9977482088024567,0.0,-0.0046967531141512975
2006-12-28,24.325,24.405,24.25,24.28,73816,False,False,0,1.0,0.9940634595701129,0.0,-0.00837247294261756
2006-12-29,24.215,24.325,24.095,24.1,106414,False,False,0,1.0,0.9866939611054251,0.0,-0.015723912599550416
2007-01-03,24.18,24.44,24.14,24.315,146590,False,False,0,1.0,0.9954964176049133,0.0,-0.0069430263426585315
2007-01-04,24.21,24.35,24.125,24.295,108336,False,False,0,1.0,0.9946775844421702,0.0,-0.007759852971206516
2007-01-05,24.25,24.285,24.085,24.105,108928,False,False,0,1.0,0.9868986693961108,0.0,-0.015519705942413364
2007-01-08,24.005,24.335,24.005,24.275,134580,False,False,0,1.0,0.993858751279427,0.0,-0.008576679599754722
2007-01-09,24.27,24.415,24.23,24.31,120308,False,False,0,1.0,0.9952917093142274,0.0,-0.007147232999795583
2007-01-10,24.245,24.395,24.185,24.34,84136,False,False,0,1.0,0.9965199590583421,0.0,-0.005921993056973385
2007-01-11,24.375,24.435,24.3,24.37,105160,False,False,0,1.0,0.9977482088024567,0.0,-0.0046967531141512975
2007-01-12,24.3,24.335,24.125,24.275,125652,False,False,0,1.0,0.993858751279427,0.0,-0.008576679599754722
2007-01-16,24.24,24.345,24.17,24.245,108020,False,False,0,1.0,0.9926305015353124,0.0,-0.009801919542576809
2007-01-17,24.265,24.43,24.24,24.315,127124,False,False,0,1.0,0.9954964176049133,0.0,-0.0069430263426585315
2007-01-18,24.21,24.5,24.1,24.175,141732,False,False,0,1.0,0.9897645854657117,0.0,-0.012660812742495087
2007-01-19,24.205,24.215,24.035,24.13,122496,False,False,0,1.0,0.9879222108495396,0.0,-0.01449867265672844
2007-01-22,24.055,24.175,23.995,24.035,114044,False,False,0,1.0,0.98403275332651,0.0,-0.018378599142331753
2007-01-23,24.075,24.115,23.97,24.07,113966,False,False,0,1.0,0.9854657113613103,0.0,-0.016949152542372614
2007-01-24,24.095,24.1,23.97,24.045,81656,False,False,0,1.0,0.9844421699078816,0.0,-0.01797018582805765
2007-01-25,24.035,24.11,23.95,23.98,106128,False,False,0,1.0,0.9817809621289665,0.0,-0.020624872370838987
2007-01-26,24.0,24.05,23.9,23.92,93478,False,False,0,1.0,0.9793244626407372,0.0,-0.023075352256483272
2007-01-29,23.88,23.96,23.78,23.86,93016,False,False,0,1.0,0.9768679631525079,0.0,-0.025525832142127558
2007-01-30,23.915,23.975,23.82,23.9,83508,False,False,0,1.0,0.978505629477994,0.0,-0.02389217888503148
2007-01-31,23.9,23.985,23.745,23.945,87756,False,False,0,1.0,0.980348004094166,0.0,-0.022054318970798237
2007-02-01,23.995,24.135,23.925,24.04,96096,False,False,0,1.0,0.9842374616171957,0.0,-0.018174392485194812
2007-02-02,24.05,24.205,24.02,24.11,103188,False,False,0,1.0,0.9871033776867966,0.0,-0.015315499285276424
2007-02-05,24.055,24.12,23.92,23.95,83826,False,False,0,1.0,0.9805527123848518,0.0,-0.021850112313661185
2007-02-06,24.0,24.08,23.93,24.015,81754,False,False,0,1.0,0.9832139201637669,0.0,-0.019195425770879848
2007-02-07,24.015,24.065,23.93,24.005,65680,False,False,0,1.0,0.9828045035823952,0.0,-0.01960383908515395
2007-02-09,23.86,23.995,23.82,23.885,94710,False,False,0,1.0,0.9778915046059369,0.0,-0.0245047988564423
2007-02-12,23.925,24.185,23.9,23.98,110536,False,False,0,1.0,0.9817809621289665,0.0,-0.020624872370838987
2007-02-13,24.05,24.21,24.045,24.095,157608,False,False,0,1.0,0.9864892528147392,0.0,-0.01592811925668758
2007-02-14,24.25,24.275,23.865,23.925,300732,False,False,0,1.0,0.979529170931423,0.0,-0.02287114559934622
2007-02-15,23.995,24.05,23.79,23.93,146244,True,False,1,1.0,0.9797338792221088,0.0,-0.02266693894220928
2007-02-16,24.0,24.05,23.88,23.935,163150,False,False,1,1.0002089427496865,0.9799385875127944,0.0,-0.02246273228507234
2007-02-20,23.76,23.94,23.75,23.87,164952,False,False,1,0.997492687003761,0.9772773797338795,-0.0027156883225400996,-0.025117418827853455
2007-02-21,23.775,23.89,23.76,23.795,112566,False,False,1,0.9943585457584623,0.9742067553735929,-0.005849174848547967,-0.028180518684908784
2007-02-22,23.845,23.87,23.61,23.655,145452,False,False,1,0.9885081487672378,0.9684749232343912,-0.011698349697096266,-0.03389830508474545
2007-02-23,23.835,23.965,23.59,23.635,251474,False,False,1,0.9876723777684915,0.9676560900716482,-0.01253394610403169,-0.034715131713293546
2007-02-26,23.85,23.95,23.79,23.875,168600,False,False,1,0.9977016297534476,0.9774820880245653,-0.0025067892208062714,-0.024913212170716514
2007-02-27,23.735,23.92,22.78,23.235,233810,False,False,1,0.9709569577935646,0.9512794268167862,-0.02924587424274061,-0.05105166428425545
2007-02-28,23.375,23.45,23.16,23.33,201944,False,True,0,0.9749268700376097,0.955168884339816,-0.02527679130979732,-0.047171737798652025
2007-03-01,23.21,23.465,23.135,23.24,212648,False,False,0,0.9749268700376097,0.951484135107472,-0.02527679130979732,-0.05084745762711851
2007-03-02,23.225,23.465,22.905,22.925,295546,False,False,0,0.9749268700376097,0.9385875127942684,-0.02527679130979732,-0.06371247702675076
2007-03-05,22.95,23.355,22.885,23.13,268742,False,False,0,0.9749268700376097,0.946980552712385,-0.02527679130979732,-0.05534000408413298
2007-03-06,23.345,23.53,23.275,23.465,218510,False,False,0,0.9749268700376097,0.9606960081883319,-0.02527679130979732,-0.0416581580559523
