交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,21.2,21.2,21.2,21.2,1,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,21.2,21.2,20.8,21.2,4,False,False,0,1.0,1.0,0.0,0.0
2006-12-15,21.25,21.25,21.25,21.25,2,False,False,0,1.0,1.0023584905660379,0.0,0.0
2006-12-18,21.1,21.1,20.9,21.1,22,False,False,0,1.0,0.9952830188679247,0.0,-0.007058823529411784
2006-12-20,21.4,21.4,21.0,21.4,6,False,False,0,1.0,1.009433962264151,0.0,0.0
2006-12-21,20.6,21.2,20.6,20.6,4,False,False,0,1.0,0.9716981132075474,0.0,-0.03738317757009335
2006-12-22,20.2,20.5,20.2,20.2,19,False,False,0,1.0,0.9528301886792454,0.0,-0.05607476635514019
2006-12-27,20.35,20.35,20.35,20.35,2,False,False,0,1.0,0.9599056603773588,0.0,-0.049065420560747475
2006-12-29,20.75,20.75,20.75,20.75,2,False,False,0,1.0,0.9787735849056606,0.0,-0.030373831775700855
2007-01-04,20.5,20.5,20.5,20.5,14,False,False,0,1.0,0.9669811320754719,0.0,-0.04205607476635509
2007-01-05,20.2,20.4,20.2,20.2,4,False,False,0,1.0,0.9528301886792454,0.0,-0.05607476635514019
2007-01-08,20.7,20.7,20.7,20.7,1,False,False,0,1.0,0.9764150943396228,0.0,-0.032710280373831724
2007-01-09,20.5,20.5,20.5,20.5,5,False,False,0,1.0,0.9669811320754719,0.0,-0.04205607476635509
2007-01-10,20.6,20.6,20.1,20.6,2,False,False,0,1.0,0.9716981132075474,0.0,-0.03738317757009335
2007-01-11,20.5,20.5,20.5,20.5,20,False,False,0,1.0,0.9669811320754719,0.0,-0.04205607476635509
2007-01-12,20.75,20.75,20.75,20.75,15,False,False,0,1.0,0.9787735849056606,0.0,-0.030373831775700855
2007-01-16,20.3,20.6,20.1,20.3,12,False,False,0,1.0,0.957547169811321,0.0,-0.051401869158878344
2007-01-17,19.5,20.0,19.5,19.5,2,False,False,0,1.0,0.9198113207547172,0.0,-0.08878504672897192
2007-01-18,20.15,20.65,20.15,20.15,5,False,False,0,1.0,0.9504716981132076,0.0,-0.05841121495327106
2007-01-22,20.65,20.75,20.35,20.65,63,False,False,0,1.0,0.974056603773585,0.0,-0.03504672897196259
2007-01-23,20.6,20.6,20.6,20.6,3,False,False,0,1.0,0.9716981132075474,0.0,-0.03738317757009335
2007-01-29,20.25,20.25,20.25,20.25,1,False,False,0,1.0,0.9551886792452833,0.0,-0.05373831775700921
2007-01-30,20.9,20.9,20.9,20.9,6,False,False,0,1.0,0.9858490566037738,0.0,-0.02336448598130836
2007-01-31,21.5,21.5,20.8,21.5,6,False,False,0,1.0,1.0141509433962266,0.0,0.0
2007-02-01,21.4,21.5,21.0,21.4,8,False,False,0,1.0,1.009433962264151,0.0,-0.0046511627906977715
2007-02-02,20.8,20.8,20.8,20.8,1,False,False,0,1.0,0.9811320754716983,0.0,-0.03255813953488362
2007-02-05,21.1,21.1,20.6,21.1,19,False,False,0,1.0,0.9952830188679248,0.0,-0.01860465116279053
2007-02-06,21.2,21.2,21.2,21.2,2,False,False,0,1.0,1.0000000000000002,0.0,-0.013953488372092981
2007-02-09,21.3,21.3,21.3,21.3,4,False,False,0,1.0,1.0047169811320757,0.0,-0.00930232558139521
2007-02-13,21.55,21.55,21.1,21.55,7,False,False,0,1.0,1.0165094339622645,0.0,0.0
2007-02-14,22.0,22.0,21.5,22.0,21,False,False,0,1.0,1.037735849056604,0.0,0.0
2007-02-15,23.0,23.5,22.5,23.0,109,True,False,1,1.0,1.0849056603773588,0.0,0.0
2007-02-23,23.0,23.0,23.0,23.0,102,False,False,1,1.0,1.0849056603773588,0.0,0.0
2007-02-26,23.3,23.4,23.3,23.3,9,False,False,1,1.0130434782608695,1.0990566037735852,0.0,0.0
2007-02-27,22.15,22.65,22.15,22.15,20,False,False,1,0.9630434782608694,1.0448113207547172,-0.04935622317596566,-0.04935622317596566
2007-02-28,21.9,22.4,21.9,21.9,37,False,True,0,0.9521739130434782,1.0330188679245285,-0.06008583690987124,-0.06008583690987135
2007-03-01,21.9,21.9,21.9,21.9,24,False,False,0,0.9521739130434782,1.0330188679245285,-0.06008583690987124,-0.06008583690987135
2007-03-06,21.8,21.8,21.8,21.8,1,False,False,0,0.9521739130434782,1.0283018867924532,-0.06008583690987124,-0.06437768240343344
2007-03-07,22.05,22.05,22.05,22.05,1,False,False,0,0.9521739130434782,1.0400943396226419,-0.06008583690987124,-0.05364806866952776
2007-03-08,21.7,21.7,21.7,21.7,3,False,False,0,0.9521739130434782,1.0235849056603776,-0.06008583690987124,-0.06866952789699565
2007-03-09,21.8,21.8,21.8,21.8,40,False,False,0,0.9521739130434782,1.0283018867924532,-0.06008583690987124,-0.06437768240343344
2007-03-12,22.2,22.2,22.2,22.2,3,False,False,0,0.9521739130434782,1.0471698113207548,-0.06008583690987124,-0.047210300429184726
2007-03-13,21.65,22.0,21.6,21.65,4,False,False,0,0.9521739130434782,1.0212264150943395,-0.06008583690987124,-0.07081545064377714
2007-03-15,21.55,21.6,21.5,21.55,4,False,False,0,0.9521739130434782,1.016509433962264,-0.06008583690987124,-0.07510729613733935
2007-03-19,21.5,21.5,21.5,21.5,1,False,False,0,0.9521739130434782,1.0141509433962261,-0.06008583690987124,-0.07725321888412062
2007-03-21,22.25,22.25,22.25,22.25,5,False,False,0,0.9521739130434782,1.0495283018867922,-0.06008583690987124,-0.04506437768240379
2007-03-22,22.65,22.65,22.65,22.65,11,False,False,0,0.9521739130434782,1.0683962264150941,-0.06008583690987124,-0.02789699570815496
2007-03-23,22.0,22.4,22.0,22.0,4,False,False,0,0.9521739130434782,1.0377358490566038,-0.06008583690987124,-0.05579399141630925
2007-03-26,22.25,22.5,22.0,22.25,29,False,False,0,0.9521739130434782,1.0495283018867925,-0.06008583690987124,-0.04506437768240368
2007-03-27,22.5,22.5,22.5,22.5,14,False,False,0,0.9521739130434782,1.0613207547169812,-0.06008583690987124,-0.03433476394849799
2007-03-28,21.25,22.15,21.25,21.25,9,False,False,0,0.9521739130434782,1.0023584905660379,-0.06008583690987124,-0.08798283261802586
2007-03-29,22.4,22.4,22.4,22.4,2,False,False,0,0.9521739130434782,1.0566037735849056,-0.06008583690987124,-0.03862660944206031
2007-03-30,22.5,22.5,22.5,22.5,1,False,False,0,0.9521739130434782,1.0613207547169812,-0.06008583690987124,-0.03433476394849799
2007-04-02,22.4,22.4,22.4,22.4,1,False,False,0,0.9521739130434782,1.0566037735849056,-0.06008583690987124,-0.03862660944206031
2007-04-03,22.7,22.7,22.7,22.7,3,False,False,0,0.9521739130434782,1.0707547169811322,-0.06008583690987124,-0.025751072961373467
2007-04-05,22.9,22.9,22.9,22.9,3,False,False,1,0.9521739130434782,1.0801886792452833,-0.06008583690987124,-0.01716738197424894
2007-04-12,23.0,23.0,23.0,23.0,1,False,False,1,0.9563318777292577,1.0849056603773588,-0.055981408250088904,-0.012875536480686622
2007-04-13,23.35,23.35,23.0,23.35,19,False,False,1,0.9708847541294856,1.101415094339623,-0.041615907940851016,0.0
2007-04-16,23.5,23.5,23.5,23.5,1,False,False,1,0.9771217011581546,1.1084905660377362,-0.035459264951177794,0.0
2007-04-17,23.7,23.7,23.5,23.7,102,False,False,1,0.9854376305297133,1.1179245283018873,-0.02725040763161335,0.0
2007-04-18,23.0,23.0,23.0,23.0,1,False,False,1,0.9563318777292577,1.084905660377359,-0.055981408250088904,-0.029535864978902926
2007-04-19,23.15,23.15,23.15,23.15,5,False,False,1,0.9625688247579267,1.0919811320754722,-0.04982476526041557,-0.02320675105485226
2007-04-20,23.6,23.7,23.6,23.6,7,False,False,1,0.981279665843934,1.113207547169812,-0.03135483629139557,-0.004219409282700259
2007-04-23,23.51,23.51,23.51,23.51,10,False,False,1,0.9775374976267326,1.108962264150944,-0.03504882208519955,-0.00801687763713066
2007-04-25,24.0,24.0,23.5,24.0,21,False,False,1,0.9979115245870516,1.1320754716981138,-0.014937121652266572,0.0
2007-04-26,23.9,23.9,23.9,23.9,1,False,False,1,0.9937535599012721,1.1273584905660383,-0.019041550312048905,-0.004166666666666763
2007-04-27,23.9,23.9,23.7,23.9,5,False,False,1,0.9937535599012721,1.1273584905660383,-0.019041550312048905,-0.004166666666666763
2007-04-30,23.45,23.45,23.45,23.45,2,False,False,1,0.9750427188152648,1.1061320754716986,-0.037511479281069016,-0.022916666666666807
2007-05-02,23.44,23.44,23.44,23.44,45,False,False,1,0.974626922346687,1.105660377358491,-0.03792192214704704,-0.02333333333333354
2007-05-03,23.85,23.9,23.75,23.85,3,False,False,1,0.9916745775583825,1.1250000000000004,-0.021093764641939905,-0.0062500000000002
2007-05-07,24.25,24.25,23.75,24.25,3,False,False,1,1.0083064363015,1.1438679245283023,-0.004676050002811127,0.0
2007-05-08,23.85,24.0,23.85,23.85,28,False,False,1,0.9916745775583825,1.1250000000000004,-0.021093764641939905,-0.016494845360824684
2007-05-09,23.95,23.95,23.95,23.95,2,False,False,1,0.9958325422441618,1.1297169811320757,-0.016989335982157794,-0.012371134020618735
2007-05-10,23.4,23.5,23.4,23.4,10,False,False,1,0.9729637364723752,1.1037735849056605,-0.039563693610960016,-0.0350515463917529
2007-05-11,23.45,23.45,23.45,23.45,12,False,False,1,0.9750427188152648,1.1061320754716981,-0.037511479281069016,-0.03298969072164981
2007-05-14,23.15,24.5,23.15,23.15,9,False,False,1,0.9625688247579267,1.0919811320754718,-0.04982476526041557,-0.045360824742268324
2007-05-15,23.15,23.15,23.15,23.15,1,False,False,1,0.9625688247579267,1.0919811320754718,-0.04982476526041557,-0.045360824742268324
2007-05-16,25.25,25.25,25.25,25.25,3,False,False,1,1.0498860831592938,1.1910377358490567,0.0,0.0
2007-05-17,23.0,25.55,23.0,23.0,12,False,False,1,0.9563318777292577,1.0849056603773586,-0.08910891089108919,-0.08910891089108908
2007-05-18,25.35,25.35,25.35,25.35,7,False,False,1,1.0540440478450732,1.1957547169811322,0.0,0.0
2007-05-21,23.25,25.25,23.25,23.25,30,False,False,1,0.9667267894437062,1.0966981132075473,-0.08284023668639062,-0.08284023668639051
2007-05-22,25.0,25.0,25.0,25.0,1,False,False,1,1.0394911714448454,1.179245283018868,-0.013806706114398382,-0.013806706114398493
2007-05-23,26.0,26.5,24.0,26.0,37,False,False,1,1.0810708183026392,1.2264150943396228,0.0,0.0
2007-05-24,24.0,26.0,24.0,24.0,16,False,False,1,0.9979115245870516,1.1320754716981134,-0.07692307692307687,-0.07692307692307687
2007-05-25,27.0,27.0,27.0,27.0,3,False,False,1,1.122650465160433,1.2735849056603776,0.0,0.0
2007-05-29,23.65,26.65,23.65,23.65,7,False,False,1,0.9833586481868236,1.1155660377358492,-0.12407407407407411,-0.12407407407407423
2007-05-30,27.0,27.0,27.0,27.0,5,False,False,1,1.122650465160433,1.2735849056603776,0.0,0.0
2007-05-31,27.0,27.0,24.0,27.0,15,False,False,1,1.122650465160433,1.2735849056603776,0.0,0.0
2007-06-04,27.5,27.5,23.5,27.5,11,False,False,1,1.1434402885893298,1.297169811320755,0.0,0.0
2007-06-06,27.25,27.25,27.25,27.25,2,False,False,1,1.1330453768748814,1.2853773584905663,-0.009090909090909038,-0.00909090909090915
2007-06-07,23.0,27.0,23.0,23.0,25,False,False,1,0.9563318777292577,1.0849056603773588,-0.16363636363636358,-0.16363636363636358
2007-06-11,23.0,23.0,23.0,23.0,2,False,False,1,0.9563318777292577,1.0849056603773588,-0.16363636363636358,-0.16363636363636358
2007-06-12,22.65,22.75,22.65,22.65,58,False,False,1,0.9417790013290298,1.0683962264150946,-0.1763636363636364,-0.1763636363636364
2007-06-13,25.0,25.0,22.6,25.0,8,False,False,1,1.0394911714448454,1.1792452830188682,-0.09090909090909083,-0.09090909090909094
2007-06-14,35.0,35.0,27.0,35.0,18,False,False,1,1.4552876400227834,1.6509433962264155,0.0,0.0
2007-06-15,36.0,36.0,36.0,36.0,1,False,False,1,1.4968672868805772,1.69811320754717,0.0,0.0
2007-06-18,24.0,24.0,24.0,24.0,8,False,False,1,0.9979115245870516,1.1320754716981134,-0.33333333333333326,-0.33333333333333337
2007-06-19,24.0,24.0,24.0,24.0,2,False,False,1,0.9979115245870516,1.1320754716981134,-0.33333333333333326,-0.33333333333333337
2007-06-21,24.0,24.0,24.0,24.0,3,False,False,1,0.9979115245870516,1.1320754716981134,-0.33333333333333326,-0.33333333333333337
2007-06-25,24.0,24.0,24.0,24.0,1,False,False,1,0.9979115245870516,1.1320754716981134,-0.33333333333333326,-0.33333333333333337
2007-06-27,25.0,25.0,24.1,25.0,12,False,False,1,1.0394911714448454,1.1792452830188682,-0.30555555555555547,-0.30555555555555547
2007-07-02,24.0,25.0,24.0,24.0,78,False,False,1,0.9979115245870516,1.1320754716981134,-0.33333333333333326,-0.33333333333333337
2007-07-03,24.25,24.25,24.25,24.25,2,False,False,1,1.0083064363015,1.143867924528302,-0.32638888888888884,-0.32638888888888884
2007-07-05,26.42,26.42,26.4,26.42,21,False,False,1,1.0985342699829126,1.24622641509434,-0.2661111111111111,-0.26611111111111097
2007-07-06,24.15,24.15,24.15,24.15,2,False,False,1,1.0041484716157205,1.1391509433962266,-0.3291666666666667,-0.3291666666666667
2007-07-09,24.2,24.2,24.2,24.2,1,False,False,1,1.0062274539586102,1.1415094339622645,-0.32777777777777783,-0.3277777777777777
2007-07-11,30.0,30.0,25.0,30.0,141,False,False,1,1.2473894057338144,1.415094339622642,-0.16666666666666663,-0.16666666666666652
2007-07-12,35.0,35.0,29.15,35.0,32,False,False,1,1.4552876400227834,1.6509433962264157,-0.02777777777777779,-0.027777777777777568
2007-07-13,33.5,33.5,26.0,33.5,7,False,False,1,1.3929181697360928,1.5801886792452835,-0.06944444444444431,-0.06944444444444431
2007-07-16,26.0,35.0,25.2,26.0,20,False,False,1,1.0810708183026392,1.226415094339623,-0.2777777777777778,-0.2777777777777777
2007-07-17,30.0,35.0,30.0,30.0,4,False,False,1,1.2473894057338144,1.415094339622642,-0.16666666666666663,-0.16666666666666652
2007-07-19,25.5,25.5,25.5,25.5,2,False,False,1,1.0602809948737422,1.2028301886792456,-0.29166666666666674,-0.29166666666666663
2007-07-20,24.75,27.0,23.0,24.75,418,False,False,1,1.029096259730397,1.1674528301886795,-0.3124999999999999,-0.3125
2007-07-23,24.75,24.75,24.75,24.75,4,False,False,1,1.029096259730397,1.1674528301886795,-0.3124999999999999,-0.3125
2007-07-24,24.75,24.75,24.75,24.75,86,False,False,1,1.029096259730397,1.1674528301886795,-0.3124999999999999,-0.3125
2007-07-25,24.75,24.75,24.7,24.75,16,False,False,1,1.029096259730397,1.1674528301886795,-0.3124999999999999,-0.3125
2007-07-26,24.5,24.5,24.2,24.5,19,False,False,1,1.0187013480159486,1.1556603773584908,-0.3194444444444443,-0.3194444444444444
2007-07-27,26.0,26.0,26.0,26.0,2,False,False,1,1.0810708183026394,1.2264150943396228,-0.27777777777777757,-0.2777777777777778
2007-07-30,26.0,26.0,26.0,26.0,25,False,False,1,1.0810708183026394,1.2264150943396228,-0.27777777777777757,-0.2777777777777778
2007-07-31,26.5,26.5,26.5,26.5,5,False,False,1,1.1018606417315362,1.25,-0.26388888888888873,-0.26388888888888906
2007-08-01,26.0,26.0,26.0,26.0,8,False,False,1,1.0810708183026394,1.2264150943396228,-0.27777777777777757,-0.2777777777777778
2007-08-02,25.35,25.9,25.35,25.35,9,False,False,1,1.0540440478450734,1.1957547169811322,-0.29583333333333317,-0.2958333333333334
2007-08-03,25.9,25.9,23.1,25.9,31,False,False,1,1.07691285361686,1.2216981132075473,-0.28055555555555545,-0.28055555555555556
2007-08-06,27.0,27.0,23.5,27.0,26,False,False,1,1.1226504651604332,1.2735849056603776,-0.24999999999999978,-0.25
2007-08-08,24.25,24.44,24.25,24.25,4,False,False,1,1.0083064363015002,1.143867924528302,-0.32638888888888873,-0.32638888888888884
2007-08-09,24.6,24.6,24.6,24.6,22,False,False,1,1.022859312701728,1.1603773584905663,-0.31666666666666654,-0.31666666666666665
2007-08-10,25.5,25.5,25.5,25.5,1,False,False,1,1.0602809948737424,1.2028301886792456,-0.2916666666666665,-0.29166666666666663
2007-08-14,26.5,27.25,25.5,26.5,22,False,False,1,1.1018606417315362,1.2500000000000002,-0.26388888888888873,-0.26388888888888884
2007-08-15,26.0,26.0,26.0,26.0,6,False,False,1,1.0810708183026394,1.2264150943396228,-0.27777777777777757,-0.2777777777777778
2007-08-16,21.15,24.65,21.15,21.15,27,False,False,1,0.8794095310423392,0.9976415094339622,-0.4125,-0.4125000000000001
2007-08-17,26.35,26.35,22.85,26.35,4,False,False,1,1.0956236947028672,1.242924528301887,-0.2680555555555554,-0.2680555555555555
