交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,9.7,9.765,9.505,9.575,182960,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,9.575,9.65,9.48,9.56,239930,False,False,0,1.0,0.9984334203655354,0.0,-0.0015665796344646044
2006-12-15,9.63,9.635,9.535,9.6,142540,False,False,0,1.0,1.0026109660574414,0.0,0.0
2006-12-18,9.6,9.6,9.255,9.3,252690,False,False,0,1.0,0.9712793733681465,0.0,-0.031249999999999778
2006-12-19,9.245,9.75,9.05,9.73,311430,False,False,0,1.0,1.016187989556136,0.0,0.0
2006-12-20,9.74,9.945,9.625,9.745,281340,False,False,0,1.0,1.0177545691906007,0.0,0.0
2006-12-21,9.58,9.635,9.39,9.57,300780,False,False,0,1.0,0.999477806788512,0.0,-0.017957927142124186
2006-12-22,9.57,9.7,9.52,9.635,117270,False,False,0,1.0,1.0062663185378593,0.0,-0.011287839917906495
2006-12-26,9.65,9.675,9.44,9.5,101210,False,False,0,1.0,0.9921671018276765,0.0,-0.025141097998973683
2006-12-27,9.49,9.95,9.45,9.94,194000,False,False,0,1.0,1.0381201044386426,0.0,0.0
2006-12-28,9.98,9.98,9.755,9.9,242710,False,False,0,1.0,1.0339425587467368,0.0,-0.004024144869215096
2006-12-29,9.88,9.96,9.825,9.85,124930,False,False,0,1.0,1.0287206266318543,0.0,-0.009054325955734188
2007-01-03,9.955,9.97,9.565,9.64,243640,False,False,0,1.0,1.0067885117493478,0.0,-0.030181086519114442
2007-01-04,9.69,10.185,9.53,10.115,267490,False,False,0,1.0,1.0563968668407315,0.0,0.0
2007-01-05,10.1,10.22,9.9,10.105,292410,False,False,0,1.0,1.0553524804177552,0.0,-0.000988630746416086
2007-01-08,9.9,10.225,9.9,10.11,158110,False,False,0,1.0,1.0558746736292435,0.0,-0.0004943153732078764
2007-01-09,10.11,10.575,10.06,10.575,357340,False,False,0,1.0,1.1044386422976509,0.0,0.0
2007-01-10,10.56,10.65,10.3,10.46,261850,False,False,0,1.0,1.0924281984334212,0.0,-0.010874704491725673
2007-01-11,10.52,10.805,10.355,10.545,339820,False,False,0,1.0,1.1013054830287214,0.0,-0.0028368794326240065
2007-01-12,10.575,10.725,10.485,10.515,179730,False,False,0,1.0,1.098172323759792,0.0,-0.005673758865248124
2007-01-16,10.53,10.745,10.465,10.595,175600,False,False,0,1.0,1.106527415143604,0.0,0.0
2007-01-17,10.7,11.02,10.575,10.875,433620,False,False,0,1.0,1.135770234986946,0.0,0.0
2007-01-18,10.995,11.0,10.18,10.25,424550,False,False,0,1.0,1.0704960835509145,0.0,-0.057471264367816244
2007-01-19,10.25,10.535,10.2,10.505,294870,False,False,0,1.0,1.0971279373368155,0.0,-0.03402298850574714
2007-01-22,10.6,10.8,10.45,10.75,207150,False,False,0,1.0,1.1227154046997398,0.0,-0.011494252873563204
2007-01-23,10.87,10.915,10.7,10.85,206570,False,False,0,1.0,1.133159268929505,0.0,-0.0022988505747125743
2007-01-24,10.89,11.31,10.87,11.145,314400,False,False,0,1.0,1.1639686684073116,0.0,0.0
2007-01-25,11.225,11.23,10.695,10.775,210400,False,False,0,1.0,1.1253263707571812,0.0,-0.03319874383131427
2007-01-26,10.92,10.99,10.65,10.835,165050,False,False,0,1.0,1.1315926892950403,0.0,-0.02781516375056059
2007-01-29,10.9,11.1,10.87,10.96,117810,False,False,0,1.0,1.1446475195822465,0.0,-0.01659937191565708
2007-01-30,10.965,11.16,10.925,11.075,111330,False,False,0,1.0,1.1566579634464762,0.0,-0.006280843427545868
2007-01-31,11.105,11.215,11.0,11.145,132380,False,False,0,1.0,1.1639686684073116,0.0,0.0
2007-02-01,11.215,11.3,11.16,11.19,159180,False,False,0,1.0,1.1686684073107059,0.0,0.0
2007-02-02,11.25,11.27,11.06,11.08,112060,False,False,0,1.0,1.1571801566579645,0.0,-0.009830205540661163
2007-02-05,11.05,11.095,10.99,11.02,92070,False,False,0,1.0,1.1509138381201054,0.0,-0.015192135835567444
2007-02-06,11.075,11.155,10.99,11.055,84950,False,False,0,1.0,1.154569190600523,0.0,-0.012064343163538882
2007-02-07,11.05,11.265,11.035,11.19,151040,False,False,0,1.0,1.1686684073107059,0.0,0.0
2007-02-08,11.2,11.545,11.105,11.445,331380,False,False,0,1.0,1.1953002610966068,0.0,0.0
2007-02-09,11.805,11.805,9.965,10.37,2678190,False,False,0,1.0,1.0830287206266327,0.0,-0.09392747924858025
2007-02-12,10.195,10.275,9.86,10.21,779260,False,False,0,1.0,1.0663185378590088,0.0,-0.10790738313674098
2007-02-13,10.4,10.505,10.285,10.47,521730,False,False,0,1.0,1.0934725848563978,0.0,-0.0851900393184798
2007-02-14,10.42,10.88,10.41,10.8,460160,False,False,0,1.0,1.1279373368146224,0.0,-0.056356487549148127
2007-02-15,10.8,10.88,10.71,10.8,204980,True,False,1,1.0,1.1279373368146224,0.0,-0.056356487549148127
2007-02-16,10.8,10.91,10.605,10.83,202990,False,False,1,1.0027777777777778,1.1310704960835518,0.0,-0.053735255570118046
2007-02-20,10.83,10.85,10.655,10.775,180280,False,False,1,0.9976851851851851,1.125326370757181,-0.005078485687904033,-0.05854084753167332
2007-02-21,10.765,10.925,10.565,10.72,205250,False,False,1,0.9925925925925926,1.1195822454308102,-0.010156971375807955,-0.0633464394932286
2007-02-22,10.79,10.9,10.51,10.59,211230,False,False,1,0.9805555555555555,1.1060052219321155,-0.02216066481994461,-0.07470511140235947
2007-02-23,10.59,10.655,10.37,10.455,301720,False,False,1,0.9680555555555556,1.0919060052219327,-0.03462603878116344,-0.08650065530799511
2007-02-26,10.48,10.6,10.35,10.405,115540,False,False,1,0.9634259259259258,1.08668407310705,-0.039242843951985296,-0.0908693752730455
2007-02-27,10.175,10.59,10.0,10.3,498910,False,False,1,0.9537037037037037,1.0757180156657968,-0.048938134810710965,-0.10004368719965084
