交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,54.28,54.48,53.9,54.12,38371,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,54.1,54.4,53.84,53.92,34744,False,False,0,1.0,0.9963045084996305,0.0,-0.003695491500369519
2006-12-15,53.45,54.49,53.45,54.34,35610,False,False,0,1.0,1.0040650406504066,0.0,0.0
2006-12-18,54.0,54.35,53.75,54.14,28193,False,False,0,1.0,1.000369549150037,0.0,-0.003680529996319404
2006-12-19,54.14,54.66,53.96,54.42,30352,False,False,0,1.0,1.0055432372505544,0.0,0.0
2006-12-20,53.69,54.53,53.69,54.31,26456,False,False,0,1.0,1.0035107169253512,0.0,-0.002021315692759984
2006-12-21,54.26,54.53,53.65,53.78,23901,False,False,0,1.0,0.9937176644493718,0.0,-0.011760382212421927
2006-12-22,53.73,53.79,53.22,53.26,19970,False,False,0,1.0,0.984109386548411,0.0,-0.02131569276001477
2006-12-26,53.17,53.51,53.05,53.49,14333,False,False,0,1.0,0.988359201773836,0.0,-0.017089305402425592
2006-12-27,53.81,54.41,53.25,53.39,26933,False,False,0,1.0,0.9865114560236512,0.0,-0.018926865123116476
2006-12-28,53.32,53.46,52.82,53.18,23332,False,False,0,1.0,0.9826311899482632,0.0,-0.022785740536567456
2006-12-29,53.25,53.75,52.7,53.46,27870,False,False,0,1.0,0.9878048780487806,0.0,-0.01764057331863278
2007-01-03,53.08,53.57,52.4,52.61,52687,False,False,0,1.0,0.97209903917221,0.0,-0.033259830944505686
2007-01-04,52.57,53.32,52.21,53.22,59297,False,False,0,1.0,0.983370288248337,0.0,-0.022050716648291058
2007-01-05,52.91,53.6,52.76,53.29,43055,False,False,0,1.0,0.9846637102734664,0.0,-0.020764424843807472
2007-01-08,53.36,54.19,53.36,53.69,43472,False,False,0,1.0,0.9920546932742055,0.0,-0.013414185961043823
2007-01-09,53.96,54.4,53.79,53.81,73432,False,False,0,1.0,0.9942719881744273,0.0,-0.011209114296214628
2007-01-10,53.85,54.5,53.38,54.24,40557,False,False,0,1.0,1.0022172949002217,0.0,-0.003307607497243792
2007-01-11,54.22,54.35,53.51,53.9,65734,False,False,0,1.0,0.9959349593495933,0.0,-0.009555310547593066
2007-01-12,54.12,54.27,53.64,53.68,25744,False,False,0,1.0,0.9918699186991868,0.0,-0.013597941933113034
2007-01-16,53.42,54.54,53.41,54.5,39295,False,False,0,1.0,1.007021433850702,0.0,0.0
2007-01-17,54.51,54.6,53.96,54.31,57145,False,False,0,1.0,1.003510716925351,0.0,-0.003486238532110053
2007-01-18,54.5,54.86,54.0,54.12,48378,False,False,0,1.0,0.9999999999999998,0.0,-0.006972477064220217
2007-01-19,54.14,54.14,53.15,53.76,69758,False,False,0,1.0,0.9933481152993346,0.0,-0.013577981651376136
2007-01-22,53.65,53.9,53.06,53.18,47446,False,False,0,1.0,0.9826311899482629,0.0,-0.024220183486238556
2007-01-23,53.06,53.37,52.71,52.85,48432,False,False,0,1.0,0.9765336289726533,0.0,-0.03027522935779814
2007-01-24,53.0,53.46,52.85,53.41,33350,False,False,0,1.0,0.9868810051736879,0.0,-0.020000000000000018
2007-01-25,53.37,53.82,52.93,53.44,35989,False,False,0,1.0,0.9874353288987433,0.0,-0.019449541284403682
2007-01-26,53.5,53.56,52.97,53.15,38213,False,False,0,1.0,0.9820768662232076,0.0,-0.02477064220183478
2007-01-29,53.98,53.98,52.52,52.69,41228,False,False,0,1.0,0.9735772357723576,0.0,-0.03321100917431197
2007-01-30,52.85,53.21,52.71,53.1,31876,False,False,0,1.0,0.9811529933481152,0.0,-0.025688073394495303
2007-01-31,52.9,53.6,52.67,53.42,37224,False,False,0,1.0,0.9870657797487065,0.0,-0.01981651376146787
2007-02-01,53.45,53.58,53.0,53.34,45518,False,False,0,1.0,0.9855875831485587,0.0,-0.021284403669724727
2007-02-02,53.33,53.8,53.22,53.7,52154,False,False,0,1.0,0.9922394678492239,0.0,-0.014678899082568697
2007-02-05,53.7,53.76,53.29,53.31,43484,False,False,0,1.0,0.9850332594235033,0.0,-0.021834862385320952
2007-02-06,53.32,53.67,52.98,53.18,32187,False,False,0,1.0,0.9826311899482629,0.0,-0.024220183486238556
2007-02-07,53.14,53.32,52.87,53.22,30545,False,False,0,1.0,0.9833702882483368,0.0,-0.02348623853211007
2007-02-08,53.4,54.02,53.3,53.87,40314,False,False,0,1.0,0.9953806356245378,0.0,-0.011559633027523053
2007-02-09,53.84,54.1,53.57,53.81,37933,False,False,0,1.0,0.9942719881744271,0.0,-0.012660550458715503
2007-02-12,53.79,54.0,53.58,53.62,23693,False,False,0,1.0,0.990761271249076,0.0,-0.016146788990825667
2007-02-13,53.59,54.45,53.53,54.42,43096,False,False,0,1.0,1.0055432372505542,0.0,-0.0014678899082568586
2007-02-14,54.42,54.67,54.19,54.58,37745,False,False,0,1.0,1.0084996304508498,0.0,0.0
2007-02-15,54.49,54.62,53.96,54.08,42036,True,False,1,1.0,0.9992609016999259,0.0,-0.009160864785635825
2007-02-16,53.84,54.69,53.73,54.09,54728,False,False,1,1.0001849112426036,0.9994456762749445,0.0,-0.008977647489922913
2007-02-20,53.52,54.63,53.5,54.49,55741,False,False,1,1.0075813609467454,1.0068366592756837,0.0,-0.0016489556614142087
2007-02-21,52.45,52.57,51.48,51.99,203484,False,False,1,0.9613535502958579,0.9606430155210643,-0.045879977977610564,-0.047453279589593
2007-02-22,51.9,52.04,50.99,51.24,104778,False,False,1,0.9474852071005916,0.9467849223946786,-0.05964397137089372,-0.06119457676804663
2007-02-23,51.07,51.5,50.84,51.36,55160,False,False,1,0.9497041420118342,0.9490022172949003,-0.05744173242796846,-0.058995969219494016
2007-02-26,51.5,51.5,50.75,50.92,45994,False,False,1,0.941568047337278,0.9408721359940873,-0.0655166085520279,-0.06705753023085359
2007-02-27,50.41,50.99,49.69,50.0,93615,False,False,1,0.9245562130177514,0.9238728750923874,-0.0824004404477886,-0.08391352143642339
2007-02-28,50.87,51.08,49.94,50.35,128964,False,True,0,0.9310281065088756,0.9303399852180341,-0.07597724353092317,-0.07750091608647836
2007-03-01,50.38,50.97,49.9,50.15,102401,False,False,0,0.9310281065088756,0.9266444937176644,-0.07597724353092317,-0.08116526200073271
