交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,4.085,4.095,4.02,4.06,24997,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,3.855,4.025,3.825,3.965,67914,False,False,0,1.0,0.9766009852216749,0.0,-0.023399014778325067
2006-12-15,3.915,4.01,3.915,3.945,45850,False,False,0,1.0,0.9716748768472907,0.0,-0.028325123152709297
2006-12-18,3.945,3.955,3.795,3.8,63854,False,False,0,1.0,0.935960591133005,0.0,-0.064039408866995
2006-12-19,3.79,3.89,3.745,3.865,69195,False,False,0,1.0,0.9519704433497539,0.0,-0.04802955665024611
2006-12-20,3.855,3.94,3.855,3.91,38115,False,False,0,1.0,0.9630541871921184,0.0,-0.03694581280788156
2006-12-21,3.9,3.96,3.815,3.825,49273,False,False,0,1.0,0.9421182266009854,0.0,-0.05788177339901457
2006-12-22,3.815,3.82,3.735,3.74,49665,False,False,0,1.0,0.9211822660098524,0.0,-0.07881773399014758
2006-12-26,3.735,3.89,3.735,3.835,38409,False,False,0,1.0,0.9445812807881775,0.0,-0.05541871921182251
2006-12-27,3.855,3.86,3.78,3.785,38290,False,False,0,1.0,0.9322660098522169,0.0,-0.06773399014778314
2006-12-28,3.76,3.805,3.725,3.735,73822,False,False,0,1.0,0.9199507389162562,0.0,-0.08004926108374377
2006-12-29,3.725,3.83,3.695,3.695,64078,False,False,0,1.0,0.9100985221674878,0.0,-0.08990147783251223
2007-01-03,3.705,3.825,3.675,3.8,152579,False,False,0,1.0,0.935960591133005,0.0,-0.064039408866995
2007-01-04,3.775,3.83,3.585,3.615,141645,False,False,0,1.0,0.890394088669951,0.0,-0.10960591133004904
2007-01-05,3.61,3.62,3.495,3.545,132734,False,False,0,1.0,0.873152709359606,0.0,-0.12684729064039402
2007-01-08,3.545,3.555,3.365,3.405,173131,False,False,0,1.0,0.8386699507389164,0.0,-0.16133004926108363
2007-01-09,3.425,3.44,3.36,3.43,100737,False,False,0,1.0,0.8448275862068968,0.0,-0.1551724137931032
2007-01-10,3.425,3.465,3.41,3.44,111076,False,False,0,1.0,0.8472906403940889,0.0,-0.15270935960591114
2007-01-11,3.43,3.505,3.41,3.465,86926,False,False,0,1.0,0.8534482758620692,0.0,-0.14655172413793083
2007-01-12,3.41,3.41,3.24,3.245,210938,False,False,0,1.0,0.7992610837438426,0.0,-0.20073891625615736
2007-01-16,3.465,3.485,3.245,3.245,279552,False,False,0,1.0,0.7992610837438426,0.0,-0.20073891625615736
2007-01-17,3.26,3.295,3.235,3.26,141666,False,False,0,1.0,0.8029556650246308,0.0,-0.19704433497536922
2007-01-18,3.25,3.285,3.165,3.175,103103,False,False,0,1.0,0.7820197044334978,0.0,-0.21798029556650222
2007-01-19,3.175,3.26,3.17,3.225,117054,False,False,0,1.0,0.7943349753694584,0.0,-0.2056650246305416
2007-01-22,3.265,3.28,3.115,3.125,178339,False,False,0,1.0,0.7697044334975373,0.0,-0.23029556650246275
2007-01-23,3.115,3.19,3.1,3.105,199185,False,False,0,1.0,0.764778325123153,0.0,-0.23522167487684698
2007-01-24,3.13,3.285,3.045,3.245,296898,False,False,0,1.0,0.7992610837438427,0.0,-0.20073891625615725
2007-01-25,3.415,3.465,3.245,3.32,607390,False,False,0,1.0,0.8177339901477836,0.0,-0.18226600985221642
2007-01-26,3.365,3.37,3.25,3.3,136206,False,False,0,1.0,0.8128078817733994,0.0,-0.18719211822660065
2007-01-29,3.18,3.25,3.15,3.225,200200,False,False,0,1.0,0.7943349753694585,0.0,-0.20566502463054148
2007-01-30,3.235,3.28,3.22,3.275,79702,False,False,0,1.0,0.806650246305419,0.0,-0.19334975369458096
2007-01-31,3.255,3.305,3.245,3.265,87367,False,False,0,1.0,0.804187192118227,0.0,-0.19581280788177302
2007-02-01,3.24,3.3,3.235,3.25,72891,False,False,0,1.0,0.8004926108374388,0.0,-0.19950738916256117
2007-02-02,3.25,3.295,3.245,3.265,87451,False,False,0,1.0,0.804187192118227,0.0,-0.19581280788177302
2007-02-05,3.285,3.285,3.22,3.23,54124,False,False,0,1.0,0.7955665024630546,0.0,-0.2044334975369454
2007-02-06,3.215,3.24,3.165,3.185,153041,False,False,0,1.0,0.7844827586206902,0.0,-0.21551724137930983
2007-02-07,3.18,3.295,3.175,3.265,95452,False,False,0,1.0,0.8041871921182271,0.0,-0.1958128078817729
2007-02-08,3.355,3.405,3.3,3.395,179620,False,False,0,1.0,0.8362068965517246,0.0,-0.16379310344827536
2007-02-09,3.395,3.395,3.295,3.3,75271,False,False,0,1.0,0.8128078817733995,0.0,-0.18719211822660053
2007-02-12,3.29,3.355,3.285,3.305,66542,False,False,0,1.0,0.8140394088669956,0.0,-0.18596059113300445
2007-02-13,3.32,3.32,3.26,3.27,41314,False,False,0,1.0,0.8054187192118232,0.0,-0.19458128078817682
2007-02-14,3.27,3.315,3.17,3.225,261513,False,False,0,1.0,0.7943349753694586,0.0,-0.20566502463054137
2007-02-15,3.21,3.245,3.2,3.215,75488,True,False,1,1.0,0.7918719211822665,0.0,-0.20812807881773354
2007-02-16,3.215,3.275,3.195,3.27,96796,False,False,1,1.0171073094867806,0.8054187192118232,0.0,-0.19458128078817682
2007-02-20,3.275,3.37,3.275,3.355,117845,False,False,1,1.0435458786936236,0.8263546798029562,0.0,-0.17364532019704382
2007-02-21,3.36,3.365,3.315,3.345,173068,False,False,1,1.0404354587869362,0.8238916256157641,-0.0029806259314455463,-0.17610837438423588
2007-02-22,3.345,3.41,3.345,3.395,82866,False,False,1,1.0559875583203733,0.8362068965517248,0.0,-0.16379310344827525
2007-02-23,3.395,3.405,3.355,3.355,76923,False,False,1,1.0435458786936236,0.8263546798029562,-0.01178203240058917,-0.17364532019704382
2007-02-26,3.385,3.405,3.3,3.305,59465,False,False,1,1.0279937791601867,0.8140394088669956,-0.026509572901325384,-0.18596059113300445
2007-02-27,3.23,3.265,3.155,3.155,118041,False,False,1,0.9813374805598755,0.7770935960591137,-0.07069219440353469,-0.22290640394088634
2007-02-28,3.16,3.275,3.155,3.22,83209,False,True,0,1.0015552099533438,0.7931034482758625,-0.05154639175257725,-0.20689655172413746
2007-03-01,3.195,3.29,3.155,3.26,113022,False,False,0,1.0015552099533438,0.802955665024631,-0.05154639175257725,-0.197044334975369
2007-03-02,3.26,3.285,3.18,3.185,75649,False,False,0,1.0015552099533438,0.7844827586206902,-0.05154639175257725,-0.21551724137930983
2007-03-05,3.145,3.165,3.005,3.01,166712,False,False,0,1.0015552099533438,0.741379310344828,-0.05154639175257725,-0.25862068965517204
2007-03-06,3.035,3.13,2.86,3.06,136857,False,False,0,1.0015552099533438,0.7536945812807886,-0.05154639175257725,-0.2463054187192114
2007-03-07,3.07,3.085,3.01,3.025,73899,False,False,0,1.0015552099533438,0.7450738916256162,-0.05154639175257725,-0.2549261083743838
2007-03-08,3.03,3.09,3.03,3.035,58765,False,False,0,1.0015552099533438,0.7475369458128084,-0.05154639175257725,-0.2524630541871916
2007-03-09,3.07,3.07,2.98,3.01,62244,False,False,0,1.0015552099533438,0.741379310344828,-0.05154639175257725,-0.25862068965517204
2007-03-12,3.0,3.03,2.96,3.01,60998,False,False,0,1.0015552099533438,0.741379310344828,-0.05154639175257725,-0.25862068965517204
2007-03-13,3.0,3.025,2.93,2.94,85092,False,False,0,1.0015552099533438,0.7241379310344832,-0.05154639175257725,-0.2758620689655168
2007-03-14,2.93,3.02,2.9,3.015,79786,False,False,0,1.0015552099533438,0.7426108374384242,-0.05154639175257725,-0.25738916256157585
2007-03-15,3.025,3.05,2.985,3.025,53774,False,False,0,1.0015552099533438,0.7450738916256162,-0.05154639175257725,-0.2549261083743838
2007-03-16,3.02,3.03,2.965,3.005,64057,False,False,0,1.0015552099533438,0.740147783251232,-0.05154639175257725,-0.259852216748768
