交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,12.04,12.07,11.895,11.985,142632,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,12.005,12.155,11.99,12.125,110792,False,False,0,1.0,1.0116812682519818,0.0,0.0
2006-12-15,12.145,12.155,12.0,12.015,92856,False,False,0,1.0,1.002503128911139,0.0,-0.009072164948453643
2006-12-18,12.11,12.165,12.01,12.03,77288,False,False,0,1.0,1.0037546933667085,0.0,-0.007835051546391747
2006-12-19,12.025,12.045,11.85,12.03,122376,False,False,0,1.0,1.0037546933667085,0.0,-0.007835051546391747
2006-12-20,12.125,12.51,12.085,12.47,261216,False,False,0,1.0,1.0404672507300796,0.0,0.0
2006-12-21,12.4,12.65,12.345,12.54,283392,False,False,0,1.0,1.0463078848560703,0.0,0.0
2006-12-22,12.465,12.525,12.38,12.5,76328,False,False,0,1.0,1.0429703796412184,0.0,-0.0031897926634768536
2006-12-26,12.495,12.56,12.435,12.52,63096,False,False,0,1.0,1.0446391322486444,0.0,-0.0015948963317383713
2006-12-27,12.53,12.53,12.415,12.445,64128,False,False,0,1.0,1.038381309970797,0.0,-0.007575757575757569
2006-12-28,12.45,12.485,12.4,12.405,56688,False,False,0,1.0,1.035043804755945,0.0,-0.010765550239234645
2006-12-29,12.4,12.49,12.35,12.38,60592,False,False,0,1.0,1.0329578639966626,0.0,-0.012759170653907637
2007-01-03,12.25,12.465,12.1,12.205,164448,False,False,0,1.0,1.0183562786816853,0.0,-0.026714513556619135
2007-01-04,12.21,12.37,12.11,12.33,142680,False,False,0,1.0,1.0287859824780976,0.0,-0.016746411483253842
2007-01-05,12.265,12.425,12.215,12.365,134792,False,False,0,1.0,1.031706299541093,0.0,-0.013955342902711498
2007-01-08,12.315,12.375,12.205,12.315,98824,False,False,0,1.0,1.027534418022528,0.0,-0.017942583732057704
2007-01-09,12.315,12.495,12.295,12.47,148104,False,False,0,1.0,1.0404672507300792,0.0,-0.005582137161084799
2007-01-10,12.405,12.48,12.365,12.47,127728,False,False,0,1.0,1.0404672507300792,0.0,-0.005582137161084799
2007-01-11,12.49,12.545,12.43,12.49,140312,False,False,0,1.0,1.0421360033375051,0.0,-0.003987240829346428
2007-01-12,12.445,12.5,12.415,12.46,89600,False,False,0,1.0,1.0396328744263663,0.0,-0.006379585326953929
2007-01-16,12.44,12.5,12.4,12.49,89872,False,False,0,1.0,1.0421360033375051,0.0,-0.003987240829346428
2007-01-17,12.475,12.49,12.38,12.48,96504,False,False,0,1.0,1.0413016270337923,0.0,-0.004784688995215447
2007-01-18,12.48,12.53,12.375,12.46,146000,False,False,0,1.0,1.0396328744263663,0.0,-0.006379585326953929
2007-01-19,12.5,12.525,12.435,12.49,108848,False,False,0,1.0,1.0421360033375051,0.0,-0.003987240829346428
2007-01-22,12.52,12.52,12.18,12.21,142800,False,False,0,1.0,1.018773466833542,0.0,-0.026315789473684403
2007-01-23,12.215,12.29,12.025,12.09,124792,False,False,0,1.0,1.0087609511889861,0.0,-0.035885167464115075
2007-01-24,12.1,12.16,12.075,12.1,84720,False,False,0,1.0,1.0095953274926992,0.0,-0.035087719298245834
2007-01-25,12.115,12.21,11.98,11.985,95224,False,False,0,1.0,1.0,0.0,-0.044258373205741774
2007-01-26,12.0,12.085,11.865,11.905,104888,False,False,0,1.0,0.9933249895702962,0.0,-0.05063795853269548
2007-01-29,11.92,12.08,11.92,12.04,143176,False,False,0,1.0,1.0045890696704214,0.0,-0.03987240829346106
