交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,8.11,8.135,8.1,8.12,2150,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,8.2,8.31,8.185,8.285,7910,False,False,0,1.0,1.0203201970443352,0.0,0.0
2006-12-15,8.335,8.425,8.25,8.365,5390,False,False,0,1.0,1.0301724137931036,0.0,0.0
2006-12-18,8.41,8.44,8.395,8.43,1780,False,False,0,1.0,1.038177339901478,0.0,0.0
2006-12-19,8.36,8.43,8.31,8.385,3820,False,False,0,1.0,1.0326354679802956,0.0,-0.005338078291815096
2006-12-20,8.32,8.345,8.29,8.315,2960,False,False,0,1.0,1.0240147783251232,0.0,-0.01364175563463832
2006-12-21,8.275,8.305,8.22,8.285,3590,False,False,0,1.0,1.0203201970443352,0.0,-0.01720047449584805
2006-12-22,8.43,8.455,8.39,8.44,4310,False,False,0,1.0,1.039408866995074,0.0,0.0
2006-12-26,8.46,8.465,8.4,8.43,2640,False,False,0,1.0,1.038177339901478,0.0,-0.0011848341232227888
2006-12-27,8.325,8.345,8.31,8.34,3850,False,False,0,1.0,1.0270935960591134,0.0,-0.011848341232227555
2006-12-28,8.325,8.33,8.275,8.31,3680,False,False,0,1.0,1.0233990147783254,0.0,-0.015402843601895588
2006-12-29,8.29,8.4,8.29,8.365,2710,False,False,0,1.0,1.0301724137931036,0.0,-0.008886255924170583
2007-01-03,8.44,8.465,8.34,8.345,5700,False,False,0,1.0,1.0277093596059115,0.0,-0.01125592417061616
2007-01-04,8.245,8.245,8.17,8.225,6000,False,False,0,1.0,1.0129310344827587,0.0,-0.025473933649289182
2007-01-05,8.31,8.35,8.295,8.345,5920,False,False,0,1.0,1.0277093596059115,0.0,-0.01125592417061616
2007-01-08,8.29,8.345,7.765,8.335,2890,False,False,0,1.0,1.0264778325123154,0.0,-0.01244075829383895
2007-01-09,8.54,8.555,8.475,8.48,4380,False,False,0,1.0,1.0443349753694582,0.0,0.0
