交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,51.25,51.315,51.03,51.11,8559,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,51.285,51.71,51.235,51.595,13606,False,False,0,1.0,1.0094893367247113,0.0,0.0
2006-12-15,52.035,52.035,51.435,51.55,10816,False,False,0,1.0,1.0086088828017998,0.0,-0.0008721775365830853
2006-12-18,51.78,51.815,51.295,51.41,11068,False,False,0,1.0,1.0058696928194089,0.0,-0.0035856187615080914
2006-12-19,51.505,51.865,51.375,51.71,15243,False,False,0,1.0,1.011739385638818,0.0,0.0
2006-12-20,51.42,51.5,51.11,51.305,10123,False,False,0,1.0,1.0038153003326158,0.0,-0.007832140785147823
2006-12-21,50.83,51.085,50.67,50.88,13260,False,False,0,1.0,0.9954999021717863,0.0,-0.016051053954747374
2006-12-22,50.765,50.875,50.44,50.82,7850,False,False,0,1.0,0.9943259636079045,0.0,-0.01721137110810267
2006-12-26,50.89,50.98,50.6,50.67,6285,False,False,0,1.0,0.9913911171982,0.0,-0.02011216399149074
2006-12-27,50.67,51.065,50.61,50.785,10330,False,False,0,1.0,0.9936411661123067,0.0,-0.017888222780893304
2006-12-28,50.91,50.95,50.62,50.75,17748,False,False,0,1.0,0.992956368616709,0.0,-0.018565074453683827
2006-12-29,50.505,50.69,50.475,50.51,9224,False,False,0,1.0,0.9882606143611816,0.0,-0.023206343067104895
2007-01-03,51.26,51.41,51.03,51.11,16466,False,False,0,1.0,0.9999999999999999,0.0,-0.011603171533552281
2007-01-04,51.655,51.98,51.57,51.84,14611,False,False,0,1.0,1.0142829191938956,0.0,0.0
2007-01-05,52.12,52.325,51.83,52.12,16021,False,False,0,1.0,1.0197612991586773,0.0,0.0
2007-01-08,51.355,51.46,51.04,51.205,12880,False,False,0,1.0,1.0018587360594795,0.0,-0.017555640828856522
2007-01-09,51.015,51.095,50.51,50.62,41713,False,False,0,1.0,0.9904128350616317,0.0,-0.028779739063699128
2007-01-10,50.75,50.91,50.585,50.84,12805,False,False,0,1.0,0.9947172764625318,0.0,-0.024558710667689887
2007-01-11,50.82,51.215,50.75,51.06,7360,False,False,0,1.0,0.9990217178634319,0.0,-0.020337682271680646
2007-01-12,50.95,51.32,50.725,51.165,13824,False,False,0,1.0,1.001076110350225,0.0,-0.018323100537221748
2007-01-16,51.9,52.0,51.655,51.825,14362,False,False,0,1.0,1.0139894345529252,0.0,-0.005660015349193914
2007-01-17,51.9,52.545,51.665,52.36,17068,False,False,0,1.0,1.0244570534142048,0.0,0.0
2007-01-18,51.28,51.455,51.025,51.075,28610,False,False,0,1.0,0.9993152025044024,0.0,-0.024541634835752446
2007-01-19,51.06,51.665,51.03,51.55,16362,False,False,0,1.0,1.0086088828018,0.0,-0.015469824293353862
2007-01-22,51.18,51.225,50.475,50.495,28882,False,False,0,1.0,0.9879671297202114,0.0,-0.0356187929717342
2007-01-23,51.095,51.245,50.82,51.2,24109,False,False,0,1.0,1.001760907845823,0.0,-0.022154316271963292
2007-01-24,51.135,51.35,51.1,51.34,10757,False,False,0,1.0,1.004500097828214,0.0,-0.01948051948051932
2007-01-25,51.42,51.49,51.11,51.215,19841,False,False,0,1.0,1.0020543924867933,0.0,-0.021867838044308696
2007-01-26,50.81,50.875,50.415,50.625,21572,False,False,0,1.0,0.9905106632752886,0.0,-0.033135981665393555
2007-01-29,50.9,51.12,50.61,50.705,28941,False,False,0,1.0,0.9920759146937976,0.0,-0.03160809778456852
2007-01-30,50.785,50.805,50.575,50.61,20981,False,False,0,1.0,0.990217178634318,0.0,-0.03342245989304837
2007-01-31,50.415,50.91,50.365,50.75,12359,False,False,0,1.0,0.992956368616709,0.0,-0.030748663101604512
2007-02-01,51.155,51.55,51.155,51.445,17706,False,False,0,1.0,1.0065544903150068,0.0,-0.017475171886936813
2007-02-02,51.245,51.55,51.065,51.515,16819,False,False,0,1.0,1.0079240853062024,0.0,-0.016138273491214772
2007-02-05,51.4,51.515,51.25,51.355,14152,False,False,0,1.0,1.0047935824691843,0.0,-0.019194041252864724
2007-02-06,51.935,52.155,51.805,51.975,25313,False,False,0,1.0,1.01692428096263,0.0,-0.00735294117647034
2007-02-07,52.22,52.29,51.865,51.99,13611,False,False,0,1.0,1.0172177656036003,0.0,-0.007066462948815744
2007-02-08,51.62,51.77,51.42,51.64,13758,False,False,0,1.0,1.010369790647623,0.0,-0.013750954927425396
2007-02-09,51.5,51.68,51.32,51.375,7446,False,False,0,1.0,1.0051848953238116,0.0,-0.01881207028265841
2007-02-12,51.64,51.665,51.245,51.355,12130,False,False,0,1.0,1.0047935824691843,0.0,-0.019194041252864724
2007-02-13,51.795,51.795,51.46,51.575,19836,False,False,0,1.0,1.0090980238700844,0.0,-0.01499236058059572
2007-02-14,51.93,52.465,51.93,52.385,14412,False,False,0,1.0,1.024946194482489,0.0,0.0
2007-02-15,52.59,52.695,52.325,52.525,13435,True,False,1,1.0,1.0276853844648797,0.0,0.0
2007-02-16,52.71,53.1,51.12,52.165,50392,False,False,1,0.9931461208948119,1.0206417530815886,-0.006853879105188088,-0.006853879105188199
2007-02-20,51.525,51.79,51.315,51.645,17854,False,False,1,0.9832460732984293,1.0104676188612793,-0.01675392670157072,-0.016753926701570943
2007-02-21,51.2,51.33,50.855,51.19,30720,False,False,1,0.9745835316515944,1.0015652514185087,-0.025416468348405608,-0.02541646834840594
2007-02-22,50.76,51.05,50.715,50.935,22690,False,False,1,0.9697287006187529,0.996576012522011,-0.030271299381247063,-0.030271299381247396
2007-02-23,51.375,51.745,51.205,51.595,18351,False,False,1,0.9822941456449309,1.0094893367247109,-0.017705854355069106,-0.01770585435506955
2007-02-26,50.575,51.015,50.065,50.25,88907,False,False,1,0.9566872917658258,0.9831735472510266,-0.04331270823417421,-0.04331270823417477
2007-02-27,49.64,49.66,48.56,48.665,59799,False,False,1,0.9265111851499286,0.9521620035218151,-0.07348881485007142,-0.07348881485007197
2007-02-28,49.2,49.265,48.655,48.76,34127,False,True,0,0.9283198476915754,0.9540207395812946,-0.07168015230842462,-0.07168015230842517
2007-03-01,48.12,48.605,47.84,48.465,26847,False,False,0,0.9283198476915754,0.9482488749755424,-0.07168015230842462,-0.07729652546406518
2007-03-02,48.385,48.86,48.135,48.315,18910,False,False,0,0.9283198476915754,0.9453140285658378,-0.07168015230842462,-0.08015230842456034
2007-03-05,48.025,48.455,47.945,48.1,18335,False,False,0,0.9283198476915754,0.9411074153785947,-0.07168015230842462,-0.08424559733460313
2007-03-06,49.44,50.205,49.385,50.02,51688,False,False,0,0.9283198476915754,0.978673449422813,-0.07168015230842462,-0.04769157544026703
2007-03-07,49.51,50.22,49.485,49.73,19333,False,False,0,0.9283198476915754,0.9729994130307175,-0.07168015230842462,-0.0532127558305574
2007-03-08,49.71,50.045,49.405,49.905,14914,False,False,0,0.9283198476915754,0.9764234005087061,-0.07168015230842462,-0.049881009043313274
2007-03-09,49.405,49.685,49.36,49.49,14496,False,False,0,0.9283198476915754,0.9683036587751902,-0.07168015230842462,-0.057782008567349386
2007-03-12,49.51,49.745,49.44,49.67,7351,False,False,0,0.9283198476915754,0.9718254744668356,-0.07168015230842462,-0.0543550690147554
2007-03-13,49.66,50.045,49.305,49.37,17726,False,False,0,0.9283198476915754,0.9659557816474265,-0.07168015230842462,-0.06006663493574549
2007-03-14,49.65,49.78,49.35,49.695,13429,False,False,0,0.9283198476915754,0.9723146155351198,-0.07168015230842462,-0.053879105188006204
2007-03-15,49.37,49.81,49.35,49.615,18198,False,False,0,0.9283198476915754,0.9707493641166107,-0.07168015230842462,-0.05540218943360353
2007-03-16,50.23,50.55,49.985,50.23,13203,False,False,0,0.9283198476915754,0.9827822343963993,-0.07168015230842462,-0.0436934792955741
2007-03-19,49.925,50.055,49.65,49.915,9515,False,False,0,0.9283198476915754,0.9766190569360198,-0.07168015230842462,-0.04969062351261355
2007-03-20,49.685,50.115,49.685,50.035,13367,False,False,0,0.9283198476915754,0.9789669340637833,-0.07168015230842462,-0.04740599714421767
2007-03-21,49.925,50.97,49.855,50.88,11361,False,False,0,0.9283198476915754,0.9954999021717859,-0.07168015230842462,-0.03131841980009564
2007-03-22,50.39,50.39,50.1,50.22,10576,False,False,0,0.9283198476915754,0.9825865779690857,-0.07168015230842462,-0.04388386482627382
2007-03-23,50.425,50.425,49.995,50.22,14494,False,False,0,0.9283198476915754,0.9825865779690857,-0.07168015230842462,-0.04388386482627382
2007-03-26,50.1,50.52,50.02,50.435,11538,False,False,0,0.9283198476915754,0.9867931911563289,-0.07168015230842462,-0.03979057591623092
2007-03-27,49.965,50.075,49.81,49.815,11975,False,False,0,0.9283198476915754,0.9746624926628834,-0.07168015230842462,-0.05159447881961021
2007-03-28,49.89,49.965,49.455,49.51,10492,False,False,0,0.9283198476915754,0.9686949716298174,-0.07168015230842462,-0.057401237505950164
2007-03-29,49.835,50.145,49.755,50.03,6135,False,False,0,0.9283198476915754,0.9788691058501267,-0.07168015230842462,-0.04750118990956742
2007-03-30,50.15,50.715,47.795,48.12,75565,False,False,0,0.9283198476915754,0.9414987282332219,-0.07168015230842462,-0.0838648262732038
2007-04-02,48.465,48.755,47.74,48.7,49186,False,False,0,0.9283198476915754,0.9528468010174129,-0.07168015230842462,-0.07282246549262306
2007-04-03,48.63,48.825,48.385,48.49,33055,False,False,0,0.9283198476915754,0.9487380160438266,-0.07168015230842462,-0.07682056163731599
2007-04-04,48.375,48.7,48.34,48.7,22995,True,False,1,0.9283198476915754,0.9528468010174129,-0.07168015230842462,-0.07282246549262306
2007-04-05,48.955,49.15,48.78,49.07,10625,False,False,1,0.9353727910929283,0.9600860888280175,-0.06462720890707174,-0.06577820085673536
2007-04-09,48.865,48.98,48.525,48.645,8824,False,False,1,0.9272714371859689,0.9517706906671879,-0.07272856281403106,-0.07386958591147119
2007-04-10,49.015,49.88,48.79,48.815,29415,False,False,1,0.9305119787487526,0.9550968499315197,-0.06948802125124742,-0.07063303188957692
2007-04-11,48.56,49.525,48.215,48.47,40084,False,False,1,0.9239355855772209,0.9483467031891992,-0.07606441442277911,-0.07720133269871543
2007-04-12,48.56,48.94,48.375,48.825,44287,False,False,1,0.9307025988406812,0.9552925063588333,-0.06929740115931882,-0.07044264635887731
2007-04-13,49.66,49.835,49.29,49.59,13220,False,False,1,0.945285035873208,0.9702602230483266,-0.054714964126792,-0.055878153260352725
2007-04-16,49.94,49.96,49.65,49.835,10035,False,False,1,0.9499552281254551,0.9750538055175106,-0.050044771874544924,-0.05121370775821099
2007-04-17,49.87,51.77,49.8,50.03,20551,False,False,1,0.9536723199180599,0.9788691058501267,-0.046327680081940104,-0.04750118990956742
2007-04-18,50.23,50.46,49.845,50.01,16854,False,False,1,0.9532910797342029,0.9784777929954993,-0.046708920265797094,-0.04788196097096675
2007-04-19,50.09,50.485,50.0,50.355,11905,False,False,1,0.9598674729057346,0.9852279397378197,-0.0401325270942654,-0.04131366016182836
2007-04-20,50.62,50.82,50.51,50.82,9344,False,False,1,0.9687313071804079,0.9943259636079039,-0.0312686928195921,-0.03246073298429375
2007-04-23,51.13,51.215,50.475,50.575,15138,False,False,1,0.9640611149281607,0.9895323811387199,-0.03593888507183929,-0.037125178486435484
2007-04-24,51.205,51.365,51.06,51.315,14352,False,False,1,0.9781670017308663,1.004010956759929,-0.021832998269133652,-0.02303664921466031
2007-04-25,51.05,51.375,50.995,51.33,12496,False,False,1,0.978452931868759,1.0043044414008995,-0.021547068131240965,-0.022751070918610727
2007-04-26,51.42,51.83,51.32,51.69,16073,False,False,1,0.9853152551781834,1.0113480727841904,-0.014684744821816587,-0.01589719181342275
