交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2009-11-05,9.195,9.325,9.19,9.19,16,False,False,1,1.0,1.0,0.0,0.0
2009-11-06,9.2,9.315,9.08,9.315,22,False,False,1,1.0136017410228508,1.0136017410228508,0.0,0.0
2009-11-09,9.35,9.35,9.325,9.325,12,False,False,1,1.0146898803046789,1.0146898803046789,0.0,0.0
2009-11-10,9.46,9.46,9.46,9.46,46,False,False,1,1.029379760609358,1.029379760609358,0.0,0.0
2009-11-11,9.47,9.475,9.47,9.475,10,False,False,1,1.0310119695320998,1.0310119695320998,0.0,0.0
2009-11-12,9.385,9.385,9.185,9.185,8,False,False,1,0.9994559303590858,0.9994559303590858,-0.030606860158311266,-0.030606860158311266
2009-11-13,9.375,9.5,9.375,9.43,24,False,False,1,1.0261153427638734,1.0261153427638734,-0.004749340369393229,-0.004749340369393229
2009-11-16,9.625,9.625,9.56,9.625,56,False,False,1,1.0473340587595208,1.0473340587595208,0.0,0.0
2009-11-17,9.5,9.5,9.5,9.5,10,False,False,1,1.03373231773667,1.03373231773667,-0.01298701298701288,-0.01298701298701288
2009-11-18,9.46,9.46,9.375,9.425,18,False,False,1,1.0255712731229596,1.0255712731229596,-0.020779220779220564,-0.020779220779220564
2009-11-19,9.095,9.125,9.095,9.115,20,False,False,1,0.9918389553862892,0.9918389553862892,-0.052987012987012805,-0.052987012987012805
2009-11-20,9.08,9.08,9.08,9.08,12,False,False,1,0.9880304678998909,0.9880304678998909,-0.056623376623376465,-0.056623376623376465
2009-11-23,9.51,9.6,9.49,9.49,30,False,False,1,1.032644178454842,1.032644178454842,-0.014025974025973942,-0.014025974025973942
2009-11-24,9.575,9.585,9.5,9.58,96,False,False,1,1.0424374319912946,1.0424374319912946,-0.00467532467532461,-0.00467532467532461
2009-11-25,9.715,9.87,9.715,9.87,10,False,False,1,1.0739934711643087,1.0739934711643087,0.0,0.0
2009-11-27,9.075,9.25,9.075,9.205,98,False,False,1,1.0016322089227419,1.0016322089227419,-0.06737588652482263,-0.06737588652482263
2009-11-30,9.355,9.36,9.345,9.36,48,False,True,0,1.0184983677910768,1.0184983677910768,-0.05167173252279644,-0.05167173252279644
2009-12-01,9.575,9.65,9.55,9.65,50,False,False,0,1.0184983677910768,1.0500544069640911,-0.05167173252279644,-0.022289766970617908
2009-12-02,9.495,9.525,9.495,9.52,16,True,False,1,1.0184983677910768,1.035908596300326,-0.05167173252279644,-0.03546099290780147
2009-12-03,9.425,9.425,9.425,9.425,26,False,False,1,1.0083347811376997,1.0255712731229596,-0.061135092334806185,-0.045086119554204496
2009-12-04,9.45,9.45,9.45,9.45,2,False,False,1,1.0110094092043778,1.0282916213275295,-0.05864473448954055,-0.042553191489361764
2009-12-07,9.495,9.675,9.495,9.675,100,False,False,1,1.0350810618044821,1.0527747551686613,-0.036231513882148514,-0.019756838905775065
2009-12-08,9.395,9.425,9.25,9.25,18,False,False,1,0.9896123846709518,1.006528835690968,-0.07856759725166662,-0.0628166160081054
2009-12-09,9.23,9.23,9.05,9.225,20,False,False,1,0.9869377566042735,1.0038084874863977,-0.08105795509693248,-0.06534954407294846
2009-12-10,9.125,9.225,9.125,9.225,40,False,False,1,0.9869377566042735,1.0038084874863977,-0.08105795509693248,-0.06534954407294846
2009-12-11,9.125,9.125,9.125,9.125,6,False,False,1,0.9762392443375606,0.992927094668117,-0.09101938647799546,-0.07548125633232028
2009-12-14,8.99,9.04,8.96,8.96,78,False,False,1,0.9585866990974842,0.9749727965179539,-0.10745574825674953,-0.09219858156028371
2009-12-15,8.87,8.945,8.87,8.945,22,False,False,1,0.9569819222574771,0.9733405875952117,-0.10894996296390902,-0.09371833839918964
2009-12-16,8.82,8.975,8.81,8.81,12,False,False,1,0.9425389306974147,0.9586507072905327,-0.12239789532834411,-0.10739614994934155
2009-12-17,8.5,8.665,8.5,8.5,14,False,False,1,0.9093735426706043,0.9249183895538624,-0.15327833260963963,-0.13880445795339424
2009-12-18,8.575,8.575,8.5,8.5,10,False,False,1,0.9093735426706043,0.9249183895538624,-0.15327833260963963,-0.13880445795339424
2009-12-21,8.625,8.675,8.625,8.67,20,False,False,1,0.9275610135240164,0.9434167573449397,-0.13634389926183244,-0.12158054711246213
2009-12-22,8.5,8.64,8.5,8.64,32,False,False,1,0.9243514598440026,0.9401523394994555,-0.1393323286761513,-0.12462006079027366
2009-12-23,8.65,8.69,8.53,8.69,54,False,False,1,0.9297007159773589,0.9455930359085958,-0.13435161298561993,-0.11955420466058786
2009-12-24,8.6,8.775,8.6,8.775,94,False,False,1,0.9387944514040651,0.9548422198041344,-0.1258843963117161,-0.11094224924012175
2009-12-28,8.725,8.725,8.57,8.64,26,False,False,1,0.9243514598440026,0.9401523394994555,-0.1393323286761513,-0.12462006079027366
2009-12-29,8.62,8.65,8.62,8.65,34,False,False,1,0.9254213110706738,0.9412404787812836,-0.13833618553804505,-0.12360688956433641
2009-12-30,8.55,8.565,8.5,8.56,42,False,False,1,0.9157926500306321,0.9314472252448309,-0.14730147378100178,-0.1327254305977711
2009-12-31,8.815,8.815,8.785,8.795,48,False,False,1,0.9409341538574076,0.9570184983677906,-0.1238921100355036,-0.10891590678824736
2010-01-04,8.815,8.91,8.815,8.89,86,False,False,1,0.9510977405107851,0.9673558215451573,-0.11442875022349364,-0.09929078014184411
2010-01-05,9.115,9.14,9.035,9.115,106,False,False,1,0.9751693931108892,0.991838955386289,-0.09201552961610182,-0.07649442755825742
2010-01-06,9.24,9.25,9.24,9.245,58,False,False,1,0.989077459057616,1.0059847660500538,-0.07906566882071997,-0.06332320162107419
2010-01-07,9.105,9.225,9.1,9.225,48,False,False,1,0.9869377566042735,1.0038084874863977,-0.08105795509693248,-0.06534954407294846
2010-01-08,9.05,9.125,9.025,9.125,100,False,False,1,0.9762392443375606,0.992927094668117,-0.09101938647799546,-0.07548125633232028
2010-01-11,9.325,9.325,9.15,9.215,34,False,False,1,0.9858679053776023,1.0027203482045697,-0.08205409823503873,-0.06636271529888571
2010-01-12,9.25,9.25,9.175,9.175,10,False,False,1,0.9815885004709172,0.9983677910772575,-0.08603867078746386,-0.07041540020263426
2010-01-13,8.78,8.92,8.78,8.92,110,False,False,1,0.9543072941907988,0.9706202393906415,-0.11144032080917488,-0.09625126646403259
2010-01-14,8.63,8.73,8.625,8.71,60,False,False,1,0.9318404184307018,0.9477693144722521,-0.1323593267094071,-0.11752786220871325
2010-01-15,8.64,8.655,8.505,8.515,52,False,False,1,0.9109783195106114,0.9265505984766046,-0.15178411790248014,-0.13728470111448843
2010-01-19,8.875,9.25,8.875,9.25,88,False,False,1,0.9896123846709518,1.0065288356909678,-0.07856759725166662,-0.06281661600810562
2010-01-20,8.55,8.55,8.54,8.55,116,False,False,1,0.9147227988039609,0.9303590859630028,-0.14829761691910803,-0.13373860182370834
2010-01-21,8.29,8.29,8.065,8.065,158,False,False,1,0.8628350143104028,0.8775843307943411,-0.196610559117264,-0.18287740628166194
2010-01-22,8.06,8.115,7.875,7.875,106,False,False,1,0.8425078410036482,0.8569096844396077,-0.2155372787412837,-0.20212765957446832
2010-01-25,7.98,7.98,7.98,7.98,6,False,False,1,0.8537412788836968,0.8683351468988025,-0.2050777757911676,-0.19148936170212782
2010-01-26,7.75,7.775,7.75,7.775,10,False,False,1,0.8318093287369351,0.846028291621327,-0.2254987101223469,-0.21225937183384014
2010-01-27,7.675,7.685,7.55,7.65,86,False,False,1,0.8184361884035439,0.8324265505984761,-0.23795049934867563,-0.2249240121580549
2010-01-28,7.65,7.685,7.55,7.685,182,False,False,1,0.8221806676968935,0.8362350380848743,-0.23446399836530363,-0.22137791286727482
2010-01-29,7.95,8.01,7.755,7.755,228,False,False,1,0.8296696262835925,0.8438520130576709,-0.22749099639855952,-0.21428571428571452
2010-02-01,8.0,8.0,7.975,7.975,162,False,False,1,0.8532063532703611,0.8677910772578885,-0.20557584736022072,-0.1919959473150964
