交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2015-07-06,38.0,39.75,36.0,36.71,47848,False,False,0,1.0,1.0,0.0,0.0
2015-07-07,37.72,37.81,36.0,36.62,70116,False,False,0,1.0,0.9975483519476981,0.0,-0.0024516480523019135
2015-07-08,36.34,36.36,34.53,34.7,47333,False,False,0,1.0,0.945246526831926,0.0,-0.054753473168073996
2015-07-09,35.1,35.52,33.99,34.5,37156,False,False,0,1.0,0.9397984200490329,0.0,-0.06020157995096709
2015-07-10,34.66,35.19,33.98,34.69,44298,False,False,0,1.0,0.9449741214927811,0.0,-0.05502587850721885
2015-07-13,35.59,37.5,35.5,36.78,68581,False,False,0,1.0,1.0019068373740125,0.0,0.0
2015-07-14,36.57,37.74,36.57,36.93,42644,True,False,1,1.0,1.0059929174611821,0.0,0.0
2015-07-15,37.98,38.2,37.03,37.51,116173,False,False,1,1.0157053885729759,1.0217924271315717,0.0,0.0
2015-07-16,38.82,39.97,38.08,38.63,187213,False,False,1,1.0460330354725156,1.0523018251157723,0.0,0.0
2015-07-17,39.42,40.2,38.18,38.39,180430,False,False,1,1.0395342539940429,1.0457640969763007,-0.0062127879886098025,-0.006212787988610025
2015-07-20,41.46,42.55,39.8,40.47,464298,False,False,1,1.0958570268074737,1.102424407518387,0.0,0.0
2015-07-21,41.08,41.11,39.12,39.35,268527,False,False,1,1.0655293799079342,1.0719150095341867,-0.027674820854954096,-0.027674820854954207
2015-07-22,39.35,39.72,38.1,38.39,230895,False,False,1,1.039534253994043,1.0457640969763007,-0.05139609587348626,-0.05139609587348637
2015-07-23,38.74,38.75,36.93,37.01,179359,False,True,0,1.0021662604928245,1.0081721601743392,-0.08549542871262639,-0.08549542871262661
2015-07-24,37.72,38.0,36.91,37.0,120987,False,False,0,1.0021662604928245,1.0078997548351947,-0.08549542871262639,-0.0857425253274029
2015-07-27,36.78,37.38,36.22,36.39,142497,False,False,0,1.0021662604928245,0.9912830291473712,-0.08549542871262639,-0.10081541882876188
2015-07-28,37.19,38.0,36.82,37.6,175940,False,False,0,1.0021662604928245,1.0242440751838735,-0.08549542871262639,-0.0709167284408202
2015-07-29,38.03,38.1,37.62,37.95,110207,False,False,0,1.0021662604928245,1.0337782620539362,-0.08549542871262639,-0.06226834692364702
2015-07-30,38.04,39.01,37.71,38.45,130271,False,False,0,1.0021662604928245,1.0473985290111685,-0.08549542871262639,-0.0499135161848282
2015-07-31,39.14,39.2,38.21,38.7,110626,False,False,0,1.0021662604928245,1.0542086624897846,-0.08549542871262639,-0.04373610081541879
2015-08-03,39.25,39.88,38.9,39.39,142367,False,False,0,1.0021662604928245,1.0730046308907653,-0.08549542871262639,-0.026686434395848724
2015-08-04,39.91,39.91,38.43,38.95,96826,False,False,0,1.0021662604928245,1.0610187959684008,-0.08549542871262639,-0.03755868544600938
2015-08-05,39.7,39.88,39.17,39.27,77217,False,False,0,1.0021662604928245,1.0697357668210294,-0.08549542871262639,-0.029651593773165286
2015-08-06,39.63,39.74,38.55,38.85,66144,False,False,0,1.0021662604928245,1.0582947425769542,-0.08549542871262639,-0.04002965159377325
2015-08-07,39.04,39.23,38.6,39.13,77463,False,False,0,1.0021662604928245,1.0659220920730044,-0.08549542871262639,-0.033110946380034645
2015-08-10,39.43,39.69,38.77,39.05,74169,False,False,0,1.0021662604928245,1.063742849359847,-0.08549542871262639,-0.03508771929824572
2015-08-11,38.93,39.28,38.72,38.85,69389,False,False,0,1.0021662604928245,1.0582947425769542,-0.08549542871262639,-0.04002965159377325
2015-08-12,38.55,38.58,37.01,38.19,201004,False,False,0,1.0021662604928245,1.0403159901934074,-0.08549542871262639,-0.05633802816901423
2015-08-13,38.4,38.49,37.44,37.62,73129,False,False,0,1.0021662604928245,1.0247888858621625,-0.08549542871262639,-0.07042253521126773
2015-08-14,37.49,38.18,37.38,38.14,57480,False,False,0,1.0021662604928245,1.0389539634976843,-0.08549542871262639,-0.057573511242896
2015-08-17,38.3,38.75,37.7,38.73,42951,False,False,0,1.0021662604928245,1.0550258785072184,-0.08549542871262639,-0.042994810971089814
2015-08-18,39.0,39.0,37.87,37.99,41143,False,False,0,1.0021662604928245,1.0348678834105147,-0.08549542871262639,-0.06127996046454154
2015-08-19,37.85,38.1,37.03,37.19,62267,False,False,0,1.0021662604928245,1.0130754562789428,-0.08549542871262639,-0.08104768964665188
2015-08-20,36.85,37.34,35.88,35.98,95375,False,False,0,1.0021662604928245,0.9801144102424404,-0.08549542871262639,-0.11094638003459367
2015-08-21,35.6,36.11,33.83,34.25,138609,False,False,0,1.0021662604928245,0.9329882865704165,-0.08549542871262639,-0.15369409439090687
2015-08-24,31.17,34.85,30.0,33.75,180585,False,False,0,1.0021662604928245,0.9193680196131842,-0.08549542871262639,-0.1660489251297258
2015-08-25,35.44,35.46,32.7,32.7,136646,False,False,0,1.0021662604928245,0.8907654590029963,-0.08549542871262639,-0.19199406968124533
2015-08-26,33.7,33.84,31.71,33.17,238145,False,False,0,1.0021662604928245,0.9035685099427947,-0.08549542871262639,-0.1803805287867556
2015-08-27,33.87,34.77,33.16,34.62,170236,False,False,0,1.0021662604928245,0.9430672841187684,-0.08549542871262639,-0.144551519644181
2015-08-28,34.51,35.26,34.37,35.04,70540,True,False,1,1.0021662604928245,0.9545083083628436,-0.08549542871262639,-0.13417346182357304
2015-08-31,35.42,35.51,34.77,35.0,100550,False,False,1,1.0010222350813032,0.9534186870062651,-0.08653938370268044,-0.13516184828267852
2015-09-01,34.15,34.68,33.41,33.77,119563,False,False,1,0.9658434536770174,0.9199128302914735,-0.11864099964684327,-0.1655547319001729
2015-09-02,34.6,35.08,33.83,35.07,65458,False,True,0,1.0030242795514657,0.9553255243802776,-0.0847124624700859,-0.13343217197924384
2015-09-03,35.01,35.46,34.77,35.31,56501,False,False,0,1.0030242795514657,0.9618632525197492,-0.0847124624700859,-0.12750185322461072
2015-09-04,34.71,34.72,33.78,34.29,66171,False,False,0,1.0030242795514657,0.9340779079269951,-0.0847124624700859,-0.15270570793180138
2015-09-08,34.81,34.89,34.25,34.7,49441,False,False,0,1.0030242795514657,0.9452465268319258,-0.0847124624700859,-0.14257474672596981
2015-09-09,34.92,34.95,33.88,34.37,96625,True,False,1,1.0030242795514657,0.9362571506401522,-0.0847124624700859,-0.15072893501359041
2015-09-10,34.23,34.29,32.95,33.46,109070,False,False,1,0.976467628565378,0.9114682647779895,-0.10894614472647868,-0.17321472695824058
2015-09-11,33.27,33.59,32.61,33.55,78649,False,False,1,0.979094110531035,0.9139199128302912,-0.10654940692090142,-0.17099085742525333
2015-09-14,33.7,33.95,33.2,33.77,64246,False,False,1,0.985514399780419,0.9199128302914735,-0.10069071450726785,-0.1655547319001729
2015-09-15,33.72,33.95,32.67,33.8,107552,False,False,1,0.9863898937689711,0.9207300463089073,-0.09989180190540892,-0.16481344205584392
2015-09-16,33.46,34.06,33.36,33.77,65914,False,False,1,0.985514399780419,0.9199128302914735,-0.10069071450726785,-0.1655547319001729
2015-09-17,33.72,33.99,33.08,33.32,71768,False,False,1,0.9723819899521338,0.9076545900299644,-0.11267440353515445,-0.17667407956510994
2015-09-18,32.9,33.78,32.55,32.92,90845,False,False,1,0.960708736771436,0.8967583764641786,-0.12332657155994242,-0.186557944156165
2015-09-21,33.66,34.62,33.43,34.25,114107,False,True,0,0.9995223035972564,0.9329882865704165,-0.0879081128775222,-0.15369409439090687
2015-09-22,33.94,34.1,33.18,33.35,77787,False,False,0,0.9995223035972564,0.9084718060473983,-0.0879081128775222,-0.17593278972078086
2015-09-23,33.49,34.34,33.26,34.16,48954,False,False,0,0.9995223035972564,0.9305366385181146,-0.0879081128775222,-0.15591796392389434
2015-09-24,34.0,34.07,33.38,33.91,56938,False,False,0,0.9995223035972564,0.9237265050394985,-0.0879081128775222,-0.16209537929330375
2015-09-25,34.6,34.69,33.5,33.77,59723,False,False,0,0.9995223035972564,0.9199128302914735,-0.0879081128775222,-0.1655547319001729
2015-09-28,33.68,33.68,32.15,32.25,61101,False,False,0,0.9995223035972564,0.8785072187414871,-0.0879081128775222,-0.20311341734618238
2015-09-29,32.27,32.67,30.3,30.63,110252,False,False,0,0.9995223035972564,0.8343775538000543,-0.0879081128775222,-0.24314306893995552
2015-09-30,31.2,31.28,30.64,31.04,119251,False,False,0,0.9995223035972564,0.8455461727049849,-0.0879081128775222,-0.23301210773412395
2015-10-01,30.82,31.59,30.75,31.48,85199,False,False,0,0.9995223035972564,0.8575320076273494,-0.0879081128775222,-0.2221398566839634
2015-10-02,30.82,32.86,30.75,32.83,66437,False,False,0,0.9995223035972564,0.8943067284118768,-0.0879081128775222,-0.18878181368915237
2015-10-05,32.95,33.02,32.38,32.67,52692,False,False,0,0.9995223035972564,0.8899482429855624,-0.0879081128775222,-0.1927353595255744
2015-10-06,32.91,32.91,31.78,31.86,65399,True,False,1,0.9995223035972564,0.867883410514846,-0.0879081128775222,-0.21275018532246104
2015-10-07,32.31,32.48,31.52,32.38,59108,False,False,1,1.0158359130721646,0.8820484881503677,-0.07302149073992992,-0.1999011613540893
2015-10-08,32.44,32.45,31.09,31.67,84536,False,False,1,0.9935615616737323,0.8627077090710977,-0.09334745558164237,-0.21744502100321217
2015-10-09,31.69,32.45,31.41,32.06,52293,False,False,1,1.0057967687799134,0.873331517297739,-0.08218248897844826,-0.2078082530269334
2015-10-12,32.19,32.67,32.1,32.63,34868,False,False,1,1.0236789945504858,0.8888586216289839,-0.06586446086608744,-0.1937237459846799
2015-10-13,32.6,33.48,32.33,33.22,75102,False,False,1,1.0421886668393239,0.904930536638518,-0.048973870363819394,-0.1791450457128737
