交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,44.1,44.11,43.62,43.88,706217,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,43.97,44.57,43.94,44.37,984217,False,False,0,1.0,1.0111668185961713,0.0,0.0
2006-12-15,44.67,44.76,44.35,44.43,786378,False,False,0,1.0,1.0125341841385596,0.0,0.0
2006-12-18,44.58,44.75,43.8,43.98,1068118,False,False,0,1.0,1.002278942570647,0.0,-0.010128291694800784
2006-12-19,43.66,44.63,43.38,43.85,1105784,False,False,0,1.0,0.9993163172288058,0.0,-0.013054242628854351
2006-12-20,43.9,44.11,43.67,43.69,617649,False,False,0,1.0,0.9956700091157702,0.0,-0.016655413009227904
2006-12-21,43.75,43.79,43.21,43.38,971293,False,False,0,1.0,0.9886052871467639,0.0,-0.023632680621201718
2006-12-22,43.38,43.98,42.95,42.95,868790,False,False,0,1.0,0.9788058340929808,0.0,-0.03331082601845592
2006-12-26,42.93,43.12,42.88,43.12,434493,False,False,0,1.0,0.982680036463081,0.0,-0.029484582489308964
2006-12-27,43.19,43.4,43.1,43.34,499337,False,False,0,1.0,0.987693710118505,0.0,-0.024532973216295106
2006-12-28,43.2,43.38,43.05,43.2,623331,False,False,0,1.0,0.9845031905195989,0.0,-0.027683997299122076
2006-12-29,43.2,43.61,43.12,43.14,708567,False,False,0,1.0,0.9831358249772105,0.0,-0.02903443619176227
2007-01-03,43.46,45.6,42.52,43.23,1519039,False,False,0,1.0,0.9851868732907929,0.0,-0.0270087778528022
2007-01-04,43.29,44.21,43.15,44.07,1233482,False,False,0,1.0,1.0043299908842296,0.0,-0.008102633355840605
2007-01-05,43.93,43.97,43.48,43.84,1068215,False,False,0,1.0,0.9990884229717412,0.0,-0.013279315777627532
2007-01-08,43.88,44.12,43.64,43.9,882019,False,False,0,1.0,1.0004557885141294,0.0,-0.01192887688498745
2007-01-09,44.0,44.29,43.63,44.12,1102437,False,False,0,1.0,1.0054694621695532,0.0,-0.006977267611973814
2007-01-10,43.96,44.66,43.82,44.64,969734,False,False,0,1.0,1.0173199635369188,0.0,0.0
2007-01-11,44.71,45.24,44.65,45.07,1568546,False,False,0,1.0,1.0271194165907018,0.0,0.0
2007-01-12,45.02,45.35,44.97,45.32,956830,False,False,0,1.0,1.03281677301732,0.0,0.0
2007-01-16,45.33,45.4,45.13,45.27,781556,False,False,0,1.0,1.0316773017319965,0.0,-0.0011032656663723106
2007-01-17,45.09,45.29,44.83,44.9,1013329,False,False,0,1.0,1.0232452142206017,0.0,-0.00926743159752863
2007-01-18,44.79,44.84,41.4,44.07,1633876,False,False,0,1.0,1.0043299908842298,0.0,-0.02758164165931143
2007-01-19,43.98,44.28,43.91,44.16,1159651,False,False,0,1.0,1.0063810391978123,0.0,-0.025595763459840937
2007-01-22,44.22,44.23,43.51,43.69,1160079,False,False,0,1.0,0.9956700091157704,0.0,-0.0359664607237421
2007-01-23,43.64,43.98,43.5,43.58,1216099,False,False,0,1.0,0.9931631722880585,0.0,-0.038393645189761516
2007-01-24,43.85,44.32,43.77,44.29,972856,False,False,0,1.0,1.0093436645396539,0.0,-0.022727272727272374
2007-01-25,44.37,44.47,43.58,43.69,1419717,False,False,0,1.0,0.9956700091157704,0.0,-0.0359664607237421
2007-01-26,43.81,43.83,43.29,43.57,1403495,False,False,0,1.0,0.9929352780309939,0.0,-0.03861429832303587
2007-01-29,43.45,43.91,43.4,43.61,958752,False,False,0,1.0,0.9938468550592527,0.0,-0.03773168578993791
2007-01-30,43.68,43.79,43.52,43.68,629405,False,False,0,1.0,0.9954421148587058,0.0,-0.03618711385701645
2007-01-31,43.6,44.19,43.33,44.06,1322104,False,False,0,1.0,1.0041020966271652,0.0,-0.02780229479258578
2007-02-01,44.27,44.4,43.85,44.0,1390396,False,False,0,1.0,1.002734731084777,0.0,-0.029126213592232664
2007-02-02,44.11,44.25,43.94,44.17,874454,False,False,0,1.0,1.0066089334548771,0.0,-0.025375110326566364
2007-02-05,44.14,44.36,43.96,44.13,878644,False,False,0,1.0,1.0056973564266183,0.0,-0.026257722859664323
2007-02-06,44.22,44.23,43.64,44.06,1031462,False,False,0,1.0,1.0041020966271652,0.0,-0.02780229479258578
2007-02-07,44.28,44.65,44.12,44.49,1090779,False,False,0,1.0,1.0139015496809483,0.0,-0.018314210061782576
2007-02-08,44.39,44.6,44.23,44.51,845113,False,False,0,1.0,1.0143573381950777,0.0,-0.017872903795233652
2007-02-09,44.57,44.72,43.73,43.89,1272690,False,False,0,1.0,1.000227894257065,0.0,-0.03155339805825208
2007-02-12,43.88,43.89,43.59,43.71,1219294,False,False,0,1.0,0.9961257976299,0.0,-0.035525154457193064
2007-02-13,43.79,44.0,43.7,43.85,855881,False,False,0,1.0,0.9993163172288061,0.0,-0.03243601059135004
2007-02-14,44.05,44.71,44.04,44.57,1250381,False,False,0,1.0,1.0157247037374662,0.0,-0.016548984995586546
2007-02-15,44.63,44.85,44.55,44.81,866433,True,False,1,1.0,1.0211941659070196,0.0,-0.011253309796998567
2007-02-16,44.67,44.83,44.57,44.78,634658,False,False,1,0.9993305065833519,1.0205104831358254,-0.0006694934166481259,-0.011915269196822176
2007-02-20,44.65,45.12,44.43,45.05,782023,False,False,1,1.0053559473331843,1.0266636280765729,0.0,-0.00595763459841081
2007-02-21,44.92,45.21,44.83,45.19,882656,False,False,1,1.0084802499442087,1.029854147675479,0.0,-0.0028684907325678966
2007-02-22,45.36,45.55,45.07,45.42,1021455,False,False,1,1.0136130328051773,1.0350957155879679,0.0,0.0
2007-02-23,45.41,45.46,45.06,45.26,980605,False,False,1,1.010042401249721,1.0314494074749323,-0.003522677234698457,-0.003522677234698346
2007-02-26,45.49,45.5,44.76,45.07,908920,False,False,1,1.0058022762776166,1.0271194165907027,-0.007705856450902604,-0.007705856450902604
2007-02-27,44.36,44.48,43.06,43.2,2971771,False,False,1,0.9640705199732205,0.9845031905195998,-0.048877146631439605,-0.048877146631439716
2007-02-28,43.16,43.76,42.93,43.32,1974946,False,True,0,0.9667484936398126,0.9872379216043764,-0.04623513870541596,-0.04623513870541596
2007-03-01,42.55,43.54,42.24,43.13,2151667,False,False,0,0.9667484936398126,0.9829079307201467,-0.04623513870541596,-0.050418317921620215
2007-03-02,42.78,43.54,42.47,42.48,1669297,False,False,0,0.9667484936398126,0.9680948040109396,-0.04623513870541596,-0.0647291941875825
2007-03-05,42.16,42.8,41.65,42.16,1559749,False,False,0,0.9667484936398126,0.9608021877848686,-0.04623513870541596,-0.07177454865697919
2007-03-06,42.55,42.99,42.5,42.86,1375405,False,False,0,0.9667484936398126,0.9767547857793991,-0.04623513870541596,-0.05636283575517387
2007-03-07,42.85,42.98,42.65,42.67,1028213,False,False,0,0.9667484936398126,0.9724247948951695,-0.04623513870541596,-0.060546014971378015
2007-03-08,43.12,43.24,42.84,42.96,1013573,False,False,0,0.9667484936398126,0.9790337283500464,-0.04623513870541596,-0.054161162483487235
2007-03-09,43.33,43.34,42.65,42.92,1142149,False,False,0,0.9667484936398126,0.9781221513217876,-0.04623513870541596,-0.05504183179216182
2007-03-12,42.88,43.28,42.83,43.22,764775,False,False,0,0.9667484936398126,0.9849589790337292,-0.04623513870541596,-0.04843681197710237
2007-03-13,43.0,43.24,42.37,42.37,1545084,False,False,0,0.9667484936398126,0.9655879671832277,-0.04623513870541596,-0.06715103478643758
2007-03-14,42.43,42.89,42.1,42.89,1829603,False,False,0,0.9667484936398126,0.9774384685505934,-0.04623513870541596,-0.055702333773667845
2007-03-15,42.85,43.06,42.72,42.89,988770,False,False,0,0.9667484936398126,0.9774384685505934,-0.04623513870541596,-0.055702333773667845
2007-03-16,42.95,43.04,42.61,42.83,967159,False,False,0,0.9667484936398126,0.976071103008205,-0.04623513870541596,-0.05702333773667978
2007-03-19,43.06,43.39,42.95,43.21,843839,False,False,0,0.9667484936398126,0.9847310847766645,-0.04623513870541596,-0.04865697930427104
2007-03-20,43.27,43.59,43.21,43.45,675734,False,False,0,0.9667484936398126,0.9902005469462178,-0.04623513870541596,-0.04337296345222352
2007-03-21,43.64,44.43,43.35,44.43,1617869,False,False,0,0.9667484936398126,1.0125341841385604,-0.04623513870541596,-0.0217965653896961
2007-03-22,44.43,44.45,44.09,44.27,1047705,False,False,0,0.9667484936398126,1.0088878760255249,-0.04623513870541596,-0.025319242624394445
2007-03-23,44.26,44.37,44.07,44.12,632549,False,False,0,0.9667484936398126,1.005469462169554,-0.04623513870541596,-0.028621752531924338
2007-03-26,44.15,44.66,43.63,44.32,1033730,False,False,0,0.9667484936398126,1.0100273473108485,-0.04623513870541596,-0.024218405988551184
2007-03-27,44.21,44.33,43.95,43.99,675615,False,False,0,0.9667484936398126,1.0025068368277126,-0.04623513870541596,-0.03148392778511666
2007-03-28,43.78,44.63,43.51,43.52,1302673,False,False,0,0.9667484936398126,0.9917958067456706,-0.04623513870541596,-0.041831792162043246
2007-03-29,43.84,43.85,43.1,43.58,1136098,False,False,0,0.9667484936398126,0.9931631722880588,-0.04623513870541596,-0.04051078819903142
2007-03-30,43.57,43.87,43.22,43.55,1097291,False,False,0,0.9667484936398126,0.9924794895168646,-0.04623513870541596,-0.041171290180537445
2007-04-02,43.67,43.76,43.3,43.58,860838,False,False,0,0.9667484936398126,0.9931631722880588,-0.04623513870541596,-0.04051078819903142
2007-04-03,43.82,44.31,43.79,44.17,971339,False,False,0,0.9667484936398126,1.0066089334548776,-0.04623513870541596,-0.027520915896081077
2007-04-04,44.2,44.38,44.13,44.3,735193,True,False,1,0.9667484936398126,1.009571558796719,-0.04623513870541596,-0.024658740642888644
2007-04-05,44.29,44.57,44.23,44.57,441774,False,False,1,0.972640640215044,1.0157247037374666,-0.040422124878112586,-0.01871422280933499
2007-04-09,44.71,46.47,44.38,44.44,560211,False,False,1,0.9698036807528956,1.012762078395625,-0.04322098338755498,-0.021576398062527535
2007-04-10,44.44,44.68,44.41,44.67,570631,False,False,1,0.974822916724389,1.0180036463081137,-0.03826915679392606,-0.01651254953764869
2007-04-11,44.64,44.66,44.07,44.21,1059510,False,False,1,0.9647844447814022,1.0075205104831364,-0.04817280998118367,-0.02664024658740649
2007-04-12,44.14,44.62,43.95,44.61,1057513,False,False,1,0.973513550818782,1.0166362807657252,-0.03956093764443802,-0.017833553500660626
2007-04-13,44.57,44.72,44.29,44.67,870184,False,False,1,0.974822916724389,1.0180036463081137,-0.03826915679392606,-0.01651254953764869
2007-04-16,44.82,45.15,44.82,45.08,661426,False,False,1,0.9837702504127033,1.027347310847767,-0.029441987648761825,-0.007485689123734263
2007-04-17,45.14,45.2,44.96,45.1,661714,False,False,1,0.9842067057145722,1.0278030993618967,-0.029011394031924542,-0.007045354469396803
2007-04-18,44.93,45.23,44.83,45.01,701133,False,False,1,0.9822426568561617,1.025752051048314,-0.03094906530769237,-0.009026860413914761
2007-04-19,44.81,45.25,44.72,45.06,868539,False,False,1,0.9833337951108343,1.026891522333638,-0.029872581265599107,-0.007926023778071278
2007-04-20,45.53,45.67,45.05,45.4,1137360,False,False,1,0.9907535352426071,1.0346399270738385,-0.022552489779365303,-0.00044033465433723773
2007-04-23,45.42,45.6,45.34,45.47,760741,False,False,1,0.9922811287991485,1.0362351868732915,-0.02104541212043487,0.0
2007-04-24,45.63,45.83,45.33,45.7,1044383,False,False,1,0.997300364770642,1.0414767547857802,-0.016093585526806065,0.0
2007-04-25,45.84,46.32,45.7,46.27,933615,False,False,1,1.0097393408739082,1.0544667274384694,-0.0038216674469434553,0.0
2007-04-26,46.41,46.65,46.33,46.44,892012,False,False,1,1.0134492109397946,1.0583409298085695,-0.0001616217038266088,0.0
2007-04-27,46.38,46.7,46.29,46.51,881836,False,False,1,1.014976804496336,1.0599361896080226,0.0,0.0
2007-04-30,46.49,46.53,45.92,45.96,860721,False,False,1,1.002974283694939,1.0474020054694628,-0.011825413889486103,-0.011825413889486214
2007-05-01,45.97,46.14,45.66,46.07,1321772,False,False,1,1.0053747878552182,1.0499088422971747,-0.00946033111158906,-0.009460331111588949
2007-05-02,46.09,46.58,46.05,46.46,823275,False,False,1,1.0138856662416633,1.058796718322699,-0.0010750376263172212,-0.0010750376263169992
2007-05-03,46.52,46.72,46.43,46.6,886720,False,False,1,1.0169408533547462,1.061987237921605,0.0,0.0
2007-05-04,46.76,46.89,46.42,46.62,813444,False,False,1,1.0173773086566151,1.0624430264357345,0.0,0.0
2007-05-07,46.65,46.78,46.57,46.61,444111,False,False,1,1.0171590810056808,1.06221513217867,-0.0002145002145000907,-0.0002145002145000907
2007-05-08,46.47,46.77,46.3,46.73,823909,False,False,1,1.0197778128168946,1.0649498632634466,0.0,0.0
2007-05-09,46.49,46.97,46.46,46.84,1033663,False,False,1,1.022178316977174,1.0674567000911588,0.0,0.0
2007-05-10,46.66,46.78,46.07,46.11,1535163,False,False,1,1.006247698458956,1.050820419325434,-0.015584970111016339,-0.015584970111016228
2007-05-11,46.24,46.74,46.18,46.73,891063,False,False,1,1.0197778128168946,1.0649498632634466,-0.0023484201537148364,-0.0023484201537149474
2007-05-14,46.77,46.88,46.19,46.45,1099591,False,False,1,1.0136674385907287,1.0585688240656346,-0.008326216908625228,-0.008326216908625117
2007-05-15,46.41,46.7,45.99,46.04,1661854,False,False,1,1.0047201049024144,1.0492251595259807,-0.017079419299743992,-0.017079419299744103
2007-05-16,46.21,46.55,45.91,46.54,1390257,False,False,1,1.0156314874491392,1.0606198723792168,-0.006404782237403928,-0.00640478223740415
2007-05-17,46.5,46.57,46.29,46.34,1026345,False,False,1,1.0112669344304495,1.0560619872379227,-0.010674637062339731,-0.010674637062339842
2007-05-18,46.48,46.7,46.38,46.68,964069,False,False,1,1.0186866745622223,1.0638103919781232,-0.0034158838599486208,-0.0034158838599487318
2007-05-21,46.74,47.24,46.67,47.02,1069306,False,False,1,1.026106414693995,1.0715587967183238,0.0,0.0
2007-05-22,47.04,47.28,46.87,47.14,916288,False,False,1,1.028725146505209,1.0742935278031005,0.0,0.0
2007-05-23,47.19,47.37,46.82,46.85,1063199,False,False,1,1.0223965446281085,1.0676845943482236,-0.006151887993211869,-0.006151887993211647
2007-05-24,46.85,47.04,45.97,46.12,1973362,False,False,1,1.0064659261098903,1.0510483135824988,-0.02163767501060687,-0.02163767501060665
2007-05-25,46.26,46.56,46.11,46.46,830457,False,False,1,1.013885666241663,1.0587967183226994,-0.014425116673738025,-0.014425116673737803
2007-05-29,46.49,46.86,46.41,46.75,834483,False,False,1,1.0202142681187634,1.0654056517775763,-0.008273228680526379,-0.008273228680526157
