交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,47.52,47.69,47.0,47.2,2387,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,47.11,47.85,46.93,47.58,1344,False,False,0,1.0,1.008050847457627,0.0,0.0
2006-12-15,47.73,47.8,47.13,47.23,1613,False,False,0,1.0,1.0006355932203388,0.0,-0.007356031946196051
2006-12-18,47.58,47.84,47.12,47.3,1423,False,False,0,1.0,1.0021186440677965,0.0,-0.005884825556956796
2006-12-19,47.32,47.65,47.1,47.37,1164,False,False,0,1.0,1.0036016949152542,0.0,-0.004413619167717542
2006-12-20,47.45,48.19,47.45,47.93,981,False,False,0,1.0,1.0154661016949151,0.0,0.0
2006-12-21,47.75,47.75,47.42,47.56,732,False,False,0,1.0,1.0076271186440677,0.0,-0.007719591070310838
2006-12-22,47.35,47.54,47.12,47.26,1223,False,False,0,1.0,1.0012711864406778,0.0,-0.013978718965157566
2006-12-26,47.3,47.38,47.09,47.37,363,False,False,0,1.0,1.0036016949152542,0.0,-0.011683705403713662
2006-12-27,47.22,47.65,47.12,47.45,792,False,False,0,1.0,1.0052966101694916,0.0,-0.01001460463175452
2006-12-28,47.71,47.82,47.52,47.79,840,False,False,0,1.0,1.0125,0.0,-0.0029209263509283323
2006-12-29,47.6,47.89,47.58,47.65,674,False,False,0,1.0,1.0095338983050848,0.0,-0.005841852701856776
2007-01-03,47.48,47.86,47.16,47.41,1994,False,False,0,1.0,1.0044491525423729,0.0,-0.010849155017734091
2007-01-04,47.38,47.46,46.69,46.8,1700,False,False,0,1.0,0.9915254237288136,0.0,-0.023576048403922245
2007-01-05,46.74,46.8,46.23,46.48,1972,False,False,0,1.0,0.9847457627118644,0.0,-0.030252451491758703
2007-01-08,46.34,46.62,46.19,46.32,1104,False,False,0,1.0,0.9813559322033899,0.0,-0.033590653035676876
2007-01-09,46.12,46.37,45.49,45.89,2034,False,False,0,1.0,0.9722457627118646,0.0,-0.042562069684956905
2007-01-10,45.79,45.81,45.19,45.48,1741,False,False,0,1.0,0.9635593220338984,0.0,-0.051116211141247425
2007-01-11,45.46,46.05,45.46,45.86,1305,False,False,0,1.0,0.9716101694915256,0.0,-0.043187982474441666
2007-01-12,46.11,46.77,46.11,46.43,1635,False,False,0,1.0,0.9836864406779662,0.0,-0.03129563947423308
2007-01-16,46.58,46.69,46.14,46.2,3005,False,False,0,1.0,0.9788135593220341,0.0,-0.03609430419361537
2007-01-17,46.28,46.54,46.07,46.44,1457,False,False,0,1.0,0.9838983050847459,0.0,-0.031087001877738163
2007-01-18,46.38,46.66,46.11,46.28,1245,False,False,0,1.0,0.9805084745762713,0.0,-0.034425203421656336
2007-01-19,46.29,46.66,46.22,46.61,1463,False,False,0,1.0,0.9875000000000002,0.0,-0.027540162737324958
2007-01-22,46.7,46.79,46.26,46.28,1321,False,False,0,1.0,0.9805084745762713,0.0,-0.034425203421656336
2007-01-23,45.79,46.05,45.6,46.0,1733,False,False,0,1.0,0.9745762711864407,0.0,-0.04026705612351322
2007-01-24,46.07,46.51,46.03,46.42,3016,False,False,0,1.0,0.9834745762711866,0.0,-0.03150427707072789
2007-01-25,46.43,46.59,46.19,46.25,1003,False,False,0,1.0,0.9798728813559323,0.0,-0.03505111621114099
2007-01-26,46.34,46.81,46.34,46.69,1555,False,False,0,1.0,0.9891949152542373,0.0,-0.025871061965366038
2007-01-29,46.63,46.67,46.1,46.17,1610,False,False,0,1.0,0.978177966101695,0.0,-0.03672021698310013
2007-01-30,46.08,46.26,45.76,46.24,2552,False,False,0,1.0,0.9796610169491528,0.0,-0.035259753807635796
2007-01-31,46.05,46.57,46.05,46.32,1899,False,False,0,1.0,0.9813559322033899,0.0,-0.033590653035676876
2007-02-01,46.46,46.72,46.26,46.31,1304,False,False,0,1.0,0.9811440677966103,0.0,-0.033799290632171686
2007-02-02,46.06,46.1,45.73,45.76,1456,False,False,0,1.0,0.9694915254237289,0.0,-0.04527435843939065
2007-02-05,45.69,46.1,45.69,46.05,1017,False,False,0,1.0,0.975635593220339,0.0,-0.03922386814103884
2007-02-06,46.12,46.27,46.03,46.24,1262,False,False,0,1.0,0.9796610169491528,0.0,-0.035259753807635796
2007-02-07,46.35,46.4,45.98,46.08,988,False,False,0,1.0,0.976271186440678,0.0,-0.03859795535155419
2007-02-08,45.97,46.19,45.75,46.1,1551,False,False,0,1.0,0.9766949152542375,0.0,-0.03818068015856424
2007-02-09,46.18,46.71,46.18,46.36,1274,False,False,0,1.0,0.9822033898305086,0.0,-0.032756102649697305
2007-02-12,46.55,46.63,46.0,46.18,1278,False,False,0,1.0,0.9783898305084747,0.0,-0.03651157938660521
2007-02-13,46.33,46.88,46.33,46.74,1699,False,False,0,1.0,0.9902542372881358,0.0,-0.024827873982891435
2007-02-14,46.97,47.07,46.82,47.02,1313,False,False,0,1.0,0.9961864406779662,0.0,-0.01898602128103455
2007-02-15,47.02,47.28,47.02,47.24,1624,True,False,1,1.0,1.000847457627119,0.0,-0.014395994158146963
2007-02-16,47.18,47.2,46.82,47.03,1333,False,False,1,0.9955546147332769,0.996398305084746,-0.004445385266723112,-0.018777383684539628
2007-02-20,46.78,47.56,46.53,47.5,2892,False,False,1,1.0055038103302285,1.0063559322033901,0.0,-0.008971416649279806
2007-02-21,47.42,47.7,47.34,47.39,1469,False,False,1,1.0031752751905163,1.0040254237288138,-0.002315789473684271,-0.01126643021072371
2007-02-22,47.7,47.82,47.2,47.49,1493,False,False,1,1.0052921253175273,1.0061440677966103,-0.00021052631578954983,-0.009180054245774838
2007-02-23,47.7,47.82,47.5,47.6,1159,False,False,1,1.0076206604572395,1.0084745762711866,0.0,-0.006885040684331045
2007-02-26,47.73,48.1,47.68,47.96,2632,False,False,1,1.015241320914479,1.0161016949152544,0.0,0.0
2007-02-27,47.83,47.83,46.15,46.65,3698,False,False,1,0.9875105842506349,0.9883474576271187,-0.027314428690575432,-0.027314428690575543
2007-02-28,46.75,46.82,46.03,46.41,4871,False,True,0,0.9824301439458084,0.9832627118644068,-0.032318598832360323,-0.032318598832360323
2007-03-01,44.83,46.15,44.8,45.97,4371,False,False,0,0.9824301439458084,0.9739406779661018,-0.032318598832360323,-0.04149291075896577
2007-03-02,46.37,46.96,46.35,46.52,2612,False,False,0,0.9824301439458084,0.9855932203389832,-0.032318598832360323,-0.030025020850708906
2007-03-05,46.5,46.84,46.1,46.52,2832,False,False,0,0.9824301439458084,0.9855932203389832,-0.032318598832360323,-0.030025020850708906
2007-03-06,47.0,47.33,46.79,47.3,2964,False,False,0,0.9824301439458084,1.0021186440677967,-0.032318598832360323,-0.013761467889908285
2007-03-07,47.08,47.75,47.08,47.71,2767,False,False,0,0.9824301439458084,1.0108050847457628,-0.032318598832360323,-0.0052126772310259195
2007-03-08,47.72,48.26,47.72,48.19,3119,False,False,0,0.9824301439458084,1.0209745762711866,-0.032318598832360323,0.0
2007-03-09,48.5,49.19,48.45,48.91,5950,False,False,0,0.9824301439458084,1.036228813559322,-0.032318598832360323,0.0
2007-03-12,48.93,49.53,48.93,49.5,1984,False,False,0,0.9824301439458084,1.0487288135593222,-0.032318598832360323,0.0
2007-03-13,49.42,49.54,48.52,48.52,3714,False,False,0,0.9824301439458084,1.0279661016949155,-0.032318598832360323,-0.019797979797979703
2007-03-14,48.26,48.59,47.77,48.44,4189,False,False,0,0.9824301439458084,1.0262711864406782,-0.032318598832360323,-0.02141414141414144
2007-03-15,48.44,48.58,48.16,48.38,2479,False,False,0,0.9824301439458084,1.0250000000000004,-0.032318598832360323,-0.02262626262626244
2007-03-16,48.5,48.79,48.27,48.41,2086,False,False,0,0.9824301439458084,1.0256355932203391,-0.032318598832360323,-0.02202020202020205
