交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2010-03-05,18.48,18.96,18.48,18.96,73445,False,False,1,1.0,1.0,0.0,0.0
2010-03-08,18.93,19.11,18.83,19.04,68484,False,False,1,1.0042194092827004,1.0042194092827004,0.0,0.0
2010-03-09,19.01,19.12,18.78,18.97,59182,False,False,1,1.0005274261603374,1.0005274261603374,-0.003676470588235392,-0.003676470588235392
2010-03-10,19.02,19.17,18.9,19.06,78552,False,False,1,1.0052742616033754,1.0052742616033754,0.0,0.0
2010-03-11,19.0,19.13,18.75,19.1,70310,False,False,1,1.0073839662447257,1.0073839662447257,0.0,0.0
2010-03-12,18.89,18.95,18.33,18.43,191427,False,False,1,0.9720464135021096,0.9720464135021096,-0.0350785340314137,-0.0350785340314137
2010-03-15,18.33,18.5,18.15,18.24,157734,False,False,1,0.962025316455696,0.962025316455696,-0.045026178010471374,-0.045026178010471374
2010-03-16,18.31,18.53,18.21,18.47,149247,False,False,1,0.9741561181434597,0.9741561181434597,-0.03298429319371743,-0.03298429319371743
2010-03-17,18.27,18.6,18.27,18.49,126540,False,False,1,0.9752109704641349,0.9752109704641349,-0.031937172774869294,-0.031937172774869294
2010-03-18,18.39,18.82,18.39,18.79,86455,False,False,1,0.9910337552742614,0.9910337552742614,-0.01623036649214671,-0.01623036649214671
2010-03-19,18.83,18.96,18.58,18.58,106430,False,False,1,0.9799578059071729,0.9799578059071729,-0.027225130890052518,-0.027225130890052518
2010-03-22,18.51,18.66,18.4,18.54,71952,False,False,1,0.9778481012658227,0.9778481012658227,-0.02931937172774879,-0.02931937172774879
2010-03-23,18.58,18.69,18.43,18.52,88848,False,False,1,0.9767932489451475,0.9767932489451475,-0.030366492146597035,-0.030366492146597035
2010-03-24,18.49,18.56,18.2,18.45,82777,False,False,1,0.9731012658227847,0.9731012658227847,-0.034031413612565564,-0.034031413612565564
2010-03-25,18.48,18.88,18.38,18.72,113344,False,False,1,0.9873417721518986,0.9873417721518986,-0.01989528795811535,-0.01989528795811535
2010-03-26,18.77,18.91,18.59,18.76,121604,False,False,1,0.989451476793249,0.989451476793249,-0.017801047120418745,-0.017801047120418745
2010-03-29,18.76,18.94,18.68,18.73,112641,False,False,1,0.9878691983122362,0.9878691983122362,-0.019371727748691114,-0.019371727748691114
