交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,41.54,41.92,41.49,41.76,10679,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,42.22,42.81,42.22,42.8,15596,False,False,0,1.0,1.024904214559387,0.0,0.0
2006-12-15,43.15,43.41,43.08,43.4,18088,False,False,0,1.0,1.039272030651341,0.0,0.0
2006-12-18,43.73,43.78,42.94,43.13,11769,False,False,0,1.0,1.0328065134099618,0.0,-0.006221198156681984
2006-12-19,42.83,43.01,42.42,42.82,9250,False,False,0,1.0,1.0253831417624522,0.0,-0.013364055299539102
2006-12-20,42.95,43.16,42.88,43.01,8439,False,False,0,1.0,1.0299329501915708,0.0,-0.008986175115207384
2006-12-21,42.9,43.1,42.68,42.92,10416,False,False,0,1.0,1.027777777777778,0.0,-0.011059907834101268
2006-12-22,42.89,42.98,42.25,42.7,8908,False,False,0,1.0,1.0225095785440614,0.0,-0.01612903225806439
2006-12-26,42.69,43.05,42.67,42.95,3049,False,False,0,1.0,1.0284961685823757,0.0,-0.010368663594469862
2006-12-27,43.14,43.42,43.14,43.35,5171,False,False,0,1.0,1.0380747126436785,0.0,-0.0011520737327186392
2006-12-28,43.15,43.3,42.97,43.19,5275,False,False,0,1.0,1.0342432950191571,0.0,-0.004838709677419284
2006-12-29,43.0,43.25,42.84,42.86,7186,False,False,0,1.0,1.0263409961685823,0.0,-0.01244239631336408
2007-01-03,42.9,43.37,42.73,42.91,11396,False,False,0,1.0,1.027538314176245,0.0,-0.011290322580645329
2007-01-04,43.18,43.88,43.12,43.76,11805,False,False,0,1.0,1.0478927203065131,0.0,0.0
2007-01-05,43.98,45.6,43.96,44.83,30709,False,False,0,1.0,1.0735153256704977,0.0,0.0
2007-01-08,44.81,45.33,44.43,44.8,20944,False,False,0,1.0,1.0727969348658999,0.0,-0.0006691947356681771
2007-01-09,46.25,47.0,45.8,46.41,16917,False,False,0,1.0,1.111350574712643,0.0,0.0
2007-01-10,45.65,45.95,45.38,45.78,8217,False,False,0,1.0,1.0962643678160915,0.0,-0.013574660633484115
2007-01-11,45.27,45.99,45.26,45.68,9457,False,False,0,1.0,1.0938697318007657,0.0,-0.015729368670545085
2007-01-12,46.5,47.85,46.4,47.68,41156,False,False,0,1.0,1.1417624521072791,0.0,0.0
2007-01-16,47.22,47.31,46.78,47.01,14804,False,False,0,1.0,1.1257183908045971,0.0,-0.01405201342281881
2007-01-17,47.12,47.9,47.0,47.54,16385,False,False,0,1.0,1.1384099616858232,0.0,-0.002936241610738244
2007-01-18,46.75,46.75,46.22,46.38,18799,False,False,0,1.0,1.1106321839080455,0.0,-0.02726510067114085
2007-01-19,46.46,47.2,46.46,47.08,15080,False,False,0,1.0,1.127394636015325,0.0,-0.012583892617449632
2007-01-22,47.0,47.04,46.0,46.3,12784,False,False,0,1.0,1.1087164750957847,0.0,-0.028942953020134388
2007-01-23,46.45,46.95,46.44,46.6,9932,False,False,0,1.0,1.115900383141762,0.0,-0.022651006711409294
2007-01-24,46.6,46.92,46.43,46.86,5518,False,False,0,1.0,1.1221264367816088,0.0,-0.017197986577180968
2007-01-25,47.34,47.68,47.0,47.12,16315,False,False,0,1.0,1.1283524904214557,0.0,-0.011744966442952753
2007-01-26,47.9,48.01,47.31,47.75,11761,False,False,0,1.0,1.1434386973180075,0.0,0.0
2007-01-29,47.25,47.31,46.76,46.94,20851,False,False,0,1.0,1.1240421455938696,0.0,-0.01696335078534028
2007-01-30,46.95,47.09,46.21,46.3,21580,False,False,0,1.0,1.1087164750957852,0.0,-0.030366492146596924
2007-01-31,45.88,46.4,45.63,46.3,11580,False,False,0,1.0,1.1087164750957852,0.0,-0.030366492146596924
2007-02-01,47.14,47.63,47.13,47.47,12713,False,False,0,1.0,1.1367337164750957,0.0,-0.005863874345549691
2007-02-02,47.71,47.85,47.45,47.6,6418,False,False,0,1.0,1.139846743295019,0.0,-0.003141361256544517
2007-02-05,47.5,47.72,47.32,47.64,7429,False,False,0,1.0,1.1408045977011494,0.0,-0.002303664921465831
2007-02-06,48.5,48.91,48.43,48.81,14423,False,False,0,1.0,1.1688218390804597,0.0,0.0
2007-02-07,48.7,48.81,48.46,48.71,9970,False,False,0,1.0,1.166427203065134,0.0,-0.0020487604998976616
2007-02-08,48.19,48.49,48.13,48.4,13066,False,False,0,1.0,1.1590038314176243,0.0,-0.008399918049580068
2007-02-09,49.22,49.5,48.82,49.1,8656,False,False,0,1.0,1.175766283524904,0.0,0.0
2007-02-12,49.1,49.15,48.51,48.84,6081,False,False,0,1.0,1.1695402298850575,0.0,-0.005295315682280921
2007-02-13,49.4,49.8,49.4,49.72,7900,False,False,0,1.0,1.1906130268199233,0.0,0.0
2007-02-14,51.45,52.04,51.4,51.95,16215,False,False,0,1.0,1.244013409961686,0.0,0.0
2007-02-15,51.5,51.88,50.66,51.79,17326,True,False,1,1.0,1.2401819923371649,0.0,-0.003079884504331165
2007-02-16,52.06,52.73,52.06,52.55,14799,False,False,1,1.0146746476153696,1.2583812260536398,0.0,0.0
2007-02-20,52.0,52.61,51.97,52.58,13117,False,False,1,1.0152539100212394,1.2590996168582376,0.0,0.0
2007-02-21,52.55,53.26,52.5,52.9,13673,False,False,1,1.0214327090171844,1.2667624521072798,0.0,0.0
2007-02-22,52.7,52.78,52.3,52.53,9897,False,False,1,1.0142884726781227,1.2579022988505748,-0.0069943289224954075,-0.0069943289224952965
2007-02-23,52.85,53.0,52.04,52.35,21821,False,False,1,1.0108128982429037,1.2535919540229885,-0.010396975425330801,-0.010396975425330912
2007-02-26,52.99,52.99,52.48,52.95,10695,False,False,1,1.022398146360301,1.2679597701149425,0.0,0.0
2007-02-27,53.2,53.34,51.11,51.66,27198,False,False,1,0.9974898629078968,1.237068965517241,-0.024362606232294803,-0.024362606232294803
2007-02-28,51.8,52.19,51.14,51.75,15397,False,True,0,0.9992276501255064,1.2392241379310343,-0.022662889518413776,-0.022662889518413776
2007-03-01,51.6,52.03,50.05,51.9,25798,False,False,0,0.9992276501255064,1.2428160919540225,-0.022662889518413776,-0.019830028328612248
2007-03-02,49.03,50.41,48.28,49.42,32097,False,False,0,0.9992276501255064,1.1834291187739459,-0.022662889518413776,-0.0666666666666671
2007-03-05,49.07,49.64,48.8,49.0,12945,False,False,0,0.9992276501255064,1.1733716475095781,-0.022662889518413776,-0.07459867799811182
2007-03-06,50.75,50.98,50.09,50.69,10662,False,False,0,0.9992276501255064,1.2138409961685819,-0.022662889518413776,-0.04268177525967931
2007-03-07,49.97,50.46,49.92,50.1,5908,False,False,0,0.9992276501255064,1.1997126436781604,-0.022662889518413776,-0.05382436260623269
2007-03-08,51.23,51.64,51.23,51.42,8899,False,False,0,0.9992276501255064,1.2313218390804592,-0.022662889518413776,-0.028895184135977803
2007-03-09,52.27,52.57,51.67,52.49,18027,False,False,0,0.9992276501255064,1.2569444444444438,-0.022662889518413776,-0.008687440982059091
2007-03-12,52.63,53.01,52.62,52.88,8480,False,False,0,0.9992276501255064,1.266283524904214,-0.022662889518413776,-0.0013220018885746754
2007-03-13,51.92,52.15,51.26,51.27,7839,False,False,0,0.9992276501255064,1.2277298850574707,-0.022662889518413776,-0.03172804532577944
2007-03-14,50.35,50.98,49.64,50.56,12231,False,False,0,0.9992276501255064,1.2107279693486583,-0.022662889518413776,-0.045136921624174264
2007-03-15,50.55,51.27,50.51,51.08,8226,False,False,0,0.9992276501255064,1.2231800766283518,-0.022662889518413776,-0.03531633616619512
2007-03-16,51.21,51.64,51.08,51.28,11669,False,False,0,0.9992276501255064,1.227969348659003,-0.022662889518413776,-0.031539187913126154
2007-03-19,52.31,52.54,51.82,52.35,11056,False,False,0,0.9992276501255064,1.2535919540229876,-0.022662889518413776,-0.011331444759207554
2007-03-20,51.55,52.26,51.55,51.85,6525,False,False,0,0.9992276501255064,1.2416187739463593,-0.022662889518413776,-0.020774315391879794
2007-03-21,51.7,52.96,51.3,52.77,12956,False,False,0,0.9992276501255064,1.2636494252873556,-0.022662889518413776,-0.0033994334277626104
2007-03-22,52.01,52.99,52.01,52.86,6005,False,False,0,0.9992276501255064,1.2658045977011485,-0.022662889518413776,-0.0016997167138818048
2007-03-23,53.22,53.24,52.8,53.08,4697,False,False,0,0.9992276501255064,1.271072796934865,-0.022662889518413776,0.0
2007-03-26,53.14,53.14,52.2,52.47,14522,False,False,0,0.9992276501255064,1.2564655172413783,-0.022662889518413776,-0.01149208741522234
2007-03-27,52.49,52.49,51.81,52.31,6134,False,False,0,0.9992276501255064,1.2526340996168575,-0.022662889518413776,-0.014506405425772306
2007-03-28,51.81,51.9,51.13,51.18,9653,False,False,0,0.9992276501255064,1.2255747126436773,-0.022662889518413776,-0.035795026375282535
2007-03-29,51.04,51.3,50.68,51.06,8073,False,False,0,0.9992276501255064,1.2227011494252866,-0.022662889518413776,-0.038055764883195065
2007-03-30,50.73,51.08,50.4,50.53,8941,False,False,0,0.9992276501255064,1.2100095785440605,-0.022662889518413776,-0.04804069329314231
2007-04-02,50.27,50.31,49.77,49.85,11782,False,False,0,0.9992276501255064,1.193726053639846,-0.022662889518413776,-0.06085154483798039
2007-04-03,50.85,51.25,50.59,51.03,9259,False,False,0,0.9992276501255064,1.2219827586206888,-0.022662889518413776,-0.03862094951017325
2007-04-04,51.8,51.82,51.51,51.8,5686,True,False,1,0.9992276501255064,1.2404214559386963,-0.022662889518413776,-0.024114544084400946
2007-04-05,52.0,52.25,51.91,52.18,6345,False,False,1,1.0065578915743036,1.249521072796934,-0.015493235039977349,-0.016955538809344417
2007-04-09,53.62,53.76,53.14,53.25,12130,False,False,1,1.0271983082853904,1.2751436781609187,0.0,0.0
2007-04-10,53.74,54.18,53.68,54.04,8682,False,False,1,1.0424374944552581,1.2940613026819914,0.0,0.0
2007-04-11,53.82,53.88,53.13,53.38,6222,False,False,1,1.0297060224652421,1.278256704980842,-0.012213175425610512,-0.012213175425610623
2007-04-12,53.2,54.8,53.05,54.52,17353,False,False,1,1.0516967468116336,1.3055555555555545,0.0,0.0
2007-04-13,54.9,54.94,54.43,54.94,8057,False,False,1,1.059798592623462,1.3156130268199222,0.0,0.0
2007-04-16,54.75,55.54,54.75,55.46,8198,False,False,1,1.0698294493428688,1.3280651340996157,0.0,0.0
2007-04-17,55.05,55.26,54.9,55.22,4368,False,False,1,1.065199823164681,1.322318007662834,-0.004327443202308046,-0.004327443202308046
2007-04-18,55.2,55.35,55.01,55.19,7461,False,False,1,1.0646211198924076,1.3215996168582365,-0.00486837360259651,-0.004868373602596399
2007-04-19,54.3,54.81,54.2,54.4,5168,False,False,1,1.0493819337225399,1.3026819923371635,-0.019112874143526914,-0.019112874143526914
2007-04-20,54.76,54.86,54.4,54.71,6092,False,False,1,1.0553618675360323,1.3101053639846731,-0.013523260007212379,-0.013523260007212379
2007-04-23,54.5,54.79,54.32,54.75,8433,False,False,1,1.0561334718990636,1.3110632183908033,-0.012802019473494464,-0.012802019473494464
2007-04-24,54.86,54.88,54.41,54.5,7805,False,False,1,1.051310944630118,1.305076628352489,-0.01730977280923196,-0.01730977280923207
2007-04-25,54.19,55.37,54.09,55.21,14443,False,False,1,1.0650069220739233,1.3220785440613014,-0.004507753335737497,-0.004507753335737497
2007-04-26,54.21,54.4,54.08,54.2,8289,False,False,1,1.0455239119073836,1.2978927203065123,-0.022719076812116823,-0.022719076812116823
2007-04-27,53.56,53.9,53.17,53.53,5249,False,False,1,1.0325995388266096,1.2818486590038303,-0.03479985575189326,-0.03479985575189326
2007-04-30,53.37,53.83,53.25,53.27,3720,False,False,1,1.0275841104669063,1.2756226053639834,-0.03948791922106021,-0.03948791922106032
2007-05-01,52.94,53.03,52.52,52.86,5042,False,False,1,1.0196751657458356,1.2658045977011483,-0.0468806346916697,-0.0468806346916697
2007-05-02,53.38,53.87,53.17,53.7,3663,False,False,1,1.0358788573694926,1.285919540229884,-0.031734583483591705,-0.031734583483591705
2007-05-03,53.55,53.75,53.12,53.69,2831,False,False,1,1.0356859562787346,1.2856800766283514,-0.03191489361702138,-0.03191489361702127
2007-05-04,53.88,54.16,53.75,53.95,6429,False,False,1,1.0407013846384379,1.2919061302681982,-0.02722683014785443,-0.02722683014785421
2007-05-07,54.53,54.54,53.79,54.44,4366,False,False,1,1.050153538085571,1.303639846743294,-0.018391633609809,-0.01839163360980889
2007-05-08,54.36,54.51,54.09,54.51,3603,False,False,1,1.0515038457208759,1.3053160919540219,-0.01712946267580251,-0.017129462675802398
2007-05-09,55.42,55.73,55.23,55.63,5192,False,False,1,1.0731087678857518,1.3321360153256694,0.0,0.0
2007-05-10,54.39,54.58,53.6,53.81,6473,False,False,1,1.0380007693678286,1.2885536398467423,-0.03271616034513758,-0.03271616034513747
2007-05-11,53.82,54.19,53.54,54.06,3738,False,False,1,1.042823296636774,1.2945402298850563,-0.028222182275750463,-0.028222182275750574
2007-05-14,54.19,54.39,53.87,54.1,2904,False,False,1,1.0435949009998053,1.2954980842911865,-0.02750314578464863,-0.02750314578464863
2007-05-15,53.09,53.17,52.51,52.74,9616,False,False,1,1.0173603526567419,1.2629310344827573,-0.05195038648211403,-0.05195038648211414
2007-05-16,54.91,56.09,54.6,55.87,19552,False,False,1,1.0777383940639393,1.3378831417624508,0.0,0.0
2007-05-17,54.9,55.19,54.52,55.12,10067,False,False,1,1.0632708122571028,1.3199233716475083,-0.013424020046536644,-0.013424020046536644
2007-05-18,55.27,55.82,55.27,55.57,7219,False,False,1,1.0719513613412048,1.3306992337164738,-0.0053696080186145245,-0.0053696080186146355
2007-05-21,56.93,57.8,56.92,57.37,8480,False,False,1,1.1066735576776123,1.3738026819923357,0.0,0.0
2007-05-22,58.85,59.84,58.8,59.46,11820,False,False,1,1.1469898856459968,1.4238505747126422,0.0,0.0
2007-05-23,58.68,59.04,58.06,58.07,7490,False,False,1,1.1201766340306598,1.3905651340996155,-0.023377060208543576,-0.023377060208543576
2007-05-24,57.4,57.56,56.25,56.56,9515,False,False,1,1.091048569326229,1.354406130268198,-0.048772283888328216,-0.048772283888328216
2007-05-25,56.58,57.03,56.42,56.75,7414,False,False,1,1.0947136900506276,1.3589559386973167,-0.045576858392196495,-0.045576858392196384
2007-05-29,56.89,57.0,56.41,56.71,7854,False,False,1,1.0939420856875963,1.3579980842911865,-0.04624957954927689,-0.046249579549276665
2007-05-30,56.62,57.41,56.51,57.3,6294,False,False,1,1.1053232500423076,1.3721264367816077,-0.03632694248234114,-0.03632694248234114
2007-05-31,57.7,57.92,57.51,57.68,5630,False,False,1,1.1126534914911048,1.3812260536398453,-0.029936091490077366,-0.029936091490077366
2007-06-01,57.2,57.33,56.9,57.07,3925,False,False,1,1.1008865249548778,1.366618773946359,-0.040195089135553363,-0.04019508913555325
2007-06-04,56.82,56.93,56.31,56.66,3900,False,False,1,1.092977580233807,1.3568007662835235,-0.047090480995627404,-0.04709048099562729
2007-06-05,56.47,56.47,55.7,55.97,4526,False,False,1,1.0796674049715176,1.3402777777777763,-0.058694920955264074,-0.058694920955264074
2007-06-06,56.1,56.25,55.48,55.68,10464,False,False,1,1.0740732733395408,1.333333333333332,-0.06357214934409694,-0.06357214934409694
2007-06-07,55.68,55.81,54.67,54.67,9724,False,False,1,1.054590263173001,1.3091475095785428,-0.08055835856037674,-0.08055835856037674
2007-06-08,54.13,54.8,53.87,54.72,3863,False,False,1,1.05555476862679,1.3103448275862055,-0.07971745711402634,-0.07971745711402622
2007-06-11,54.5,55.37,54.5,54.88,6269,False,False,1,1.0586411860789153,1.3141762452107268,-0.07702657248570466,-0.07702657248570455
2007-06-12,53.81,54.3,53.55,53.6,4204,False,False,1,1.0339498464619143,1.2835249042145584,-0.09855364951227719,-0.09855364951227685
2007-06-13,54.39,55.13,54.39,55.0,7250,False,False,1,1.060955999168009,1.3170498084291178,-0.0750084090144636,-0.07500840901446326
2007-06-14,54.3,54.69,54.21,54.51,4409,False,False,1,1.0515038457208759,1.305316091954022,-0.08324924318869842,-0.08324924318869797
2007-06-15,54.9,55.12,54.42,54.47,8137,False,False,1,1.0507322413578446,1.3043582375478917,-0.08392196434577881,-0.08392196434577848
2007-06-18,54.41,54.44,53.75,54.12,8532,False,False,1,1.0439807031813209,1.295977011494252,-0.08980827447023221,-0.08980827447023176
2007-06-19,54.15,54.35,53.94,54.18,7223,False,False,1,1.0451381097258676,1.2974137931034473,-0.08879919273461179,-0.08879919273461123
2007-06-20,53.7,53.78,52.98,53.14,5165,False,False,1,1.0250763962870544,1.2725095785440605,-0.10628994281870185,-0.1062899428187013
2007-06-21,52.69,53.26,52.05,53.1,8398,False,False,1,1.0243047919240231,1.2715517241379304,-0.10696266397578225,-0.10696266397578158
2007-06-22,52.6,53.1,52.35,52.41,6147,False,False,1,1.0109946166617334,1.2550287356321832,-0.11856710393541914,-0.11856710393541836
2007-06-25,52.29,52.55,51.83,52.0,5134,False,False,1,1.003085671940663,1.245210727969348,-0.12546249579549307,-0.1254624957954923
2007-06-26,51.96,52.0,51.21,51.34,6831,False,False,1,0.9903541999506468,1.2294061302681987,-0.13656239488731947,-0.1365623948873187
2007-06-27,50.96,51.42,50.88,51.13,16190,False,False,1,0.9863032770447325,1.2243773946360148,-0.14009418096199155,-0.14009418096199078
2007-06-28,50.67,50.87,50.44,50.47,13934,False,False,1,0.9735718050547164,1.2085727969348652,-0.15119408005381796,-0.1511940800538173
2007-06-29,51.2,51.7,51.1,51.39,15039,False,False,1,0.9913187054044359,1.2306034482758614,-0.13572149344096895,-0.1357214934409683
2007-07-03,50.76,50.81,50.32,50.71,5758,False,False,1,0.9782014312329042,1.2143199233716468,-0.1471577531113356,-0.14715775311133494
2007-07-05,52.62,52.67,52.05,52.37,8370,False,False,1,1.0102230122987021,1.2540708812260528,-0.11923982509249953,-0.11923982509249886
2007-07-06,53.2,53.27,52.84,53.06,6392,False,False,1,1.0235331875609919,1.2705938697318002,-0.10763538513286264,-0.10763538513286186
2007-07-09,52.99,53.11,52.75,53.02,5597,False,False,1,1.0227615831979606,1.2696360153256698,-0.10830810628994303,-0.10830810628994236
2007-07-10,52.44,52.61,52.1,52.15,6416,False,False,1,1.0059791883020304,1.2488026819923363,-0.1229397914564414,-0.12293979145644096
2007-07-11,51.82,52.1,51.63,52.08,4880,False,False,1,1.0046288806667256,1.2471264367816084,-0.12411705348133206,-0.12411705348133162
2007-07-12,52.18,52.87,52.09,52.75,5558,False,False,1,1.0175532537474996,1.2631704980842906,-0.11284897410023553,-0.11284897410023498
2007-07-13,52.41,52.88,52.35,52.78,5294,False,False,1,1.018131957019773,1.2638888888888884,-0.11234443323242516,-0.1123444332324246
2007-07-16,52.65,52.75,52.3,52.44,4858,False,False,1,1.0115733199340071,1.255747126436781,-0.11806256306760865,-0.11806256306760798
2007-07-17,51.91,52.05,51.61,51.91,5201,False,False,1,1.0013495621238426,1.243055555555555,-0.12697611839892375,-0.1269761183989232
2007-07-18,51.8,51.85,50.76,51.5,11763,False,False,1,0.993440617402772,1.2332375478927198,-0.1338715102589978,-0.13387151025899713
2007-07-19,52.32,52.35,51.93,52.22,4803,False,False,1,1.0073294959373351,1.2504789272030645,-0.12176252943155075,-0.12176252943155019
2007-07-20,51.47,51.63,50.79,51.21,5413,False,False,1,0.9878464857707953,1.2262931034482754,-0.13874873864783066,-0.13874873864782988
2007-07-23,51.15,51.56,51.05,51.11,4211,False,False,1,0.985917474863217,1.2238984674329496,-0.14043054154053158,-0.14043054154053092
2007-07-24,51.96,51.96,51.31,51.66,8798,False,False,1,0.9965270348548971,1.2370689655172409,-0.13118062563067623,-0.13118062563067556
2007-07-25,52.1,52.74,51.78,52.38,9599,False,False,1,1.0104159133894601,1.2543103448275859,-0.11907164480322929,-0.1190716448032284
2007-07-26,52.49,52.59,50.42,51.46,20040,False,False,1,0.9926690130397408,1.2322796934865896,-0.13454423141607819,-0.1345442314160774
2007-07-27,53.87,53.94,51.42,53.22,22273,False,False,1,1.026619605013117,1.2744252873563213,-0.10494450050454096,-0.1049445005045403
2007-07-30,53.49,54.12,52.96,53.75,11622,False,False,1,1.0368433628232816,1.2871168582375474,-0.09603094517322575,-0.09603094517322508
