交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,142.23,142.33,141.56,141.86,485811,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,141.87,143.24,141.84,143.13,602502,False,False,0,1.0,1.0089524883688141,0.0,0.0
2006-12-15,142.64,142.89,142.2,142.34,551871,False,False,0,1.0,1.0033836176512052,0.0,-0.005519457835534092
2006-12-18,142.54,142.88,141.75,141.95,418380,False,False,0,1.0,1.0006344283096007,0.0,-0.008244253475861218
2006-12-19,141.53,142.56,141.16,142.22,576743,False,False,0,1.0,1.002537713238404,0.0,-0.006357856494096259
2006-12-20,142.29,142.66,142.01,142.24,375979,False,False,0,1.0,1.0026786973072042,0.0,-0.006218123384335805
2006-12-21,142.27,142.43,141.32,141.68,452523,False,False,0,1.0,0.9987311433807977,0.0,-0.010130650457625956
2006-12-22,141.64,141.65,140.65,140.68,553955,False,False,0,1.0,0.9916819399407865,0.0,-0.017117305945643868
2006-12-26,140.82,141.66,140.78,141.6,254750,False,False,0,1.0,0.9981672071055968,0.0,-0.010689582896667438
2006-12-27,141.87,142.6,141.83,142.45,359280,False,False,0,1.0,1.0041590300296064,0.0,-0.004750925731852207
2006-12-28,142.41,142.7,140.27,142.17,332535,False,False,0,1.0,1.002185253066403,0.0,-0.006707189268497449
2006-12-29,142.1,142.54,141.41,141.6,434927,False,False,0,1.0,0.9981672071055967,0.0,-0.010689582896667549
2007-01-03,142.25,142.86,140.57,141.39,789134,False,False,0,1.0,0.9966868743831943,0.0,-0.01215678054915137
2007-01-04,141.23,142.05,140.61,141.7,633916,False,False,0,1.0,0.9988721274495977,0.0,-0.009990917347865835
2007-01-05,141.33,144.78,140.38,140.47,656816,False,False,0,1.0,0.9902016072183839,0.0,-0.0185845035981278
2007-01-08,140.82,141.41,140.2,141.31,639325,False,False,0,1.0,0.9961229381079935,0.0,-0.01271571298819274
