交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,35.8,35.89,35.35,35.56,183758,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,35.55,35.79,35.43,35.65,170795,False,False,0,1.0,1.0025309336332957,0.0,0.0
2006-12-15,35.62,36.65,35.56,35.7,426767,False,False,0,1.0,1.0039370078740157,0.0,0.0
2006-12-18,35.75,35.95,35.28,35.48,293204,False,False,0,1.0,0.997750281214848,0.0,-0.006162464985994598
2006-12-19,35.39,35.45,34.83,34.96,356398,False,False,0,1.0,0.983127109111361,0.0,-0.020728291316526648
2006-12-20,35.13,35.45,34.05,34.96,286122,False,False,0,1.0,0.983127109111361,0.0,-0.020728291316526648
2006-12-21,34.98,35.65,34.85,35.19,332945,False,False,0,1.0,0.9895950506186725,0.0,-0.014285714285714457
2006-12-22,34.99,35.45,34.85,34.99,143511,False,False,0,1.0,0.983970753655793,0.0,-0.01988795518207287
2006-12-26,34.96,35.15,34.87,35.02,103873,False,False,0,1.0,0.984814398200225,0.0,-0.01904761904761898
2006-12-27,35.05,35.5,35.01,35.45,151675,False,False,0,1.0,0.9969066366704161,0.0,-0.007002801120448265
2006-12-28,35.3,35.66,35.25,35.46,108467,False,False,0,1.0,0.99718785151856,0.0,-0.006722689075630339
2006-12-29,35.66,36.21,35.65,35.71,171263,False,False,0,1.0,1.0042182227221597,0.0,0.0
2007-01-03,35.67,35.78,34.78,34.97,291753,False,False,0,1.0,0.983408323959505,0.0,-0.02072248669840382
2007-01-04,34.95,35.24,34.07,34.48,359164,False,False,0,1.0,0.9696287964004497,0.0,-0.034444133295995605
2007-01-05,34.4,34.54,33.95,33.95,310190,False,False,0,1.0,0.9547244094488189,0.0,-0.04928591430971718
2007-01-08,33.4,34.01,33.21,33.82,326003,False,False,0,1.0,0.951068616422947,0.0,-0.05292635116213951
2007-01-09,33.85,34.41,33.66,33.95,252138,False,False,0,1.0,0.9547244094488189,0.0,-0.04928591430971718
2007-01-10,34.2,35.0,31.94,34.05,287961,False,False,0,1.0,0.9575365579302585,0.0,-0.04648557826939248
2007-01-11,34.09,34.52,33.6,34.5,222525,False,False,0,1.0,0.9701912260967378,0.0,-0.0338840660879306
2007-01-12,34.6,34.91,34.42,34.73,187778,False,False,0,1.0,0.9766591676040492,0.0,-0.02744329319518357
2007-01-16,34.94,34.95,34.44,34.6,148233,False,False,0,1.0,0.9730033745781776,0.0,-0.031083730047605673
2007-01-17,34.6,34.66,34.31,34.5,154255,False,False,0,1.0,0.9701912260967378,0.0,-0.0338840660879306
2007-01-18,34.65,35.81,34.4,35.02,188729,False,False,0,1.0,0.984814398200225,0.0,-0.0193223186782413
2007-01-19,35.3,35.35,34.87,35.05,188722,False,False,0,1.0,0.9856580427446567,0.0,-0.018482217866144013
2007-01-22,35.24,35.53,35.0,35.09,201022,False,False,0,1.0,0.9867829021372329,0.0,-0.017362083450013888
2007-01-23,35.14,35.74,34.99,35.38,168050,False,False,0,1.0,0.9949381327334083,0.0,-0.009241108933071951
2007-01-24,36.06,36.95,35.85,36.84,301012,False,False,0,1.0,1.0359955005624297,0.0,0.0
2007-01-25,37.3,37.7,36.48,36.84,301773,False,False,0,1.0,1.0359955005624297,0.0,0.0
2007-01-26,36.37,36.79,36.0,36.4,231441,False,False,0,1.0,1.0236220472440942,0.0,-0.011943539630836386
2007-01-29,36.35,36.94,36.29,36.5,184712,False,False,0,1.0,1.026434195725534,0.0,-0.009229098805646263
2007-01-30,36.62,37.19,36.57,37.1,186043,False,False,0,1.0,1.043307086614173,0.0,0.0
2007-01-31,37.08,37.88,37.08,37.65,237546,False,False,0,1.0,1.0587739032620918,0.0,0.0
2007-02-01,37.7,37.81,37.47,37.74,163910,False,False,0,1.0,1.0613048368953877,0.0,0.0
2007-02-02,37.75,38.18,37.61,38.12,199701,False,False,0,1.0,1.071991001124859,0.0,0.0
2007-02-05,37.67,38.1,37.65,37.79,236543,False,False,0,1.0,1.0627109111361077,0.0,-0.008656873032528711
2007-02-06,37.7,37.96,37.44,37.5,209154,False,False,0,1.0,1.0545556805399323,0.0,-0.016264428121720687
2007-02-07,37.44,37.61,36.88,37.14,288132,False,False,0,1.0,1.0444319460067488,0.0,-0.02570828961175231
2007-02-08,37.08,37.5,36.94,37.37,137465,False,False,0,1.0,1.0508998875140603,0.0,-0.019674711437565717
2007-02-09,37.49,37.72,36.83,36.9,171127,False,False,0,1.0,1.0376827896512932,0.0,-0.03200419727177328
2007-02-12,36.75,37.15,36.69,36.96,121917,False,False,0,1.0,1.0393700787401572,0.0,-0.030430220356768012
2007-02-13,36.9,37.37,36.84,37.18,131223,False,False,0,1.0,1.0455568053993247,0.0,-0.024658971668415575
2007-02-14,37.25,37.56,37.08,37.19,188696,False,False,0,1.0,1.0458380202474686,0.0,-0.02439664218258142
2007-02-15,37.31,37.37,37.03,37.24,129301,True,False,1,1.0,1.0472440944881887,0.0,-0.023084994753410193
2007-02-16,37.02,37.49,36.87,37.49,151965,False,False,1,1.0067132116004296,1.0542744656917882,0.0,-0.016526757607555065
2007-02-20,37.51,37.75,37.35,37.36,153850,False,False,1,1.003222341568206,1.0506186726659164,-0.0034675913576955875,-0.019937040923399874
2007-02-21,37.5,37.5,37.18,37.23,149562,False,False,1,0.9997314715359824,1.0469628796400445,-0.006935182715391175,-0.02334732423924457
2007-02-22,37.16,37.4,36.89,37.05,137789,False,False,1,0.9948979591836731,1.041901012373453,-0.011736463056815527,-0.028069254984260272
2007-02-23,36.98,37.17,36.8,37.01,113475,False,False,1,0.9938238453276044,1.040776152980877,-0.012803414243798605,-0.02911857292759712
2007-02-26,37.0,37.57,36.98,37.52,180738,False,False,1,1.007518796992481,1.0551181102362202,0.0,-0.015739769150052374
2007-02-27,37.32,37.72,35.19,36.17,293974,False,False,1,0.9712674543501609,1.0171541057367826,-0.03598081023454158,-0.051154249737670465
2007-02-28,36.7,36.89,36.21,36.79,258565,False,True,0,0.9879162191192263,1.0345894263217095,-0.01945628997867821,-0.03488982161594956
2007-03-01,36.17,36.98,35.75,36.7,225872,False,False,0,0.9879162191192263,1.0320584926884138,-0.01945628997867821,-0.037250786988457296
2007-03-02,36.65,36.99,36.36,36.41,188666,False,False,0,0.9879162191192263,1.0239032620922381,-0.01945628997867821,-0.04485834207764949
2007-03-05,36.04,36.79,35.6,35.72,213737,False,False,0,0.9879162191192263,1.0044994375703034,-0.01945628997867821,-0.06295907660020983
2007-03-06,36.05,36.18,35.66,36.0,215920,False,False,0,0.9879162191192263,1.0123734533183348,-0.01945628997867821,-0.05561385099685201
2007-03-07,35.78,36.03,35.28,35.44,246566,False,False,0,0.9879162191192263,0.9966254218222718,-0.01945628997867821,-0.07030430220356776
