交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,44.82,44.84,43.98,44.19,41171,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,46.0,46.2,45.23,45.43,77082,False,False,0,1.0,1.02806064720525,0.0,0.0
2006-12-15,45.72,45.82,45.34,45.65,32173,False,False,0,1.0,1.033039149128762,0.0,0.0
2006-12-18,45.63,46.03,45.23,45.44,28268,False,False,0,1.0,1.0282869427472277,0.0,-0.004600219058050525
2006-12-19,45.1,46.25,45.01,46.13,40244,False,False,0,1.0,1.0439013351436977,0.0,0.0
2006-12-20,46.2,49.25,45.98,46.15,37514,False,False,0,1.0,1.044353926227653,0.0,0.0
2006-12-21,46.16,46.16,45.33,45.44,21830,False,False,0,1.0,1.0282869427472277,0.0,-0.015384615384615441
2006-12-22,45.48,45.62,45.28,45.37,13394,False,False,0,1.0,1.026702873953383,0.0,-0.016901408450704092
2006-12-26,45.34,45.69,45.2,45.57,7648,False,False,0,1.0,1.0312287847929396,0.0,-0.012567713976164518
2006-12-27,45.77,46.25,45.25,46.2,20319,False,False,0,1.0,1.0454854039375425,0.0,0.0
2006-12-28,46.33,46.34,45.41,45.63,10082,False,False,0,1.0,1.0325865580448066,0.0,-0.012337662337662314
2006-12-29,45.52,45.63,45.23,45.25,13901,False,False,0,1.0,1.0239873274496492,0.0,-0.020562770562770782
2007-01-03,45.15,45.86,44.97,45.11,36465,False,False,0,1.0,1.0208191898619596,0.0,-0.02359307359307372
2007-01-04,45.16,45.72,45.06,45.63,33874,False,False,0,1.0,1.0325865580448064,0.0,-0.012337662337662536
2007-01-05,45.5,45.6,44.82,44.95,19047,False,False,0,1.0,1.0171984611903144,0.0,-0.027056277056277223
2007-01-08,44.97,45.24,44.54,44.9,23203,False,False,0,1.0,1.0160669834804252,0.0,-0.028138528138528462
2007-01-09,45.9,46.58,45.61,46.2,55878,False,False,0,1.0,1.0454854039375423,0.0,-2.220446049250313e-16
2007-01-10,46.2,47.34,45.8,47.19,42621,False,False,0,1.0,1.0678886625933468,0.0,0.0
2007-01-11,47.4,48.75,46.97,48.71,50697,False,False,0,1.0,1.102285584973976,0.0,0.0
2007-01-12,48.61,49.04,48.05,48.35,29855,False,False,0,1.0,1.0941389454627743,0.0,-0.007390679531923738
2007-01-16,48.5,48.67,47.88,48.03,16463,False,False,0,1.0,1.086897488119484,0.0,-0.013960172449189234
2007-01-17,48.25,49.43,48.0,48.8,57422,False,False,0,1.0,1.1043222448517762,0.0,0.0
2007-01-18,48.88,49.06,48.61,48.7,45646,False,False,0,1.0,1.102059289431998,0.0,-0.002049180327868827
2007-01-19,48.8,49.08,48.33,49.03,27390,False,False,0,1.0,1.1095270423172663,0.0,0.0
2007-01-22,49.12,49.3,47.9,48.08,25383,False,False,0,1.0,1.088028965829373,0.0,-0.019375892310830256
2007-01-23,48.09,48.53,47.86,48.06,20628,False,False,0,1.0,1.0875763747454175,0.0,-0.019783805833163415
2007-01-24,48.17,48.54,48.0,48.42,35894,False,False,0,1.0,1.095723014256619,0.0,-0.012441362431164671
2007-01-25,48.48,48.56,47.62,47.69,25924,False,False,0,1.0,1.0792034396922379,0.0,-0.02733020599632885
2007-01-26,47.69,48.0,47.61,47.83,24358,False,False,0,1.0,1.0823715772799274,0.0,-0.024474811339996072
2007-01-29,47.83,47.95,47.2,47.33,35473,False,False,0,1.0,1.0710568001810363,0.0,-0.03467264939832759
2007-01-30,47.65,47.8,47.17,47.38,30922,False,False,0,1.0,1.0721882778909255,0.0,-0.03365286559249436
2007-01-31,47.43,47.98,47.2,47.85,21719,False,False,0,1.0,1.082824168363883,0.0,-0.024066897817662802
2007-02-01,48.2,49.04,48.06,48.88,33386,False,False,0,1.0,1.106132609187599,0.0,-0.0030593514174994674
2007-02-02,48.72,49.53,48.72,49.43,28819,False,False,0,1.0,1.1185788639963792,0.0,0.0
2007-02-05,49.3,49.5,48.72,49.02,14493,False,False,0,1.0,1.1093007467752884,0.0,-0.008294557960752513
2007-02-06,49.4,49.7,49.13,49.27,18634,False,False,0,1.0,1.114958135324734,0.0,-0.0032369006676108425
2007-02-07,49.05,49.78,49.05,49.71,25313,False,False,0,1.0,1.1249151391717582,0.0,0.0
2007-02-08,49.65,49.9,48.5,48.93,49763,False,False,0,1.0,1.107264086897488,0.0,-0.015691007845504035
2007-02-09,49.27,49.48,48.42,48.74,23910,False,False,0,1.0,1.1029644715999094,0.0,-0.019513176423254897
2007-02-12,48.55,48.85,47.33,47.5,34722,False,False,0,1.0,1.0749038243946594,0.0,-0.04445785556226112
2007-02-13,47.75,47.94,46.55,46.95,44791,False,False,0,1.0,1.0624575695858793,0.0,-0.05552202776101367
2007-02-14,47.0,47.73,47.0,47.62,30163,False,False,0,1.0,1.0776193708983934,0.0,-0.04204385435526037
2007-02-15,47.68,48.22,47.68,48.02,21631,True,False,1,1.0,1.0866711925775066,0.0,-0.03399718366525817
2007-02-16,47.75,47.76,47.25,47.64,19973,False,False,1,0.9920866305705955,1.0780719619823491,-0.00791336942940446,-0.041641520820760225
2007-02-20,47.53,48.02,47.24,47.95,19356,False,False,1,0.9985422740524781,1.0850871237836617,-0.001457725947521915,-0.035405351036008614
2007-02-21,47.95,48.08,47.66,47.68,18462,False,False,1,0.9929196168263222,1.0789771441502605,-0.007080383173677762,-0.04083685375175994
2007-02-22,47.85,48.04,47.16,47.28,17131,False,False,1,0.9845897542690545,1.0699253224711476,-0.015410245730945515,-0.048883524441761916
2007-02-23,47.24,47.52,46.78,47.42,17664,False,False,1,0.9875052061640982,1.073093460058837,-0.012494793835901796,-0.046067189700261246
2007-02-26,48.0,48.0,46.66,46.87,17178,False,False,1,0.9760516451478549,1.0606472052500566,-0.023948354852145082,-0.05713136189901413
2007-02-27,46.26,46.46,44.56,45.5,41831,False,False,1,0.9475218658892127,1.029644715999095,-0.05247813411078728,-0.08469120901227101
2007-02-28,45.5,45.96,45.0,45.24,44783,False,True,0,0.9421074552269887,1.0237610319076715,-0.05789254477301131,-0.08992154496077231
2007-03-01,45.0,45.75,43.74,45.51,65981,False,False,0,0.9421074552269887,1.0298710115410725,-0.05789254477301131,-0.0844900422450211
2007-03-02,45.5,45.56,44.24,44.3,42563,False,False,0,0.9421074552269887,1.0024892509617558,-0.05789254477301131,-0.10883122108227739
2007-03-05,43.8,44.61,43.6,44.11,38993,False,False,0,0.9421074552269887,0.9981896356641773,-0.05789254477301131,-0.11265338966002825
2007-03-06,45.0,45.27,44.5,44.79,34468,False,False,0,0.9421074552269887,1.0135777325186692,-0.05789254477301131,-0.09897404948702482
2007-03-07,44.83,45.5,44.71,45.32,39073,False,False,0,0.9421074552269887,1.0255713962434938,-0.05789254477301131,-0.08831221082277219
2007-03-08,45.55,46.38,45.39,45.87,29498,False,False,0,0.9421074552269887,1.038017651052274,-0.05789254477301131,-0.07724803862401941
2007-03-09,46.14,46.35,45.75,45.93,22948,False,False,0,0.9421074552269887,1.039375424304141,-0.05789254477301131,-0.07604103802051909
2007-03-12,45.8,46.26,45.73,46.18,15687,False,False,0,0.9421074552269887,1.0450328128535866,-0.05789254477301131,-0.0710118688392678
2007-03-13,45.77,45.89,44.87,44.97,20885,False,False,0,0.9421074552269887,1.01765105227427,-0.05789254477301131,-0.09535304767652386
2007-03-14,44.95,45.57,44.58,45.06,25078,False,False,0,0.9421074552269887,1.0196877121520704,-0.05789254477301131,-0.0935425467712735
2007-03-15,45.08,45.2,44.75,44.99,33419,False,False,0,0.9421074552269887,1.0181036433582256,-0.05789254477301131,-0.09495071414202394
2007-03-16,45.02,45.71,44.82,45.42,39846,False,False,0,0.9421074552269887,1.027834351663272,-0.05789254477301131,-0.08630054315027169
2007-03-19,45.48,46.49,45.48,46.48,28708,False,False,0,0.9421074552269887,1.0518216791129211,-0.05789254477301131,-0.06497686582176643
2007-03-20,46.49,46.52,46.14,46.35,14382,False,False,0,0.9421074552269887,1.0488798370672094,-0.05789254477301131,-0.06759203379601708
2007-03-21,46.38,46.67,45.63,46.4,24439,False,False,0,0.9421074552269887,1.0500113147770986,-0.05789254477301131,-0.06658619995976678
2007-03-22,47.36,47.36,45.6,46.42,11300,False,False,0,0.9421074552269887,1.0504639058610545,-0.05789254477301131,-0.06618386642526652
2007-03-23,46.44,46.49,46.0,46.24,13740,False,False,0,0.9421074552269887,1.0463905861054539,-0.05789254477301131,-0.06980486823576726
2007-03-26,46.07,46.1,45.6,45.97,17478,False,False,0,0.9421074552269887,1.0402806064720527,-0.05789254477301131,-0.07523637095151858
2007-03-27,45.89,46.43,45.79,46.18,22623,False,False,0,0.9421074552269887,1.0450328128535868,-0.05789254477301131,-0.07101186883926758
2007-03-28,46.17,46.3,45.83,46.0,37483,False,False,0,0.9421074552269887,1.040959493097986,-0.05789254477301131,-0.07463287064976853
2007-03-29,46.29,46.37,45.6,45.91,18528,False,False,0,0.9421074552269887,1.0389228332201854,-0.05789254477301131,-0.07644337155501912
2007-03-30,46.03,47.0,45.89,46.72,26036,False,False,0,0.9421074552269887,1.057252772120389,-0.05789254477301131,-0.06014886340776515
2007-04-02,46.51,46.61,46.1,46.29,24276,False,False,0,0.9421074552269887,1.0475220638153426,-0.05789254477301131,-0.06879903439951729
2007-04-03,46.5,47.0,46.38,46.68,34444,False,False,0,0.9421074552269887,1.0563475899524777,-0.05789254477301131,-0.06095353047676544
2007-04-04,46.75,47.55,46.7,47.44,28178,True,False,1,0.9421074552269887,1.0735460511427921,-0.05789254477301131,-0.04566485616576166
2007-04-05,47.3,49.04,47.18,48.67,57982,False,False,1,0.9665339343570308,1.1013804028060645,-0.03346606564296917,-0.020921343794005343
2007-04-09,48.6,48.9,48.3,48.44,37883,False,False,1,0.961966381348974,1.0961756053405747,-0.03803361865102595,-0.02554817944075638
2007-04-10,48.62,49.0,48.2,48.22,23210,False,False,1,0.9575974176021373,1.0911971034170627,-0.042402582397862654,-0.0299738483202574
2007-04-11,48.24,48.5,48.05,48.38,30557,False,False,1,0.9607748457816551,1.0948178320887079,-0.03922515421834494,-0.026755180044256588
2007-04-12,48.48,48.71,48.2,48.69,25293,False,False,1,0.9669311128794704,1.1018329938900204,-0.03306888712052958,-0.020519010259504977
2007-04-13,49.4,49.4,48.39,48.96,13285,False,False,1,0.9722930229324066,1.1079429735234219,-0.027706977067593397,-0.015087507543753431
2007-04-16,49.21,49.55,49.04,49.46,15781,False,False,1,0.9822224859933992,1.119257750622313,-0.01777751400660077,-0.00502916918125107
2007-04-17,49.5,49.69,49.14,49.52,18981,False,False,1,0.9834140215607184,1.12061552387418,-0.016585978439281557,-0.00382216857775064
2007-04-18,48.0,49.39,47.99,49.27,18416,False,False,1,0.9784492900302221,1.1149581353247344,-0.021550709969777926,-0.00885133775900182
