交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2007-04-19,50.2,55.22,49.0,54.8,158894,False,False,1,1.0,1.0,0.0,0.0
2007-04-20,54.8,57.6,54.2,57.1,30547,False,False,1,1.0419708029197081,1.0419708029197081,0.0,0.0
2007-04-23,57.2,57.88,56.58,57.5,18764,False,False,1,1.049270072992701,1.049270072992701,0.0,0.0
2007-04-24,57.02,58.8,57.02,58.4,15329,False,False,1,1.0656934306569343,1.0656934306569343,0.0,0.0
2007-04-25,59.1,59.5,57.02,57.22,12261,False,False,1,1.044160583941606,1.044160583941606,-0.020205479452054753,-0.020205479452054753
2007-04-26,58.5,58.58,54.6,56.4,6397,False,False,1,1.029197080291971,1.029197080291971,-0.03424657534246556,-0.03424657534246556
2007-04-27,56.4,57.0,55.3,56.8,1781,False,False,1,1.0364963503649638,1.0364963503649638,-0.02739726027397238,-0.02739726027397238
2007-04-30,56.96,57.92,56.0,56.1,1825,False,False,1,1.0237226277372267,1.0237226277372267,-0.039383561643835274,-0.039383561643835274
2007-05-01,56.0,57.0,55.6,55.8,4592,False,False,1,1.018248175182482,1.018248175182482,-0.044520547945205324,-0.044520547945205324
2007-05-02,55.6,57.24,55.52,56.32,4285,False,False,1,1.0277372262773723,1.0277372262773723,-0.03561643835616435,-0.03561643835616435
2007-05-03,56.3,57.46,56.12,57.3,1856,False,False,1,1.0456204379562044,1.0456204379562044,-0.018835616438356184,-0.018835616438356184
2007-05-04,57.54,58.2,56.82,57.6,1398,False,False,1,1.051094890510949,1.051094890510949,-0.013698630136986245,-0.013698630136986245
2007-05-07,57.4,58.2,57.0,58.14,2933,False,False,1,1.0609489051094891,1.0609489051094891,-0.004452054794520488,-0.004452054794520488
2007-05-08,58.36,58.8,58.0,58.6,2596,False,False,1,1.0693430656934308,1.0693430656934308,0.0,0.0
2007-05-09,58.94,62.54,58.58,61.7,5948,False,False,1,1.1259124087591244,1.1259124087591244,0.0,0.0
2007-05-10,61.7,61.7,59.46,60.82,5686,False,False,1,1.1098540145985403,1.1098540145985403,-0.014262560777957956,-0.014262560777957956
2007-05-11,61.7,63.22,61.4,61.82,6463,False,False,1,1.128102189781022,1.128102189781022,0.0,0.0
2007-05-14,63.0,64.0,62.0,63.84,3914,False,False,1,1.1649635036496353,1.1649635036496353,0.0,0.0
2007-05-15,68.0,69.4,67.38,68.42,12247,False,False,1,1.2485401459854015,1.2485401459854015,0.0,0.0
2007-05-16,69.5,69.78,68.3,68.72,2395,False,False,1,1.254014598540146,1.254014598540146,0.0,0.0
2007-05-17,68.9,73.36,68.88,72.8,5942,False,False,1,1.3284671532846717,1.3284671532846717,0.0,0.0
2007-05-18,73.0,74.5,71.5,73.16,9053,False,False,1,1.3350364963503651,1.3350364963503651,0.0,0.0
