交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2010-06-29,3.8,5.0,3.51,4.78,925065,False,False,0,1.0,1.0,0.0,0.0
2010-06-30,5.015,6.085,4.66,4.765,843465,False,False,0,1.0,0.9968619246861924,0.0,-0.003138075313807609
2010-07-01,4.99,5.185,4.055,4.39,404870,False,False,0,1.0,0.918410041841004,0.0,-0.08158995815899595
2010-07-02,4.41,4.65,3.74,3.84,252905,False,False,0,1.0,0.803347280334728,0.0,-0.19665271966527198
2010-07-06,3.86,4.0,3.165,3.22,338880,False,False,0,1.0,0.6736401673640168,0.0,-0.3263598326359832
2010-07-07,3.28,3.325,2.995,3.16,342150,False,False,0,1.0,0.6610878661087866,0.0,-0.33891213389121344
2010-07-08,3.17,3.54,3.115,3.49,381755,False,False,0,1.0,0.7301255230125522,0.0,-0.2698744769874478
2010-07-09,3.54,3.58,3.31,3.48,200205,False,False,0,1.0,0.7280334728033472,0.0,-0.2719665271966528
2010-07-12,3.59,3.615,3.4,3.41,103920,False,False,0,1.0,0.7133891213389121,0.0,-0.2866108786610879
2010-07-13,3.46,3.73,3.38,3.63,131465,False,False,0,1.0,0.7594142259414224,0.0,-0.24058577405857762
2010-07-14,3.62,4.03,3.55,3.97,206990,False,False,0,1.0,0.8305439330543931,0.0,-0.1694560669456069
2010-07-15,3.96,4.3,3.8,3.98,184075,False,False,0,1.0,0.8326359832635981,0.0,-0.1673640167364019
2010-07-16,3.98,4.26,3.98,4.13,126465,False,False,0,1.0,0.8640167364016733,0.0,-0.1359832635983267
2010-07-19,4.275,4.45,4.185,4.38,116680,False,False,0,1.0,0.9163179916317988,0.0,-0.08368200836820117
2010-07-20,4.4,4.455,3.985,4.06,87430,False,False,0,1.0,0.8493723849372381,0.0,-0.1506276150627619
2010-07-21,4.08,4.23,3.9,4.045,60715,False,False,0,1.0,0.8462343096234307,0.0,-0.1537656903765693
2010-07-22,4.05,4.25,4.05,4.2,46415,False,False,0,1.0,0.8786610878661085,0.0,-0.12133891213389147
2010-07-23,4.25,4.31,4.205,4.26,32010,False,False,0,1.0,0.8912133891213386,0.0,-0.10878661087866137
2010-07-26,4.3,4.3,4.06,4.19,43890,False,False,0,1.0,0.8765690376569035,0.0,-0.12343096234309647
2010-07-27,4.19,4.235,4.05,4.11,28860,False,False,0,1.0,0.8598326359832634,0.0,-0.14016736401673657
2010-07-28,4.1,4.18,4.1,4.145,22670,False,False,0,1.0,0.8671548117154808,0.0,-0.1328451882845192
2010-07-29,4.155,4.175,4.0,4.07,29115,False,False,0,1.0,0.8514644351464433,0.0,-0.14853556485355668
2010-07-30,4.07,4.09,3.91,3.99,20860,False,False,0,1.0,0.8347280334728031,0.0,-0.1652719665271969
2010-08-02,4.1,4.195,4.065,4.185,34045,False,False,0,1.0,0.8755230125523009,0.0,-0.12447698744769908
2010-08-03,4.15,4.39,4.08,4.39,59425,True,False,1,1.0,0.9184100418410038,0.0,-0.08158995815899617
2010-08-04,4.46,4.46,4.02,4.25,45315,False,False,1,0.968109339407745,0.8891213389121336,-0.03189066059225498,-0.11087866108786637
2010-08-05,4.19,4.325,4.01,4.09,39075,False,False,1,0.9316628701594534,0.8556485355648532,-0.06833712984054663,-0.1443514644351468
2010-08-06,4.01,4.05,3.905,3.92,35140,False,False,1,0.8929384965831436,0.8200836820083679,-0.10706150341685639,-0.1799163179916321
2010-08-09,3.98,3.995,3.89,3.92,34800,False,False,1,0.8929384965831436,0.8200836820083679,-0.10706150341685639,-0.1799163179916321
2010-08-10,3.92,3.93,3.765,3.805,58355,False,False,1,0.866742596810934,0.7960251046025102,-0.13325740318906598,-0.2039748953974898
2010-08-11,3.735,3.78,3.55,3.58,37800,False,False,1,0.815489749430524,0.7489539748953972,-0.184510250569476,-0.25104602510460283
2010-08-12,3.58,3.64,3.48,3.52,33895,False,True,0,0.8018223234624147,0.7364016736401671,-0.19817767653758533,-0.26359832635983294
2010-08-13,3.555,3.72,3.53,3.665,31285,False,False,0,0.8018223234624147,0.7667364016736399,-0.19817767653758533,-0.23326359832636012
2010-08-16,3.69,3.76,3.65,3.755,23780,False,False,0,0.8018223234624147,0.785564853556485,-0.19817767653758533,-0.21443514644351502
2010-08-17,3.75,3.88,3.75,3.83,21990,False,False,0,0.8018223234624147,0.8012552301255227,-0.19817767653758533,-0.1987447698744773
2010-08-18,3.84,3.92,3.7,3.755,29685,False,False,0,0.8018223234624147,0.785564853556485,-0.19817767653758533,-0.21443514644351502
2010-08-19,3.71,3.85,3.665,3.76,27635,False,False,0,0.8018223234624147,0.7866108786610875,-0.19817767653758533,-0.21338912133891252
2010-08-20,3.7,3.835,3.7,3.82,14605,False,False,0,0.8018223234624147,0.7991631799163176,-0.19817767653758533,-0.20083682008368242
2010-08-23,3.82,4.08,3.8,4.025,53260,False,False,0,0.8018223234624147,0.8420502092050206,-0.19817767653758533,-0.1579497907949794
2010-08-24,3.98,3.98,3.79,3.84,33245,False,False,0,0.8018223234624147,0.8033472803347277,-0.19817767653758533,-0.1966527196652723
2010-08-25,3.8,3.995,3.71,3.98,24575,False,False,0,0.8018223234624147,0.832635983263598,-0.19817767653758533,-0.167364016736402
2010-08-26,3.95,4.055,3.92,3.95,20630,False,False,0,0.8018223234624147,0.8263598326359829,-0.19817767653758533,-0.1736401673640171
2010-08-27,4.0,4.0,3.9,3.94,18760,False,False,0,0.8018223234624147,0.8242677824267779,-0.19817767653758533,-0.1757322175732221
2010-08-30,3.94,4.04,3.92,3.975,35495,False,False,0,0.8018223234624147,0.8315899581589955,-0.19817767653758533,-0.1684100418410045
2010-08-31,3.875,3.96,3.865,3.895,9855,False,False,0,0.8018223234624147,0.8148535564853553,-0.19817767653758533,-0.1851464435146447
2010-09-01,3.925,4.14,3.92,4.09,24355,False,False,0,0.8018223234624147,0.8556485355648531,-0.19817767653758533,-0.1443514644351469
2010-09-02,4.09,4.25,4.06,4.21,23865,True,False,1,0.8018223234624147,0.8807531380753134,-0.19817767653758533,-0.11924686192468659
2010-09-03,4.22,4.3,4.13,4.21,21340,False,False,1,0.8018223234624147,0.8807531380753134,-0.19817767653758533,-0.11924686192468659
2010-09-07,4.165,4.2,4.1,4.11,12040,False,False,1,0.7827766625725712,0.8598326359832633,-0.21722333742742883,-0.14016736401673668
2010-09-08,4.115,4.19,4.115,4.18,14270,False,False,1,0.7961086251954616,0.8744769874476983,-0.20389137480453845,-0.1255230125523017
2010-09-09,4.185,4.21,4.005,4.14,18620,False,False,1,0.7884903608395242,0.8661087866108782,-0.21150963916047583,-0.1338912133891218
2010-09-10,4.15,4.185,3.95,4.035,19020,False,False,1,0.7684924169051884,0.8441422594142256,-0.23150758309481156,-0.1558577405857744
2010-09-13,4.18,4.18,4.1,4.145,17465,False,False,1,0.7894426438840163,0.8671548117154807,-0.2105573561159837,-0.1328451882845193
2010-09-14,4.11,4.32,4.105,4.225,31880,False,False,1,0.8046791725958912,0.8838912133891209,-0.19532082740410883,-0.11610878661087909
2010-09-15,4.195,4.4,4.16,4.395,33300,False,False,1,0.8370567961086253,0.9194560669456062,-0.16294320389137473,-0.08054393305439378
2010-09-16,4.46,4.63,4.16,4.19,127825,False,False,1,0.798013191284446,0.8765690376569034,-0.20198680871555397,-0.12343096234309658
2010-09-17,4.265,4.27,3.96,4.045,58260,False,False,1,0.7703969829941728,0.8462343096234306,-0.2296030170058272,-0.1537656903765694
2010-09-20,4.13,4.27,4.03,4.21,46310,False,False,1,0.8018223234624147,0.8807531380753134,-0.19817767653758533,-0.11924686192468659
2010-09-21,4.26,4.31,4.135,4.155,39165,False,False,1,0.7913472099730008,0.8692468619246858,-0.2086527900269992,-0.1307531380753142
2010-09-22,4.175,4.19,3.96,3.975,44090,False,False,1,0.7570650203712823,0.8315899581589955,-0.24293497962871768,-0.1684100418410045
2010-09-23,3.96,4.03,3.9,3.91,32855,False,False,1,0.744685340792884,0.8179916317991629,-0.25531465920711605,-0.1820083682008371
2010-09-24,3.99,4.04,3.93,4.02,28635,False,False,1,0.7656355677717118,0.841004184100418,-0.23436443222828818,-0.158995815899582
2010-09-27,4.08,4.16,4.01,4.105,20355,False,False,1,0.781824379528079,0.8587866108786608,-0.21817562047192096,-0.14121338912133918
2010-09-28,4.195,4.3,4.15,4.28,59685,False,False,1,0.8151542860853053,0.8953974895397486,-0.18484571391469473,-0.10460251046025137
2010-09-29,4.1,4.42,4.1,4.395,93085,False,False,1,0.8370567961086253,0.9194560669456062,-0.16294320389137473,-0.08054393305439378
2010-09-30,4.4,4.43,4.04,4.08,103955,False,False,1,0.777062964305618,0.8535564853556482,-0.22293703569438195,-0.1464435146443518
2010-10-01,4.16,4.25,4.04,4.12,25945,False,False,1,0.7846812286615555,0.8619246861924683,-0.21531877133844446,-0.13807531380753169
