交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,10.57,10.62,10.395,10.425,94237,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,10.395,10.55,10.375,10.55,82437,False,False,0,1.0,1.011990407673861,0.0,0.0
2006-12-15,10.62,10.67,10.49,10.57,69952,False,False,0,1.0,1.0139088729016787,0.0,0.0
2006-12-18,10.65,10.835,10.51,10.68,74915,False,False,0,1.0,1.0244604316546762,0.0,0.0
2006-12-19,10.48,10.48,10.335,10.45,102673,False,False,0,1.0,1.002398081534772,0.0,-0.021535580524344677
2006-12-20,10.5,10.61,10.385,10.425,76712,False,False,0,1.0,0.9999999999999999,0.0,-0.023876404494381998
2006-12-21,10.395,10.62,10.395,10.61,88010,False,False,0,1.0,1.017745803357314,0.0,-0.0065543071161050515
2006-12-22,10.6,10.69,10.53,10.59,45588,False,False,0,1.0,1.0158273381294962,0.0,-0.008426966292134908
2006-12-26,10.64,10.785,10.62,10.77,43479,False,False,0,1.0,1.0330935251798559,0.0,0.0
2006-12-27,10.77,10.855,10.77,10.845,53666,False,False,0,1.0,1.0402877697841726,0.0,0.0
2006-12-28,10.785,10.865,10.71,10.845,61824,False,False,0,1.0,1.0402877697841726,0.0,0.0
2006-12-29,10.955,10.975,10.74,10.77,42542,False,False,0,1.0,1.0330935251798559,0.0,-0.006915629322268524
2007-01-03,10.945,11.015,10.74,10.805,120223,False,False,0,1.0,1.036450839328537,0.0,-0.0036883356385432053
2007-01-04,10.815,10.875,10.63,10.78,173957,False,False,0,1.0,1.0340527577937648,0.0,-0.005993545412632639
2007-01-05,10.74,10.74,10.425,10.54,124485,False,False,0,1.0,1.0110311750599519,0.0,-0.028123559243891316
2007-01-08,10.53,10.66,10.53,10.61,54323,False,False,0,1.0,1.017745803357314,0.0,-0.0216689718764409
2007-01-09,10.69,10.69,10.425,10.46,70991,False,False,0,1.0,1.003357314148681,0.0,-0.035500230520977505
2007-01-10,10.335,10.54,10.265,10.54,103668,False,False,0,1.0,1.0110311750599517,0.0,-0.02812355924389154
2007-01-11,10.58,10.785,10.57,10.75,164271,False,False,0,1.0,1.0311750599520382,0.0,-0.00875979714153996
2007-01-12,11.035,11.26,10.965,11.075,261713,False,False,0,1.0,1.0623501199040766,0.0,0.0
2007-01-16,11.18,11.23,11.085,11.13,138863,False,False,0,1.0,1.0676258992805754,0.0,0.0
2007-01-17,11.18,11.32,11.055,11.32,177580,False,False,0,1.0,1.0858513189448438,0.0,0.0
2007-01-18,11.31,11.33,11.045,11.085,203168,False,False,0,1.0,1.0633093525179853,0.0,-0.020759717314487558
2007-01-19,11.085,11.18,11.015,11.13,119436,False,False,0,1.0,1.0676258992805752,0.0,-0.016784452296819796
2007-01-22,11.085,11.085,10.875,10.875,106356,False,False,0,1.0,1.0431654676258988,0.0,-0.03931095406360441
2007-01-23,10.905,11.16,10.795,11.085,163663,False,False,0,1.0,1.0633093525179853,0.0,-0.020759717314487558
2007-01-24,11.23,11.3,11.075,11.3,117553,False,False,0,1.0,1.083932853717026,0.0,-0.0017667844522967213
2007-01-25,11.015,11.075,10.59,10.61,457850,False,False,0,1.0,1.017745803357314,0.0,-0.06272084805653699
2007-01-26,10.63,10.785,10.56,10.77,136138,False,False,0,1.0,1.0330935251798559,0.0,-0.048586572438162445
2007-01-29,10.77,10.785,10.6,10.64,73226,False,False,0,1.0,1.0206235011990408,0.0,-0.06007067137809152
2007-01-30,10.61,10.76,10.61,10.75,55584,False,False,0,1.0,1.0311750599520384,0.0,-0.050353356890459056
2007-01-31,10.7,10.805,10.58,10.75,90007,False,False,0,1.0,1.0311750599520384,0.0,-0.050353356890459056
2007-02-01,10.75,10.875,10.64,10.845,82207,False,False,0,1.0,1.0402877697841728,0.0,-0.04196113074204899
2007-02-02,10.925,10.945,10.74,10.78,68284,False,False,0,1.0,1.034052757793765,0.0,-0.04770318021201381
2007-02-05,10.68,10.77,10.68,10.68,76531,False,False,0,1.0,1.0244604316546764,0.0,-0.05653710247349786
2007-02-06,10.835,10.875,10.74,10.815,89255,False,False,0,1.0,1.0374100719424462,0.0,-0.04461130742049424
2007-02-07,10.805,11.13,10.785,11.005,126502,False,False,0,1.0,1.0556354916067148,0.0,-0.027826855123674443
2007-02-08,11.005,11.005,10.895,10.925,74387,False,False,0,1.0,1.0479616306954438,0.0,-0.03489399293286177
