交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,50.43,50.56,49.64,49.73,61004,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,50.0,50.21,49.59,49.66,71015,False,False,0,1.0,0.9985923989543536,0.0,-0.0014076010456464116
2006-12-15,49.67,50.15,49.14,50.02,66655,False,False,0,1.0,1.00583149004625,0.0,0.0
2006-12-18,50.2,50.53,49.98,50.41,51605,False,False,0,1.0,1.0136738387291373,0.0,0.0
2006-12-19,50.5,52.53,50.49,52.32,124000,False,False,0,1.0,1.0520812386889202,0.0,0.0
2006-12-20,52.56,53.7,52.34,53.6,96105,False,False,0,1.0,1.0778202292378847,0.0,0.0
2006-12-21,53.89,54.46,53.63,53.93,74147,False,False,0,1.0,1.0844560627387896,0.0,0.0
2006-12-22,53.76,53.91,52.91,53.46,43775,False,False,0,1.0,1.0750050271465919,0.0,-0.008715000927127625
2006-12-26,53.68,53.83,52.99,53.27,21404,False,False,0,1.0,1.07118439573698,0.0,-0.012238086408306925
2006-12-27,52.34,53.6,52.05,53.43,46140,False,False,0,1.0,1.0744017695556005,0.0,-0.009271277582050708
2006-12-28,52.87,53.75,52.87,53.66,34130,False,False,0,1.0,1.0790267444198676,0.0,-0.005006489894307298
2006-12-29,53.4,54.04,53.4,53.74,36340,False,False,0,1.0,1.080635431329178,0.0,-0.003523085481179078
2007-01-03,54.32,54.34,52.32,52.56,79739,False,False,0,1.0,1.0569072994168514,0.0,-0.025403300574818988
2007-01-04,52.5,53.0,52.05,52.9,46597,False,False,0,1.0,1.06374421878142,0.0,-0.01909883181902461
2007-01-05,52.8,53.05,51.93,52.56,60500,False,False,0,1.0,1.0569072994168514,0.0,-0.025403300574818988
2007-01-08,52.45,53.49,52.22,53.33,40639,False,False,0,1.0,1.0723909109189627,0.0,-0.011125533098460871
2007-01-09,53.35,53.35,52.43,52.7,53339,False,False,0,1.0,1.0597225015081444,0.0,-0.022807342851844714
2007-01-10,52.82,53.25,52.2,52.8,48045,False,False,0,1.0,1.061733360144782,0.0,-0.020953087335434772
2007-01-11,53.11,54.5,52.95,54.41,50544,False,False,0,1.0,1.0941081841946514,0.0,0.0
2007-01-12,54.4,55.34,54.25,55.11,81102,False,False,0,1.0,1.1081841946511164,0.0,0.0
2007-01-16,55.1,55.95,55.0,55.73,75680,False,False,0,1.0,1.120651518198271,0.0,0.0
2007-01-17,55.95,56.29,55.52,55.65,61807,False,False,0,1.0,1.1190428312889606,0.0,-0.0014354925533824892
2007-01-18,54.6,54.6,53.36,53.69,113307,False,False,0,1.0,1.079630002010859,0.0,-0.03660506011125075
2007-01-19,53.8,53.8,53.08,53.19,79878,False,False,0,1.0,1.0695757088276696,0.0,-0.04557688856989073
2007-01-22,53.2,53.25,52.05,52.18,83277,False,False,0,1.0,1.0492660365976274,0.0,-0.0636999820563432
2007-01-23,52.2,52.45,51.4,51.48,72104,False,False,0,1.0,1.0351900261411624,0.0,-0.07626054189843912
2007-01-24,51.37,52.31,50.76,51.8,79559,False,False,0,1.0,1.0416247737784035,0.0,-0.0705185716849096
2007-01-25,51.8,52.4,51.8,52.12,46574,False,False,0,1.0,1.0480595214156445,0.0,-0.06477660147138009
2007-01-26,52.06,52.14,51.28,51.56,37836,False,False,0,1.0,1.0367987130504728,0.0,-0.07482504934505663
2007-01-29,51.35,52.01,51.35,51.74,47982,False,False,0,1.0,1.0404182585964208,0.0,-0.07159519109994639
2007-01-30,52.02,52.53,51.81,52.21,56965,False,False,0,1.0,1.0498692941886187,0.0,-0.06316167234882486
2007-01-31,52.5,52.5,51.44,52.26,36109,False,False,0,1.0,1.0508747235069376,0.0,-0.06226448950296093
2007-02-01,52.27,53.22,51.78,52.8,44167,False,False,0,1.0,1.0617333601447818,0.0,-0.05257491476762999
2007-02-02,52.85,53.45,52.75,52.88,44347,False,False,0,1.0,1.0633420470540922,0.0,-0.0511394222142475
2007-02-05,51.95,52.83,51.86,52.39,62602,False,False,0,1.0,1.0534888397345665,0.0,-0.05993181410371473
2007-02-06,51.8,51.89,50.51,50.99,104023,False,False,0,1.0,1.0253368188216367,0.0,-0.08505293378790635
2007-02-07,51.39,51.39,50.99,51.2,48936,False,False,0,1.0,1.029559621958576,0.0,-0.08128476583527777
2007-02-08,51.28,51.66,51.17,51.27,39546,False,False,0,1.0,1.0309672230042226,0.0,-0.08002870985106814
2007-02-09,51.28,51.52,50.75,50.88,40152,False,False,0,1.0,1.023124874321335,0.0,-0.08702673604880717
2007-02-12,51.45,51.99,51.38,51.68,40246,False,False,0,1.0,1.0392117434144377,0.0,-0.0726718105149835
2007-02-13,51.94,52.2,51.46,51.58,58731,False,False,0,1.0,1.0372008847777998,0.0,-0.07446617620671148
2007-02-14,51.71,51.93,51.31,51.63,49777,False,False,0,1.0,1.0382063140961189,0.0,-0.07356899336084743
2007-02-15,52.1,54.15,51.98,53.67,81685,True,False,1,1.0,1.079227830283531,0.0,-0.03696393324959668
2007-02-16,53.51,54.28,53.43,53.96,53025,False,False,1,1.005403391093721,1.0850593203297807,0.0,-0.031760272743585616
2007-02-20,54.55,54.95,53.61,53.86,56957,False,False,1,1.0035401527855412,1.0830484616931428,-0.0018532246108230455,-0.03355463843531359
2007-02-21,53.83,54.13,53.21,53.53,45935,False,False,1,0.9973914663685484,1.0764126281922382,-0.00796886582653844,-0.03947604521801573
2007-02-22,53.82,54.0,53.45,53.68,37101,False,False,1,1.0001863238308177,1.0794289161471948,-0.005189028910304261,-0.03678449668042383
2007-02-23,54.08,54.29,52.88,53.01,40166,False,False,1,0.9877026271660143,1.0659561632817212,-0.01760563380281721,-0.0488067468150013
2007-02-26,53.17,53.35,52.67,53.21,45241,False,False,1,0.9914291037823736,1.0699778805549969,-0.013899184581171564,-0.045218015431545355
2007-02-27,53.22,53.68,50.94,51.7,76108,False,False,1,0.9632942053288615,1.0396139151417656,-0.04188287620459619,-0.07231293737663758
2007-02-28,52.02,52.72,51.71,52.17,63754,False,True,0,0.9720514253773056,1.0490649507339633,-0.033172720533728994,-0.06387941862551627
2007-03-01,52.06,53.2,51.24,52.73,76802,False,False,0,0.9720514253773056,1.0603257590991353,-0.033172720533728994,-0.05383097075183951
2007-03-02,53.99,55.08,53.0,54.2,127792,False,False,0,0.9720514253773056,1.0898853810577116,-0.033172720533728994,-0.02745379508343837
2007-03-05,53.9,54.85,52.93,53.02,84430,False,False,0,0.9720514253773056,1.066157249145385,-0.033172720533728994,-0.04862731024582845
2007-03-06,54.41,54.5,53.54,53.86,105132,False,False,0,0.9720514253773056,1.0830484616931428,-0.033172720533728994,-0.03355463843531359
2007-03-07,53.81,54.0,53.11,53.73,58000,False,False,0,0.9720514253773056,1.0804343454655136,-0.033172720533728994,-0.0358873138345599
2007-03-08,54.17,54.25,53.11,53.3,55348,False,False,0,0.9720514253773056,1.0717876533279709,-0.033172720533728994,-0.043603086308990235
2007-03-09,53.5,53.8,52.84,53.02,44473,False,False,0,0.9720514253773056,1.066157249145385,-0.033172720533728994,-0.04862731024582845
2007-03-12,53.4,53.61,52.67,53.3,63365,False,False,0,0.9720514253773056,1.0717876533279709,-0.033172720533728994,-0.043603086308990235
2007-03-13,53.27,54.02,52.97,53.01,95756,False,False,0,0.9720514253773056,1.0659561632817212,-0.033172720533728994,-0.0488067468150013
2007-03-14,52.9,53.95,52.73,53.37,82727,False,False,0,0.9720514253773056,1.0731952543736174,-0.033172720533728994,-0.0423470303247806
2007-03-15,53.37,54.23,53.18,54.03,61065,False,False,0,0.9720514253773056,1.0864669213754272,-0.033172720533728994,-0.03050421675937598
