交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,77.3,77.35,76.21,76.5,21662,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,76.25,76.92,75.85,76.81,19594,False,False,0,1.0,1.0040522875816995,0.0,0.0
2006-12-15,76.84,77.26,76.4,76.67,29441,False,False,0,1.0,1.0022222222222223,0.0,-0.0018226793386277862
2006-12-18,76.92,77.13,76.47,76.7,17192,False,False,0,1.0,1.0026143790849675,0.0,-0.0014321051946361019
2006-12-19,76.36,76.46,75.55,75.75,25699,False,False,0,1.0,0.9901960784313727,0.0,-0.013800286421038921
2006-12-20,74.9,75.21,74.45,74.77,35022,False,False,0,1.0,0.9773856209150328,0.0,-0.026559041791433424
2006-12-21,74.98,75.35,73.84,74.58,28329,False,False,0,1.0,0.9749019607843139,0.0,-0.029032678036713944
2006-12-22,74.4,74.4,73.64,73.88,28415,False,False,0,1.0,0.9657516339869282,0.0,-0.038146074729852986
2006-12-26,73.62,74.33,73.62,74.25,12490,False,False,0,1.0,0.9705882352941178,0.0,-0.03332899362062236
2006-12-27,74.75,75.46,74.66,75.19,26005,False,False,0,1.0,0.9828758169934642,0.0,-0.021091003775550066
2006-12-28,75.1,75.29,74.5,74.91,16573,False,False,0,1.0,0.9792156862745099,0.0,-0.024736362452805638
2006-12-29,74.77,75.41,74.5,74.92,18559,False,False,0,1.0,0.9793464052287584,0.0,-0.024606171071475003
2007-01-03,75.45,75.98,74.4,74.92,37139,False,False,0,1.0,0.9793464052287584,0.0,-0.024606171071475003
2007-01-04,75.25,75.5,74.52,75.14,21052,False,False,0,1.0,0.9822222222222224,0.0,-0.0217419606822028
2007-01-05,75.04,75.04,73.62,74.14,33865,False,False,0,1.0,0.9691503267973858,0.0,-0.03476109881525846
2007-01-08,74.16,74.59,73.74,74.35,21660,False,False,0,1.0,0.9718954248366014,0.0,-0.03202707980731678
2007-01-09,74.98,75.0,73.91,74.09,30807,False,False,0,1.0,0.968496732026144,0.0,-0.035412055721911195
2007-01-10,73.75,73.85,73.25,73.63,25461,False,False,0,1.0,0.9624836601307191,0.0,-0.041400859263116874
2007-01-11,73.63,73.88,73.55,73.65,25081,False,False,0,1.0,0.9627450980392159,0.0,-0.0411404765004556
