交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,35.35,35.49,35.29,35.35,100744,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,35.42,35.68,35.3,35.56,130977,False,False,0,1.0,1.005940594059406,0.0,0.0
2006-12-15,35.6,35.77,35.43,35.62,164109,False,False,0,1.0,1.0076379066478076,0.0,0.0
2006-12-18,35.74,35.81,35.53,35.77,95333,False,False,0,1.0,1.0118811881188121,0.0,0.0
2006-12-19,35.71,36.07,35.7,35.9,91082,False,False,0,1.0,1.0155586987270158,0.0,0.0
2006-12-20,35.92,36.05,35.85,35.9,59529,False,False,0,1.0,1.0155586987270158,0.0,0.0
2006-12-21,35.89,36.06,35.86,35.91,49410,False,False,0,1.0,1.0158415841584159,0.0,0.0
2006-12-22,35.8,36.0,35.52,35.89,44045,False,False,0,1.0,1.0152758132956154,0.0,-0.000556947925368867
2006-12-26,35.76,35.97,35.72,35.95,41879,False,False,0,1.0,1.0169731258840173,0.0,0.0
2006-12-27,35.98,36.16,35.95,36.08,46615,False,False,0,1.0,1.020650636492221,0.0,0.0
2006-12-28,36.05,36.09,35.83,35.89,40233,False,False,0,1.0,1.0152758132956157,0.0,-0.005266075388026592
2006-12-29,35.82,35.91,35.48,35.53,49066,False,False,0,1.0,1.0050919377652057,0.0,-0.015243902439024182
2007-01-03,35.93,36.01,35.37,35.79,116722,False,False,0,1.0,1.012446958981613,0.0,-0.008037694013303565
2007-01-04,35.74,36.02,35.54,35.79,106380,False,False,0,1.0,1.012446958981613,0.0,-0.008037694013303565
2007-01-05,35.79,35.83,35.51,35.62,98938,False,False,0,1.0,1.007637906647808,0.0,-0.012749445676274895
2007-01-08,35.61,35.89,35.39,35.49,110965,False,False,0,1.0,1.0039603960396044,0.0,-0.01635254988913515
2007-01-09,35.58,35.85,35.48,35.58,86466,False,False,0,1.0,1.0065063649222068,0.0,-0.013858093126385862
2007-01-10,35.42,35.65,35.37,35.47,90806,False,False,0,1.0,1.0033946251768038,0.0,-0.01690687361419063
2007-01-11,35.45,35.64,35.45,35.52,67065,False,False,0,1.0,1.0048090523338054,0.0,-0.015521064301551868
2007-01-12,35.54,35.72,35.4,35.49,86775,False,False,0,1.0,1.0039603960396044,0.0,-0.01635254988913515
2007-01-16,35.81,36.5,35.75,36.21,146799,False,False,0,1.0,1.0243281471004249,0.0,0.0
2007-01-17,36.31,36.48,36.05,36.29,94409,False,False,0,1.0,1.026591230551627,0.0,0.0
2007-01-18,36.27,36.39,36.14,36.19,54345,False,False,0,1.0,1.023762376237624,0.0,-0.0027555800496005256
2007-01-19,36.29,36.33,35.87,36.05,98998,False,False,0,1.0,1.01980198019802,0.0,-0.006613392119041106
2007-01-22,35.96,36.06,35.58,35.77,72344,False,False,0,1.0,1.0118811881188123,0.0,-0.014329016257922156
2007-01-23,35.8,36.05,35.56,36.01,78239,False,False,0,1.0,1.018670438472419,0.0,-0.007715624138881272
2007-01-24,35.97,36.63,35.95,36.54,102733,False,False,0,1.0,1.0336633663366341,0.0,0.0
2007-01-25,36.46,36.64,36.02,36.1,74758,False,False,0,1.0,1.0212164073550216,0.0,-0.012041598248494823
2007-01-26,36.13,36.23,35.83,36.04,68243,False,False,0,1.0,1.0195190947666197,0.0,-0.013683634373289788
2007-01-29,35.91,36.12,35.85,35.96,79604,False,False,0,1.0,1.0172560113154174,0.0,-0.01587301587301615
2007-01-30,36.09,36.11,35.81,35.91,86800,False,False,0,1.0,1.0158415841584159,0.0,-0.017241379310345306
2007-01-31,35.48,36.0,35.47,35.93,75134,False,False,0,1.0,1.0164073550212165,0.0,-0.016694033935413577
2007-02-01,35.93,36.09,35.62,35.87,69301,False,False,0,1.0,1.0147100424328146,0.0,-0.018336070060208542
2007-02-02,35.87,36.05,35.77,35.88,59645,False,False,0,1.0,1.014992927864215,0.0,-0.018062397372742733
2007-02-05,35.79,35.85,35.66,35.68,101105,False,False,0,1.0,1.009335219236209,0.0,-0.023535851122058693
2007-02-06,35.79,36.02,35.75,35.89,74932,False,False,0,1.0,1.015275813295615,0.0,-0.017788724685277146
2007-02-07,35.91,36.04,35.76,35.87,78283,False,False,0,1.0,1.0147100424328144,0.0,-0.018336070060208765
2007-02-08,35.81,35.81,35.36,35.56,107190,False,False,0,1.0,1.0059405940594057,0.0,-0.02681992337164818
2007-02-09,35.42,35.85,35.23,35.35,117244,False,False,0,1.0,0.9999999999999998,0.0,-0.03256704980842973
2007-02-12,35.48,35.63,35.37,35.61,66309,False,False,0,1.0,1.007355021216407,0.0,-0.025451559934319246
2007-02-13,35.6,36.03,35.57,35.86,90555,False,False,0,1.0,1.014427157001414,0.0,-0.018609742747674574
2007-02-14,35.88,36.2,35.82,36.01,80534,False,False,0,1.0,1.0186704384724183,0.0,-0.01450465243568766
2007-02-15,36.22,36.36,35.98,36.03,58167,True,False,1,1.0,1.019236209335219,0.0,-0.013957307060756041
2007-02-16,36.27,36.28,35.55,35.76,107589,False,False,1,0.9925062447960032,1.0115983026874111,-0.007493755203996755,-0.021346469622332553
2007-02-20,35.77,35.97,35.6,35.94,77554,False,False,1,0.9975020815986677,1.0166902404526161,-0.0024979184013322886,-0.016420361247948434
2007-02-21,35.94,36.28,35.82,36.18,88640,False,False,1,1.0041631973355536,1.023479490806223,0.0,-0.009852216748769349
2007-02-22,36.13,36.23,35.94,36.2,81223,False,False,1,1.0047182903136276,1.0240452616690237,0.0,-0.009304871373837731
2007-02-23,36.17,36.21,35.54,35.63,130260,False,False,1,0.9888981404385235,1.0079207920792075,-0.01574585635359116,-0.02490421455938785
