交易日期,开盘价,最高价,最低价,收盘价,成交量,买点,卖点,仓位,净值,持有净值,最大回撤,持有最大回撤
2006-12-13,45.9,46.03,45.8,45.91,149224,False,False,0,1.0,1.0,0.0,0.0
2006-12-14,46.12,46.61,45.91,46.51,143116,False,False,0,1.0,1.0130690481376607,0.0,0.0
2006-12-15,46.63,46.89,46.39,46.46,145544,False,False,0,1.0,1.0119799607928557,0.0,-0.0010750376263168882
2006-12-18,46.5,46.8,46.28,46.39,118812,False,False,0,1.0,1.0104552385101286,0.0,-0.0025800903031605316
2006-12-19,46.13,46.24,45.5,46.1,164509,False,False,0,1.0,1.0041385319102594,0.0,-0.008815308535798705
2006-12-20,46.0,46.13,45.87,45.87,132068,False,False,0,1.0,0.999128730124156,0.0,-0.013760481616856612
2006-12-21,45.95,46.06,45.61,45.73,106965,False,False,0,1.0,0.9960792855587018,0.0,-0.01677058697054401
2006-12-22,45.5,45.8,45.0,45.51,107961,False,False,0,1.0,0.9912873012415596,0.0,-0.02150075252633843
2006-12-26,44.8,46.29,44.8,46.11,96947,False,False,0,1.0,1.0043563493792202,0.0,-0.008600301010535438
2006-12-27,45.75,46.25,45.75,46.17,100324,False,False,0,1.0,1.0056632541929864,0.0,-0.0073102558589550615
2006-12-28,45.81,46.2,45.81,45.99,68020,False,False,0,1.0,1.0017425397516881,0.0,-0.01118039131369597
2006-12-29,46.2,46.61,46.03,46.17,97737,False,False,0,1.0,1.0056632541929862,0.0,-0.0073102558589552835
2007-01-03,47.09,48.3,47.06,47.59,322807,False,False,0,1.0,1.03659333478545,0.0,0.0
2007-01-04,47.8,47.99,47.32,47.78,163680,False,False,0,1.0,1.040731866695709,0.0,0.0
2007-01-05,47.5,47.8,47.15,47.4,131161,False,False,0,1.0,1.0324548028751908,0.0,-0.007953118459606445
2007-01-08,46.91,47.31,46.9,46.99,142020,False,False,0,1.0,1.0235242866477894,0.0,-0.016534114692339674
2007-01-09,47.0,47.67,47.0,47.36,125780,False,False,0,1.0,1.0315835329993468,0.0,-0.008790288823775416
2007-01-10,47.05,47.62,46.51,47.29,131248,False,False,0,1.0,1.0300588107166198,0.0,-0.010255336961071393
